dungeon_map_id,name,name_video,bg_path,switch_opr_guide_id,switch_opr_guide_id_video,need_swipe_guide,map_lock
49,Savoonga,Savoonga,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200148,200148,1,0
50,Stebbins,Stebbins,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200149,200149,0,0
51,Emmonak,Emmonak,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200150,200150,0,0
52,Hooper Bay,Hooper Bay,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200151,200151,0,0
53,Huston,Huston,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200152,200152,1,0
54,Miami,Miami,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200153,200153,0,0
55,Mexico City,Mexico City,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200154,200154,0,0
56,Tulum,Tulum,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200155,200155,0,0
57,Havana,Havana,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200156,200156,1,0
58,Managua,Managua,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200157,200157,0,0
59,Portland,Portland,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200158,200158,0,0
60,Port-au-Prince,Port-au-Prince,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200159,200159,0,0
61,Lisbon,Lisbon,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200160,200160,1,0
62,Madrid,Madrid,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200161,200161,0,0
63,Rabat,Rabat,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200162,200162,0,0
64,Algiers,Algiers,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200163,200163,0,0
65,Zambia,Zambia,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200164,200164,1,0
66,Mozambique,Mozambique,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200165,200165,0,0
67,South Africa,South Africa,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200166,200166,0,0
68,Madagascar,Madagascar,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200167,200167,0,0
69,Somalia,Somalia,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200168,200168,1,0
70,Uganda,Uganda,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200169,200169,0,0
71,Kenya,Kenya,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200170,200170,0,0
72,Tanzania,Tanzania,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200171,200171,0,0
73,Djibouti,Djibouti,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200172,200172,1,0
74,Yemen,Yemen,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200173,200173,0,0
75,Saudi Arabia,Saudi Arabia,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200174,200174,0,0
76,Oman,Oman,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200175,200175,0,0
77,Tunisia,Tunisia,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200176,200176,1,0
78,Morocco,Morocco,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200177,200177,0,0
79,Portugal,Portugal,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200178,200178,0,0
80,Spain,Spain,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200179,200179,0,0
81,Romania,Romania,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200180,200180,1,0
82,Serbia,Serbia,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200181,200181,0,0
83,Bulgaria,Bulgaria,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200182,200182,0,0
84,Austria,Austria,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200183,200183,0,0
85,Norway,Norway,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200184,200184,1,0
86,Sweden,Sweden,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200185,200185,0,0
87,Finland,Finland,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200186,200186,0,0
88,Estonia,Estonia,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200187,200187,0,0
89,Tír na nÓg,Tír na nÓg,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200188,200188,1,0
90,Avalon,Avalon,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200189,200189,0,0
91,Valhalla,Valhalla,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200190,200190,0,0
92,Jotun-heim,Jotun-heim,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200191,200191,0,0
93,Vanaheim,Vanaheim,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200192,200192,1,0
94,Midgard,Midgard,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200193,200193,0,0
95,Niflheim,Niflheim,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200194,200194,0,0
96,Helheim,Helheim,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200195,200195,0,0
97,Fratelli,Fratelli,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200196,200196,1,0
98,Deslornes,Deslornes,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200197,200197,0,0
99,Stazé,Stazé,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200198,200198,0,0
100,Bieldaler,Bieldaler,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200199,200199,0,0
101,Edinburgh,Edinburgh,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200200,200200,1,0
102,Isle of Man,Isle of Man,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200203,200203,0,0
103,Donegal,Donegal,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200204,200204,0,0
104,Leeds,Leeds,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200205,200205,0,0
105,Cagliari,Cagliari,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200206,200206,1,0
106,Parma,Parma,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200207,200207,0,0
107,Ibiza,Ibiza,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200208,200208,0,0
108,Corsica Island,Corsica Island,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200209,200209,0,0
109,Ariya,Ariya,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200210,200210,1,0
110,La Oliva,La Oliva,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200211,200211,0,0
111,Adeje,Adeje,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200212,200212,0,0
112,Telde,Telde,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200213,200213,0,0
113,El Calafate,El Calafate,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200214,200214,1,0
114,Cullen,Cullen,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200215,200215,0,0
115,Ushuaia,Ushuaia,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200216,200216,0,0
116,North Arm,North Arm,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200217,200217,0,0
117,Peru,Peru,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200218,200218,1,0
118,Chile,Chile,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200219,200219,0,0
119,Bolivia,Bolivia,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200220,200220,0,0
120,Brazil,Brazil,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200221,200221,0,0
121,Ecuador,Ecuador,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200222,200222,1,0
122,Colombia,Colombia,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200223,200223,0,0
123,Venezuela,Venezuela,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200224,200224,0,0
124,Guyane,Guyane,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200225,200225,0,0
125,Chicago,Chicago,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200226,200226,1,0
126,Toronto,Toronto,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200227,200227,0,0
127,New York,New York,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200228,200228,0,0
128,Truro,Truro,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200229,200229,0,0
129,Seattle,Seattle,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200230,200230,1,0
130,San Francisco,San Francisco,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200231,200231,0,0
131,Los Angeles,Los Angeles,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200232,200232,0,0
132,Denver,Denver,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200233,200233,0,0
133,Ottawa,Ottawa,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200234,200234,1,0
134,Labrador City,Labrador City,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200235,200235,0,0
135,Anticosti Island,Anticosti Island,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200236,200236,0,0
136,Newfoundland,Newfoundland,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200237,200237,0,0
137,Cockburn Town,Cockburn Town,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200238,200238,1,0
138,Baracoa,Baracoa,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200239,200239,0,0
139,Kingston,Kingston,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200240,200240,0,0
140,Lake Enriquillo,Lake Enriquillo,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200241,200241,0,0
141,Lara,Lara,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200242,200242,1,0
142,Apure,Apure,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200243,200243,0,0
143,Sucre,Sucre,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200244,200244,0,0
144,Bolívar,Bolívar,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200245,200245,0,0
145,Corral,Corral,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200246,200246,1,0
146,Purranque,Purranque,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200247,200247,0,0
147,Cochamó,Cochamó,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200248,200248,0,0
148,Dalcahue,Dalcahue,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200249,200249,0,0
