id,hero_cid,level,skin_cid,awake,if_advance,god_awake,if_super,super_awake,if_mr,mr_awake,if_incarnation,incarnation_awake,use_super_skills,fight_value,max_hp,max_mp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
16,2068,400,102068388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,5320647680,281341749,8300,50377901,64651133,5979792,2489351,8213431,7316710,1402541,409681,5474615,3104560,0,0,2670,400,2300,3550,3550,550,0,300,3011
17,2069,400,102069368,5,1,5,1,5,1,5,0,0,66661101|66662101|66663101|66664101|66665401,7594842112,339617019,8300,48833307,61333871,6528968,2667162,6824826,6750000,1411102,354652,3181998,2715011,0,0,1120,600,2300,3550,3550,450,0,300,2840
18,2071,400,102071368,5,1,5,1,5,1,5,0,0,66661101|66662101|66663101|66664101|66665401,3485877248,547269310,8300,34325842,43035459,5841708,2489351,6965357,6975047,1173201,428248,3427965,2812008,0,0,920,300,2300,3550,3550,550,0,300,2823
19,2073,400,102073388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,4034469120,595326382,8300,39013817,49462450,6942167,2489351,7355412,8485027,1281051,390166,3483861,3072351,0,0,920,300,2300,3550,3550,700,0,300,3381
20,2074,400,102074368,5,1,5,1,5,1,5,0,0,66661101|66662101|66663101|66664101|66665401,3761754368,522221436,8300,27492157,34467778,5498078,2489351,6965309,6300000,1173188,428242,3427924,2811976,0,0,920,650,2675,3550,3550,900,0,300,2828
21,2075,400,102075368,5,1,5,1,5,1,5,0,0,66661101|66662101|66663101|66664101|66665401,7856905728,270593124,8300,43586241,54492399,6200095,2667162,4943103,7433626,1173181,354650,3818373,2714994,0,0,1520,860,2300,3550,3550,450,0,300,2814
22,2076,400,102076388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,8180773888,391119845,8300,68303315,87008889,5841708,2667162,6959457,6641349,2234952,390166,5399983,2966408,0,0,1120,700,2300,3550,3550,750,0,300,2962
23,2077,400,102077388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,8157039104,357905341,8300,51258071,65295736,6013523,2667162,7705161,7352970,1541363,390170,5748431,2966439,0,0,1120,600,2300,3550,3550,450,0,300,3252
24,2078,400,102078388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,8299379712,408495952,8300,61132567,77730566,7216226,2667162,5508243,7353133,1281109,471148,4890597,2966544,0,0,1770,950,2300,3550,3550,650,0,300,2926
25,2081,400,102081388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,4889556992,515398542,8300,53802739,68918224,6528968,2489351,8303233,8293157,1340548,494779,3919718,3215976,0,0,920,300,2300,3550,3550,550,0,300,3028
26,2082,400,102082388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,4212069888,562575061,8300,34477103,43710794,7505046,2489351,7355464,7970837,1281065,390170,3483901,3072386,0,0,920,300,2300,3550,3550,1000,0,300,3122
27,2083,400,102083368,5,1,5,1,5,1,5,0,0,66661101|66662101|66663101|66664101|66665401,7516706816,344344653,8300,47332611,59450635,5841708,2667162,5177993,4950510,1411344,354719,4773844,2715476,0,0,2270,600,2300,3550,3550,450,0,300,2788
28,2084,400,102084388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,5438986752,444973370,8300,47385889,60813535,8680343,2489351,9630855,8293403,1402840,409776,3650552,3105226,0,0,1720,550,2300,3550,3550,550,0,300,3258
29,2086,400,102086388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,3238681344,747561497,8300,23516584,30035087,9006054,2489351,7326601,8724817,1340611,409776,3650552,3216127,0,0,920,300,2300,3550,3550,550,0,300,2978
30,2087,400,102087388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,11152082944,316972131,8300,69884193,88861835,6700783,2667162,4847986,5219141,1281416,471271,4891788,2967260,0,0,2945,700,2300,3550,3550,450,0,300,2926
31,2088,400,102088388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,3424020736,614204861,8300,21321285,27231562,7692670,2489351,7815357,8725171,1340695,471275,3650792,3216332,0,0,920,300,2300,3550,3550,1000,0,300,3177
32,2090,400,102090388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,4138304768,767804863,8300,20132353,25647239,6729243,2489351,7982022,7354510,1541877,390312,3485105,2967433,0,0,1145,800,2300,3550,3550,450,200,500,2998
33,2091,400,102091388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,6839297536,264650010,8300,53401244,67903453,6528968,2667162,6611129,5931058,1281490,471301,6115097,2967433,0,0,3520,750,2300,3550,3550,450,0,300,2926
34,2092,400,102092388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,3322974208,584443238,8300,26462851,33711861,7083414,2489351,8257265,7117269,1340763,390312,3485105,2967433,0,0,920,300,2300,3550,3550,600,50,400,3015
35,2093,400,102093388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,3375441152,510117328,8300,25566357,32653654,7129793,2489351,7327139,8180116,1340764,409828,3650988,3216498,0,0,920,300,2300,3550,3550,850,0,450,3393
36,2094,400,102094388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,8485312512,250883770,8300,54439189,69351792,6185338,2667162,6960962,6642784,1541877,390312,5576168,2967433,0,0,2870,550,2300,3550,3550,450,0,300,2975
37,2095,400,102095388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,5139149824,381631705,8300,53645720,68704699,6700783,2489351,6838662,6830364,1340764,494866,3920363,3216498,0,0,920,350,2675,3550,3550,750,0,300,3026
38,2096,400,102096388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,6838247936,296499000,8300,62139632,79014925,6528968,2667162,4848161,5219330,1281490,471301,6318934,2967433,0,0,2495,550,2300,3550,3550,450,0,300,3314
39,2097,400,102097388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,2925832448,541844976,8300,27884787,35354868,6942167,2489351,6645032,7715331,1281490,390312,3485105,3073412,0,0,920,300,2300,3550,3550,450,0,300,3384
40,2098,400,102098388,5,1,5,1,5,1,5,1,5,66661101|66662101|66663101|66664101|66665401,6998824448,266088846,8300,57222516,72762464,6357153,2667162,6170387,6642784,1281490,471301,6930444,2967433,0,0,3620,650,2300,3550,3550,450,0,300,2971
