id,thing,pool_id,weight,filter_condition
86,24:2039:1,4,10,2039|9
87,24:2047:1,4,10,2047|9
88,24:2049:1,4,10,2049|9
89,24:2050:1,4,10,2050|9
90,24:2051:1,4,10,2051|9
91,24:2053:1,4,10,2053|9
92,24:2055:1,4,10,2055|9
93,24:2056:1,4,10,2056|9
94,24:2057:1,4,10,2057|9
95,24:2060:1,4,10,2060|9
96,24:2063:1,4,10,2063|9
97,24:2065:1,4,10,2065|9
98,24:2067:1,4,10,2067|9
99,24:2068:1,4,10,2068|9
100,24:2069:1,4,10,2069|9
101,24:2071:1,4,10,2071|9
102,24:2073:1,4,10,2073|9
103,24:2074:1,4,10,2074|9
104,24:2075:1,4,10,2075|9
105,24:2076:1,4,10,2076|9
106,24:2077:1,4,10,2077|9
107,24:2078:1,4,10,2078|9
108,24:2081:1,4,10,2081|9
109,24:2082:1,4,10,2082|9
110,24:2083:1,4,10,2083|9
111,24:2084:1,4,10,2084|9
112,24:2086:1,4,10,2086|9
113,24:2087:1,4,10,2087|9
114,17:2037:1,5,10,2037|8
115,17:2039:1,5,10,2039|8
116,17:2047:1,5,10,2047|8
117,17:2049:1,5,10,2049|8
118,17:2050:1,5,10,2050|8
119,17:2051:1,5,10,2051|8
120,17:2053:1,5,10,2053|8
121,17:2055:1,5,10,2055|8
122,17:2056:1,5,10,2056|8
123,17:2057:1,5,10,2057|8
124,17:2060:1,5,10,2060|8
125,17:2063:1,5,10,2063|8
126,17:2065:1,5,10,2065|8
127,17:2067:1,5,10,2067|8
128,17:2068:1,5,10,2068|8
129,17:2069:1,5,10,2069|8
130,17:2071:1,5,10,2071|8
131,17:2073:1,5,10,2073|8
132,17:2074:1,5,10,2074|8
133,17:2075:1,5,10,2075|8
134,17:2076:1,5,10,2076|8
135,17:2077:1,5,10,2077|8
136,17:2078:1,5,10,2078|8
137,17:2081:1,5,10,2081|8
138,17:2082:1,5,10,2082|8
139,17:2083:1,5,10,2083|8
140,17:2084:1,5,10,2084|8
141,17:2086:1,5,10,2086|8
142,17:2087:1,5,10,2087|8
143,17:2037:1,6,10,2037|8
144,17:2039:1,6,10,2039|8
145,17:2047:1,6,10,2047|8
146,17:2049:1,6,10,2049|8
147,17:2050:1,6,10,2050|8
148,17:2051:1,6,10,2051|8
149,17:2053:1,6,10,2053|8
150,17:2055:1,6,10,2055|8
151,17:2056:1,6,10,2056|8
152,17:2057:1,6,10,2057|8
153,17:2060:1,6,10,2060|8
154,17:2063:1,6,10,2063|8
155,17:2065:1,6,10,2065|8
156,17:2067:1,6,10,2067|8
157,17:2068:1,6,10,2068|8
158,17:2069:1,6,10,2069|8
159,17:2071:1,6,10,2071|8
160,17:2073:1,6,10,2073|8
161,17:2074:1,6,10,2074|8
162,17:2075:1,6,10,2075|8
163,17:2076:1,6,10,2076|8
164,17:2077:1,6,10,2077|8
165,17:2078:1,6,10,2078|8
166,17:2081:1,6,10,2081|8
167,17:2082:1,6,10,2082|8
168,17:2083:1,6,10,2083|8
169,17:2084:1,6,10,2084|8
170,17:2086:1,6,10,2086|8
171,17:2087:1,6,10,2087|8
172,7:2037:1,7,10,2037|7
173,7:2039:1,7,10,2039|7
174,7:2047:1,7,10,2047|7
175,7:2049:1,7,10,2049|7
176,7:2050:1,7,10,2050|7
177,7:2051:1,7,10,2051|7
178,7:2053:1,7,10,2053|7
179,7:2055:1,7,10,2055|7
180,7:2056:1,7,10,2056|7
181,7:2057:1,7,10,2057|7
182,7:2060:1,7,10,2060|7
183,7:2063:1,7,10,2063|7
184,7:2065:1,7,10,2065|7
185,7:2067:1,7,10,2067|7
186,7:2068:1,7,10,2068|7
187,7:2069:1,7,10,2069|7
188,7:2071:1,7,10,2071|7
189,7:2073:1,7,10,2073|7
190,7:2074:1,7,10,2074|7
191,7:2075:1,7,10,2075|7
192,7:2076:1,7,10,2076|7
193,7:2077:1,7,10,2077|7
194,7:2078:1,7,10,2078|7
195,7:2081:1,7,10,2081|7
196,7:2082:1,7,10,2082|7
197,7:2083:1,7,10,2083|7
198,7:2037:1,8,10,2037|7
199,7:2039:1,8,10,2039|7
200,7:2047:1,8,10,2047|7
201,7:2049:1,8,10,2049|7
202,7:2050:1,8,10,2050|7
203,7:2051:1,8,10,2051|7
204,7:2053:1,8,10,2053|7
205,7:2055:1,8,10,2055|7
206,7:2056:1,8,10,2056|7
207,7:2057:1,8,10,2057|7
208,7:2060:1,8,10,2060|7
209,7:2063:1,8,10,2063|7
210,7:2065:1,8,10,2065|7
211,7:2067:1,8,10,2067|7
212,7:2068:1,8,10,2068|7
213,7:2069:1,8,10,2069|7
214,7:2071:1,8,10,2071|7
215,7:2073:1,8,10,2073|7
216,7:2074:1,8,10,2074|7
217,7:2075:1,8,10,2075|7
218,7:2076:1,8,10,2076|7
219,7:2077:1,8,10,2077|7
220,7:2078:1,8,10,2078|7
221,7:2081:1,8,10,2081|7
222,7:2082:1,8,10,2082|7
223,7:2083:1,8,10,2083|7
224,1:2:100,9,10,
225,5:2000011:5,9,10,
226,5:6000038:1,9,10,
227,5:3000006:100,9,10,
228,5:2000006:1,9,10,
229,5:6000001:1,9,10,
230,5:2000023:1,9,10,
231,5:2000025:1,9,10,
232,5:2000027:1,9,10,
233,1:2:100,10,10,
234,5:2000011:5,10,10,
235,5:6000038:1,10,10,
236,5:3000006:100,10,10,
237,5:2000006:1,10,10,
238,5:6000001:1,10,10,
239,5:2000023:1,10,10,
240,5:2000025:1,10,10,
241,5:2000027:1,10,10,
242,1:2:100,11,10,
243,5:2000011:5,11,10,
244,5:6000038:1,11,10,
245,5:3000006:100,11,10,
246,5:2000006:1,11,10,
247,5:6000001:1,11,10,
248,5:2000023:1,11,10,
249,5:2000025:1,11,10,
250,5:2000027:1,11,10,
251,5:3000027:1,12,100,
