group_id,name,city_id,level,npc_ids
2115,Guard,2,200,21000002|21000011|21000010|21000016|21000015|21000017
2116,Guard,2,200,21000016|21000010|21000007|21000009|21000005|21000014
2117,Guard,2,200,21000017|21000016|21000013|21000009|21000004|21000003
2118,Guard,2,200,21000005|21000017|21000015|21000008|21000007|21000012
2119,Guard,2,200,21000009|21000008|21000016|21000007|21000015|21000017
2120,Guard,2,200,21000003|21000012|21000009|21000016|21000007|21000013
2121,Guard,2,200,21000013|21000005|21000012|21000001|21000007|21000003
2122,Guard,2,200,21000017|21000013|21000011|21000016|21000005|21000004
2123,Guard,2,200,21000016|21000004|21000015|21000001|21000010|21000008
2124,Guard,2,200,21000010|21000009|21000016|21000005|21000001|21000017
2125,Guard,2,250,21000012|21000008|21000004|21000017|21000013|21000010
2126,Guard,2,250,21000013|21000009|21000002|21000007|21000012|21000014
2127,Guard,2,250,21000011|21000012|21000015|21000002|21000003|21000004
2128,Guard,2,250,21000015|21000017|21000016|21000009|21000008|21000005
2129,Guard,2,250,21000008|21000017|21000001|21000014|21000003|21000004
2130,Guard,2,250,21000010|21000007|21000016|21000005|21000015|21000009
2131,Guard,2,250,21000007|21000017|21000008|21000014|21000005|21000001
2132,Guard,2,250,21000017|21000003|21000012|21000001|21000004|21000007
2133,Guard,2,250,21000015|21000016|21000007|21000009|21000004|21000012
2134,Guard,2,250,21000005|21000001|21000007|21000011|21000003|21000013
2135,Guard,2,250,21000017|21000015|21000011|21000006|21000010|21000002
2136,Guard,2,250,21000002|21000012|21000017|21000003|21000006|21000011
2137,Guard,2,250,21000012|21000014|21000009|21000011|21000001|21000008
2138,Guard,2,250,21000007|21000015|21000011|21000013|21000010|21000014
2139,Guard,2,250,21000016|21000011|21000007|21000015|21000017|21000005
2140,Guard,2,250,21000008|21000015|21000006|21000010|21000014|21000009
2201,Duke,2,250,22000006|22000009|22000003|22000007|22000001|22000011
2202,Duke,2,250,22000004|22000009|22000002|22000001|22000006|22000005
2203,Duke,2,250,22000002|22000012|22000008|22000009|22000001|22000007
2204,Duke,2,250,22000012|22000011|22000010|22000007|22000006|22000009
2205,Duke,2,250,22000010|22000007|22000012|22000005|22000009|22000003
2206,Duke,2,250,22000009|22000007|22000001|22000012|22000006|22000003
2207,Duke,2,250,22000008|22000012|22000010|22000003|22000007|22000004
3101,Elite,3,250,31000018|31000017|31000014|31000019|31000007|31000003
3102,Elite,3,250,31000012|31000014|31000005|31000015|31000004|31000023
3103,Elite,3,250,31000016|31000018|31000004|31000014|31000012|31000009
3104,Elite,3,250,31000013|31000016|31000023|31000011|31000009|31000014
3105,Elite,3,250,31000023|31000010|31000017|31000005|31000003|31000019
3106,Elite,3,250,31000016|31000014|31000010|31000023|31000002|31000022
3107,Elite,3,250,31000009|31000020|31000016|31000019|31000011|31000001
3108,Elite,3,250,31000011|31000008|31000013|31000016|31000019|31000012
3109,Elite,3,250,31000017|31000019|31000002|31000021|31000010|31000020
3110,Elite,3,250,31000014|31000007|31000019|31000008|31000016|31000021
3111,Elite,3,250,31000014|31000011|31000008|31000003|31000013|31000022
3112,Elite,3,250,31000013|31000020|31000008|31000018|31000009|31000010
3113,Elite,3,250,31000021|31000018|31000016|31000023|31000017|31000015
3114,Elite,3,250,31000019|31000004|31000014|31000003|31000018|31000020
3115,Elite,3,250,31000003|31000002|31000015|31000004|31000005|31000020
3116,Elite,3,250,31000021|31000022|31000011|31000017|31000023|31000002
3117,Elite,3,250,31000012|31000011|31000015|31000014|31000004|31000016
3118,Elite,3,250,31000023|31000013|31000017|31000002|31000008|31000014
3119,Elite,3,250,31000018|31000009|31000007|31000008|31000020|31000019
3120,Elite,3,250,31000018|31000012|31000014|31000020|31000010|31000016
3121,Elite,3,250,31000011|31000020|31000017|31000023|31000022|31000005
3122,Elite,3,250,31000020|31000013|31000012|31000001|31000021|31000023
3123,Elite,3,250,31000012|31000014|31000023|31000020|31000013|31000002
3124,Elite,3,250,31000005|31000007|31000022|31000002|31000008|31000018
3125,Elite,3,250,31000011|31000022|31000020|31000007|31000019|31000015
3126,Elite,3,250,31000007|31000020|31000012|31000008|31000003|31000002
3127,Elite,3,250,31000017|31000002|31000014|31000013|31000021|31000001
3128,Elite,3,250,31000011|31000023|31000016|31000022|31000008|31000020
3129,Elite,3,250,31000019|31000003|31000007|31000023|31000021|31000002
3130,Elite,3,250,31000003|31000016|31000008|31000009|31000014|31000019
3131,Elite,3,250,31000018|31000014|31000022|31000020|31000004|31000007
3132,Elite,3,250,31000015|31000022|31000003|31000009|31000012|31000008
3133,Elite,3,250,31000015|31000001|31000008|31000014|31000005|31000006
3134,Elite,3,250,31000021|31000012|31000002|31000010|31000016|31000013
3135,Elite,3,250,31000023|31000001|31000002|31000022|31000021|31000006
3136,Elite,3,250,31000008|31000013|31000017|31000023|31000010|31000014
3137,Elite,3,250,31000016|31000002|31000019|31000015|31000008|31000010
3138,Elite,3,250,31000017|31000004|31000023|31000014|31000009|31000006
3139,Elite,3,250,31000003|31000019|31000008|31000002|31000009|31000014
3140,Elite,3,250,31000021|31000023|31000001|31000017|31000019|31000011
3141,Elite,3,250,31000018|31000007|31000008|31000011|31000005|31000004
3142,Elite,3,250,31000001|31000002|31000008|31000012|31000007|31000014
3143,Elite,3,250,31000019|31000023|31000002|31000015|31000013|31000004
3144,Elite,3,250,31000015|31000016|31000012|31000006|31000021|31000003
3145,Elite,3,250,31000010|31000023|31000011|31000002|31000006|31000020
3146,Elite,3,250,31000012|31000010|31000020|31000009|31000023|31000005
3147,Elite,3,250,31000005|31000004|31000006|31000020|31000008|31000022
3148,Elite,3,250,31000006|31000020|31000011|31000013|31000021|31000019
3149,Elite,3,250,31000015|31000001|31000014|31000020|31000011|31000004
3150,Elite,3,250,31000005|31000009|31000020|31000006|31000023|31000010
3201,Juggernaut,3,300,32000006|32000009|32000007|32000001|32000003|32000008
