cfg_id,name,icon_path,job_need,armor_part,level,main_attr_str,secondary_attr,job_limit_base_attr,sell_price
1171,Voidbreaker Sword,1125.png,0,1,350,2:3:64700|2:4:67680,880,,100
1172,Sword of Finality,1126.png,0,1,355,2:3:66404|2:4:69327,890,,100
1173,Sword of Redemption,1127.png,0,1,360,2:3:68108|2:4:70974,900,,100
1174,Primordial Sword,1128.png,0,1,365,2:3:69812|2:4:72621,910,,100
1175,Demonbane Sword,1129.png,0,1,370,2:3:71516|2:4:74268,920,,100
1176,Primordial Sword,1130.png,0,1,375,2:3:73220|2:4:75915,930,,100
1177,Infinite Sword,1131.png,0,1,380,2:3:74924|2:4:77562,940,,100
1178,Demon King Sword,1120.png,0,1,385,2:3:76628|2:4:79209,950,,100
1179,Prayer Sword,1121.png,0,1,390,2:3:78332|2:4:80856,960,,100
1180,Judgment Sword,1122.png,0,1,395,2:3:80036|2:4:82503,970,,100
1181,Doom Sword,1123.png,0,1,400,2:3:81740|2:4:84150,980,,100
1182,Glowing Sword,1124.png,0,1,405,2:3:83444|2:4:85797,990,,100
1183,Origin Sword,1125.png,0,1,410,2:3:85148|2:4:87444,1000,,100
1184,Holyfeather Sword,1126.png,0,1,415,2:3:86852|2:4:89091,1010,,100
1185,Battlesoul Sword,1127.png,0,1,420,2:3:88556|2:4:90738,1020,,100
1186,Titan Sword,1128.png,0,1,425,2:3:90260|2:4:92385,1030,,100
1187,Seraph Sword,1129.png,0,1,430,2:3:91964|2:4:94032,1040,,100
1188,Bizarre Sword,1130.png,0,1,435,2:3:93668|2:4:95679,1050,,100
1189,Skydragon Sword,1131.png,0,1,440,2:3:95372|2:4:97326,1060,,100
1190,Evernight Sword,1120.png,0,1,445,2:3:97076|2:4:98973,1070,,100
1191,Obliteration Sword,1121.png,0,1,450,2:3:98780|2:4:100620,1080,,100
1192,Astralight Sword,1122.png,0,1,455,2:3:100484|2:4:102267,1090,,100
1193,Revelation Sword,1123.png,0,1,460,2:3:102188|2:4:103914,1100,,100
1194,Holysoul Sword,1124.png,0,1,465,2:3:103892|2:4:105561,1110,,100
1195,Perishing Sword,1125.png,0,1,470,2:3:105596|2:4:107208,1120,,100
1196,Skycrack Sword,1126.png,0,1,475,2:3:107300|2:4:108855,1130,,100
1197,Frostbane Sword,1127.png,0,1,480,2:3:109004|2:4:110502,1140,,100
1198,Daybreak Sword,1128.png,0,1,485,2:3:110708|2:4:112149,1150,,100
1199,Miracle Sword,1129.png,0,1,490,2:3:112412|2:4:113796,1160,,100
3001,Cloth Cap,3001.png,0,2,1,2:7:3,4,,100
3002,Blossoms,3002.png,0,2,5,2:7:13,10,,100
3003,Thick Cap,3003.png,0,2,10,2:7:33,20,,100
3004,Light Hood,3004.png,0,2,15,2:7:69,34,,100
3005,Studded Cap,3005.png,0,2,20,2:7:120,50,,100
3006,Headguard,3006.png,0,2,25,2:7:187,64,,100
3007,Double Mail,3007.png,0,2,30,2:7:269,80,,100
3008,Banded Cap,3008.png,0,2,35,2:7:357,94,,100
3009,Sunblaze Cap,3009.png,0,2,40,2:7:459,110,,100
3010,Springrain,3010.png,0,2,45,2:7:586,124,,100
3011,Babaric Iron,3011.png,0,2,50,2:7:730,140,,100
3012,HolyLeather,3012.png,0,2,55,2:7:895,160,,100
3013,Winged Cap,3013.png,0,2,60,2:7:1078,180,,100
3014,Abyss Cap,3014.png,0,2,65,2:7:1277,200,,100
3015,Poisonbinder,3015.png,0,2,70,2:7:1492,220,,100
3016,Shodowfang,3016.png,0,2,75,2:7:1722,240,,100
3017,Seaman Cap,3017.png,0,2,80,2:7:1973,260,,100
3018,Molten Cap,3018.png,0,2,85,2:7:2244,280,,100
3019,Wildstalker,3019.png,0,2,90,2:7:2532,300,,100
3020,Killer Cap,3020.png,0,2,95,2:7:2836,324,,100
3021,Divine Cap,3021.png,0,2,100,2:7:3126,350,,100
3022,Irondragon,3022.png,0,2,105,2:7:3409,374,,100
3023,Liberty Cap,3023.png,0,2,110,2:7:3770,400,,100
3024,Samurai Mask,3024.png,0,2,115,2:7:4120,410,,100
3025,Evil Dragon,3025.png,0,2,120,2:7:4513,420,,100
3026,Seperation,3026.png,0,2,125,2:7:4890,430,,100
3027,Fervent Cap,3027.png,0,2,130,2:7:5312,440,,100
3028,Outrider,3028.png,0,2,135,2:7:5714,450,,100
3029,Dragonflayer,3029.png,0,2,140,2:7:6163,460,,100
3030,Vengence,3030.png,0,2,145,2:7:6587,470,,100
3031,Sparta Hero,3031.png,0,2,150,2:7:7059,480,,100
3032,Empyreal Helmet,3020.png,0,2,155,2:7:7559,490,,100
3033,Starlight Helmet,3021.png,0,2,160,2:7:8059,500,,100
3034,Glorious Helmet,3022.png,0,2,165,2:7:8559,510,,100
3035,Eternal Helmet,3023.png,0,2,170,2:7:9059,520,,100
3036,Rift Helmet,3024.png,0,2,175,2:7:9559,530,,100
3037,Infernal Helmet,3025.png,0,2,180,2:7:10059,540,,100
3038,Heaven Helmet,3026.png,0,2,185,2:7:10559,550,,100
3039,Supreme Helmet,3027.png,0,2,190,2:7:11059,560,,100
3040,Hades Helmet,3028.png,0,2,195,2:7:11559,570,,100
3041,Immortal Helmet,3029.png,0,2,200,2:7:12059,580,,100
3042,Emperor's Helmet,3030.png,0,2,205,2:7:12559,590,,100
3043,Celestial Helmet,3031.png,0,2,210,2:7:13059,600,,100
3044,Lightforged helmet,3027.png,0,2,215,2:7:13559,610,,100
3045,Storm helmet,3021.png,0,2,220,2:7:14059,620,,100
3046,Faith Helmet,3024.png,0,2,225,2:7:14859,630,,100
3047,Oracle Helmet,3025.png,0,2,230,2:7:16059,640,,100
3048,Orison Helmet,3026.png,0,2,235,2:7:17259,650,,100
3049,Pantheon Helmet,3027.png,0,2,240,2:7:18459,660,,100
3050,Deicide Helmet,3028.png,0,2,245,2:7:19659,670,,100
3051,Genesis Helmet,3029.png,0,2,250,2:7:20859,680,,100
3052,Moonlit Helmet,3030.png,0,2,255,2:7:22059,690,,100
3053,Sunlit Helmet,3031.png,0,2,260,2:7:23259,700,,100
3054,Thunder Helmet,3020.png,0,2,265,2:7:24459,710,,100
3055,Supreme Helmet,3021.png,0,2,270,2:7:25659,720,,100
3056,Infinite Helmet,3022.png,0,2,275,2:7:26859,730,,100
3057,Cycle Helmet,3023.png,0,2,280,2:7:28059,740,,100
3058,Evolving Helmet,3024.png,0,2,285,2:7:29259,750,,100
3059,Transcending Helmet,3025.png,0,2,290,2:7:30459,760,,100
3060,Galactic Helmet,3026.png,0,2,295,2:7:31659,770,,100
3061,Cosmic Helmet,3027.png,0,2,300,2:7:32859,780,,100
3062,Helmet of Destruction,3028.png,0,2,305,2:7:34059,790,,100
3063,Helmet of Hope,3029.png,0,2,310,2:7:35259,800,,100
3064,Holy Helmet,3030.png,0,2,315,2:7:36459,810,,100
3065,Divinity Helmet,3031.png,0,2,320,2:7:37659,820,,100
3066,Shadow Helmet,3020.png,0,2,325,2:7:38859,830,,100
3067,Void Helmet,3021.png,0,2,330,2:7:40059,840,,100
3068,Origin Helmet,3022.png,0,2,335,2:7:41259,850,,100
3069,Sacred Flame Helmet,3023.png,0,2,340,2:7:42459,860,,100
3070,Luminous Helmet,3024.png,0,2,345,2:7:43659,870,,100
3071,Voidbreaker Helmet,3025.png,0,2,350,2:7:44859,880,,100
3072,Helmet of Finality,3026.png,0,2,355,2:7:46059,890,,100
3073,Helmet of Redemption,3027.png,0,2,360,2:7:47259,900,,100
3074,Primordial Helm,3028.png,0,2,365,2:7:48459,910,,100
3075,Demonbane Helm,3029.png,0,2,370,2:7:49659,920,,100
3076,Primordial Helmet,3030.png,0,2,375,2:7:50859,930,,100
3077,Infinite Helmet,3031.png,0,2,380,2:7:52059,940,,100
3078,Demon King Helmet,3020.png,0,2,385,2:7:53259,950,,100
3079,Prayer Helmet,3021.png,0,2,390,2:7:54459,960,,100
3080,Judgment Helmet,3022.png,0,2,395,2:7:55659,970,,100
3081,Doom Helmet,3023.png,0,2,400,2:7:56859,980,,100
3082,Glittering Bracelet,3024.png,0,2,405,2:7:58059,990,,100
3083,Origin Helmet,3025.png,0,2,410,2:7:59259,1000,,100
3084,Holyfeather Helmet,3026.png,0,2,415,2:7:60459,1010,,100
3085,Battlesoul Helmet,3027.png,0,2,420,2:7:61659,1020,,100
3086,Titan Helmet,3028.png,0,2,425,2:7:62859,1030,,100
3087,Seraph Helmet,3029.png,0,2,430,2:7:64059,1040,,100
3088,Bizarre Helmet,3030.png,0,2,435,2:7:65259,1050,,100
3089,Skydragon Helmet,3031.png,0,2,440,2:7:66459,1060,,100
3090,Evernight Helmet,3020.png,0,2,445,2:7:67659,1070,,100
3091,Obliteration Helmet,3021.png,0,2,450,2:7:68859,1080,,100
3092,Astralight Helmet,3022.png,0,2,455,2:7:70059,1090,,100
3093,Revelation Helmet,3023.png,0,2,460,2:7:71259,1100,,100
3094,Holysoul Helmet,3024.png,0,2,465,2:7:72459,1110,,100
3095,Perishing Helmet,3025.png,0,2,470,2:7:73659,1120,,100
3096,Skycrack Helmet,3026.png,0,2,475,2:7:74859,1130,,100
3097,Frostbane Helmet,3027.png,0,2,480,2:7:76059,1140,,100
3098,Daybreak Helmet,3028.png,0,2,485,2:7:77259,1150,,100
3099,Miracle Helmet,3029.png,0,2,490,2:7:78459,1160,,100
5001,Recruit,5001.png,0,4,1,2:5:3,4,,100
5002,Chaine Armor,5002.png,0,4,5,2:5:6,10,,100
5003,Hard Armor,5003.png,0,4,10,2:5:16,20,,100
5004,Guard Armor,5004.png,0,4,15,2:5:36,34,,100
5005,Riff Armor,5005.png,0,4,20,2:5:67,50,,100
5006,Magma Armor,5006.png,0,4,25,2:5:110,64,,100
5007,Droplet,5007.png,0,4,30,2:5:164,80,,100
5008,Brutish,5008.png,0,4,35,2:5:229,94,,100
5009,Thorium,5009.png,0,4,40,2:5:312,110,,100
5010,Archon,5010.png,0,4,45,2:5:418,124,,100
5011,Honor Armor,5011.png,0,4,50,2:5:543,140,,100
5012,Fortune,5012.png,0,4,55,2:5:688,160,,100
5013,Runes,5013.png,0,4,60,2:5:859,180,,100
5014,Justice,5014.png,0,4,65,2:5:1053,200,,100
5015,Space time,5015.png,0,4,70,2:5:1268,220,,100
5016,Embrodium,5016.png,0,4,75,2:5:1508,240,,100
5017,Bonesnap,5017.png,0,4,80,2:5:1777,260,,100
5018,Terror Armor,5018.png,0,4,85,2:5:2072,280,,100
5019,Lost Armor,5019.png,0,4,90,2:5:2391,300,,100
5020,Elementium,5020.png,0,4,95,2:5:2734,324,,100
5021,Bloodsoake,5021.png,0,4,100,2:5:3038,350,,100
5022,Chief Armor,5022.png,0,4,105,2:5:3432,374,,100
5023,Frost Armor,5023.png,0,4,110,2:5:3853,400,,100
5024,Flame Armor,5024.png,0,4,115,2:5:4299,410,,100
5025,Flame Warden,5025.png,0,4,120,2:5:4773,420,,100
5026,Twist Armor,5026.png,0,4,125,2:5:5272,430,,100
5027,Hyaline,5027.png,0,4,130,2:5:5796,440,,100
5028,Earth Warder,5028.png,0,4,135,2:5:6344,450,,100
5029,Stalker,5029.png,0,4,140,2:5:6916,460,,100
5030,Gravity,5030.png,0,4,145,2:5:7510,470,,100
5031,Abyss Demon,5031.png,0,4,150,2:5:8126,480,,100
5032,Empyreal Armor,5020.png,0,4,155,2:5:8676,490,,100
5033,Starlight Armor,5021.png,0,4,160,2:5:9226,500,,100
5034,Glorious Armor,5022.png,0,4,165,2:5:9776,510,,100
5035,Eternal Armor,5023.png,0,4,170,2:5:10326,520,,100
5036,Rift Armor,5024.png,0,4,175,2:5:10876,530,,100
5037,Infernal Armor,5025.png,0,4,180,2:5:11426,540,,100
5038,Heaven Armor,5026.png,0,4,185,2:5:11976,550,,100
5039,Supreme Armor,5027.png,0,4,190,2:5:12526,560,,100
5040,Hades Armor,5028.png,0,4,195,2:5:13076,570,,100
5041,Immortal Armor,5029.png,0,4,200,2:5:13626,580,,100
5042,Emperor's Armor,5030.png,0,4,205,2:5:14176,590,,100
5043,Celestial Armor,5031.png,0,4,210,2:5:14726,600,,100
5044,Lightforged Armor,5027.png,0,4,215,2:5:15276,610,,100
5045,Storm Armor,5021.png,0,4,220,2:5:15826,620,,100
5046,Faith Armor,5022.png,0,4,225,2:5:16576,630,,100
5047,Oracle Armor,5023.png,0,4,230,2:5:17926,640,,100
5048,Orison Armor,5026.png,0,4,235,2:5:23420,650,,100
5049,Pantheon Armor,5027.png,0,4,240,2:5:25022,660,,100
5050,Deicide Armor,5028.png,0,4,245,2:5:26624,670,,100
5051,Genesis Armor,5029.png,0,4,250,2:5:28226,680,,100
5052,Moonlit Armor,5030.png,0,4,255,2:5:29828,690,,100
5053,Sunlit Armor,5031.png,0,4,260,2:5:31430,700,,100
5054,Thunder Armor,5020.png,0,4,265,2:5:33032,710,,100
5055,Supreme Armor,5021.png,0,4,270,2:5:34634,720,,100
5056,Infinite Armor,5022.png,0,4,275,2:5:36236,730,,100
5057,Cycle Armor,5023.png,0,4,280,2:5:37838,740,,100
5058,Evolving Armor,5024.png,0,4,285,2:5:39440,750,,100
5059,Transcending Armor,5025.png,0,4,290,2:5:41042,760,,100
5060,Galactic Armor,5026.png,0,4,295,2:5:42644,770,,100
5061,Cosmic Armor,5027.png,0,4,300,2:5:44246,780,,100
5062,Armor of Destruction,5028.png,0,4,305,2:5:45848,790,,100
5063,Armor of Hope,5029.png,0,4,310,2:5:47450,800,,100
5064,Holy Armor,5030.png,0,4,315,2:5:49052,810,,100
5065,Divinity Armor,5031.png,0,4,320,2:5:50654,820,,100
5066,Shadow Armor,5020.png,0,4,325,2:5:52256,830,,100
5067,Void Armor,5021.png,0,4,330,2:5:53858,840,,100
5068,Origin Armor,5022.png,0,4,335,2:5:55460,850,,100
5069,Sacred Flame Armor,5023.png,0,4,340,2:5:57062,860,,100
5070,Luminous Armor,5024.png,0,4,345,2:5:58664,870,,100
5071,Voidbreaker Armor,5025.png,0,4,350,2:5:60266,880,,100
5072,Armor of Finality,5026.png,0,4,355,2:5:61868,890,,100
5073,Armor of Redemption,5027.png,0,4,360,2:5:63470,900,,100
5074,Primordial Armor,5028.png,0,4,365,2:5:65072,910,,100
5075,Demonbane Armor,5029.png,0,4,370,2:5:66674,920,,100
5076,Primordial Armor,5030.png,0,4,375,2:5:68276,930,,100
5077,Infinite Armor,5031.png,0,4,380,2:5:69878,940,,100
5078,Demon King Armor,5020.png,0,4,385,2:5:71480,950,,100
5079,Prayer Armor,5021.png,0,4,390,2:5:73082,960,,100
5080,Judgment Armor,5022.png,0,4,395,2:5:74684,970,,100
5081,Doom Armor,5023.png,0,4,400,2:5:76286,980,,100
5082,Glowing Armor,5024.png,0,4,405,2:5:77888,990,,100
5083,Origin Armor,5025.png,0,4,410,2:5:79490,1000,,100
5084,Holyfeather Armor,5026.png,0,4,415,2:5:81092,1010,,100
5085,Battlesoul Armor,5027.png,0,4,420,2:5:82694,1020,,100
5086,Titan Armor,5028.png,0,4,425,2:5:84296,1030,,100
5087,Seraph Armor,5029.png,0,4,430,2:5:85898,1040,,100
5088,Bizarre Armor,5030.png,0,4,435,2:5:87500,1050,,100
5089,Skydragon Armor,5031.png,0,4,440,2:5:89102,1060,,100
5090,Evernight Armor,5020.png,0,4,445,2:5:90704,1070,,100
5091,Obliteration Armor,5021.png,0,4,450,2:5:92306,1080,,100
5092,Astralight Armor,5022.png,0,4,455,2:5:93908,1090,,100
5093,Revelation Armor,5023.png,0,4,460,2:5:95510,1100,,100
5094,Holysoul Armor,5024.png,0,4,465,2:5:97112,1110,,100
5095,Perishing Armor,5025.png,0,4,470,2:5:98714,1120,,100
5096,Skycrack Armor,5026.png,0,4,475,2:5:100316,1130,,100
5097,Frostbane Armor,5027.png,0,4,480,2:5:101918,1140,,100
5098,Daybreak Armor,5028.png,0,4,485,2:5:103520,1150,,100
5099,Miracle Armor,5029.png,0,4,490,2:5:105122,1160,,100
6001,Flax Belt,6001.png,0,8,1,2:1:20,4,,100
6002,Hide Belt,6002.png,0,8,5,2:1:97,10,,100
6003,Sturdy Belt,6003.png,0,8,10,2:1:392,20,,100
6004,Latched Belt,6004.png,0,8,15,2:1:850,34,,100
6005,Warrior Belt,6005.png,0,8,20,2:1:1444,50,,100
6006,Vanguard,6006.png,0,8,25,2:1:2154,64,,100
6007,Quiet Belt,6007.png,0,8,30,2:1:2958,80,,100
6008,Gladiator,6008.png,0,8,35,2:1:3822,94,,100
6009,Ghostflicker,6009.png,0,8,40,2:1:4813,110,,100
6010,Salvation,6010.png,0,8,45,2:1:6019,124,,100
6011,Life Belt,6011.png,0,8,50,2:1:7330,140,,100
6012,Killer Belt,6012.png,0,8,55,2:1:8736,160,,100
6013,Vermillion,6013.png,0,8,60,2:1:10229,180,,100
6014,Dominion,6014.png,0,8,65,2:1:11830,200,,100
6015,Deathdealer,6015.png,0,8,70,2:1:13536,220,,100
6016,Forgeblade,6016.png,0,8,75,2:1:15314,240,,100
6017,Wind Dancer,6017.png,0,8,80,2:1:17186,260,,100
6018,Expulsion,6018.png,0,8,85,2:1:19119,280,,100
6019,Mortbreath,6019.png,0,8,90,2:1:21082,300,,100
6020,Annihilation,6020.png,0,8,95,2:1:23040,324,,100
6021,Crimson Belt,6021.png,0,8,100,2:1:24480,350,,100
6022,Obsidian,6022.png,0,8,105,2:1:26288,374,,100
6023,Thunder Belt,6023.png,0,8,110,2:1:28487,400,,100
6024,Bloodmist,6024.png,0,8,115,2:1:30720,410,,100
6025,Victim Belt,6025.png,0,8,120,2:1:32863,420,,100
6026,Holy Belt,6026.png,0,8,125,2:1:35090,430,,100
6027,Jazeraint,6027.png,0,8,130,2:1:37335,440,,100
6028,Banish Belt,6028.png,0,8,135,2:1:39648,450,,100
6029,Dark Belt,6029.png,0,8,140,2:1:41965,460,,100
6030,Blooded Belt,6030.png,0,8,145,2:1:44172,470,,100
6031,Undead Belt,6031.png,0,8,150,2:1:46428,480,,100
6032,Empyreal Belt,6020.png,0,8,155,2:1:48678,490,,100
6033,Starlight Belt,6021.png,0,8,160,2:1:50928,500,,100
6034,Glorious Belt,6022.png,0,8,165,2:1:53178,510,,100
6035,Eternal Belt,6023.png,0,8,170,2:1:55428,520,,100
6036,Rift Belt,6024.png,0,8,175,2:1:57678,530,,100
6037,Infernal Belt,6025.png,0,8,180,2:1:59928,540,,100
6038,Heaven Belt,6026.png,0,8,185,2:1:62178,550,,100
6039,Supreme Belt,6027.png,0,8,190,2:1:64428,560,,100
6040,Hades Belt,6028.png,0,8,195,2:1:66678,570,,100
6041,Immortal Belt,6029.png,0,8,200,2:1:68928,580,,100
6042,Imperial Belt,6030.png,0,8,205,2:1:71178,590,,100
6043,Celestial Belt,6031.png,0,8,210,2:1:73428,600,,100
6044,Lightforged Belt,6027.png,0,8,215,2:1:75678,610,,100
6045,Storm Belt,6021.png,0,8,220,2:1:77928,620,,100
6046,Faith Belt,6024.png,0,8,225,2:1:82178,630,,100
6047,Oracle Belt,6025.png,0,8,230,2:1:90428,640,,100
6048,Orison Belt,6026.png,0,8,235,2:1:98678,650,,100
6049,Pantheon Belt,6027.png,0,8,240,2:1:106928,660,,100
6050,Deicide Belt,6028.png,0,8,245,2:1:115178,670,,100
6051,Genesis Belt,6029.png,0,8,250,2:1:123428,680,,100
6052,Moonlit Belt,6030.png,0,8,255,2:1:131678,690,,100
6053,Sunlit Belt,6031.png,0,8,260,2:1:139928,700,,100
6054,Thunder Belt,6020.png,0,8,265,2:1:148178,710,,100
6055,Supreme Belt,6021.png,0,8,270,2:1:156428,720,,100
6056,Infinite Belt,6022.png,0,8,275,2:1:164678,730,,100
6057,Cycle Belt,6023.png,0,8,280,2:1:172928,740,,100
6058,Evolving Belt,6024.png,0,8,285,2:1:181178,750,,100
6059,Transcending Belt,6025.png,0,8,290,2:1:189428,760,,100
6060,Galactic Belt,6026.png,0,8,295,2:1:197678,770,,100
6061,Cosmic Belt,6027.png,0,8,300,2:1:205928,780,,100
6062,Belt of Destruction,6028.png,0,8,305,2:1:214178,790,,100
6063,Belt of Hope,6029.png,0,8,310,2:1:222428,800,,100
6064,Holy Belt,6030.png,0,8,315,2:1:230678,810,,100
6065,Divinity Belt,6031.png,0,8,320,2:1:238928,820,,100
6066,Shadow Belt,6020.png,0,8,325,2:1:247178,830,,100
6067,Void Belt,6021.png,0,8,330,2:1:255428,840,,100
6068,Origin Belt,6022.png,0,8,335,2:1:263678,850,,100
6069,Sacred Flame Belt,6023.png,0,8,340,2:1:271928,860,,100
6070,Luminous Belt,6024.png,0,8,345,2:1:280178,870,,100
6071,Voidbreaker Belt,6025.png,0,8,350,2:1:288428,880,,100
6072,Belt of Finality,6026.png,0,8,355,2:1:296678,890,,100
6073,Belt of Redemption,6027.png,0,8,360,2:1:304928,900,,100
6074,Primordial Belt,6028.png,0,8,365,2:1:313178,910,,100
6075,Demonbane Belt,6029.png,0,8,370,2:1:321428,920,,100
6076,Primordial Belt,6030.png,0,8,375,2:1:329678,930,,100
6077,Infinite Belt,6031.png,0,8,380,2:1:337928,940,,100
6078,Demon King Belt,6020.png,0,8,385,2:1:346178,950,,100
6079,Prayer Belt,6021.png,0,8,390,2:1:354428,960,,100
6080,Judgment Belt,6022.png,0,8,395,2:1:362678,970,,100
6081,Doom Belt,6023.png,0,8,400,2:1:370928,980,,100
6082,Glittering Belt,6024.png,0,8,405,2:1:379178,990,,100
6083,Origin Belt,6025.png,0,8,410,2:1:387428,1000,,100
6084,Holyfeather Belt,6026.png,0,8,415,2:1:395678,1010,,100
6085,Battlesoul Belt,6027.png,0,8,420,2:1:403928,1020,,100
6086,Titan Belt,6028.png,0,8,425,2:1:412178,1030,,100
6087,Seraph Belt,6029.png,0,8,430,2:1:420428,1040,,100
6088,Bizarre Belt,6030.png,0,8,435,2:1:428678,1050,,100
6089,Skydragon Belt,6031.png,0,8,440,2:1:436928,1060,,100
6090,Evernight Belt,6020.png,0,8,445,2:1:445178,1070,,100
6091,Obliteration Belt,6021.png,0,8,450,2:1:453428,1080,,100
6092,Astralight Belt,6022.png,0,8,455,2:1:461678,1090,,100
