level,hero_exp_need,hero_core_need,strength,agility,intelligence,stamina
68,17600,0,1540,1540,1540,1540
69,18600,0,1570,1570,1570,1570
70,19600,0,1600,1600,1600,1600
71,21600,0,1630,1630,1630,1630
72,23600,0,1660,1660,1660,1660
73,25600,0,1690,1690,1690,1690
74,27600,0,1720,1720,1720,1720
75,29600,0,1750,1750,1750,1750
76,31600,0,1780,1780,1780,1780
77,33600,0,1810,1810,1810,1810
78,35600,0,1840,1840,1840,1840
79,37600,0,1870,1870,1870,1870
80,39600,1000,2170,2170,2170,2170
81,41600,0,2210,2210,2210,2210
82,43600,0,2250,2250,2250,2250
83,45600,0,2290,2290,2290,2290
84,47600,0,2330,2330,2330,2330
85,49600,0,2370,2370,2370,2370
86,51600,0,2410,2410,2410,2410
87,53600,0,2450,2450,2450,2450
88,55600,0,2490,2490,2490,2490
89,57600,0,2530,2530,2530,2530
90,59600,0,2570,2570,2570,2570
91,61600,0,2610,2610,2610,2610
92,63600,0,2650,2650,2650,2650
93,65600,0,2690,2690,2690,2690
94,67600,0,2730,2730,2730,2730
95,69600,0,2770,2770,2770,2770
96,71600,0,2810,2810,2810,2810
97,73600,0,2850,2850,2850,2850
98,75600,0,2890,2890,2890,2890
99,77600,0,2930,2930,2930,2930
100,79600,2000,3330,3330,3330,3330
101,81600,0,3380,3380,3380,3380
102,83600,0,3430,3430,3430,3430
103,85600,0,3480,3480,3480,3480
104,87600,0,3530,3530,3530,3530
105,89600,0,3580,3580,3580,3580
106,91600,0,3630,3630,3630,3630
107,93600,0,3680,3680,3680,3680
108,95600,0,3730,3730,3730,3730
109,97600,0,3780,3780,3780,3780
110,99600,0,3830,3830,3830,3830
111,101600,0,3880,3880,3880,3880
112,103600,0,3930,3930,3930,3930
113,105600,0,3980,3980,3980,3980
114,107600,0,4030,4030,4030,4030
115,109600,0,4080,4080,4080,4080
116,111600,0,4130,4130,4130,4130
117,113600,0,4180,4180,4180,4180
118,115600,0,4230,4230,4230,4230
119,117600,0,4280,4280,4280,4280
120,119600,4000,4780,4780,4780,4780
121,121600,0,4840,4840,4840,4840
122,123600,0,4900,4900,4900,4900
123,125600,0,4960,4960,4960,4960
124,127600,0,5020,5020,5020,5020
125,129600,0,5080,5080,5080,5080
126,131600,0,5140,5140,5140,5140
127,133600,0,5200,5200,5200,5200
128,135600,0,5260,5260,5260,5260
129,137600,0,5320,5320,5320,5320
130,139600,0,5380,5380,5380,5380
131,141600,0,5440,5440,5440,5440
132,143600,0,5500,5500,5500,5500
133,145600,0,5560,5560,5560,5560
134,147600,0,5620,5620,5620,5620
135,149600,0,5680,5680,5680,5680
136,151600,0,5740,5740,5740,5740
137,153600,0,5800,5800,5800,5800
138,155600,0,5860,5860,5860,5860
139,157600,0,5920,5920,5920,5920
140,159600,8000,6520,6520,6520,6520
141,161600,0,6590,6590,6590,6590
142,163600,0,6660,6660,6660,6660
143,165600,0,6730,6730,6730,6730
144,167600,0,6800,6800,6800,6800
145,169600,0,6870,6870,6870,6870
146,171600,0,6940,6940,6940,6940
147,173600,0,7010,7010,7010,7010
148,175600,0,7080,7080,7080,7080
149,177600,0,7150,7150,7150,7150
150,179600,0,7220,7220,7220,7220
151,181600,0,7290,7290,7290,7290
152,183600,0,7360,7360,7360,7360
153,185600,0,7430,7430,7430,7430
154,187600,0,7500,7500,7500,7500
155,189600,0,7570,7570,7570,7570
156,191600,0,7640,7640,7640,7640
157,193600,0,7710,7710,7710,7710
158,195600,0,7780,7780,7780,7780
159,197600,0,7850,7850,7850,7850
160,199600,16000,8550,8550,8550,8550
161,201600,0,8630,8630,8630,8630
162,203600,0,8710,8710,8710,8710
163,205600,0,8790,8790,8790,8790
164,207600,0,8870,8870,8870,8870
165,209600,0,8950,8950,8950,8950
166,211600,0,9030,9030,9030,9030
167,213600,0,9110,9110,9110,9110
168,215600,0,9190,9190,9190,9190
169,217600,0,9270,9270,9270,9270
170,219600,0,9350,9350,9350,9350
171,235600,0,9430,9430,9430,9430
172,251600,0,9510,9510,9510,9510
173,267600,0,9590,9590,9590,9590
174,283600,0,9670,9670,9670,9670
175,299600,0,9750,9750,9750,9750
176,315600,0,9830,9830,9830,9830
177,331600,0,9910,9910,9910,9910
178,347600,0,9990,9990,9990,9990
179,363600,0,10070,10070,10070,10070
180,379600,30000,10870,10870,10870,10870
181,395600,0,10960,10960,10960,10960
182,411600,0,11050,11050,11050,11050
183,427600,0,11140,11140,11140,11140
184,443600,0,11230,11230,11230,11230
185,459600,0,11320,11320,11320,11320
186,475600,0,11410,11410,11410,11410
187,491600,0,11500,11500,11500,11500
188,507600,0,11590,11590,11590,11590
189,523600,0,11680,11680,11680,11680
190,539600,0,11770,11770,11770,11770
191,555600,0,11860,11860,11860,11860
192,571600,0,11950,11950,11950,11950
193,587600,0,12040,12040,12040,12040
194,603600,0,12130,12130,12130,12130
195,619600,0,12220,12220,12220,12220
196,635600,0,12310,12310,12310,12310
197,651600,0,12400,12400,12400,12400
198,667600,0,12490,12490,12490,12490
199,683600,0,12580,12580,12580,12580
200,699600,35000,13480,13480,13480,13480
201,715600,0,13580,13580,13580,13580
202,731600,0,13680,13680,13680,13680
203,747600,0,13780,13780,13780,13780
204,763600,0,13880,13880,13880,13880
205,779600,0,13980,13980,13980,13980
206,795600,0,14080,14080,14080,14080
207,811600,0,14180,14180,14180,14180
208,827600,0,14280,14280,14280,14280
209,843600,0,14380,14380,14380,14380
210,859600,0,14480,14480,14480,14480
211,875600,0,14580,14580,14580,14580
212,891600,0,14680,14680,14680,14680
213,907600,0,14780,14780,14780,14780
214,923600,0,14880,14880,14880,14880
215,939600,0,14980,14980,14980,14980
216,955600,0,15080,15080,15080,15080
217,971600,0,15180,15180,15180,15180
218,987600,0,15280,15280,15280,15280
219,1003600,0,15380,15380,15380,15380
220,1019600,40000,16380,16380,16380,16380
221,1035600,0,16490,16490,16490,16490
222,1051600,0,16600,16600,16600,16600
223,1067600,0,16710,16710,16710,16710
224,1083600,0,16820,16820,16820,16820
225,1099600,0,16930,16930,16930,16930
226,1115600,0,17040,17040,17040,17040
227,1131600,0,17150,17150,17150,17150
228,1147600,0,17260,17260,17260,17260
229,1163600,0,17370,17370,17370,17370
230,1179600,0,17480,17480,17480,17480
231,1195600,0,17590,17590,17590,17590
232,1211600,0,17700,17700,17700,17700
233,1227600,0,17810,17810,17810,17810
234,1243600,0,17920,17920,17920,17920
235,1259600,0,18030,18030,18030,18030
236,1275600,0,18140,18140,18140,18140
237,1291600,0,18250,18250,18250,18250
238,1307600,0,18360,18360,18360,18360
239,1323600,0,18470,18470,18470,18470
240,1339600,50000,19570,19570,19570,19570
241,1355600,0,19690,19690,19690,19690
242,1371600,0,19810,19810,19810,19810
243,1387600,0,19930,19930,19930,19930
244,1403600,0,20050,20050,20050,20050
245,1419600,0,20170,20170,20170,20170
246,1435600,0,20290,20290,20290,20290
247,1451600,0,20410,20410,20410,20410
248,1467600,0,20530,20530,20530,20530
249,1483600,0,20650,20650,20650,20650
250,1499600,0,20770,20770,20770,20770
251,1515600,0,20890,20890,20890,20890
252,1531600,0,21010,21010,21010,21010
253,1547600,0,21130,21130,21130,21130
254,1563600,0,21250,21250,21250,21250
255,1579600,0,21370,21370,21370,21370
256,1595600,0,21490,21490,21490,21490
257,1611600,0,21610,21610,21610,21610
258,1627600,0,21730,21730,21730,21730
259,1643600,0,21850,21850,21850,21850
260,1659600,60000,23050,23050,23050,23050
261,1675600,0,23180,23180,23180,23180
262,1691600,0,23310,23310,23310,23310
263,1707600,0,23440,23440,23440,23440
264,1723600,0,23570,23570,23570,23570
265,1739600,0,23700,23700,23700,23700
266,1755600,0,23830,23830,23830,23830
267,1771600,0,23960,23960,23960,23960
268,1787600,0,24090,24090,24090,24090
269,1803600,0,24220,24220,24220,24220
270,1819600,0,24350,24350,24350,24350
271,1835600,0,24480,24480,24480,24480
272,1851600,0,24610,24610,24610,24610
273,1867600,0,24740,24740,24740,24740
274,1883600,0,24870,24870,24870,24870
275,1899600,0,25000,25000,25000,25000
276,1915600,0,25130,25130,25130,25130
277,1931600,0,25260,25260,25260,25260
278,1947600,0,25390,25390,25390,25390
279,1963600,0,25520,25520,25520,25520
280,1979600,70000,26820,26820,26820,26820
281,1995600,0,26960,26960,26960,26960
282,2011600,0,27100,27100,27100,27100
283,2027600,0,27240,27240,27240,27240
284,2043600,0,27380,27380,27380,27380
285,2059600,0,27520,27520,27520,27520
286,2075600,0,27660,27660,27660,27660
287,2091600,0,27800,27800,27800,27800
288,2107600,0,27940,27940,27940,27940
289,2123600,0,28080,28080,28080,28080
290,2139600,0,28220,28220,28220,28220
291,2155600,0,28360,28360,28360,28360
292,2171600,0,28500,28500,28500,28500
293,2187600,0,28640,28640,28640,28640
294,2203600,0,28780,28780,28780,28780
295,2219600,0,28920,28920,28920,28920
296,2235600,0,29060,29060,29060,29060
297,2251600,0,29200,29200,29200,29200
298,2267600,0,29340,29340,29340,29340
299,2283600,0,29480,29480,29480,29480
300,2299600,80000,30880,30880,30880,30880
301,2315600,0,31030,31030,31030,31030
302,2331600,0,31180,31180,31180,31180
303,2347600,0,31330,31330,31330,31330
304,2363600,0,31480,31480,31480,31480
305,2379600,0,31630,31630,31630,31630
306,2395600,0,31780,31780,31780,31780
307,2411600,0,31930,31930,31930,31930
308,2427600,0,32080,32080,32080,32080
309,2443600,0,32230,32230,32230,32230
310,2459600,0,32380,32380,32380,32380
311,2475600,0,32530,32530,32530,32530
312,2491600,0,32680,32680,32680,32680
313,2507600,0,32830,32830,32830,32830
314,2523600,0,32980,32980,32980,32980
315,2539600,0,33130,33130,33130,33130
316,2555600,0,33280,33280,33280,33280
317,2571600,0,33430,33430,33430,33430
318,2587600,0,33580,33580,33580,33580
319,2603600,0,33730,33730,33730,33730
320,2619600,100000,35230,35230,35230,35230
321,2635600,0,35390,35390,35390,35390
322,2651600,0,35550,35550,35550,35550
323,2667600,0,35710,35710,35710,35710
324,2683600,0,35870,35870,35870,35870
325,2699600,0,36030,36030,36030,36030
326,2715600,0,36190,36190,36190,36190
327,2731600,0,36350,36350,36350,36350
328,2747600,0,36510,36510,36510,36510
329,2763600,0,36670,36670,36670,36670
330,2779600,0,36830,36830,36830,36830
331,2795600,0,36990,36990,36990,36990
332,2811600,0,37150,37150,37150,37150
333,2827600,0,37310,37310,37310,37310
334,2843600,0,37470,37470,37470,37470
335,2859600,0,37630,37630,37630,37630
336,2875600,0,37790,37790,37790,37790
337,2891600,0,37950,37950,37950,37950
338,2907600,0,38110,38110,38110,38110
339,2923600,0,38270,38270,38270,38270
340,2939600,120000,39870,39870,39870,39870
341,2955600,0,40040,40040,40040,40040
342,2971600,0,40210,40210,40210,40210
343,2987600,0,40380,40380,40380,40380
344,3003600,0,40550,40550,40550,40550
345,3019600,0,40720,40720,40720,40720
346,3035600,0,40890,40890,40890,40890
347,3051600,0,41060,41060,41060,41060
348,3067600,0,41230,41230,41230,41230
349,3083600,0,41400,41400,41400,41400
350,3099600,0,41570,41570,41570,41570
351,3115600,0,41740,41740,41740,41740
352,3131600,0,41910,41910,41910,41910
353,3147600,0,42080,42080,42080,42080
354,3163600,0,42250,42250,42250,42250
355,3179600,0,42420,42420,42420,42420
356,3195600,0,42590,42590,42590,42590
357,3211600,0,42760,42760,42760,42760
358,3227600,0,42930,42930,42930,42930
359,3243600,0,43100,43100,43100,43100
360,3259600,140000,44800,44800,44800,44800
361,3275600,0,44980,44980,44980,44980
362,3291600,0,45160,45160,45160,45160
363,3307600,0,45340,45340,45340,45340
364,3323600,0,45520,45520,45520,45520
365,3339600,0,45700,45700,45700,45700
366,3355600,0,45880,45880,45880,45880
367,3371600,0,46060,46060,46060,46060
368,3387600,0,46240,46240,46240,46240
369,3403600,0,46420,46420,46420,46420
370,3419600,0,46600,46600,46600,46600
371,3435600,0,46780,46780,46780,46780
372,3451600,0,46960,46960,46960,46960
373,3467600,0,47140,47140,47140,47140
374,3483600,0,47320,47320,47320,47320
375,3499600,0,47500,47500,47500,47500
376,3515600,0,47680,47680,47680,47680
377,3531600,0,47860,47860,47860,47860
378,3547600,0,48040,48040,48040,48040
379,3563600,0,48220,48220,48220,48220
380,3579600,160000,50020,50020,50020,50020
381,3595600,0,50210,50210,50210,50210
382,3611600,0,50400,50400,50400,50400
383,3627600,0,50590,50590,50590,50590
384,3643600,0,50780,50780,50780,50780
385,3659600,0,50970,50970,50970,50970
386,3675600,0,51160,51160,51160,51160
387,3691600,0,51350,51350,51350,51350
388,3707600,0,51540,51540,51540,51540
389,3723600,0,51730,51730,51730,51730
390,3739600,0,51920,51920,51920,51920
391,3755600,0,52110,52110,52110,52110
392,3771600,0,52300,52300,52300,52300
393,3787600,0,52490,52490,52490,52490
394,3803600,0,52680,52680,52680,52680
395,3819600,0,52870,52870,52870,52870
396,3835600,0,53060,53060,53060,53060
397,3851600,0,53250,53250,53250,53250
398,3867600,0,53440,53440,53440,53440
399,3883600,0,53630,53630,53630,53630
400,3899600,180000,55530,55530,55530,55530
401,3915600,0,55730,55730,55730,55730
402,3931600,0,55930,55930,55930,55930
403,3947600,0,56130,56130,56130,56130
404,3963600,0,56330,56330,56330,56330
405,3979600,0,56530,56530,56530,56530
406,3995600,0,56730,56730,56730,56730
407,4011600,0,56930,56930,56930,56930
408,4027600,0,57130,57130,57130,57130
409,4043600,0,57330,57330,57330,57330
410,4059600,0,57530,57530,57530,57530
411,4075600,0,57730,57730,57730,57730
412,4091600,0,57930,57930,57930,57930
413,4107600,0,58130,58130,58130,58130
414,4123600,0,58330,58330,58330,58330
415,4139600,0,58530,58530,58530,58530
416,4155600,0,58730,58730,58730,58730
417,4171600,0,58930,58930,58930,58930
418,4187600,0,59130,59130,59130,59130
419,4203600,0,59330,59330,59330,59330
420,4219600,200000,61330,61330,61330,61330
