cid,name,attribute_change_value,arrtibute_change_rate,cost
10080,我是通用天赋,2:11:37500|2:1:562500|2:3:28125|2:5:26438|2:18:80,,3000092:2196
10081,我是通用天赋,2:11:37500|2:1:570000|2:3:28500|2:5:26790|2:18:80,3:2:10,3000092:2400
10082,我是通用天赋,2:11:37500|2:1:577500|2:3:28875|2:5:27143|2:18:80,3:2:20,3000092:2850
10083,我是通用天赋,2:11:37500|2:1:585000|2:3:29250|2:5:27495|2:18:80,3:2:30,3000092:3300
10084,我是通用天赋,2:11:37500|2:1:592500|2:3:29625|2:5:27848|2:18:80,3:2:40,3000092:3750
10085,我是通用天赋,2:11:37500|2:1:600000|2:3:30000|2:5:28200|2:18:80,3:2:50,3000092:4200
10086,我是通用天赋,2:11:37500|2:1:607500|2:3:30375|2:5:28553|2:18:80,3:2:60,3000092:4650
10087,我是通用天赋,2:11:37500|2:1:615000|2:3:30750|2:5:28905|2:18:80,3:2:70,3000092:5100
10088,我是通用天赋,2:11:37500|2:1:622500|2:3:31125|2:5:29258|2:18:80,3:2:80,3000092:5550
10089,我是通用天赋,2:11:37500|2:1:630000|2:3:31500|2:5:29610|2:18:80,3:2:90,3000092:6000
10090,我是通用天赋,2:11:37500|2:1:637500|2:3:31875|2:5:29963|2:18:80,3:2:100,3000092:6450
10091,我是通用天赋,2:11:37500|2:1:648750|2:3:32438|2:5:30491|2:18:80,3:2:110,3000092:6900
10092,我是通用天赋,2:11:37500|2:1:660000|2:3:33000|2:5:31020|2:18:80,3:2:120,3000092:7350
10093,我是通用天赋,2:11:37500|2:1:671250|2:3:33563|2:5:31549|2:18:80,3:2:130,3000092:7800
10094,我是通用天赋,2:11:37500|2:1:682500|2:3:34125|2:5:32078|2:18:80,3:2:140,3000092:8250
10095,我是通用天赋,2:11:37500|2:1:693750|2:3:34688|2:5:32606|2:18:80,3:2:150,3000092:8700
10096,我是通用天赋,2:11:37500|2:1:705000|2:3:35250|2:5:33135|2:18:80,3:2:160,3000092:9150
10097,我是通用天赋,2:11:37500|2:1:716250|2:3:35813|2:5:33664|2:18:80,3:2:170,3000092:9600
10098,我是通用天赋,2:11:37500|2:1:727500|2:3:36375|2:5:34193|2:18:80,3:2:180,3000092:10050
10099,我是通用天赋,2:11:37500|2:1:738750|2:3:36938|2:5:34721|2:18:80,3:2:190,3000092:10500
10100,我是通用天赋,2:11:37500|2:1:750000|2:3:37500|2:5:35250|2:18:80,3:2:200,3000092:10950
20000,我是战士天赋,2:6:0|2:1:0|2:3:0|2:5:0,,3000093:3456
20001,我是战士天赋,2:6:390|2:1:3750|2:3:188|2:5:176,,3000093:6
20002,我是战士天赋,2:6:780|2:1:7500|2:3:375|2:5:353,,3000093:6
20003,我是战士天赋,2:6:1170|2:1:11250|2:3:563|2:5:529,,3000093:6
20004,我是战士天赋,2:6:1560|2:1:15000|2:3:750|2:5:705,,3000093:6
20005,我是战士天赋,2:6:1950|2:1:18750|2:3:938|2:5:881,,3000093:6
20006,我是战士天赋,2:6:2340|2:1:22500|2:3:1125|2:5:1058,,3000093:6
20007,我是战士天赋,2:6:2730|2:1:26250|2:3:1313|2:5:1234,,3000093:12
20008,我是战士天赋,2:6:3120|2:1:30000|2:3:1500|2:5:1410,,3000093:12
20009,我是战士天赋,2:6:3510|2:1:33750|2:3:1688|2:5:1586,,3000093:12
20010,我是战士天赋,2:6:3900|2:1:37500|2:3:1875|2:5:1763,,3000093:12
20011,我是战士天赋,2:6:4290|2:1:41250|2:3:2063|2:5:1939,,3000093:12
20012,我是战士天赋,2:6:4680|2:1:45000|2:3:2250|2:5:2115,,3000093:24
20013,我是战士天赋,2:6:5070|2:1:48750|2:3:2438|2:5:2291,,3000093:24
20014,我是战士天赋,2:6:5460|2:1:52500|2:3:2625|2:5:2468,,3000093:24
20015,我是战士天赋,2:6:5850|2:1:56250|2:3:2813|2:5:2644,,3000093:24
20016,我是战士天赋,2:6:6240|2:1:60000|2:3:3000|2:5:2820,,3000093:24
20017,我是战士天赋,2:6:6630|2:1:63750|2:3:3188|2:5:2996,,3000093:42
20018,我是战士天赋,2:6:7020|2:1:67500|2:3:3375|2:5:3173,,3000093:42
20019,我是战士天赋,2:6:7410|2:1:71250|2:3:3563|2:5:3349,,3000093:42
20020,我是战士天赋,2:6:7800|2:1:75000|2:3:3750|2:5:3525,,3000093:42
20021,我是战士天赋,2:6:8424|2:1:81000|2:3:4050|2:5:3807,,3000093:42
20022,我是战士天赋,2:6:9048|2:1:87000|2:3:4350|2:5:4089,,3000093:66
20023,我是战士天赋,2:6:9672|2:1:93000|2:3:4650|2:5:4371,,3000093:66
20024,我是战士天赋,2:6:10296|2:1:99000|2:3:4950|2:5:4653,,3000093:66
20025,我是战士天赋,2:6:10920|2:1:105000|2:3:5250|2:5:4935,,3000093:66
20026,我是战士天赋,2:6:11544|2:1:111000|2:3:5550|2:5:5217,,3000093:66
20027,我是战士天赋,2:6:12168|2:1:117000|2:3:5850|2:5:5499,,3000093:96
20028,我是战士天赋,2:6:12792|2:1:123000|2:3:6150|2:5:5781,,3000093:96
20029,我是战士天赋,2:6:13416|2:1:129000|2:3:6450|2:5:6063,,3000093:102
20030,我是战士天赋,2:6:14040|2:1:135000|2:3:6750|2:5:6345,,3000093:102
20031,我是战士天赋,2:6:14976|2:1:144000|2:3:7200|2:5:6768,,3000093:102
20032,我是战士天赋,2:6:15912|2:1:153000|2:3:7650|2:5:7191,,3000093:132
20033,我是战士天赋,2:6:16848|2:1:162000|2:3:8100|2:5:7614,,3000093:132
20034,我是战士天赋,2:6:17784|2:1:171000|2:3:8550|2:5:8037,,3000093:138
20035,我是战士天赋,2:6:18720|2:1:180000|2:3:9000|2:5:8460,,3000093:138
20036,我是战士天赋,2:6:19656|2:1:189000|2:3:9450|2:5:8883,,3000093:138
20037,我是战士天赋,2:6:20592|2:1:198000|2:3:9900|2:5:9306,,3000093:174
20038,我是战士天赋,2:6:21528|2:1:207000|2:3:10350|2:5:9729,,3000093:174
20039,我是战士天赋,2:6:22464|2:1:216000|2:3:10800|2:5:10152,,3000093:180
20040,我是战士天赋,2:6:23400|2:1:225000|2:3:11250|2:5:10575,,3000093:180
20041,我是战士天赋,2:6:24570|2:1:236250|2:3:11813|2:5:11104,,3000093:180
20042,我是战士天赋,2:6:25740|2:1:247500|2:3:12375|2:5:11633,,3000093:222
20043,我是战士天赋,2:6:26910|2:1:258750|2:3:12938|2:5:12161,,3000093:222
20044,我是战士天赋,2:6:28080|2:1:270000|2:3:13500|2:5:12690,,3000093:228
20045,我是战士天赋,2:6:29250|2:1:281250|2:3:14063|2:5:13219,,3000093:228
20046,我是战士天赋,2:6:30420|2:1:292500|2:3:14625|2:5:13748,,3000093:228
20047,我是战士天赋,2:6:31590|2:1:303750|2:3:15188|2:5:14276,,3000093:276
20048,我是战士天赋,2:6:32760|2:1:315000|2:3:15750|2:5:14805,,3000093:276
20049,我是战士天赋,2:6:33930|2:1:326250|2:3:16313|2:5:15334,,3000093:282
20050,我是战士天赋,2:6:35100|2:1:337500|2:3:16875|2:5:15863,3:1:10|3:2:10,3000093:282
20051,我是战士天赋,2:6:35880|2:1:345000|2:3:17250|2:5:16215,3:1:10|3:2:10,3000093:282
20052,我是战士天赋,2:6:36660|2:1:352500|2:3:17625|2:5:16568,3:1:10|3:2:10,3000093:336
20053,我是战士天赋,2:6:37440|2:1:360000|2:3:18000|2:5:16920,3:1:10|3:2:10,3000093:336
20054,我是战士天赋,2:6:38220|2:1:367500|2:3:18375|2:5:17273,3:1:10|3:2:10,3000093:342
20055,我是战士天赋,2:6:39000|2:1:375000|2:3:18750|2:5:17625,3:1:10|3:2:10,3000093:342
20056,我是战士天赋,2:6:39780|2:1:382500|2:3:19125|2:5:17978,3:1:10|3:2:10,3000093:342
20057,我是战士天赋,2:6:40560|2:1:390000|2:3:19500|2:5:18330,3:1:10|3:2:10,3000093:402
20058,我是战士天赋,2:6:41340|2:1:397500|2:3:19875|2:5:18683,3:1:10|3:2:10,3000093:402
20059,我是战士天赋,2:6:42120|2:1:405000|2:3:20250|2:5:19035,3:1:10|3:2:10,3000093:408
20060,我是战士天赋,2:6:42900|2:1:412500|2:3:20625|2:5:19388,3:1:20|3:2:20,3000093:408
20061,我是战士天赋,2:6:43680|2:1:420000|2:3:21000|2:5:19740,3:1:20|3:2:20,3000093:474
20062,我是战士天赋,2:6:44460|2:1:427500|2:3:21375|2:5:20093,3:1:20|3:2:20,3000093:474
20063,我是战士天赋,2:6:45240|2:1:435000|2:3:21750|2:5:20445,3:1:20|3:2:20,3000093:480
20064,我是战士天赋,2:6:46020|2:1:442500|2:3:22125|2:5:20798,3:1:20|3:2:20,3000093:480
20065,我是战士天赋,2:6:46800|2:1:450000|2:3:22500|2:5:21150,3:1:30|3:2:30,3000093:480
20066,我是战士天赋,2:6:47580|2:1:457500|2:3:22875|2:5:21503,3:1:30|3:2:30,3000093:552
20067,我是战士天赋,2:6:48360|2:1:465000|2:3:23250|2:5:21855,3:1:30|3:2:30,3000093:552
20068,我是战士天赋,2:6:49140|2:1:472500|2:3:23625|2:5:22208,3:1:30|3:2:30,3000093:558
20069,我是战士天赋,2:6:49920|2:1:480000|2:3:24000|2:5:22560,3:1:30|3:2:30,3000093:558
20070,我是战士天赋,2:6:50700|2:1:487500|2:3:24375|2:5:22913,3:1:40|3:2:40,3000093:558
20071,我是战士天赋,2:6:51480|2:1:495000|2:3:24750|2:5:23265,3:1:40|3:2:40,3000093:636
20072,我是战士天赋,2:6:52260|2:1:502500|2:3:25125|2:5:23618,3:1:40|3:2:40,3000093:636
20073,我是战士天赋,2:6:53040|2:1:510000|2:3:25500|2:5:23970,3:1:40|3:2:40,3000093:642
20074,我是战士天赋,2:6:53820|2:1:517500|2:3:25875|2:5:24323,3:1:40|3:2:40,3000093:642
20075,我是战士天赋,2:6:54600|2:1:525000|2:3:26250|2:5:24675,3:1:50|3:2:50,3000093:642
20076,我是战士天赋,2:6:55380|2:1:532500|2:3:26625|2:5:25028,3:1:50|3:2:50,3000093:726
20077,我是战士天赋,2:6:56160|2:1:540000|2:3:27000|2:5:25380,3:1:50|3:2:50,3000093:726
20078,我是战士天赋,2:6:56940|2:1:547500|2:3:27375|2:5:25733,3:1:50|3:2:50,3000093:732
20079,我是战士天赋,2:6:57720|2:1:555000|2:3:27750|2:5:26085,3:1:50|3:2:50,3000093:732
20080,我是战士天赋,2:6:58500|2:1:562500|2:3:28125|2:5:26438,3:1:60|3:2:60,3000093:732
20081,我是战士天赋,2:6:59280|2:1:570000|2:3:28500|2:5:26790,3:1:60|3:2:60,3000093:800
20082,我是战士天赋,2:6:60060|2:1:577500|2:3:28875|2:5:27143,3:1:60|3:2:60,3000093:950
20083,我是战士天赋,2:6:60840|2:1:585000|2:3:29250|2:5:27495,3:1:60|3:2:60,3000093:1100
20084,我是战士天赋,2:6:61620|2:1:592500|2:3:29625|2:5:27848,3:1:60|3:2:60,3000093:1250
20085,我是战士天赋,2:6:62400|2:1:600000|2:3:30000|2:5:28200,3:1:70|3:2:70,3000093:1400
20086,我是战士天赋,2:6:63180|2:1:607500|2:3:30375|2:5:28553,3:1:70|3:2:70,3000093:1550
20087,我是战士天赋,2:6:63960|2:1:615000|2:3:30750|2:5:28905,3:1:70|3:2:70,3000093:1700
20088,我是战士天赋,2:6:64740|2:1:622500|2:3:31125|2:5:29258,3:1:70|3:2:70,3000093:1850
20089,我是战士天赋,2:6:65520|2:1:630000|2:3:31500|2:5:29610,3:1:70|3:2:70,3000093:2000
20090,我是战士天赋,2:6:66300|2:1:637500|2:3:31875|2:5:29963,3:1:80|3:2:80,3000093:2150
20091,我是战士天赋,2:6:67470|2:1:648750|2:3:32438|2:5:30491,3:1:80|3:2:80,3000093:2300
20092,我是战士天赋,2:6:68640|2:1:660000|2:3:33000|2:5:31020,3:1:80|3:2:80,3000093:2450
20093,我是战士天赋,2:6:69810|2:1:671250|2:3:33563|2:5:31549,3:1:80|3:2:80,3000093:2600
20094,我是战士天赋,2:6:70980|2:1:682500|2:3:34125|2:5:32078,3:1:80|3:2:80,3000093:2750
20095,我是战士天赋,2:6:72150|2:1:693750|2:3:34688|2:5:32606,3:1:90|3:2:90,3000093:2900
20096,我是战士天赋,2:6:73320|2:1:705000|2:3:35250|2:5:33135,3:1:90|3:2:90,3000093:3050
20097,我是战士天赋,2:6:74490|2:1:716250|2:3:35813|2:5:33664,3:1:90|3:2:90,3000093:3200
20098,我是战士天赋,2:6:75660|2:1:727500|2:3:36375|2:5:34193,3:1:90|3:2:90,3000093:3350
20099,我是战士天赋,2:6:76830|2:1:738750|2:3:36938|2:5:34721,3:1:90|3:2:90,3000093:3500
20100,我是战士天赋,2:6:78000|2:1:750000|2:3:37500|2:5:35250,3:1:100|3:2:100,3000093:3650
30000,我是射手天赋,2:10:0|2:1:0|2:3:0|2:5:0,,3000095:1152
30001,我是射手天赋,2:10:350|2:1:3750|2:3:188|2:5:176,,3000095:6
30002,我是射手天赋,2:10:700|2:1:7500|2:3:375|2:5:353,,3000095:6
30003,我是射手天赋,2:10:1050|2:1:11250|2:3:563|2:5:529,,3000095:6
30004,我是射手天赋,2:10:1400|2:1:15000|2:3:750|2:5:705,,3000095:6
30005,我是射手天赋,2:10:1750|2:1:18750|2:3:938|2:5:881,,3000095:6
30006,我是射手天赋,2:10:2100|2:1:22500|2:3:1125|2:5:1058,,3000095:6
30007,我是射手天赋,2:10:2450|2:1:26250|2:3:1313|2:5:1234,,3000095:12
30008,我是射手天赋,2:10:2800|2:1:30000|2:3:1500|2:5:1410,,3000095:12
30009,我是射手天赋,2:10:3150|2:1:33750|2:3:1688|2:5:1586,,3000095:12
30010,我是射手天赋,2:10:3500|2:1:37500|2:3:1875|2:5:1763,,3000095:12
30011,我是射手天赋,2:10:3850|2:1:41250|2:3:2063|2:5:1939,,3000095:12
30012,我是射手天赋,2:10:4200|2:1:45000|2:3:2250|2:5:2115,,3000095:24
30013,我是射手天赋,2:10:4550|2:1:48750|2:3:2438|2:5:2291,,3000095:24
30014,我是射手天赋,2:10:4900|2:1:52500|2:3:2625|2:5:2468,,3000095:24
30015,我是射手天赋,2:10:5250|2:1:56250|2:3:2813|2:5:2644,,3000095:24
30016,我是射手天赋,2:10:5600|2:1:60000|2:3:3000|2:5:2820,,3000095:24
30017,我是射手天赋,2:10:5950|2:1:63750|2:3:3188|2:5:2996,,3000095:42
30018,我是射手天赋,2:10:6300|2:1:67500|2:3:3375|2:5:3173,,3000095:42
30019,我是射手天赋,2:10:6650|2:1:71250|2:3:3563|2:5:3349,,3000095:42
30020,我是射手天赋,2:10:7000|2:1:75000|2:3:3750|2:5:3525,,3000095:42
30021,我是射手天赋,2:10:7560|2:1:81000|2:3:4050|2:5:3807,,3000095:42
30022,我是射手天赋,2:10:8120|2:1:87000|2:3:4350|2:5:4089,,3000095:66
30023,我是射手天赋,2:10:8680|2:1:93000|2:3:4650|2:5:4371,,3000095:66
30024,我是射手天赋,2:10:9240|2:1:99000|2:3:4950|2:5:4653,,3000095:66
30025,我是射手天赋,2:10:9800|2:1:105000|2:3:5250|2:5:4935,,3000095:66
30026,我是射手天赋,2:10:10360|2:1:111000|2:3:5550|2:5:5217,,3000095:66
30027,我是射手天赋,2:10:10920|2:1:117000|2:3:5850|2:5:5499,,3000095:96
30028,我是射手天赋,2:10:11480|2:1:123000|2:3:6150|2:5:5781,,3000095:96
30029,我是射手天赋,2:10:12040|2:1:129000|2:3:6450|2:5:6063,,3000095:102
30030,我是射手天赋,2:10:12600|2:1:135000|2:3:6750|2:5:6345,,3000095:102
30031,我是射手天赋,2:10:13440|2:1:144000|2:3:7200|2:5:6768,,3000095:102
30032,我是射手天赋,2:10:14280|2:1:153000|2:3:7650|2:5:7191,,3000095:132
30033,我是射手天赋,2:10:15120|2:1:162000|2:3:8100|2:5:7614,,3000095:132
30034,我是射手天赋,2:10:15960|2:1:171000|2:3:8550|2:5:8037,,3000095:138
30035,我是射手天赋,2:10:16800|2:1:180000|2:3:9000|2:5:8460,,3000095:138
30036,我是射手天赋,2:10:17640|2:1:189000|2:3:9450|2:5:8883,,3000095:138
30037,我是射手天赋,2:10:18480|2:1:198000|2:3:9900|2:5:9306,,3000095:174
30038,我是射手天赋,2:10:19320|2:1:207000|2:3:10350|2:5:9729,,3000095:174
30039,我是射手天赋,2:10:20160|2:1:216000|2:3:10800|2:5:10152,,3000095:180
30040,我是射手天赋,2:10:21000|2:1:225000|2:3:11250|2:5:10575,,3000095:180
30041,我是射手天赋,2:10:22050|2:1:236250|2:3:11813|2:5:11104,,3000095:180
30042,我是射手天赋,2:10:23100|2:1:247500|2:3:12375|2:5:11633,,3000095:222
30043,我是射手天赋,2:10:24150|2:1:258750|2:3:12938|2:5:12161,,3000095:222
30044,我是射手天赋,2:10:25200|2:1:270000|2:3:13500|2:5:12690,,3000095:228
30045,我是射手天赋,2:10:26250|2:1:281250|2:3:14063|2:5:13219,,3000095:228
30046,我是射手天赋,2:10:27300|2:1:292500|2:3:14625|2:5:13748,,3000095:228
30047,我是射手天赋,2:10:28350|2:1:303750|2:3:15188|2:5:14276,,3000095:276
30048,我是射手天赋,2:10:29400|2:1:315000|2:3:15750|2:5:14805,,3000095:276
30049,我是射手天赋,2:10:30450|2:1:326250|2:3:16313|2:5:15334,,3000095:282
30050,我是射手天赋,2:10:31500|2:1:337500|2:3:16875|2:5:15863,3:1:10|3:2:10,3000095:282
30051,我是射手天赋,2:10:32200|2:1:345000|2:3:17250|2:5:16215,3:1:10|3:2:10,3000095:282
30052,我是射手天赋,2:10:32900|2:1:352500|2:3:17625|2:5:16568,3:1:10|3:2:10,3000095:336
30053,我是射手天赋,2:10:33600|2:1:360000|2:3:18000|2:5:16920,3:1:10|3:2:10,3000095:336
30054,我是射手天赋,2:10:34300|2:1:367500|2:3:18375|2:5:17273,3:1:10|3:2:10,3000095:342
30055,我是射手天赋,2:10:35000|2:1:375000|2:3:18750|2:5:17625,3:1:10|3:2:10,3000095:342
30056,我是射手天赋,2:10:35700|2:1:382500|2:3:19125|2:5:17978,3:1:10|3:2:10,3000095:342
30057,我是射手天赋,2:10:36400|2:1:390000|2:3:19500|2:5:18330,3:1:10|3:2:10,3000095:402
30058,我是射手天赋,2:10:37100|2:1:397500|2:3:19875|2:5:18683,3:1:10|3:2:10,3000095:402
30059,我是射手天赋,2:10:37800|2:1:405000|2:3:20250|2:5:19035,3:1:10|3:2:10,3000095:408
30060,我是射手天赋,2:10:38500|2:1:412500|2:3:20625|2:5:19388,3:1:20|3:2:20,3000095:408
30061,我是射手天赋,2:10:39200|2:1:420000|2:3:21000|2:5:19740,3:1:20|3:2:20,3000095:474
30062,我是射手天赋,2:10:39900|2:1:427500|2:3:21375|2:5:20093,3:1:20|3:2:20,3000095:474
30063,我是射手天赋,2:10:40600|2:1:435000|2:3:21750|2:5:20445,3:1:20|3:2:20,3000095:480
30064,我是射手天赋,2:10:41300|2:1:442500|2:3:22125|2:5:20798,3:1:20|3:2:20,3000095:480
30065,我是射手天赋,2:10:42000|2:1:450000|2:3:22500|2:5:21150,3:1:30|3:2:30,3000095:480
30066,我是射手天赋,2:10:42700|2:1:457500|2:3:22875|2:5:21503,3:1:30|3:2:30,3000095:552
30067,我是射手天赋,2:10:43400|2:1:465000|2:3:23250|2:5:21855,3:1:30|3:2:30,3000095:552
