gid,group_name,hero_ids,attr_type_type,attr_type,attr_value,content,hcid
100,飞火流星,2040|2041,3,1,150,与{0}同时上阵,2040
101,飞火流星,2040|2041,3,1,150,与{0}同时上阵,2041
102,破魔之力,2041|2046,3,2,150,与{0}同时上阵,2041
103,破魔之力,2041|2046,3,2,150,与{0}同时上阵,2046
104,至高意志,2012|2032|2025|2035,3,2,250,与{0}同时上阵,2012
105,至高意志,2012|2032|2025|2035,3,2,250,与{0}同时上阵,2032
106,至高意志,2012|2032|2025|2035,3,2,250,与{0}同时上阵,2025
107,至高意志,2012|2032|2025|2035,3,2,250,与{0}同时上阵,2035
108,混沌之初,2012|2050,3,2,150,与{0}同时上阵,2012
109,混沌之初,2012|2050,3,2,150,与{0}同时上阵,2050
110,天空之城,2012|2016,3,1,150,与{0}同时上阵,2012
111,天空之城,2012|2016,3,1,150,与{0}同时上阵,2016
112,向死而生,2016|2049,3,2,150,与{0}同时上阵,2016
113,向死而生,2016|2049,3,2,150,与{0}同时上阵,2049
114,生命支配,2025|2048|2050,3,2,200,与{0}同时上阵,2025
115,生命支配,2025|2048|2050,3,2,200,与{0}同时上阵,2048
116,生命支配,2025|2048|2050,3,2,200,与{0}同时上阵,2050
117,生命源泉,2025|2047,3,1,150,与{0}同时上阵,2025
118,生命源泉,2025|2047,3,1,150,与{0}同时上阵,2047
119,不死战神,2031|2016|2048|2051,3,2,250,与{0}同时上阵,2031
120,不死战神,2031|2016|2048|2051,3,2,250,与{0}同时上阵,2016
121,不死战神,2031|2016|2048|2051,3,2,250,与{0}同时上阵,2048
122,不死战神,2031|2016|2048|2051,3,2,250,与{0}同时上阵,2051
123,无坚不摧,2031|2051|2039,3,2,200,与{0}同时上阵,2031
124,无坚不摧,2031|2051|2039,3,2,200,与{0}同时上阵,2051
125,无坚不摧,2031|2051|2039,3,2,200,与{0}同时上阵,2039
126,秩序掌控,2032|2054,3,2,150,与{0}同时上阵,2032
127,秩序掌控,2032|2054,3,2,150,与{0}同时上阵,2054
128,烈阳当空,2032|2037,3,2,150,与{0}同时上阵,2032
129,烈阳当空,2032|2037,3,2,150,与{0}同时上阵,2037
130,阿萨神族,2035|2051,3,2,150,与{0}同时上阵,2035
131,阿萨神族,2035|2051,3,2,150,与{0}同时上阵,2051
132,爱的礼物,2042|2047,3,1,150,与{0}同时上阵,2042
133,爱的礼物,2042|2047,3,1,150,与{0}同时上阵,2047
134,鬼神之力,2048|2053,3,2,150,与{0}同时上阵,2048
135,鬼神之力,2048|2053,3,2,150,与{0}同时上阵,2053
136,光与黑暗,2048|2052,3,1,150,与{0}同时上阵,2048
137,光与黑暗,2048|2052,3,1,150,与{0}同时上阵,2052
138,正义制裁,2052|2054|2049|2039,3,1,250,与{0}同时上阵,2052
139,正义制裁,2052|2054|2049|2039,3,1,250,与{0}同时上阵,2054
140,正义制裁,2052|2054|2049|2039,3,1,250,与{0}同时上阵,2049
141,正义制裁,2052|2054|2049|2039,3,1,250,与{0}同时上阵,2039
142,光明链接,2052|2054,3,1,150,与{0}同时上阵,2052
143,光明链接,2052|2054,3,1,150,与{0}同时上阵,2054
144,爱与正义,2052|2047,3,2,200,与{0}同时上阵,2052
145,爱与正义,2052|2047,3,2,200,与{0}同时上阵,2047
146,冥漠之都,2037|2047|2050|2053,3,1,250,与{0}同时上阵,2037
147,冥漠之都,2037|2047|2050|2053,3,1,250,与{0}同时上阵,2047
148,冥漠之都,2037|2047|2050|2053,3,1,250,与{0}同时上阵,2050
149,冥漠之都,2037|2047|2050|2053,3,1,250,与{0}同时上阵,2053
150,太阳抉择,2037|2049,3,1,150,与{0}同时上阵,2037
151,太阳抉择,2037|2049,3,1,150,与{0}同时上阵,2049
152,王座之上,2037|2039,3,2,150,与{0}同时上阵,2037
153,王座之上,2037|2039,3,2,150,与{0}同时上阵,2039
154,永恒守护,2039|2051,3,1,150,与{0}同时上阵,2039
155,永恒守护,2039|2051,3,1,150,与{0}同时上阵,2051
156,神魔之恋,2047|2053,3,2,150,与{0}同时上阵,2047
157,神魔之恋,2047|2053,3,2,150,与{0}同时上阵,2053
158,天使恶魔,2049|2050,3,1,150,与{0}同时上阵,2049
159,天使恶魔,2049|2050,3,1,150,与{0}同时上阵,2050
160,鬼神支配,2050|2053,3,2,150,与{0}同时上阵,2050
161,鬼神支配,2050|2053,3,2,150,与{0}同时上阵,2053
162,龙族血统,2055|2056|2057,3,1,300,与{0}同时上阵,2055
163,龙族血统,2055|2056|2057,3,1,300,与{0}同时上阵,2056
164,龙族血统,2055|2056|2057,3,1,300,与{0}同时上阵,2057
165,冰天雪地,2055|2042|2011,3,2,200,与{0}同时上阵,2055
166,冰天雪地,2055|2042|2011,3,2,200,与{0}同时上阵,2042
167,冰天雪地,2055|2042|2011,3,2,200,与{0}同时上阵,2011
168,守护之心,2055|2047,3,2,150,与{0}同时上阵,2055
169,守护之心,2055|2047,3,2,150,与{0}同时上阵,2047
170,灰烬使者,2056|2035|2037,3,1,200,与{0}同时上阵,2056
171,灰烬使者,2056|2035|2037,3,1,200,与{0}同时上阵,2035
172,灰烬使者,2056|2035|2037,3,1,200,与{0}同时上阵,2037
173,火神降临,2056|2040,3,1,150,与{0}同时上阵,2056
174,火神降临,2056|2040,3,1,150,与{0}同时上阵,2040
175,破碎虚空,2057|2012|2053,3,8,360,与{0}同时上阵,2057
176,破碎虚空,2057|2012|2053,3,8,360,与{0}同时上阵,2012
177,破碎虚空,2057|2012|2053,3,8,360,与{0}同时上阵,2053
178,盾与矛,2057|2051,3,2,150,与{0}同时上阵,2057
179,盾与矛,2057|2051,3,2,150,与{0}同时上阵,2051
180,北欧神族,2060|2035,3,2,150,与{0}同时上阵,2060
181,战争之神,2060|2016,3,1,150,与{0}同时上阵,2060
182,破甲奥义,2060|2057,3,1,150,与{0}同时上阵,2060
183,永不止境,2060|2053|2048,3,2,200,与{0}同时上阵,2060
184,净化万物,2060|2055|2039|2037,3,1,250,与{0}同时上阵,2060
185,爱的诱惑,2058|2013,3,1,150,与{0}同时上阵,2058
186,爱的惊喜,2058|2042,3,2,150,与{0}同时上阵,2058
187,樱花飞舞,2058|2038|2046,3,2,200,与{0}同时上阵,2058
188,神眷之猫,2058|2037,3,1,150,与{0}同时上阵,2058
189,破甲奥义,2057|2060,3,1,150,与{0}同时上阵,2057
190,火之奥义,2056|2032,3,2,150,与{0}同时上阵,2056
191,漫漫时光,2061|2062|2060,3,1,200,与{0}同时上阵,2061
192,水火交融,2061|2056,3,1,150,与{0}同时上阵,2061
193,空洞目光,2061|2031,3,1,150,与{0}同时上阵,2061
194,吉祥如意,2061|2058,3,2,150,与{0}同时上阵,2061
195,头晕目眩,2062|2032,3,2,150,与{0}同时上阵,2062
196,风刀霜剑,2062|2055,3,1,150,与{0}同时上阵,2062
197,朦胧月色,2062|2046,3,1,150,与{0}同时上阵,2062
198,花颜月貌,2062|2058|2054,3,2,200,与{0}同时上阵,2062
199,风刀霜剑,2062|2055,3,1,150,与{0}同时上阵,2055
200,水火交融,2061|2056,3,1,150,与{0}同时上阵,2056
201,坚若磐石,2063|2047,3,2,150,与{0}同时上阵,2063
202,雨过天晴,2063|2050,3,2,150,与{0}同时上阵,2063
203,推波助澜,2063|2057,3,1,150,与{0}同时上阵,2063
204,冰封眷恋,2063|2025,3,2,150,与{0}同时上阵,2063
205,推波助澜,2063|2057,3,2,150,与{0}同时上阵,2057
206,大地之月,2067|2025,3,1,150,与{0}同时上阵,2067
207,战争之月,2067|2037,3,1,150,与{0}同时上阵,2067
208,炽焰之月,2067|2026|2040,3,2,200,与{0}同时上阵,2067
209,思恋之月,2067|2047|2063|2039,3,2,250,与{0}同时上阵,2067
210,孤芳自赏,2068|2067,3,1,150,与{0}同时上阵,2068
211,永恒黑洞,2068|2060,3,1,150,与{0}同时上阵,2068
212,同甘共苦,2068|2051,3,2,150,与{0}同时上阵,2068
213,天人合一,2068|2056|2053,3,1,200,与{0}同时上阵,2068
214,淡云微风,2065|2062|2063,3,2,200,与{0}同时上阵,2065
215,冰凌寒镜,2065|2055,3,1,150,与{0}同时上阵,2065
216,温暖照射,2065|2032,3,1,150,与{0}同时上阵,2065
217,宇宙漫溯,2065|2060,3,1,150,与{0}同时上阵,2065
218,斗争智慧,2069|2039|2049,3,1,200,与{0}同时上阵,2069
219,明眸凝视,2069|2048,3,1,150,与{0}同时上阵,2069
220,终极法则,2069|2050,3,2,150,与{0}同时上阵,2069
221,金光璀璨,2069|2065,3,2,150,与{0}同时上阵,2069
222,真龙守护,2069|2055|2056|2057,3,1,250,与{0}同时上阵,2069
230,地支同盟,2070|2059,3,2,150,与{0}同时上阵,2070
231,星之同盟,2071|2065,3,1,150,与{0}同时上阵,2071
232,星之睿智,2071|2069,3,2,150,与{0}同时上阵,2071
233,星之威仪,2071|2047|2024,3,2,200,与{0}同时上阵,2071
234,星之炽焰,2071|2056,3,1,150,与{0}同时上阵,2071
235,星之神权,2071|2035|2055|2057,3,2,250,与{0}同时上阵,2071
236,天界守卫,3072|2052,3,2,150,与{0}同时上阵,3072
237,混沌羽翼,3072|2024,3,2,150,与{0}同时上阵,3072
238,殉道之仪,3072|2003,3,1,150,与{0}同时上阵,3072
239,战场疾风,3072|2049|2016,3,1,200,与{0}同时上阵,3072
240,末日洗礼,3072|2055|2056|2057,3,1,250,与{0}同时上阵,3072
241,双星之舞,2073|2069,3,1,150,与{0}同时上阵,2073
242,宁静圣域,2073|2071,3,2,150,与{0}同时上阵,2073
243,幻想序曲,2073|2047,3,2,150,与{0}同时上阵,2073
244,战争魅影,2073|2016|2068,3,1,200,与{0}同时上阵,2073
245,星之神权,2073|2056|2057|2048,3,1,250,与{0}同时上阵,2073
246,守护之爱,2074|2051,3,1,150,与{0}同时上阵,2074
247,纯洁之爱,2074|2039,3,2,150,与{0}同时上阵,2074
248,飘渺之爱,2074|2067,3,2,150,与{0}同时上阵,2074
249,魅惑之爱,2074|2037|2050,3,1,200,与{0}同时上阵,2074
250,爱神同盟,2074|2047|2054|2060,3,2,250,与{0}同时上阵,2074
251,至尊之缘,2075|2039,3,1,150,与{0}同时上阵,2075
252,神王宿敌,2075|2035,3,2,150,与{0}同时上阵,2075
253,末日之雷,2075|2057,3,2,150,与{0}同时上阵,2075
254,希腊荣光,2075|2002|2048,3,1,200,与{0}同时上阵,2075
255,众星之辉,2075|2065|2071|2073,3,1,250,与{0}同时上阵,2075
256,义结金兰,2076|2035,3,1,150,与{0}同时上阵,2076
257,一生之敌,2076|2051,3,1,150,与{0}同时上阵,2076
258,冰火之歌,2076|2055,3,2,150,与{0}同时上阵,2076
259,暗黑之翼,2076|2049|2024,3,2,200,与{0}同时上阵,2076
260,神权至上,2076|2035|2075|2037,3,1,250,与{0}同时上阵,2076
261,神之尊荣,2077|2039,3,1,150,与{0}同时上阵,2077
262,血脉传承,2077|2035,3,1,150,与{0}同时上阵,2077
263,亦敌亦友,2077|2076,3,2,150,与{0}同时上阵,2077
264,神域之锋,2077|2051|2016,3,2,200,与{0}同时上阵,2077
265,雷霆之翼,2077|2049|2050|2047,3,1,250,与{0}同时上阵,2077
266,太阳神火,2078|2032,3,1,150,与{0}同时上阵,2078
267,弓箭之神,2078|2047,3,1,150,与{0}同时上阵,2078
268,艺术之心,2078|2069,3,2,150,与{0}同时上阵,2078
269,光明耀世,2078|2037|2032,3,2,200,与{0}同时上阵,2078
270,天域圣神,2078|2075|2056|2039,3,2,250,与{0}同时上阵,2078
271,雷厉风行,2079|2057,3,1,150,与{0}同时上阵,2079
272,冰清玉洁,2079|2055,3,2,150,与{0}同时上阵,2079
273,热情似火,2079|2056,3,1,150,与{0}同时上阵,2079
274,情有独钟,2079|2047,3,1,150,与{0}同时上阵,2079
275,魔武双星,2080|2059,3,2,150,与{0}同时上阵,2080
276,如虎添翼,2080|2070,3,1,150,与{0}同时上阵,2080
277,神之传承,2081|2037,3,1,150,与{0}同时上阵,2081
278,向死而生,2081|2034,3,1,150,与{0}同时上阵,2081
279,鹰神之翼,2081|2049,3,2,150,与{0}同时上阵,2081
280,埃及之心,2081|2037|2011,3,2,200,与{0}同时上阵,2081
281,天命之子,2081|2032|2077|2069,3,1,250,与{0}同时上阵,2081
