id,signal,index,pre_index,type,level,add_attr,value_type,show_type,cost_count
53,1,7,6,2,1,2:15:50|3:5:100,1|1,1|1,1
54,1,8,6,2,1,2:38:100|3:23:100,1|1,1|1,1
55,1,9,8,1,1,3:2:30|3:13:20,1|1,1|1,590
56,1,9,8,1,2,3:2:60|3:13:40,1|1,1|1,695
57,1,9,8,1,3,3:2:90|3:13:60,1|1,1|1,870
58,1,9,8,1,4,3:2:120|3:13:80,1|1,1|1,1070
59,1,9,8,1,5,3:2:150|3:13:100,1|1,1|1,1320
60,1,10,9,2,1,2:25:150|2:37:100,1|1,1|1,1
61,7,1,0,1,1,3:2:30|3:13:30,1|1,1|1,590
62,7,1,0,1,2,3:2:60|3:13:60,1|1,1|1,695
63,7,1,0,1,3,3:2:90|3:13:90,1|1,1|1,870
64,7,1,0,1,4,3:2:120|3:13:120,1|1,1|1,1070
65,7,1,0,1,5,3:2:150|3:13:150,1|1,1|1,1320
66,7,2,1,1,1,3:4:40|3:1:20,1|1,1|1,590
67,7,2,1,1,2,3:4:80|3:1:40,1|1,1|1,695
68,7,2,1,1,3,3:4:120|3:1:60,1|1,1|1,870
69,7,2,1,1,4,3:4:160|3:1:80,1|1,1|1,1070
70,7,2,1,1,5,3:4:200|3:1:100,1|1,1|1,1320
71,7,3,2,2,1,1:1:50,2,0,1
72,7,4,3,1,1,2:18:4|2:43:40,1|1,0|1,590
73,7,4,3,1,2,2:18:8|2:43:80,1|1,0|1,695
74,7,4,3,1,3,2:18:12|2:43:120,1|1,0|1,870
75,7,4,3,1,4,2:18:16|2:43:160,1|1,0|1,1070
76,7,4,3,1,5,2:18:20|2:43:200,1|1,0|1,1320
77,7,5,4,2,1,2:38:100|2:18:20,1|1,1|0,1
78,7,6,5,1,1,3:4:30|3:1:20,1|1,1|1,590
79,7,6,5,1,2,3:4:60|3:1:40,1|1,1|1,695
80,7,6,5,1,3,3:4:90|3:1:60,1|1,1|1,870
81,7,6,5,1,4,3:4:120|3:1:80,1|1,1|1,1070
82,7,6,5,1,5,3:4:150|3:1:100,1|1,1|1,1320
83,7,7,6,2,1,2:15:50|3:5:100,1|1,1|1,1
84,7,8,6,2,1,2:38:100|3:23:100,1|1,1|1,1
85,7,9,8,1,1,3:2:30|3:13:20,1|1,1|1,590
86,7,9,8,1,2,3:2:60|3:13:40,1|1,1|1,695
87,7,9,8,1,3,3:2:90|3:13:60,1|1,1|1,870
88,7,9,8,1,4,3:2:120|3:13:80,1|1,1|1,1070
89,7,9,8,1,5,3:2:150|3:13:100,1|1,1|1,1320
90,7,10,9,2,1,2:25:150|2:37:100,1|1,1|1,1
91,6,1,0,1,1,3:1:30|3:6:30,1|1,1|1,590
92,6,1,0,1,2,3:1:60|3:6:60,1|1,1|1,695
93,6,1,0,1,3,3:1:90|3:6:90,1|1,1|1,870
94,6,1,0,1,4,3:1:120|3:6:120,1|1,1|1,1070
95,6,1,0,1,5,3:1:150|3:6:150,1|1,1|1,1320
96,6,2,1,1,1,3:4:30|3:7:30,1|1,1|1,590
97,6,2,1,1,2,3:4:60|3:7:60,1|1,1|1,695
98,6,2,1,1,3,3:4:90|3:7:90,1|1,1|1,870
99,6,2,1,1,4,3:4:120|3:7:120,1|1,1|1,1070
100,6,2,1,1,5,3:4:150|3:7:150,1|1,1|1,1320
101,6,3,2,2,1,1:2:50,2,0,1
102,6,4,3,1,1,2:17:30|3:8:30,2|1,0|1,590
103,6,4,3,1,2,2:17:60|3:8:60,2|1,0|1,695
104,6,4,3,1,3,2:17:90|3:8:90,2|1,0|1,870
105,6,4,3,1,4,2:17:120|3:8:120,2|1,0|1,1070
106,6,4,3,1,5,2:17:150|3:8:150,2|1,0|1,1320
107,6,5,4,2,1,2:38:50|2:18:20,1|1,1|0,1
108,6,6,5,1,1,3:2:40|3:9:20,1|1,1|1,590
109,6,6,5,1,2,3:2:80|3:9:40,1|1,1|1,695
110,6,6,5,1,3,3:2:120|3:9:60,1|1,1|1,870
111,6,6,5,1,4,3:2:160|3:9:80,1|1,1|1,1070
112,6,6,5,1,5,3:2:200|3:9:100,1|1,1|1,1320
113,6,7,6,2,1,2:37:100|3:5:100,1|1,1|1,1
114,6,8,6,2,1,3:8:300|2:38:50,1|1,1|1,1
115,6,9,8,1,1,3:1:40|3:14:20,1|1,1|1,590
116,6,9,8,1,2,3:1:80|3:14:40,1|1,1|1,695
117,6,9,8,1,3,3:1:120|3:14:60,1|1,1|1,870
118,6,9,8,1,4,3:1:160|3:14:80,1|1,1|1,1070
119,6,9,8,1,5,3:1:200|3:14:100,1|1,1|1,1320
120,6,10,9,2,1,2:23:150|2:39:100,1|1,1|1,1
121,3,1,0,1,1,3:2:30|3:6:30,1|1,1|1,590
122,3,1,0,1,2,3:2:60|3:6:60,1|1,1|1,695
123,3,1,0,1,3,3:2:90|3:6:90,1|1,1|1,870
124,3,1,0,1,4,3:2:120|3:6:120,1|1,1|1,1070
125,3,1,0,1,5,3:2:150|3:6:150,1|1,1|1,1320
126,3,2,1,1,1,3:4:30|3:1:30,1|1,1|1,590
127,3,2,1,1,2,3:4:60|3:1:60,1|1,1|1,695
128,3,2,1,1,3,3:4:90|3:1:90,1|1,1|1,870
129,3,2,1,1,4,3:4:120|3:1:120,1|1,1|1,1070
130,3,2,1,1,5,3:4:150|3:1:150,1|1,1|1,1320
131,3,3,2,2,1,1:2:50,2,0,1
132,3,4,3,1,1,2:18:4|2:43:40,1|1,0|1,590
133,3,4,3,1,2,2:18:8|2:43:80,1|1,0|1,695
134,3,4,3,1,3,2:18:12|2:43:120,1|1,0|1,870
135,3,4,3,1,4,2:18:16|2:43:160,1|1,0|1,1070
136,3,4,3,1,5,2:18:20|2:43:200,1|1,0|1,1320
137,3,5,4,2,1,2:37:100|2:18:20,1|1,1|0,1
138,3,6,5,1,1,2:27:20|3:2:20,1|1,1|1,590
139,3,6,5,1,2,2:27:40|3:2:40,1|1,1|1,695
140,3,6,5,1,3,2:27:60|3:2:60,1|1,1|1,870
141,3,6,5,1,4,2:27:80|3:2:80,1|1,1|1,1070
142,3,6,5,1,5,2:27:100|3:2:100,1|1,1|1,1320
143,3,7,6,2,1,2:15:50|3:5:150,1|1,1|1,1
144,3,8,6,2,1,2:37:100|3:23:100,1|1,1|1,1
145,3,9,8,1,1,3:2:30|3:14:20,1|1,1|1,590
146,3,9,8,1,2,3:2:60|3:14:40,1|1,1|1,695
147,3,9,8,1,3,3:2:90|3:14:60,1|1,1|1,870
148,3,9,8,1,4,3:2:120|3:14:80,1|1,1|1,1070
149,3,9,8,1,5,3:2:150|3:14:100,1|1,1|1,1320
150,3,10,9,2,1,2:26:150|2:39:100,1|1,1|1,1
151,9,1,0,1,1,3:2:30|3:6:30,1|1,1|1,590
152,9,1,0,1,2,3:2:60|3:6:60,1|1,1|1,695
153,9,1,0,1,3,3:2:90|3:6:90,1|1,1|1,870
154,9,1,0,1,4,3:2:120|3:6:120,1|1,1|1,1070
155,9,1,0,1,5,3:2:150|3:6:150,1|1,1|1,1320
156,9,2,1,1,1,3:4:30|3:1:30,1|1,1|1,590
157,9,2,1,1,2,3:4:60|3:1:60,1|1,1|1,695
158,9,2,1,1,3,3:4:90|3:1:90,1|1,1|1,870
159,9,2,1,1,4,3:4:120|3:1:120,1|1,1|1,1070
160,9,2,1,1,5,3:4:150|3:1:150,1|1,1|1,1320
161,9,3,2,2,1,1:2:50,2,0,1
162,9,4,3,1,1,2:18:4|2:43:40,1|1,0|1,590
163,9,4,3,1,2,2:18:8|2:43:80,1|1,0|1,695
164,9,4,3,1,3,2:18:12|2:43:120,1|1,0|1,870
165,9,4,3,1,4,2:18:16|2:43:160,1|1,0|1,1070
166,9,4,3,1,5,2:18:20|2:43:200,1|1,0|1,1320
167,9,5,4,2,1,2:37:100|2:18:20,1|1,1|0,1
168,9,6,5,1,1,2:29:40|3:2:20,1|1,1|1,590
169,9,6,5,1,2,2:29:80|3:2:40,1|1,1|1,695
170,9,6,5,1,3,2:29:120|3:2:60,1|1,1|1,870
171,9,6,5,1,4,2:29:160|3:2:80,1|1,1|1,1070
172,9,6,5,1,5,2:29:200|3:2:100,1|1,1|1,1320
173,9,7,6,2,1,2:15:50|3:5:150,1|1,1|1,1
174,9,8,6,2,1,2:37:100|3:23:100,1|1,1|1,1
175,9,9,8,1,1,3:2:30|3:14:20,1|1,1|1,590
176,9,9,8,1,2,3:2:60|3:14:40,1|1,1|1,695
177,9,9,8,1,3,3:2:90|3:14:60,1|1,1|1,870
178,9,9,8,1,4,3:2:120|3:14:80,1|1,1|1,1070
179,9,9,8,1,5,3:2:150|3:14:100,1|1,1|1,1320
180,9,10,9,2,1,2:26:150|2:39:100,1|1,1|1,1
181,5,1,0,1,1,3:1:30|3:9:30,1|1,1|1,590
182,5,1,0,1,2,3:1:60|3:9:60,1|1,1|1,695
183,5,1,0,1,3,3:1:90|3:9:90,1|1,1|1,870
184,5,1,0,1,4,3:1:120|3:9:120,1|1,1|1,1070
185,5,1,0,1,5,3:1:150|3:9:150,1|1,1|1,1320
186,5,2,1,1,1,3:4:30|3:8:20,1|1,1|1,590
187,5,2,1,1,2,3:4:60|3:8:40,1|1,1|1,695
188,5,2,1,1,3,3:4:90|3:8:60,1|1,1|1,870
189,5,2,1,1,4,3:4:120|3:8:80,1|1,1|1,1070
190,5,2,1,1,5,3:4:150|3:8:100,1|1,1|1,1320
191,5,3,2,2,1,1:3:50,2,0,1
192,5,4,3,1,1,2:17:30|3:12:30,2|2,1|1,590
193,5,4,3,1,2,2:17:60|3:12:60,2|2,1|1,695
194,5,4,3,1,3,2:17:90|3:12:90,2|2,1|1,870
195,5,4,3,1,4,2:17:120|3:12:120,2|2,1|1,1070
196,5,4,3,1,5,2:17:150|3:12:150,2|2,1|1,1320
197,5,5,4,2,1,2:36:50|2:18:20,1|1,1|0,1
198,5,6,5,1,1,3:2:40|3:9:20,1|1,1|1,590
199,5,6,5,1,2,3:2:80|3:9:40,1|1,1|1,695
200,5,6,5,1,3,3:2:120|3:9:60,1|1,1|1,870
201,5,6,5,1,4,3:2:160|3:9:80,1|1,1|1,1070
202,5,6,5,1,5,3:2:200|3:9:100,1|1,1|1,1320
203,5,7,6,2,1,2:39:100|3:5:100,1|1,1|1,1
204,5,8,6,2,1,2:36:100|3:9:50,1|1,1|1,1
205,5,9,8,1,1,3:1:40|3:4:20,1|1,1|1,590
206,5,9,8,1,2,3:1:80|3:4:40,1|1,1|1,695
207,5,9,8,1,3,3:1:120|3:4:60,1|1,1|1,870
208,5,9,8,1,4,3:1:160|3:4:80,1|1,1|1,1070
209,5,9,8,1,5,3:1:200|3:4:100,1|1,1|1,1320
210,5,10,9,2,1,2:21:150|2:39:100,1|1,1|1,1
211,2,1,0,1,1,3:2:30|3:14:30,1|1,1|1,590
212,2,1,0,1,2,3:2:60|3:14:60,1|1,1|1,695
213,2,1,0,1,3,3:2:90|3:14:90,1|1,1|1,870
214,2,1,0,1,4,3:2:120|3:14:120,1|1,1|1,1070
215,2,1,0,1,5,3:2:150|3:14:150,1|1,1|1,1320
216,2,2,1,1,1,3:4:40|3:1:20,1|1,1|1,590
217,2,2,1,1,2,3:4:80|3:1:40,1|1,1|1,695
218,2,2,1,1,3,3:4:120|3:1:60,1|1,1|1,870
219,2,2,1,1,4,3:4:160|3:1:80,1|1,1|1,1070
220,2,2,1,1,5,3:4:200|3:1:100,1|1,1|1,1320
221,2,3,2,2,1,1:3:50,2,0,1
222,2,4,3,1,1,2:18:4|2:43:40,1|1,0|1,590
223,2,4,3,1,2,2:18:8|2:43:80,1|1,0|1,695
224,2,4,3,1,3,2:18:12|2:43:120,1|1,0|1,870
225,2,4,3,1,4,2:18:16|2:43:160,1|1,0|1,1070
226,2,4,3,1,5,2:18:20|2:43:200,1|1,0|1,1320
227,2,5,4,2,1,2:36:50|2:18:20,1|1,1|0,1
228,2,6,5,1,1,2:27:20|3:2:20,1|1,1|1,590
229,2,6,5,1,2,2:27:40|3:2:40,1|1,1|1,695
230,2,6,5,1,3,2:27:60|3:2:60,1|1,1|1,870
231,2,6,5,1,4,2:27:80|3:2:80,1|1,1|1,1070
232,2,6,5,1,5,2:27:100|3:2:100,1|1,1|1,1320
233,2,7,6,2,1,2:15:50|3:5:150,1|1,1|1,1
234,2,8,6,2,1,2:37:100|3:23:100,1|1,1|1,1
235,2,9,8,1,1,3:2:30|3:4:20,1|1,1|1,590
236,2,9,8,1,2,3:2:60|3:4:40,1|1,1|1,695
237,2,9,8,1,3,3:2:90|3:4:60,1|1,1|1,870
238,2,9,8,1,4,3:2:120|3:4:80,1|1,1|1,1070
239,2,9,8,1,5,3:2:150|3:4:100,1|1,1|1,1320
240,2,10,9,2,1,2:24:150|2:39:100,1|1,1|1,1
241,8,1,0,1,1,3:2:30|3:14:30,1|1,1|1,590
242,8,1,0,1,2,3:2:60|3:14:60,1|1,1|1,695
243,8,1,0,1,3,3:2:90|3:14:90,1|1,1|1,870
244,8,1,0,1,4,3:2:120|3:14:120,1|1,1|1,1070
245,8,1,0,1,5,3:2:150|3:14:150,1|1,1|1,1320
246,8,2,1,1,1,3:4:40|3:1:20,1|1,1|1,590
247,8,2,1,1,2,3:4:80|3:1:40,1|1,1|1,695
248,8,2,1,1,3,3:4:120|3:1:60,1|1,1|1,870
249,8,2,1,1,4,3:4:160|3:1:80,1|1,1|1,1070
250,8,2,1,1,5,3:4:200|3:1:100,1|1,1|1,1320
251,8,3,2,2,1,1:3:50,2,0,1
252,8,4,3,1,1,3:13:20|2:43:40,2|1,1|1,590
253,8,4,3,1,2,3:13:40|2:43:80,2|1,1|1,695
254,8,4,3,1,3,3:13:60|2:43:120,2|1,1|1,870
255,8,4,3,1,4,3:13:80|2:43:160,2|1,1|1,1070
256,8,4,3,1,5,3:13:100|2:43:200,2|1,1|1,1320
257,8,5,4,2,1,2:36:50|2:18:20,1|1,1|0,1
258,8,6,5,1,1,3:1:20|3:2:20,1|1,1|1,590
259,8,6,5,1,2,3:1:40|3:2:40,1|1,1|1,695
260,8,6,5,1,3,3:1:60|3:2:60,1|1,1|1,870
261,8,6,5,1,4,3:1:80|3:2:80,1|1,1|1,1070
262,8,6,5,1,5,3:1:100|3:2:100,1|1,1|1,1320
263,8,7,6,2,1,2:15:50|3:5:150,1|1,1|1,1
264,8,8,6,2,1,2:37:100|3:23:100,1|1,1|1,1
265,8,9,8,1,1,3:2:30|3:4:20,1|1,1|1,590
266,8,9,8,1,2,3:2:60|3:4:40,1|1,1|1,695
267,8,9,8,1,3,3:2:90|3:4:60,1|1,1|1,870
268,8,9,8,1,4,3:2:120|3:4:80,1|1,1|1,1070
269,8,9,8,1,5,3:2:150|3:4:100,1|1,1|1,1320
270,8,10,9,2,1,2:24:150|2:39:100,1|1,1|1,1
