dungeon_id,boss_monster_npc_id_list,normal_monster_npc_id_list,bg_path,name,map_id,reward
270,10540|10539,1153|1154,XueChengBao,9-30,9,5:3000027:1
271,10542|10541,1153|1154,ASiJiaDe,10-1,10,
272,10544|10543,1153|1154,ASiJiaDe,10-2,10,
273,10546|10545,1153|1154,ASiJiaDe,10-3,10,
274,10548|10547,1153|1154,ASiJiaDe,10-4,10,
275,10550|10549,1155|1156,ASiJiaDe,10-5,10,1:2:100
276,10552|10551,1155|1156,ASiJiaDe,10-6,10,
277,10554|10553,1155|1156,ASiJiaDe,10-7,10,
278,10556|10555,1155|1156,ASiJiaDe,10-8,10,
279,10558|10557,1155|1156,ASiJiaDe,10-9,10,
280,10560|10559,1155|1156,ASiJiaDe,10-10,10,5:3000214:200
281,10562|10561,1157|1158,ASiJiaDe,10-11,10,
282,10564|10563,1157|1158,ASiJiaDe,10-12,10,
283,10566|10565,1157|1158,ASiJiaDe,10-13,10,
284,10568|10567,1157|1158,ASiJiaDe,10-14,10,
285,10570|10569,1157|1158,ASiJiaDe,10-15,10,1:2:100
286,10572|10571,1157|1158,ASiJiaDe,10-16,10,
287,10574|10573,1159|1160,ASiJiaDe,10-17,10,
288,10576|10575,1159|1160,ASiJiaDe,10-18,10,
289,10578|10577,1159|1160,ASiJiaDe,10-19,10,
290,10580|10579,1159|1160,ASiJiaDe,10-20,10,5:3000214:300
291,10582|10581,1159|1160,ASiJiaDe,10-21,10,
292,10584|10583,1159|1160,ASiJiaDe,10-22,10,
293,10586|10585,1161|1162,ASiJiaDe,10-23,10,
294,10588|10587,1161|1162,ASiJiaDe,10-24,10,
295,10590|10589,1161|1162,ASiJiaDe,10-25,10,1:2:200
296,10592|10591,1161|1162,ASiJiaDe,10-26,10,
297,10594|10593,1161|1162,ASiJiaDe,10-27,10,
298,10596|10595,1161|1162,ASiJiaDe,10-28,10,
299,10598|10597,1163|1164,ASiJiaDe,10-29,10,
300,10600|10599,1163|1164,ASiJiaDe,10-30,10,27:1001:1
301,10602|10601,1163|1164,ShiJieShu,11-1,11,
302,10604|10603,1163|1164,ShiJieShu,11-2,11,
303,10606|10605,1163|1164,ShiJieShu,11-3,11,
304,10608|10607,1163|1164,ShiJieShu,11-4,11,
305,10610|10609,1165|1166,ShiJieShu,11-5,11,1:2:100
306,10612|10611,1165|1166,ShiJieShu,11-6,11,
307,10614|10613,1165|1166,ShiJieShu,11-7,11,
308,10616|10615,1165|1166,ShiJieShu,11-8,11,
309,10618|10617,1165|1166,ShiJieShu,11-9,11,
310,10620|10619,1165|1166,ShiJieShu,11-10,11,5:3000214:200
311,10622|10621,1167|1168,ShiJieShu,11-11,11,
312,10624|10623,1167|1168,ShiJieShu,11-12,11,
313,10626|10625,1167|1168,ShiJieShu,11-13,11,
314,10628|10627,1167|1168,ShiJieShu,11-14,11,
315,10630|10629,1167|1168,ShiJieShu,11-15,11,1:2:100
316,10632|10631,1167|1168,ShiJieShu,11-16,11,
317,10634|10633,1169|1170,ShiJieShu,11-17,11,
318,10636|10635,1169|1170,ShiJieShu,11-18,11,
319,10638|10637,1169|1170,ShiJieShu,11-19,11,
320,10640|10639,1169|1170,ShiJieShu,11-20,11,5:3000214:300
321,10642|10641,1169|1170,ShiJieShu,11-21,11,
322,10644|10643,1169|1170,ShiJieShu,11-22,11,
323,10646|10645,1171|1172,ShiJieShu,11-23,11,
324,10648|10647,1171|1172,ShiJieShu,11-24,11,
325,10650|10649,1171|1172,ShiJieShu,11-25,11,1:2:200
326,10652|10651,1171|1172,ShiJieShu,11-26,11,
327,10654|10653,1171|1172,ShiJieShu,11-27,11,
328,10656|10655,1171|1172,ShiJieShu,11-28,11,
329,10658|10657,1173|1174,ShiJieShu,11-29,11,
330,10660|10659,1173|1174,ShiJieShu,11-30,11,5:3000027:1
331,10662|10661,1173|1174,ShenZhiXiaGu,12-1,12,
332,10664|10663,1173|1174,ShenZhiXiaGu,12-2,12,
333,10666|10665,1173|1174,ShenZhiXiaGu,12-3,12,
334,10668|10667,1173|1174,ShenZhiXiaGu,12-4,12,
335,10670|10669,1175|1176,ShenZhiXiaGu,12-5,12,1:2:100
336,10672|10671,1175|1176,ShenZhiXiaGu,12-6,12,
337,10674|10673,1175|1176,ShenZhiXiaGu,12-7,12,
338,10676|10675,1175|1176,ShenZhiXiaGu,12-8,12,
339,10678|10677,1175|1176,ShenZhiXiaGu,12-9,12,
340,10680|10679,1175|1176,ShenZhiXiaGu,12-10,12,5:3000214:200
341,10682|10681,1177|1178,ShenZhiXiaGu,12-11,12,
342,10684|10683,1177|1178,ShenZhiXiaGu,12-12,12,
343,10686|10685,1177|1178,ShenZhiXiaGu,12-13,12,
344,10688|10687,1177|1178,ShenZhiXiaGu,12-14,12,
345,10690|10689,1177|1178,ShenZhiXiaGu,12-15,12,1:2:100
346,10692|10691,1177|1178,ShenZhiXiaGu,12-16,12,
347,10694|10693,1179|1180,ShenZhiXiaGu,12-17,12,
348,10696|10695,1179|1180,ShenZhiXiaGu,12-18,12,
349,10698|10697,1179|1180,ShenZhiXiaGu,12-19,12,
350,10700|10699,1179|1180,ShenZhiXiaGu,12-20,12,5:3000214:300
351,10702|10701,1179|1180,ShenZhiXiaGu,12-21,12,
352,10704|10703,1179|1180,ShenZhiXiaGu,12-22,12,
353,10706|10705,1181|1182,ShenZhiXiaGu,12-23,12,
354,10708|10707,1181|1182,ShenZhiXiaGu,12-24,12,
355,10710|10709,1181|1182,ShenZhiXiaGu,12-25,12,1:2:200
356,10712|10711,1181|1182,ShenZhiXiaGu,12-26,12,
357,10714|10713,1181|1182,ShenZhiXiaGu,12-27,12,
358,10716|10715,1181|1182,ShenZhiXiaGu,12-28,12,
359,10718|10717,1183|1184,ShenZhiXiaGu,12-29,12,
360,10720|10719,1183|1184,ShenZhiXiaGu,12-30,12,5:3000027:1
361,10722|10721,1183|1184,NvWaQinGong,13-1,13,
362,10724|10723,1183|1184,NvWaQinGong,13-2,13,
363,10726|10725,1183|1184,NvWaQinGong,13-3,13,
364,10728|10727,1183|1184,NvWaQinGong,13-4,13,
365,10730|10729,1185|1186,NvWaQinGong,13-5,13,1:2:100
366,10732|10731,1185|1186,NvWaQinGong,13-6,13,
367,10734|10733,1185|1186,NvWaQinGong,13-7,13,
368,10736|10735,1185|1186,NvWaQinGong,13-8,13,
369,10738|10737,1185|1186,NvWaQinGong,13-9,13,
370,10740|10739,1185|1186,NvWaQinGong,13-10,13,5:3000214:200
371,10742|10741,1187|1188,NvWaQinGong,13-11,13,
372,10744|10743,1187|1188,NvWaQinGong,13-12,13,
373,10746|10745,1187|1188,NvWaQinGong,13-13,13,
374,10748|10747,1187|1188,NvWaQinGong,13-14,13,
375,10750|10749,1187|1188,NvWaQinGong,13-15,13,1:2:100
376,10752|10751,1187|1188,NvWaQinGong,13-16,13,
377,10754|10753,1189|1190,NvWaQinGong,13-17,13,
378,10756|10755,1189|1190,NvWaQinGong,13-18,13,
379,10758|10757,1189|1190,NvWaQinGong,13-19,13,
380,10760|10759,1189|1190,NvWaQinGong,13-20,13,5:3000214:300
381,10762|10761,1189|1190,NvWaQinGong,13-21,13,
382,10764|10763,1189|1190,NvWaQinGong,13-22,13,
383,10766|10765,1191|1192,NvWaQinGong,13-23,13,
384,10768|10767,1191|1192,NvWaQinGong,13-24,13,
385,10770|10769,1191|1192,NvWaQinGong,13-25,13,1:2:200
386,10772|10771,1191|1192,NvWaQinGong,13-26,13,
387,10774|10773,1191|1192,NvWaQinGong,13-27,13,
388,10776|10775,1191|1192,NvWaQinGong,13-28,13,
389,10778|10777,1193|1194,NvWaQinGong,13-29,13,
390,10780|10779,1193|1194,NvWaQinGong,13-30,13,5:3000027:1
391,10782|10781,1193|1194,KunLunTianGong,14-1,14,
392,10784|10783,1193|1194,KunLunTianGong,14-2,14,
393,10786|10785,1193|1194,KunLunTianGong,14-3,14,
394,10788|10787,1193|1194,KunLunTianGong,14-4,14,
395,10790|10789,1195|1196,KunLunTianGong,14-5,14,1:2:100
396,10792|10791,1195|1196,KunLunTianGong,14-6,14,
397,10794|10793,1195|1196,KunLunTianGong,14-7,14,
398,10796|10795,1195|1196,KunLunTianGong,14-8,14,
399,10798|10797,1195|1196,KunLunTianGong,14-9,14,
400,10800|10799,1195|1196,KunLunTianGong,14-10,14,5:3000214:200
401,10802|10801,1197|1198,KunLunTianGong,14-11,14,
402,10804|10803,1197|1198,KunLunTianGong,14-12,14,
403,10806|10805,1197|1198,KunLunTianGong,14-13,14,
404,10808|10807,1197|1198,KunLunTianGong,14-14,14,
405,10810|10809,1197|1198,KunLunTianGong,14-15,14,1:2:100
406,10812|10811,1197|1198,KunLunTianGong,14-16,14,
407,10814|10813,1199|1200,KunLunTianGong,14-17,14,
408,10816|10815,1199|1200,KunLunTianGong,14-18,14,
409,10818|10817,1199|1200,KunLunTianGong,14-19,14,
410,10820|10819,1199|1200,KunLunTianGong,14-20,14,5:3000214:300
411,10822|10821,1199|1200,KunLunTianGong,14-21,14,
412,10824|10823,1199|1200,KunLunTianGong,14-22,14,
413,10826|10825,1201|1202,KunLunTianGong,14-23,14,
414,10828|10827,1201|1202,KunLunTianGong,14-24,14,
415,10830|10829,1201|1202,KunLunTianGong,14-25,14,1:2:200
416,10832|10831,1201|1202,KunLunTianGong,14-26,14,
417,10834|10833,1201|1202,KunLunTianGong,14-27,14,
418,10836|10835,1201|1202,KunLunTianGong,14-28,14,
419,10838|10837,1203|1204,KunLunTianGong,14-29,14,
420,10840|10839,1203|1204,KunLunTianGong,14-30,14,5:3000027:1
421,10842|10841,1203|1204,XieShenCangShenChu,15-1,15,
422,10844|10843,1203|1204,XieShenCangShenChu,15-2,15,
423,10846|10845,1203|1204,XieShenCangShenChu,15-3,15,
424,10848|10847,1203|1204,XieShenCangShenChu,15-4,15,
425,10850|10849,1205|1206,XieShenCangShenChu,15-5,15,1:2:100
426,10852|10851,1205|1206,XieShenCangShenChu,15-6,15,
427,10854|10853,1205|1206,XieShenCangShenChu,15-7,15,
428,10856|10855,1205|1206,XieShenCangShenChu,15-8,15,
429,10858|10857,1205|1206,XieShenCangShenChu,15-9,15,
430,10860|10859,1205|1206,XieShenCangShenChu,15-10,15,5:3000214:200
431,10862|10861,1207|1208,XieShenCangShenChu,15-11,15,
