task_id,task_type,level_min_need,task_group,task_index,task_id_before,task_condition,task_value,reward,name,content,content_param,link
200025,4,1,200001,28,200024,1,50,1:2:1000,Level Up Achievements,Player upgrade to Lv50 and unlock Artifact,,4
110005,4,1,200001,29,200025,3,190,5:3000005:10,Level Up Achievements,Complete all dungeons in Asgard,,4
200026,4,1,200001,30,110005,3,220,5:3000005:10,Level Up Achievements,Complete all dungeons in Purgatory,,4
200027,4,1,200001,31,200026,1,60,5:2000005:50,Level Up Achievements,Player upgrade to Lv.60,,4
200028,4,1,200001,32,200027,34,2,1:2:1000,Level Up Achievements,Any Angel equips a whole set of 2-Star Artifacts,,1|0
200029,4,1,200001,33,200028,3,250,5:3000005:10,Level Up Achievements,Complete all dungeons in Nuwa Palace,,4
110006,4,1,200001,34,200029,3,280,5:3000005:10,Level Up Achievements,Complete all dungeons in Kunlun Mountains,,4
200030,4,1,200001,35,110006,1,70,1:2:1000,Level Up Achievements,Player upgrade to Lv70 and unlock Star Trial,,4
200031,4,1,200001,36,200030,200,5,4:107:1,Level Up Achievements,Any Angel equips a whole set of Gems of above Lv. 5,,1|0
200032,4,1,200001,37,200031,57,1,4:207:1,Level Up Achievements,Complete Regular difficulty Star Trial,,11
110007,4,1,200001,38,200032,3,340,5:3000005:10,Level Up Achievements,Complete all dungeons in Godban Gorge,,4
200033,4,1,200001,39,110007,3,400,5:3000005:10,Level Up Achievements,Complete all dungeons in God Valley,,4
110008,4,1,200001,40,200033,3,460,5:3000005:10,Level Up Achievements,Complete all dungeons in Abyss,,4
110009,4,1,200001,41,110008,3,520,5:3000005:10,Level Up Achievements,Complete all dungeons in Shadow Sea,,4
200034,4,1,200001,42,110009,3,580,5:3000049:10,Level Up Achievements,Complete all dungeons in Milan,,4
110010,4,1,200001,43,200034,3,640,5:3000049:10,Level Up Achievements,Complete all dungeons in Rome,,4
200035,4,1,200001,44,110010,3,700,5:3000049:10,Level Up Achievements,Complete all dungeons in Sicily,,4
110011,4,1,200001,45,200035,3,760,5:3000049:10,Level Up Achievements,Complete all dungeons in Napoli,,4
200036,4,1,200001,46,110011,3,820,5:3000049:10,Level Up Achievements,Complete all dungeons in Realm,,4
110012,4,1,200001,47,200036,3,880,5:3000049:10,Level Up Achievements,Complete all dungeons in Aegean Sea,,4
200037,4,1,200001,48,110012,3,940,5:3000049:10,Level Up Achievements,Complete all dungeons in Kefalonia,,4
110013,4,1,200001,49,200037,3,1000,5:3000049:10,Level Up Achievements,Complete all dungeons in Volcano,,4
200038,4,1,200001,50,110013,3,1030,5:3000049:10,Level Up Achievements,Complete all dungeons in Sky City,,4
110014,4,1,200001,51,200038,3,1060,5:3000049:10,Level Up Achievements,Complete all dungeons in Spirit Canyon,,4
200039,4,1,200001,52,110014,3,1090,5:3000049:10,Level Up Achievements,Complete all dungeons in Snowland,,4
110015,4,1,200001,53,200039,3,1120,5:3000049:10,Level Up Achievements,Complete all dungeons in Temple,,4
200040,4,1,200001,54,110015,3,1150,5:3000049:10,Level Up Achievements,Complete all dungeons in Mississippi,,4
110016,4,1,200001,55,200040,3,1180,5:3000049:10,Level Up Achievements,Complete all dungeons in Alabama,,4
200041,4,1,200001,56,110016,3,1210,5:3000049:10,Level Up Achievements,Complete all dungeons in Bermuda,,4
110017,4,1,200001,57,200041,3,1240,5:3000049:10,Level Up Achievements,Complete all dungeons in Seabed,,4
200042,4,1,200001,58,110017,3,1270,5:3000049:10,Level Up Achievements,Clear all levels in Babylon,,4
200043,4,1,200001,59,200042,3,1300,5:3000049:10,Level Up Achievements,Clear all levels in Caspian,,4
200044,4,1,200001,60,200043,3,1330,5:3000049:10,Level Up Achievements,Clear all levels in Sacred land,,4
200045,4,1,200001,61,200044,3,1360,5:3000049:10,Level Up Achievements,Clear all levels in Shrine,,4
200046,4,1,200001,62,200045,3,1460,5:3000049:10,Level Up Achievements,Complete Kilimanjaro,,4
200047,4,1,200001,63,200046,3,1560,5:3000049:10,Level Up Achievements,Complete Great Rift Valley,,4
200048,4,1,200001,64,200047,3,1660,5:3000049:10,Level Up Achievements,Complete Red Sea,,4
200049,4,1,200001,65,200048,3,1760,5:3000049:10,Level Up Achievements,Complete Sahara Desert,,4
200050,4,1,200001,66,200049,3,1860,5:3000049:10,Level Up Achievements,Clear all levels in Novosibirsk,,4
200051,4,1,200001,67,200050,3,1960,5:3000049:10,Level Up Achievements,Clear all levels in Saint Petersburg,,4
200052,4,1,200001,68,200051,3,2060,5:3000049:10,Level Up Achievements,Clear all levels in Lake Baikal,,4
200053,4,1,200001,69,200052,3,2160,5:3000027:10,Level Up Achievements,Clear all levels in Yekaterinburg,,4
200054,4,1,200001,70,200053,3,2260,5:3000049:10,Level Up Achievements,Clear all levels in Chukchi,,4
200055,4,1,200001,71,200054,3,2360,5:3000049:10,Level Up Achievements,Clear all levels in Wales,,4
200056,4,1,200001,72,200055,3,2460,5:3000049:10,Level Up Achievements,Clear all levels in Tera,,4
200057,4,1,200001,73,200056,3,2560,5:3000027:10,Level Up Achievements,Clear all levels in Nome,,4
200058,4,1,200001,74,200057,3,2660,5:3000027:10,Level Up Achievements,Clear all levels in Savoonga,,4
200059,4,1,200001,75,200058,3,2760,5:3000027:10,Level Up Achievements,Clear all levels in Stebbins,,4
200060,4,1,200001,76,200059,3,2860,5:3000027:10,Level Up Achievements,Clear all levels in Emmonak,,4
200061,4,1,200001,77,200060,3,2960,5:3000027:10,Level Up Achievements,Clear all levels in Hooper Bay,,4
200062,4,1,200001,78,200061,3,3060,5:3000027:10,Level Up Achievements,Complete Huston,,4
200063,4,1,200001,79,200062,3,3160,5:3000027:10,Level Up Achievements,Complete Miami,,4
200064,4,1,200001,80,200063,3,3260,5:3000027:10,Level Up Achievements,Complete Mexico City,,4
200065,4,1,200001,81,200064,3,3360,5:3000027:10,Level Up Achievements,Complete Tulum,,4
200066,4,1,200001,82,200065,3,3460,5:3000027:10,Level Up Achievements,Clear all dungeons in Havana,,4
200067,4,1,200001,83,200066,3,3560,5:3000027:10,Level Up Achievements,Clear all dungeons in Managua,,4
200068,4,1,200001,84,200067,3,3660,5:3000027:10,Level Up Achievements,Clear all dungeons in Portland,,4
200069,4,1,200001,85,200068,3,3760,5:3000027:10,Level Up Achievements,Clear all dungeons in Port-au-Prince,,4
200070,4,1,200001,86,200069,3,3860,5:3000027:10,Level Up Achievements,Complete all dungeons in Lisbon,,4
200071,4,1,200001,87,200070,3,3960,5:3000027:10,Level Up Achievements,Complete all dungeons in Madrid,,4
200072,4,1,200001,88,200071,3,4060,5:3000027:10,Level Up Achievements,Complete all dungeons in Rabat,,4
200073,4,1,200001,89,200072,3,4160,5:3000027:10,Level Up Achievements,Complete all dungeons in Algiers,,4
200074,4,1,200001,90,200073,3,4260,5:3000027:10,Level Up Achievements,Clear all levels in South Africa,,4
200075,4,1,200001,91,200074,3,4360,5:3000027:10,Level Up Achievements,Clear all levels in Madagascar,,4
200076,4,1,200001,92,200075,3,4460,5:3000027:10,Level Up Achievements,Clear all levels in Zambia,,4
200077,4,1,200001,93,200076,3,4560,5:3000027:10,Level Up Achievements,Clear all levels in Mozambique,,4
200078,4,1,200001,94,200077,3,4660,5:3000027:10,Level Up Achievements,Complete all dungeons in Somalia,,4
200079,4,1,200001,95,200078,3,4760,5:3000027:10,Level Up Achievements,Complete all dungeons in Uganda,,4
200080,4,1,200001,96,200079,3,4860,5:3000027:10,Level Up Achievements,Complete all dungeons in Kenya,,4
200081,4,1,200001,97,200080,3,4960,5:3000027:10,Level Up Achievements,Complete all dungeons in Tanzania,,4
200082,4,1,200001,98,200081,3,5060,5:3000027:10,Level Up Achievements,Complete all dungeons in Djibouti,,4
200083,4,1,200001,99,200082,3,5160,5:3000027:10,Level Up Achievements,Complete all dungeons in Saudi Arabia,,4
200084,4,1,200001,100,200083,3,5260,5:3000027:10,Level Up Achievements,Complete all dungeons in Yemen,,4
200085,4,1,200001,101,200084,3,5360,5:3000027:10,Level Up Achievements,Complete all dungeons in Oman,,4
200086,4,1,200001,102,200085,3,5460,5:3000027:10,Level Up Achievements,Complete all dungeons in Tunisia,,4
200087,4,1,200001,103,200086,3,5560,5:3000027:10,Level Up Achievements,Complete all dungeons in Morocco,,4
200088,4,1,200001,104,200087,3,5660,5:3000027:10,Level Up Achievements,Complete all dungeons in Portugal,,4
200089,4,1,200001,105,200088,3,5760,5:3000027:10,Level Up Achievements,Complete all dungeons in Spain,,4
200090,4,1,200001,106,200089,3,5860,5:3000027:10,Level Up Achievements,Complete all dungeons in Romania,,4
200091,4,1,200001,107,200090,3,5960,5:3000027:10,Level Up Achievements,Complete all dungeons in Serbia,,4
200092,4,1,200001,108,200091,3,6060,5:3000027:10,Level Up Achievements,Complete all dungeons in Bulgaria,,4
200093,4,1,200001,109,200092,3,6160,5:3000027:10,Level Up Achievements,Complete all dungeons in Austria,,4
