task_id,task_type,level_min_need,task_group,task_index,task_id_before,task_condition,task_value,reward,name,content,content_param,link
80001,1,1,80001,0,0,1,5,1:2:100|7:2017:15,等级提升,Upgrade to Lv.{0},5,
80021,1,1,80001,20,80020,1,105,1:2:300|1:1:230000,等级提升,Upgrade to Lv.105,,
80022,1,1,80001,21,80021,1,110,1:2:300|1:1:245000,等级提升,Upgrade to Lv.110,,
80023,1,1,80001,22,80022,1,115,1:2:300|1:1:250000,等级提升,Upgrade to Lv.115,,
80024,1,1,80001,23,80023,1,120,1:2:300|1:1:355000,等级提升,Upgrade to Lv.120,,
80025,1,1,80001,24,80024,1,125,1:2:300|1:1:375000,等级提升,Upgrade to Lv.125,,
80026,1,1,80001,25,80025,1,130,1:2:300|1:1:295000,等级提升,Upgrade to Lv.130,,
80027,1,1,80001,26,80026,1,135,1:2:300|1:1:305000,等级提升,Upgrade to Lv.135,,
80028,1,1,80001,27,80027,1,140,1:2:300|1:1:320000,等级提升,Upgrade to Lv.140,,
80029,1,1,80001,28,80028,1,145,1:2:300|1:1:325000,等级提升,Upgrade to Lv.145,,
80030,1,1,80001,29,80029,1,150,1:2:400|1:1:455000,等级提升,Upgrade to Lv.150,,
80031,1,1,80001,30,80030,1,155,1:2:400|1:1:475000,等级提升,Upgrade to Lv.155,,
80032,1,1,80001,31,80031,1,160,1:2:400|1:1:370000,等级提升,Upgrade to Lv.160,,
80033,1,1,80001,32,80032,1,165,1:2:400|1:1:380000,等级提升,Upgrade to Lv.165,,
80034,1,1,80001,33,80033,1,170,1:2:400|1:1:400000,等级提升,Upgrade to Lv.170,,
80035,1,1,80001,34,80034,1,175,1:2:400|1:1:410000,等级提升,Upgrade to Lv.175,,
80036,1,1,80001,35,80035,1,180,1:2:400|1:1:555000,等级提升,Upgrade to Lv.180,,
80037,1,1,80001,36,80036,1,185,1:2:400|1:1:575000,等级提升,Upgrade to Lv.185,,
80038,1,1,80001,37,80037,1,190,1:2:400|1:1:445000,等级提升,Upgrade to Lv.190,,
80039,1,1,80001,38,80038,1,195,1:2:400|1:1:455000,等级提升,Upgrade to Lv.195,,
80040,1,1,80001,39,80039,1,200,1:2:400|1:1:625000,等级提升,Upgrade to Lv.200,,
90001,1,1,90001,0,0,3,1,1:2:50|1:1:10000,副本推图,Complete Dungeon {0},1-1,
90002,1,1,90001,1,90001,3,5,1:2:50|1:1:50000,副本推图,Complete Dungeon {0},2-4,
90003,1,1,90001,2,90002,3,10,1:2:50|1:1:100000,副本推图,Complete Dungeon {0},2-9,
90004,1,1,90001,3,90003,3,15,1:2:50|1:1:150000,副本推图,Complete Dungeon {0},2-14,
90005,1,1,90001,4,90004,3,20,1:2:50|1:1:200000,副本推图,Complete Dungeon {0},2-19,
90006,1,1,90001,5,90005,3,25,1:2:75|1:1:250000,副本推图,Complete Dungeon {0},3-5,
90007,1,1,90001,6,90006,3,30,1:2:75|1:1:300000,副本推图,Complete Dungeon {0},3-10,
90008,1,1,90001,7,90007,3,35,1:2:75|1:1:350000,副本推图,Complete Dungeon {0},3-15,
90009,1,1,90001,8,90008,3,40,1:2:75|1:1:400000,副本推图,Complete Dungeon {0},3-20,
90010,1,1,90001,9,90009,3,45,1:2:100|1:1:450000,副本推图,Complete Dungeon {0},4-5,
90011,1,1,90001,10,90010,3,50,1:2:100|1:1:500000,副本推图,Complete Dungeon {0},4-10,
90012,1,1,90001,11,90011,3,55,1:2:100|1:1:550000,副本推图,Complete Dungeon {0},4-15,
90013,1,1,90001,12,90012,3,60,1:2:100|1:1:600000,副本推图,Complete Dungeon {0},4-20,
900001,1,1,90001,13,90013,3,65,1:2:65|1:1:325000,副本推图,Complete Dungeon {0},5-5,
90014,1,1,90001,14,900001,3,70,1:2:65|1:1:325000,副本推图,Complete Dungeon {0},5-10,
900002,1,1,90001,15,90014,3,75,1:2:65|1:1:350000,副本推图,Complete Dungeon {0},5-15,
90015,1,1,90001,16,900002,3,80,1:2:65|1:1:350000,副本推图,Complete Dungeon {0},5-20,
900003,1,1,90001,17,90015,3,85,1:2:65|1:1:375000,副本推图,Complete Dungeon {0},6-5,
90016,1,1,90001,18,900003,3,90,1:2:65|1:1:375000,副本推图,Complete Dungeon {0},6-10,
900004,1,1,90001,19,90016,3,95,1:2:65|1:1:400000,副本推图,Complete Dungeon {0},6-15,
90017,1,1,90001,20,900004,3,100,1:2:65|1:1:400000,副本推图,Complete Dungeon {0},6-20,
900005,1,1,90001,21,90017,3,105,1:2:50|1:1:280000,副本推图,Complete Dungeon {0},7-5,
900006,1,1,90001,22,900005,3,110,1:2:50|1:1:280000,副本推图,Complete Dungeon {0},7-10,
90018,1,1,90001,23,900006,3,115,1:2:50|1:1:280000,副本推图,Complete Dungeon {0},7-15,
900007,1,1,90001,24,90018,3,120,1:2:50|1:1:300000,副本推图,Complete Dungeon {0},7-20,
900008,1,1,90001,25,900007,3,125,1:2:50|1:1:300000,副本推图,Complete Dungeon {0},7-25,
90019,1,1,90001,26,900008,3,130,1:2:50|1:1:300000,副本推图,Complete Dungeon {0},7-30,
900009,1,1,90001,27,90019,3,135,1:2:50|1:1:320000,副本推图,Complete Dungeon {0},8-5,
900010,1,1,90001,28,900009,3,140,1:2:50|1:1:320000,副本推图,Complete Dungeon {0},8-10,
90020,1,1,90001,29,900010,3,145,1:2:50|1:1:320000,副本推图,Complete Dungeon {0},8-15,
900011,1,1,90001,30,90020,3,150,1:2:50|1:1:330000,副本推图,Complete Dungeon {0},8-20,
900012,1,1,90001,31,900011,3,155,1:2:50|1:1:330000,副本推图,Complete Dungeon {0},8-25,
90021,1,1,90001,32,900012,3,160,1:2:50|1:1:330000,副本推图,Complete Dungeon {0},8-30,
900013,1,1,90001,33,90021,3,165,1:2:60|1:1:350000,副本推图,Complete Dungeon {0},9-5,
900014,1,1,90001,34,900013,3,170,1:2:60|1:1:350000,副本推图,Complete Dungeon {0},9-10,
90022,1,1,90001,35,900014,3,175,1:2:60|1:1:350000,副本推图,Complete Dungeon {0},9-15,
900015,1,1,90001,36,90022,3,180,1:2:60|1:1:360000,副本推图,Complete Dungeon {0},9-20,
900016,1,1,90001,37,900015,3,185,1:2:60|1:1:360000,副本推图,Complete Dungeon {0},9-25,
90023,1,1,90001,38,900016,3,190,1:2:60|1:1:360000,副本推图,Complete Dungeon {0},9-30,
900017,1,1,90001,39,90023,3,195,1:2:50|1:1:570000,副本推图,Complete Dungeon {0},10-5,
90024,1,1,90001,40,900017,3,200,1:2:50|1:1:570000,副本推图,Complete Dungeon {0},10-10,
900018,1,1,90001,41,90024,3,205,1:2:50|1:1:600000,副本推图,Complete Dungeon {0},10-15,
90025,1,1,90001,42,900018,3,210,1:2:50|1:1:600000,副本推图,Complete Dungeon {0},10-20,
900019,1,1,90001,43,90025,3,215,1:2:75|1:1:625000,副本推图,Complete Dungeon {0},10-25,
90026,1,1,90001,44,900019,3,220,1:2:75|1:1:625000,副本推图,Complete Dungeon {0},10-30,
900020,1,1,90001,45,90026,3,225,1:2:50|1:1:650000,副本推图,Complete Dungeon {0},11-5,
90027,1,1,90001,46,900020,3,230,1:2:50|1:1:650000,副本推图,Complete Dungeon {0},11-10,
900021,1,1,90001,47,90027,3,235,1:2:50|1:1:675000,副本推图,Complete Dungeon {0},11-15,
90028,1,1,90001,48,900021,3,240,1:2:50|1:1:675000,副本推图,Complete Dungeon {0},11-20,
900022,1,1,90001,49,90028,3,245,1:2:100|1:1:700000,副本推图,Complete Dungeon {0},11-25,
90029,1,1,90001,50,900022,3,250,1:2:100|1:1:700000,副本推图,Complete Dungeon {0},11-30,
900023,1,1,90001,51,90029,3,255,1:2:50|1:1:725000,副本推图,Complete Dungeon {0},12-5,
90030,1,1,90001,52,900023,3,260,1:2:50|1:1:725000,副本推图,Complete Dungeon {0},12-10,
900024,1,1,90001,53,90030,3,265,1:2:50|1:1:750000,副本推图,Complete Dungeon {0},12-15,
90031,1,1,90001,54,900024,3,270,1:2:50|1:1:750000,副本推图,Complete Dungeon {0},12-20,
900025,1,1,90001,55,90031,3,275,1:2:100|1:1:775000,副本推图,Complete Dungeon {0},12-25,
90032,1,1,90001,56,900025,3,280,1:2:100|1:1:775000,副本推图,Complete Dungeon {0},12-30,
900026,1,1,90001,57,90032,3,285,1:2:50|1:1:800000,副本推图,Complete Dungeon {0},13-5,
90033,1,1,90001,58,900026,3,290,1:2:50|1:1:800000,副本推图,Complete Dungeon {0},13-10,
900027,1,1,90001,59,90033,3,295,1:2:50|1:1:825000,副本推图,Complete Dungeon {0},13-15,
90034,1,1,90001,60,900027,3,300,1:2:50|1:1:825000,副本推图,Complete Dungeon {0},13-20,
900028,1,1,90001,61,90034,3,305,1:2:125|1:1:850000,副本推图,Complete Dungeon {0},13-25,
90035,1,1,90001,62,900028,3,310,1:2:125|1:1:850000,副本推图,Complete Dungeon {0},13-30,
900029,1,1,90001,63,90035,3,315,1:2:55|1:1:875000,副本推图,Complete Dungeon {0},13-35,
90036,1,1,90001,64,900029,3,320,1:2:55|1:1:875000,副本推图,Complete Dungeon {0},13-40,
900030,1,1,90001,65,90036,3,325,1:2:55|1:1:900000,副本推图,Complete Dungeon {0},13-45,
90037,1,1,90001,66,900030,3,330,1:2:55|1:1:900000,副本推图,Complete Dungeon {0},13-50,
900031,1,1,90001,67,90037,3,335,1:2:65|1:1:925000,副本推图,Complete Dungeon {0},13-55,
90038,1,1,90001,68,900031,3,340,1:2:65|1:1:925000,副本推图,Complete Dungeon {0},13-60,
900032,1,1,90001,69,90038,3,345,1:2:75|1:1:950000,副本推图,Complete Dungeon {0},14-5,
90039,1,1,90001,70,900032,3,350,1:2:75|1:1:950000,副本推图,Complete Dungeon {0},14-10,
900033,1,1,90001,71,90039,3,355,1:2:75|1:1:975000,副本推图,Complete Dungeon {0},14-15,
90040,1,1,90001,72,900033,3,360,1:2:75|1:1:975000,副本推图,Complete Dungeon {0},14-20,
900034,1,1,90001,73,90040,3,365,1:2:100|1:1:1000000,副本推图,Complete Dungeon {0},14-25,
90041,1,1,90001,74,900034,3,370,1:2:100|1:1:1000000,副本推图,Complete Dungeon {0},14-30,
900035,1,1,90001,75,90041,3,375,1:2:75|1:1:1025000,副本推图,Complete Dungeon {0},14-35,
90042,1,1,90001,76,900035,3,380,1:2:75|1:1:1025000,副本推图,Complete Dungeon {0},14-40,
900036,1,1,90001,77,90042,3,385,1:2:75|1:1:1050000,副本推图,Complete Dungeon {0},14-45,
90043,1,1,90001,78,900036,3,390,1:2:75|1:1:1050000,副本推图,Complete Dungeon {0},14-50,
900037,1,1,90001,79,90043,3,395,1:2:100|1:1:1075000,副本推图,Complete Dungeon {0},14-55,
90044,1,1,90001,80,900037,3,400,1:2:100|1:1:1075000,副本推图,Complete Dungeon {0},14-60,
900038,1,1,90001,81,90044,3,405,1:2:75|1:1:1100000,副本推图,Complete Dungeon {0},15-5,
90045,1,1,90001,82,900038,3,410,1:2:75|1:1:1100000,副本推图,Complete Dungeon {0},15-10,
900039,1,1,90001,83,90045,3,415,1:2:100|1:1:1062500,副本推图,Complete Dungeon {0},15-15,
90046,1,1,90001,84,900039,3,420,1:2:100|1:1:1062500,副本推图,Complete Dungeon {0},15-20,
900040,1,1,90001,85,90046,3,425,1:2:100|1:1:1150000,副本推图,Complete Dungeon {0},15-25,
90047,1,1,90001,86,900040,3,430,1:2:100|1:1:1150000,副本推图,Complete Dungeon {0},15-30,
900041,1,1,90001,87,90047,3,435,1:2:75|1:1:1175000,副本推图,Complete Dungeon {0},15-35,
90048,1,1,90001,88,900041,3,440,1:2:75|1:1:1175000,副本推图,Complete Dungeon {0},15-40,
900042,1,1,90001,89,90048,3,445,1:2:100|1:1:1200000,副本推图,Complete Dungeon {0},15-45,
90049,1,1,90001,90,900042,3,450,1:2:100|1:1:1200000,副本推图,Complete Dungeon {0},15-50,
900043,1,1,90001,91,90049,3,455,1:2:100|1:1:1225000,副本推图,Complete Dungeon {0},15-55,
90050,1,1,90001,92,900043,3,460,1:2:100|1:1:1225000,副本推图,Complete Dungeon {0},15-60,
900044,1,1,90001,93,90050,3,465,1:2:100|1:1:1250000,副本推图,Complete Dungeon {0},16-5,
90051,1,1,90001,94,900044,3,470,1:2:100|1:1:1250000,副本推图,Complete Dungeon {0},16-10,
900045,1,1,90001,95,90051,3,475,1:2:100|1:1:1275000,副本推图,Complete Dungeon {0},16-15,
90052,1,1,90001,96,900045,3,480,1:2:100|1:1:1275000,副本推图,Complete Dungeon {0},16-20,
900046,1,1,90001,97,90052,3,485,1:2:100|1:1:1300000,副本推图,Complete Dungeon {0},16-25,
90053,1,1,90001,98,900046,3,490,1:2:100|1:1:1300000,副本推图,Complete Dungeon {0},16-30,
900047,1,1,90001,99,90053,3,495,1:2:100|1:1:1325000,副本推图,Complete Dungeon {0},16-35,
90054,1,1,90001,100,900047,3,500,1:2:100|1:1:1325000,副本推图,Complete Dungeon {0},16-40,
900048,1,1,90001,101,90054,3,505,1:2:100|1:1:1350000,副本推图,Complete Dungeon {0},16-45,
90055,1,1,90001,102,900048,3,510,1:2:100|1:1:1350000,副本推图,Complete Dungeon {0},16-50,
900049,1,1,90001,103,90055,3,515,1:2:100|1:1:1375000,副本推图,Complete Dungeon {0},16-55,
90056,1,1,90001,104,900049,3,520,1:2:100|1:1:1375000,副本推图,Complete Dungeon {0},16-60,
900050,1,1,90001,105,90056,3,525,1:2:100|1:1:1400000,副本推图,Complete Dungeon {0},17-5,
90057,1,1,90001,106,900050,3,530,1:2:100|1:1:1400000,副本推图,Complete Dungeon {0},17-10,
900051,1,1,90001,107,90057,3,535,1:2:100|1:1:1425000,副本推图,Complete Dungeon {0},17-15,
90058,1,1,90001,108,900051,3,540,1:2:100|1:1:1425000,副本推图,Complete Dungeon {0},17-20,
900052,1,1,90001,109,90058,3,545,1:2:125|1:1:1450000,副本推图,Complete Dungeon {0},17-25,
90059,1,1,90001,110,900052,3,550,1:2:125|1:1:1450000,副本推图,Complete Dungeon {0},17-30,
900053,1,1,90001,111,90059,3,555,1:2:100|1:1:1475000,副本推图,Complete Dungeon {0},17-35,
90060,1,1,90001,112,900053,3,560,1:2:100|1:1:1475000,副本推图,Complete Dungeon {0},17-40,
900054,1,1,90001,113,90060,3,565,1:2:100|1:1:1500000,副本推图,Complete Dungeon {0},17-45,
90061,1,1,90001,114,900054,3,570,1:2:100|1:1:1500000,副本推图,Complete Dungeon {0},17-50,
900055,1,1,90001,115,90061,3,575,1:2:125|1:1:1525000,副本推图,Complete Dungeon {0},17-55,
90062,1,1,90001,116,900055,3,580,1:2:125|1:1:1525000,副本推图,Complete Dungeon {0},17-60,
900056,1,1,90001,117,90062,3,585,1:2:100|1:1:1550000,副本推图,Complete Dungeon {0},18-5,
90063,1,1,90001,118,900056,3,590,1:2:100|1:1:1550000,副本推图,Complete Dungeon {0},18-10,
900057,1,1,90001,119,90063,3,595,1:2:100|1:1:1575000,副本推图,Complete Dungeon {0},18-15,
90064,1,1,90001,120,900057,3,600,1:2:100|1:1:1575000,副本推图,Complete Dungeon {0},18-20,
900058,1,1,90001,121,90064,3,605,1:2:125|1:1:1600000,副本推图,Complete Dungeon {0},18-25,
90065,1,1,90001,122,900058,3,610,1:2:125|1:1:1600000,副本推图,Complete Dungeon {0},18-30,
900059,1,1,90001,123,90065,3,615,1:2:100|1:1:1625000,副本推图,Complete Dungeon {0},18-35,
90066,1,1,90001,124,900059,3,620,1:2:100|1:1:1625000,副本推图,Complete Dungeon {0},18-40,
900060,1,1,90001,125,90066,3,625,1:2:100|1:1:1650000,副本推图,Complete Dungeon {0},18-45,
90067,1,1,90001,126,900060,3,630,1:2:100|1:1:1650000,副本推图,Complete Dungeon {0},18-50,
900061,1,1,90001,127,90067,3,635,1:2:150|1:1:1675000,副本推图,Complete Dungeon {0},18-55,
90068,1,1,90001,128,900061,3,640,1:2:150|1:1:1675000,副本推图,Complete Dungeon {0},18-60,
900062,1,1,90001,129,90068,3,645,1:2:100|1:1:1700000,副本推图,Complete Dungeon {0},19-5,
90069,1,1,90001,130,900062,3,650,1:2:100|1:1:1700000,副本推图,Complete Dungeon {0},19-10,
900063,1,1,90001,131,90069,3,655,1:2:100|1:1:1725000,副本推图,Complete Dungeon {0},19-15,
90070,1,1,90001,132,900063,3,660,1:2:100|1:1:1725000,副本推图,Complete Dungeon {0},19-20,
900064,1,1,90001,133,90070,3,665,1:2:175|1:1:1750000,副本推图,Complete Dungeon {0},19-25,
90071,1,1,90001,134,900064,3,670,1:2:175|1:1:1750000,副本推图,Complete Dungeon {0},19-30,
900065,1,1,90001,135,90071,3,675,1:2:100|1:1:1775000,副本推图,Complete Dungeon {0},19-35,
90072,1,1,90001,136,900065,3,680,1:2:100|1:1:1775000,副本推图,Complete Dungeon {0},19-40,
900066,1,1,90001,137,90072,3,685,1:2:150|1:1:1800000,副本推图,Complete Dungeon {0},19-45,
90073,1,1,90001,138,900066,3,690,1:2:150|1:1:1800000,副本推图,Complete Dungeon {0},19-50,
900067,1,1,90001,139,90073,3,695,1:2:150|1:1:1825000,副本推图,Complete Dungeon {0},19-55,
90074,1,1,90001,140,900067,3,700,1:2:150|1:1:1825000,副本推图,Complete Dungeon {0},19-60,
900068,1,1,90001,141,90074,3,705,1:2:125|1:1:1850000,副本推图,Complete Dungeon {0},20-5,
90075,1,1,90001,142,900068,3,710,1:2:125|1:1:1850000,副本推图,Complete Dungeon {0},20-10,
900069,1,1,90001,143,90075,3,715,1:2:150|1:1:1875000,副本推图,Complete Dungeon {0},20-15,
90076,1,1,90001,144,900069,3,720,1:2:150|1:1:1875000,副本推图,Complete Dungeon {0},20-20,
900070,1,1,90001,145,90076,3,725,1:2:150|1:1:1900000,副本推图,Complete Dungeon {0},20-25,
90077,1,1,90001,146,900070,3,730,1:2:150|1:1:1900000,副本推图,Complete Dungeon {0},20-30,
900071,1,1,90001,147,90077,3,735,1:2:150|1:1:1925000,副本推图,Complete Dungeon {0},20-35,
90078,1,1,90001,148,900071,3,740,1:2:150|1:1:1925000,副本推图,Complete Dungeon {0},20-40,
900072,1,1,90001,149,90078,3,745,1:2:150|1:1:1950000,副本推图,Complete Dungeon {0},20-45,
90079,1,1,90001,150,900072,3,750,1:2:150|1:1:1950000,副本推图,Complete Dungeon {0},20-50,
900073,1,1,90001,151,90079,3,755,1:2:150|1:1:1975000,副本推图,Complete Dungeon {0},20-55,
90080,1,1,90001,152,900073,3,760,1:2:150|1:1:1975000,副本推图,Complete Dungeon {0},20-60,
900074,1,1,90001,153,90080,3,765,1:2:150|1:1:2000000,副本推图,Complete Dungeon {0},21-5,
90081,1,1,90001,154,900074,3,770,1:2:150|1:1:2000000,副本推图,Complete Dungeon {0},21-10,
900075,1,1,90001,155,90081,3,775,1:2:150|1:1:2025000,副本推图,Complete Dungeon {0},21-15,
90082,1,1,90001,156,900075,3,780,1:2:150|1:1:2025000,副本推图,Complete Dungeon {0},21-20,
900076,1,1,90001,157,90082,3,785,1:2:175|1:1:2050000,副本推图,Complete Dungeon {0},21-25,
90083,1,1,90001,158,900076,3,790,1:2:175|1:1:2050000,副本推图,Complete Dungeon {0},21-30,
900077,1,1,90001,159,90083,3,795,1:2:150|1:1:2075000,副本推图,Complete Dungeon {0},21-35,
90084,1,1,90001,160,900077,3,800,1:2:150|1:1:2075000,副本推图,Complete Dungeon {0},21-40,
900078,1,1,90001,161,90084,3,805,1:2:150|1:1:2100000,副本推图,Complete Dungeon {0},21-45,
90085,1,1,90001,162,900078,3,810,1:2:150|1:1:2100000,副本推图,Complete Dungeon {0},21-50,
900079,1,1,90001,163,90085,3,815,1:2:200|1:1:2125000,副本推图,Complete Dungeon {0},21-55,
90086,1,1,90001,164,900079,3,820,1:2:200|1:1:2125000,副本推图,Complete Dungeon {0},21-60,
900080,1,1,90001,165,90086,3,825,1:2:150|1:1:2150000,副本推图,Complete Dungeon {0},22-5,
90087,1,1,90001,166,900080,3,830,1:2:150|1:1:2150000,副本推图,Complete Dungeon {0},22-10,
900081,1,1,90001,167,90087,3,835,1:2:150|1:1:2175000,副本推图,Complete Dungeon {0},22-15,
90088,1,1,90001,168,900081,3,840,1:2:150|1:1:2175000,副本推图,Complete Dungeon {0},22-20,
900082,1,1,90001,169,90088,3,845,1:2:225|1:1:2200000,副本推图,Complete Dungeon {0},22-25,
90089,1,1,90001,170,900082,3,850,1:2:225|1:1:2200000,副本推图,Complete Dungeon {0},22-30,
900083,1,1,90001,171,90089,3,855,1:2:175|1:1:2225000,副本推图,Complete Dungeon {0},22-35,
90090,1,1,90001,172,900083,3,860,1:2:175|1:1:2225000,副本推图,Complete Dungeon {0},22-40,
900084,1,1,90001,173,90090,3,865,1:2:175|1:1:2250000,副本推图,Complete Dungeon {0},22-45,
90091,1,1,90001,174,900084,3,870,1:2:175|1:1:2250000,副本推图,Complete Dungeon {0},22-50,
900085,1,1,90001,175,90091,3,875,1:2:200|1:1:2275000,副本推图,Complete Dungeon {0},22-55,
90092,1,1,90001,176,900085,3,880,1:2:200|1:1:2275000,副本推图,Complete Dungeon {0},22-60,
900086,1,1,90001,177,90092,3,885,1:2:175|1:1:2300000,副本推图,Complete Dungeon {0},23-5,
90093,1,1,90001,178,900086,3,890,1:2:175|1:1:2300000,副本推图,Complete Dungeon {0},23-10,
900087,1,1,90001,179,90093,3,895,1:2:175|1:1:2325000,副本推图,Complete Dungeon {0},23-15,
90094,1,1,90001,180,900087,3,900,1:2:175|1:1:2325000,副本推图,Complete Dungeon {0},23-20,
900088,1,1,90001,181,90094,3,905,1:2:225|1:1:2350000,副本推图,Complete Dungeon {0},23-25,
90095,1,1,90001,182,900088,3,910,1:2:225|1:1:2350000,副本推图,Complete Dungeon {0},23-30,
900089,1,1,90001,183,90095,3,915,1:2:200|1:1:2375000,副本推图,Complete Dungeon {0},23-35,
90096,1,1,90001,184,900089,3,920,1:2:200|1:1:2375000,副本推图,Complete Dungeon {0},23-40,
900090,1,1,90001,185,90096,3,925,1:2:200|1:1:2400000,副本推图,Complete Dungeon {0},23-45,
90097,1,1,90001,186,900090,3,930,1:2:200|1:1:2400000,副本推图,Complete Dungeon {0},23-50,
900091,1,1,90001,187,90097,3,935,1:2:200|1:1:2425000,副本推图,Complete Dungeon {0},23-55,
90098,1,1,90001,188,900091,3,940,1:2:200|1:1:2425000,副本推图,Complete Dungeon {0},23-60,
900092,1,1,90001,189,90098,3,945,1:2:200|1:1:2450000,副本推图,Complete Dungeon {0},24-5,
90099,1,1,90001,190,900092,3,950,1:2:200|1:1:2450000,副本推图,Complete Dungeon {0},24-10,
900093,1,1,90001,191,90099,3,955,1:2:200|1:1:2475000,副本推图,Complete Dungeon {0},24-15,
90100,1,1,90001,192,900093,3,960,1:2:200|1:1:2475000,副本推图,Complete Dungeon {0},24-20,
900094,1,1,90001,193,90100,3,965,1:2:225|1:1:2500000,副本推图,Complete Dungeon {0},24-25,
90101,1,1,90001,194,900094,3,970,1:2:225|1:1:2500000,副本推图,Complete Dungeon {0},24-30,
900095,1,1,90001,195,90101,3,975,1:2:200|1:1:2525000,副本推图,Complete Dungeon {0},24-35,
90102,1,1,90001,196,900095,3,980,1:2:200|1:1:2525000,副本推图,Complete Dungeon {0},24-40,
900096,1,1,90001,197,90102,3,985,1:2:200|1:1:2550000,副本推图,Complete Dungeon {0},24-45,
90103,1,1,90001,198,900096,3,990,1:2:200|1:1:2550000,副本推图,Complete Dungeon {0},24-50,
900097,1,1,90001,199,90103,3,995,1:2:200|1:1:2575000,副本推图,Complete Dungeon {0},24-55,
90104,1,1,90001,200,900097,3,1000,1:2:200|1:1:2575000,副本推图,Complete Dungeon {0},24-60,
900098,1,1,90001,201,90104,3,1005,1:2:200|1:1:2600000,副本推图,Complete Dungeon {0},25-5,
90105,1,1,90001,202,900098,3,1010,1:2:200|1:1:2600000,副本推图,Complete Dungeon {0},25-10,
900099,1,1,90001,203,90105,3,1015,1:2:200|1:1:2625000,副本推图,Complete Dungeon {0},25-15,
90106,1,1,90001,204,900099,3,1020,1:2:200|1:1:2625000,副本推图,Complete Dungeon {0},25-20,
900100,1,1,90001,205,90106,3,1025,1:2:200|1:1:2650000,副本推图,Complete Dungeon {0},25-25,
90107,1,1,90001,206,900100,3,1030,1:2:200|1:1:2650000,副本推图,Complete Dungeon {0},25-30,
900101,1,1,90001,207,90107,3,1035,1:2:200|1:1:2675000,副本推图,Complete Dungeon {0},26-5,
90108,1,1,90001,208,900101,3,1040,1:2:200|1:1:2675000,副本推图,Complete Dungeon {0},26-10,
900102,1,1,90001,209,90108,3,1045,1:2:200|1:1:2700000,副本推图,Complete Dungeon {0},26-15,
90109,1,1,90001,210,900102,3,1050,1:2:200|1:1:2700000,副本推图,Complete Dungeon {0},26-20,
900103,1,1,90001,211,90109,3,1055,1:2:200|1:1:2725000,副本推图,Complete Dungeon {0},26-25,
90110,1,1,90001,212,900103,3,1060,1:2:200|1:1:2725000,副本推图,Complete Dungeon {0},26-30,
900104,1,1,90001,213,90110,3,1065,1:2:200|1:1:2750000,副本推图,Complete Dungeon {0},27-5,
90111,1,1,90001,214,900104,3,1070,1:2:200|1:1:2750000,副本推图,Complete Dungeon {0},27-10,
900105,1,1,90001,215,90111,3,1075,1:2:200|1:1:2800000,副本推图,Complete Dungeon {0},27-15,
90112,1,1,90001,216,900105,3,1080,1:2:200|1:1:2800000,副本推图,Complete Dungeon {0},27-20,
900106,1,1,90001,217,90112,3,1085,1:2:200|1:1:2825000,副本推图,Complete Dungeon {0},27-25,
90113,1,1,90001,218,900106,3,1090,1:2:200|1:1:2825000,副本推图,Complete Dungeon {0},27-30,
