task_id,task_type,level_min_need,task_group,task_index,task_id_before,task_condition,task_value,reward,name,content,content_param,link
3220003,3,25,3220001,2,3220002,115,50,1:1:30000|1:2:10,World Boss,Defeat Lv.50 World Boss,,
3220004,3,25,3220001,3,3220003,115,60,1:1:40000|1:2:10,World Boss,Defeat Lv.60 World Boss,,
3220005,3,25,3220001,4,3220004,115,70,1:1:50000|1:2:10,World Boss,Defeat Lv.70 World Boss,,
3220006,3,25,3220001,5,3220005,115,80,1:1:60000|1:2:10,World Boss,Defeat Lv.80 World Boss,,
3220007,3,25,3220001,6,3220006,115,90,1:1:70000|1:2:10,World Boss,Defeat Lv.90 World Boss,,
3220008,3,25,3220001,7,3220007,115,100,1:1:80000|1:2:10,World Boss,Defeat Lv.100 World Boss,,
3220009,3,25,3220001,8,3220008,115,110,1:1:90000|1:2:10,World Boss,Defeat Lv.110 World Boss,,
3220010,3,25,3220001,9,3220009,115,120,1:1:100000|1:2:10,World Boss,Defeat Lv.120 World Boss,,
3220011,3,25,3220001,10,3220010,115,130,1:1:110000|1:2:10,World Boss,Defeat Lv.130 World Boss,,
3220012,3,25,3220001,11,3220011,115,140,1:1:120000|1:2:10,World Boss,Defeat Lv.140 World Boss,,
3220013,3,25,3220001,12,3220012,115,150,1:1:130000|1:2:10,World Boss,Defeat Lv.150 World Boss,,
3220014,3,25,3220001,13,3220013,115,160,1:1:140000|1:2:10,World Boss,Defeat Lv.160 World Boss,,
3220015,3,25,3220001,14,3220014,115,170,1:1:150000|1:2:10,World Boss,Defeat Lv.170 World Boss,,
3220016,3,25,3220001,15,3220015,115,180,1:1:160000|1:2:10,World Boss,Defeat Lv.180 World Boss,,
3220017,3,25,3220001,16,3220016,115,190,1:1:170000|1:2:20,World Boss,Defeat Lv.190 World Boss,,
3220018,3,25,3220001,17,3220017,115,200,1:1:180000|1:2:20,World Boss,Defeat Lv.200 World Boss,,
3220019,3,25,3220001,18,3220018,115,210,1:1:190000|1:2:100,World Boss,Defeat Lv.210 World BOSS,,
3220020,3,25,3220001,19,3220019,115,215,1:1:200000|1:2:100,World Boss,Defeat Lv.215 World BOSS,,
3220021,3,25,3220001,20,3220020,115,220,1:1:210000|1:2:100,World Boss,Defeat Lv.220 World BOSS,,
3220022,3,25,3220001,21,3220021,115,225,1:1:220000|1:2:100,World Boss,Defeat Lv.225 World BOSS,,
3220023,3,25,3220001,22,3220022,115,230,1:1:230000|1:2:100,World Boss,Defeat Lv.230 World BOSS,,
3220024,3,25,3220001,23,3220023,115,235,1:1:240000|1:2:100,World Boss,Defeat Lv.235 World BOSS,,
3220025,3,25,3220001,24,3220024,115,240,1:1:250000|1:2:100,World Boss,Defeat Lv.240 World BOSS,,
3220026,3,25,3220001,25,3220025,115,245,1:1:260000|1:2:500,World Boss,Defeat Lv.245 World Boss,,
3220027,3,25,3220001,26,3220026,115,250,1:1:270000|1:2:500,World Boss,Defeat Lv.250 World Boss,,
3220028,3,25,3220001,27,3220027,115,255,1:1:280000|1:2:500,World Boss,Defeat Lv.255 World Boss,,
3220029,3,25,3220001,28,3220028,115,260,1:1:290000|1:2:500,World Boss,Defeat Lv.260 World Boss,,
3220030,3,25,3220001,29,3220029,115,265,1:1:300000|1:2:500,World Boss,Defeat Lv.265 World Boss,,
3220031,3,25,3220001,30,3220030,115,270,1:1:310000|1:2:500,World Boss,Defeat Lv.270 World Boss,,
3220032,3,25,3220001,31,3220031,115,275,1:1:320000|1:2:500,World Boss,Defeat Lv.275 World Boss,,
3220033,3,25,3220001,32,3220032,115,280,1:1:330000|1:2:500,World Boss,Defeat Lv.280 World Boss,,
3220034,3,25,3220001,33,3220033,115,285,1:1:340000|1:2:500,World Boss,Defeat Lv.285 World BOSS,,
3220035,3,25,3220001,34,3220034,115,290,1:1:350000|1:2:500,World Boss,Defeat Lv.290 World BOSS,,
3220036,3,25,3220001,35,3220035,115,295,1:1:360000|1:2:500,World Boss,Defeat Lv.295 World BOSS,,
3220037,3,25,3220001,36,3220036,115,300,1:1:370000|1:2:500,World Boss,Defeat Lv.300 World BOSS,,
3220038,3,25,3220001,37,3220037,115,305,1:1:380000|1:2:500,World Boss,Defeat Lv.305 World BOSS,,
3220039,3,25,3220001,38,3220038,115,310,1:1:390000|1:2:500,World Boss,Defeat Lv.310 World BOSS,,
3220040,3,25,3220001,39,3220039,115,315,1:1:400000|1:2:500,World Boss,Defeat Lv.315 World BOSS,,
3220041,3,25,3220001,40,3220040,115,320,1:1:410000|1:2:500,World Boss,Defeat Lv.320 World BOSS,,
3220042,3,25,3220001,41,3220041,115,325,1:1:420000|1:2:500,World Boss,Defeat Lv.325 World BOSS,,
3220043,3,25,3220001,42,3220042,115,330,1:1:430000|1:2:500,World Boss,Defeat Lv.330 World BOSS,,
3220044,3,25,3220001,43,3220043,115,335,1:1:440000|1:2:500,World Boss,Defeat Lv.335 World Boss,,
3220045,3,25,3220001,44,3220044,115,340,1:1:450000|1:2:500,World Boss,Defeat Lv.340 World Boss,,
3220046,3,25,3220001,45,3220045,115,345,1:1:450000|1:2:500,World Boss,Defeat Lv.345 World Boss,,
3220047,3,25,3220001,46,3220046,115,350,1:1:450000|1:2:500,World Boss,Defeat Lv.350 World Boss,,
3220048,3,25,3220001,47,3220047,115,355,1:1:450000|1:2:500,World Boss,Defeat Lv.355 World Boss,,
3220049,3,25,3220001,48,3220048,115,360,1:1:450000|1:2:500,World Boss,Defeat Lv.360 World Boss,,
3220050,3,25,3220001,49,3220049,115,365,1:1:450000|1:2:500,World Boss,Defeat Lv.365 World Boss,,
3220051,3,25,3220001,50,3220050,115,370,1:1:450000|1:2:500,World Boss,Defeat Lv.370 World Boss,,
3220052,3,25,3220001,51,3220051,115,375,1:1:450000|1:2:500,World Boss,Defeat Lv.375 World Boss,,
3220053,3,25,3220001,52,3220052,115,380,1:1:450000|1:2:500,World Boss,Defeat Lv.380 World Boss,,
3220054,3,25,3220001,53,3220053,115,385,1:1:450000|1:2:500,World Boss,Defeat Lv.385 World Boss,,
3220055,3,25,3220001,54,3220054,115,390,1:1:450000|1:2:500,World Boss,Defeat Lv.390 World Boss,,
3220056,3,25,3220001,55,3220055,115,395,1:1:450000|1:2:500,World Boss,Defeat Lv.395 World Boss,,
3220057,3,25,3220001,56,3220056,115,400,1:1:450000|1:2:500,World Boss,Defeat Lv.400 World Boss,,
3220058,3,25,3220001,57,3220057,115,405,1:1:450000|1:2:500,World Boss,Defeat Lv.405 World Boss,,
3220059,3,25,3220001,58,3220058,115,410,1:1:450000|1:2:500,World Boss,Defeat Lv.410 World Boss,,
3230001,3,35,3230001,1,0,110,1,13:3001:1,诸神之战,Win 1 championship in Clash of Titans,,
3230002,3,35,3230001,2,3230001,110,2,13:3002:1,诸神之战,Win 2 championships in Clash of Titans,,
3230003,3,35,3230001,3,3230002,110,3,13:3003:1,诸神之战,Win 3 championships in Clash of Titans,,
3230004,3,35,3230001,4,3230003,110,4,13:3004:1,诸神之战,Win 4 championships in Clash of Titans,,
3230005,3,35,3230001,5,3230004,110,5,13:3005:1,诸神之战,Win 5 championships in Clash of Titans,,
3230006,3,35,3230001,6,3230005,110,6,13:3006:1,诸神之战,Win 6 championships in Clash of Titans,,
3230007,3,35,3230001,7,3230006,110,7,13:3007:1,诸神之战,Win 7 championships in Clash of Titans,,
3230008,3,35,3230001,8,3230007,110,8,13:3008:1,诸神之战,Win 8 championships in Clash of Titans,,
3230009,3,35,3230001,9,3230008,110,9,13:3009:1,诸神之战,Win 9 championships in Clash of Titans,,
3230010,3,35,3230001,10,3230009,110,10,13:3010:1,诸神之战,Win 10 championships in Clash of Titans,,
3230011,3,35,3230001,11,3230010,110,11,13:3011:1,诸神之战,Win 11 championships in Clash of Titans,,
3230012,3,35,3230001,12,3230011,110,12,13:3012:1,诸神之战,Win 12 championships in Clash of Titans,,
3230013,3,35,3230001,13,3230012,110,13,13:3013:1,诸神之战,Win 13 championships in Clash of Titans,,
3230014,3,35,3230001,14,3230013,110,14,13:3014:1,诸神之战,Win 14 championships in Clash of Titans,,
3230015,3,35,3230001,15,3230014,110,15,13:3015:1,诸神之战,Win 15 championships in Clash of Titans,,
3240001,3,60,3240001,1,0,117,1,15:151001:1,Secret Abyss,Clear Secret Abyss 1 time,,
3240002,3,60,3240001,2,3240001,117,5,15:151001:1,Secret Abyss,Clear Secret Abyss 5 times,,
3240003,3,60,3240001,3,3240002,117,10,15:151001:1,Secret Abyss,Clear Secret Abyss 10 times,,
3240004,3,60,3240001,4,3240003,117,30,15:151001:1,Secret Abyss,Clear Secret Abyss 30 times,,
3240005,3,60,3240001,5,3240004,117,50,15:151001:1,Secret Abyss,Clear Secret Abyss 50 times,,
3240006,3,60,3240001,6,3240005,117,100,15:151001:1,Secret Abyss,Clear Secret Abyss 100 times,,
3250001,3,20,3250001,1,0,301,1,13:7001,Kings' Glory,Obtain Clash of Guild FMVP 1 time,,
3250002,3,20,3250001,2,3250001,301,5,13:7002,Kings' Glory,Obtain Clash of Guild FMVP 5 times,,
3250003,3,20,3250001,3,3250002,301,10,13:7003,Kings' Glory,Obtain Clash of Guild FMVP 10 times,,
3260001,3,20,3260001,1,0,303,1,13:7101,Clash of Guild,Obtain Top 3 in opponents kills of Clash of Guild 1 time,,
3260002,3,20,3260001,2,3260001,303,5,13:7102,Clash of Guild,Obtain Top 3 in opponents kills of Clash of Guild 5 times,,
3260003,3,20,3260001,3,3260002,303,10,13:7103,Clash of Guild,Obtain Top 3 in opponents kills of Clash of Guild 10 times,,
3270001,3,30,3270001,1,0,330,200,1:2:100,Angel favorability points,Angel favorability points reach 200,,
3270002,3,30,3270001,2,3270001,330,500,1:2:100,Angel favorability points,Angel favorability points reach 500,,
3270003,3,30,3270001,3,3270002,330,1000,1:2:100,Angel favorability points,Angel favorability points reach 1000,,
3270004,3,30,3270001,4,3270003,330,1500,1:2:100,Angel favorability points,Angel favorability points reach 1500,,
3270005,3,30,3270001,5,3270004,330,2000,5:3000096:1,Magic Star Ring,Angel favorability points reach 2000,,
3270006,3,30,3270001,6,3270005,330,3000,1:2:100,Angel favorability points,Angel favorability points reach 3000,,
3280001,3,60,3280001,1,0,343,10,1:2:50,Times of liking,Like other players 10 times,,
3280002,3,60,3280001,2,3280001,343,50,1:2:100,Times of liking,Like other players 50 times,,
3280003,3,60,3280001,3,3280002,343,100,1:2:100,Times of liking,Like other players 100 times,,
3280004,3,60,3280001,4,3280003,343,500,1:2:100,Times of liking,Like other players 500 times,,
3280005,3,60,3280001,5,3280004,343,1000,1:2:100,Times of liking,Like other players 1000 times,,
3280006,3,60,3280001,6,3280005,343,2000,1:2:100,Times of liking,Like other players 2000 times,,
3290001,3,60,3290001,1,0,342,10,1:2:50,Times of assistance,Assist other players 10 times,,
3290002,3,60,3290001,2,3290001,342,50,1:2:100,Times of assistance,Assist other players 50 times,,
3290003,3,60,3290001,3,3290002,342,100,1:2:100,Times of assistance,Assist other players 100 times,,
3290004,3,60,3290001,4,3290003,342,500,1:2:100,Times of assistance,Assist other players 500 times,,
3290005,3,60,3290001,5,3290004,342,1000,1:2:100,Times of assistance,Assist other players 1000 times,,
3290006,3,60,3290001,6,3290005,342,2000,1:2:100,Times of assistance,Assist other players 2000 times,,
3300001,3,60,3300001,1,0,341,10,1:2:50,Times of be liked,Be liked 10 times,,
3300002,3,60,3300001,2,3300001,341,50,1:2:100,Times of be liked,Be liked 50 times,,
3300003,3,60,3300001,3,3300002,341,100,1:2:100,Times of be liked,Be liked 100 times,,
3300004,3,60,3300001,4,3300003,341,500,1:2:100,Times of be liked,Be liked 500 times,,
3300005,3,60,3300001,5,3300004,341,1000,1:2:100,Times of be liked,Be liked 1000 times,,
3300006,3,60,3300001,6,3300005,341,2000,1:2:100,Times of be liked,Be liked 2000 times,,
3310001,3,60,3310001,1,0,340,10,1:2:50,Times of be assisted,Receive assistance 10 times,,
3310002,3,60,3310001,2,3310001,340,50,1:2:100,Times of be assisted,Receive assistance 50 times,,
3310003,3,60,3310001,3,3310002,340,100,1:2:100,Times of be assisted,Receive assistance 100 times,,
3310004,3,60,3310001,4,3310003,340,500,1:2:100,Times of be assisted,Receive assistance 500 times,,
3310005,3,60,3310001,5,3310004,340,1000,1:2:100,Times of be assisted,Receive assistance 1000 times,,
3310006,3,60,3310001,6,3310005,340,2000,1:2:100,Times of be assisted,Receive assistance 2000 times,,
3320001,3,60,3320001,1,0,134,13,13:8001:1,The rank of Conqueror of Legends reaches,The rank of Conqueror of Legends reaches Diamond,,
3320002,3,60,3320001,2,3320001,134,17,13:8002:1,The rank of Conqueror of Legends reaches,The rank of Conqueror of Legends reaches Master,,
3320003,3,60,3320001,3,3320002,134,22,13:8003:1,The rank of Conqueror of Legends reaches,The rank of Conqueror of Legends reaches Challenger,,
3320004,3,60,3320001,4,3320003,134,23,13:8004:1,The rank of Conqueror of Legends reaches,The rank of Conqueror of Legends reaches Supreme Challenger,,
3330001,3,60,3330001,1,0,135,1,13:8101:1,The rank of Conqueror of Legends reaches,Gain Ultimate Legend 1 time in Conqueror of Legends,,
3330002,3,60,3330001,2,3330001,135,2,13:8102:1,The rank of Conqueror of Legends reaches,Gain Ultimate Legend 2 times in Conqueror of Legends,,
3330003,3,60,3330001,3,3330002,135,3,13:8103:1,The rank of Conqueror of Legends reaches,Gain Ultimate Legend 3 times in Conqueror of Legends,,
3330004,3,60,3330001,4,3330003,135,4,13:8104:1,The rank of Conqueror of Legends reaches,Gain Ultimate Legend 4 times in Conqueror of Legends,,
3330005,3,60,3330001,5,3330004,135,5,13:8105:1,The rank of Conqueror of Legends reaches,Gain Ultimate Legend 5 times in Conqueror of Legends,,
3330006,3,60,3330001,6,3330005,135,6,13:8106:1,The rank of Conqueror of Legends reaches,Gain Ultimate Legend 6 times in Conqueror of Legends,,
3330007,3,60,3330001,7,3330006,135,7,13:8107:1,The rank of Conqueror of Legends reaches,Gain Ultimate Legend 7 times in Conqueror of Legends,,
3330008,3,60,3330001,8,3330007,135,8,13:8108:1,The rank of Conqueror of Legends reaches,Gain Ultimate Legend 8 times in Conqueror of Legends,,
3330009,3,60,3330001,9,3330008,135,9,13:8109:1,The rank of Conqueror of Legends reaches,Gain Ultimate Legend 9 times in Conqueror of Legends,,
3330010,3,60,3330001,10,3330009,135,10,13:8110:1,The rank of Conqueror of Legends reaches,Gain Ultimate Legend 10 times in Conqueror of Legends,,
3340001,3,110,3340001,1,0,136,100,5:3000140:5|5:3000139:1000,Reach lv. in Fear Abyss,Reach lv.100 in Fear Abyss,,
3340002,3,110,3340001,2,3340001,136,200,5:3000140:5|5:3000139:1500,Reach lv. in Fear Abyss,Reach lv.200 in Fear Abyss,,
3340003,3,110,3340001,3,3340002,136,300,5:3000140:10|5:3000139:1500,Reach lv. in Fear Abyss,Reach lv.300 in Fear Abyss,,
3340004,3,110,3340001,4,3340003,136,350,5:3000140:10|5:3000139:1500,Reach lv. in Fear Abyss,Reach lv.350 in Fear Abyss,,
3340005,3,110,3340001,5,3340004,136,400,5:3000140:20|5:3000139:1500,Reach lv. in Fear Abyss,Reach lv.400 in Fear Abyss,,
3340006,3,110,3340001,6,3340005,136,450,5:3000140:20|5:3000139:1500,Reach lv. in Fear Abyss,Reach lv.450 in Fear Abyss,,
3340007,3,110,3340001,7,3340006,136,500,5:3000140:30|5:3000139:1500,Reach lv. in Fear Abyss,Reach lv.500 in Fear Abyss,,
3340008,3,110,3340001,8,3340007,136,550,5:3000140:30|5:3000139:1500,Reach lv. in Fear Abyss,Reach lv.550 in Fear Abyss,,
3340009,3,110,3340001,9,3340008,136,600,5:3000140:30|5:3000139:1500,Reach lv. in Fear Abyss,Reach lv.600 in Fear Abyss,,
3350001,3,60,3350001,1,0,139,8,5:3000257:200,Divine Hall unlocked,Light all Oracle Nodes in 8 Stellar Charts of Divine Hall,,
3350002,3,60,3350001,2,3350001,139,9,5:3000257:250,Divine Hall unlocked,Light all Oracle Nodes in 9 Stellar Charts of Divine Hall,,
3350003,3,60,3350001,3,3350002,139,10,5:3000257:250,Divine Hall unlocked,Light all Oracle Nodes in 10 Stellar Charts of Divine Hall,,
3350004,3,60,3350001,4,3350003,139,11,5:3000257:300,Divine Hall unlocked,Light all Oracle Nodes in 11 Stellar Charts of Divine Hall,,
3350005,3,60,3350001,5,3350004,139,12,5:3000257:300,Divine Hall unlocked,Light all Oracle Nodes in 12 Stellar Charts of Divine Hall,,
3350006,3,60,3350001,6,3350005,139,13,5:3000257:400,Divine Hall unlocked,Light all Oracle Nodes in 13 Stellar Charts of Divine Hall,,
3350007,3,60,3350001,7,3350006,139,14,5:3000257:400,Divine Hall unlocked,Light all Oracle Nodes in 14 Stellar Charts of Divine Hall,,
