story_id,charpt_id,is_first,next_story_id,title,desc,node_id_list,doing_des,unlock_desc,dialog_id
606,6,0,-1,Himiko's Revival Path VI,"Look—who did she meet? The brilliance of Amaterasu pierced through the clouds, illuminating the entire altar. Divine light filled the air, suffusing it with an aura of sacred majesty.",1165,Defeat Amaterasu,Unlocks after completing Himiko’s Revival Path V,60600041
701,7,1,702,Raphael the Archangel’s Revival Path I,Raphael finally stands before the gates of the Seventh Divine Realm…,1421,Defeat Michael,-1,60700001
702,7,0,703,Raphael the Archangel’s Revival Path II,"With Michael’s assistance, Raphael decides to press on…",1349,Defeat Uriel,Complete Raphael the Archangel’s Revival Path I to unlock,60700011
703,7,0,704,Raphael the Archangel’s Revival Path III,"Deep within the Divine Realm, Raphael encounters the mightiest shield of the Norse…",1291,Defeat Heimdall,Complete Raphael the Archangel’s Revival Path II to unlock,60700020
704,7,0,705,Raphael the Archangel’s Revival Path IV,"At the edge of the plains, the Egyptian deity Horus, master of life and death, stands in Raphael’s path…",1260,Defeat Horus,Complete Raphael the Archangel’s Revival Path III to unlock,60700029
705,7,0,706,Raphael the Archangel’s Revival Path V,"The exorcist witch from Yamato, Himiko, waits for Raphael on the road to the Creation Altar…",1306,Defeat Himiko,Complete Raphael the Archangel’s Revival Path IV to unlock,60700039
706,7,0,-1,Raphael the Archangel’s Revival Path VI,"In the end, before the altar of the Creator, the question remains: who will prevail—the war-hardened warrior or the angel of redemption?",1331,Defeat Asura,Complete Raphael the Archangel’s Revival Path V to unlock,60700048
801,8,1,802,Heimdall’s Revival Path I,Heimdall finally earned the chance to step into the Creator’s Divine Realm. However…,1486,Defeat Storm Dragon,-1,60800001
802,8,0,803,Heimdall’s Revival Path Ⅱ,"On the narrow path leading to the heart of the realm, Heimdall encountered the second Nordic Guardian Dragon…",1520,Defeat Frost Dragon,Complete Heimdall’s Revival Path I to unlock,60800012
803,8,0,804,Heimdall’s Revival Path Ⅲ,"At the boundary between the gods and the center of the realm, Heimdall faced the commander of the Valkyries…",1526,Defeat Freyja,Complete Heimdall’s Revival Path Ⅱ to unlock,60800021
804,8,0,805,Heimdall’s Revival Path Ⅳ,"Pressing onward, Heimdall found the realm transforming into the battlefield of Ragnarok from long ago…",1584,Defeat Ember Dragon,Complete Heimdall’s Revival Path Ⅲ to unlock,60800032
805,8,0,806,Heimdall’s Revival Path Ⅴ,"On the path to the Creator’s Altar, Heimdall confronted the ruler of the dead, Hela…",1630,Defeat Hela,Complete Heimdall’s Revival Path Ⅳ to unlock,60800042
806,8,0,-1,Heimdall’s Revival Path Ⅵ,"And before the Creator’s Altar, Heimdall stood face-to-face with his greatest rival…",1597,Defeat Loki,Complete Heimdall’s Revival Path Ⅴ to unlock,60800052
901,9,1,902,Thor's Revival Path I,"After countless trials and challenges, Thor, the Norse God of Thunder, finally stood before the gates of the Seventh Divine Realm…",1763,Defeat Freyja,-1,60900001
902,9,0,903,Thor’s Revival Path Ⅱ,"Upon crossing the gates, Thor encountered the strongest guardian of the Norse realm…",1714,Defeat Heimdall,Complete Thor’s Revival Path I to unlock,60900014
903,9,0,904,Thor’s Revival Path Ⅲ,"On the path to the Creator’s altar, Thor faced Hela, the ruler of the Norse underworld…",1677,Defeat Hela,Complete Thor’s Revival Path Ⅱ to unlock,60900026
904,9,0,905,Thor’s Revival Path Ⅳ,"In a forgotten ruin of the Divine Realm, Thor confronted her rival from countless battlefields…",1718,Defeat Loki,Complete Thor’s Revival Path Ⅲ to unlock,60900037
905,9,0,906,Thor’s Revival Path Ⅴ,Thor ultimately returned to the battlefield of Ragnarok—a place she knew best but least wished to revisit…,1796,Defeat Valkyrie,Complete Thor’s Revival Path Ⅳ to unlock,60900046
906,9,0,-1,Thor’s Revival Path Ⅵ,"Finally, at the Creator’s altar, Thor stood face-to-face with the All-Father, King of the Norse Gods…",1834,Defeat Odin,Complete Thor’s Revival Path Ⅴ to unlock,60900057
1001,10,1,1002,Sim Cheong's Revival Path I,"In the end, Sim Cheong earned the qualification to obtain the Creator’s power…",1988,Defeat Storm Dragon,-1,61000001
1002,10,0,1003,Sim Cheong's Revival Path II,"On her way to the Creator’s Altar, Sim Cheong encountered Chang’e, a fellow Eastern deity…",2063,Defeat Chang’e,Complete Sim Cheong’s Revival Path I to unlock,61000011
1003,10,0,1004,Sim Cheong's Revival Path III,"Soon after, Sim Cheong came across a warrior from Yamato amidst the ruins of an ancient relic…",2003,Defeat Himiko,完成沈青的创世圣境Ⅱ后解锁,61000022
1004,10,0,1005,Sim Cheong's Revival Path IV,"At the end of the Infernal Realm, Sim Cheong met the most battle-hungry of all the deities…",1952,Defeat Asura,完成沈青的创世圣境Ⅲ后解锁,61000033
1005,10,0,1006,Sim Cheong's Revival Path V,"In a canyon not far from the Creator’s Altar, Sim Cheong encountered the primordial god of China…",1910,Defeat Nuwa,完成沈青的创世圣境Ⅳ后解锁,61000043
1006,10,0,-1,Sim Cheong's Revival Path VI,"Before the Creator’s Altar, Sim Cheong saw the master of all ‘encounters and separations’…",1973,Defeat Eudemons,完成沈青的创世圣境Ⅴ后解锁,61000052
1101,11,1,1102,Apollo's Revival Path I,Apollo finally arrived at the gates of the Seventh Divine Realm…,2240,Defeat Cupid,-1,61100001
1102,11,0,1103,Apollo's Revival Path II,"Upon entering, he encountered the mortal who had once fallen into the sea in his pursuit of light…",2139,Defeat Icarus,Complete Apollo’s Revival Path I to unlock,61100012
1103,11,0,1104,Apollo's Revival Path III,"On the snow-covered path leading to the Creator’s Altar, Apollo crossed paths with the sage who had stolen fire for humanity…",2119,Defeat Prometheus,Complete Apollo’s Revival Path II to unlock,61100023
1104,11,0,1105,Apollo's Revival Path IV,"At the end of the snowy expanse, Apollo found the King of Gods, Zeus, already waiting for him…",2126,Defeat Zeus,Complete Apollo’s Revival Path III to unlock,61100036
1105,11,0,1106,Apollo's Revival Path V,"Not far from the Creator’s Altar, Apollo met the founder of Olympus…",2157,Defeat Chaos,Complete Apollo’s Revival Path IV to unlock,61100046
1106,11,0,-1,Apollo's Revival Path VI,"And at last, before the Creator’s Altar, Apollo came face to face with his most formidable opponent…",2230,Defeat Athena,Complete Apollo’s Revival Path V to unlock,61100057
1201,12,1,1202,Lilith the Night Walker's Revival Path I,"At the end of the Gods’ War, Lilith was granted the opportunity to ascend as the successor of the Creator’s power…",2293,Defeat Ember Dragon,-1,61200001
1202,12,0,1203,Lilith the Night Walker's Revival Path II,"After entering the gates of the Seventh Divine Realm, Lilith encountered the cunning Norse god, Loki, who had also been summoned by the Creator.",2330,Defeat Loki,Complete Lilith the Night Walker's Revival Path I to unlock,61200014
1203,12,0,1204,Lilith the Night Walker's Revival Path III,"On the path leading to the Creator’s altar, Lilith faced the most powerful Lord of Nihility from Greek myth…",2390,Defeat Chaos,Complete Lilith the Night Walker's Revival Path II to unlock,61200028
1204,12,0,1205,Lilith the Night Walker's Revival Path IV,"In the narrow pathways of the ruins, Lilith came face to face with the angel she feared meeting the most…",2466,Defeat Michael,Complete Lilith the Night Walker's Revival Path III to unlock,61200038
1205,12,0,1206,Lilith the Night Walker's Revival Path V,"On the final stretch leading to the Creator’s altar, Lilith confronted the Warden of All Sinners…",2485,Defeat Uriel,Complete Lilith the Night Walker's Revival Path IV to unlock,61200076
1206,12,0,-1,Lilith the Night Walker's Revival Path VI,"Before the altar, two beings chosen by the Creator at the same time prepared for a duel…",2425,Defeat Raphael the Arcangel,Complete Lilith the Night Walker's Revival Path V to unlock,61200061
1301,13,1,1302,Frost Dragon's Revival Path I,"At last, the strongest of the Dragon Guardians of the North stood before the gates of the Seventh Divine Realm…",2527,Defeat Freyja,-1,61300001
1302,13,0,1303,Frost Dragon's Revival Path II,"Beyond the gates of the realm, the Dragon Guardian came face to face with the companion she had once trusted above all others…",2586,Defeat Heimdall,Complete Frost Dragon's Revival Path I to unlock,61300013
1303,13,0,1304,Frost Dragon's Revival Path III,"After leaving the icy plains of the Divine Realm, the Frost Dragon encountered the wisest of her kin…",2594,Defeat Storm Dragon,Complete Frost Dragon's Revival Path II to unlock,61300027
1304,13,0,1305,Frost Dragon's Revival Path IV,"In the ruins of the Creator’s Altar, an incarnation of death awaited…",2643,Defeat Hela,Complete Frost Dragon's Revival Path III to unlock,61300038
1305,13,0,1306,Frost Dragon's Revival Path V,"As she stepped into the infernal lands, her most battle-hardened companion was already there to greet her…",2637,Defeat Ember Dragon,Complete Frost Dragon's Revival Path IV to unlock,61300051
1306,13,0,-1,Frost Dragon's Revival Path VI,"And finally, before the Creator’s Altar, she faced the ultimate trial left by the Creator himself—the God King Odin…",2630,Defeat Odin,Complete Frost Dragon's Revival Path V to unlock,61300096
1401,14,1,1402,Hela's Revival Path I,"The Nordic god of death has earned the right to step into the Seventh Domain of the Gods, yet waiting at the gate is the strongest guardian of the North…",2839,Defeat Heimdall,-1,61400001
1402,14,0,1403,Hela's Revival Path II,"On the path leading to the center of the Divine Domain, Hel encounters the Nordic goddess of magic and war…",2900,Defeat Freyja,Complete Hela's Revival Path I to unlock.,61400012
1403,14,0,1404,Hela's Revival Path III,"In the sealed ruins of the Divine Domain, Hel discovers the dragon guardian of the North, symbolizing frost…",2825,Defeat Frost Dragon,Complete Hela's Revival Path II to unlock.,61400026
1404,14,0,1405,Hela's Revival Path IV,"At the gate leading to the Creator’s altar, Hel meets the embodiment of wisdom and storms…",2789,Defeat Storm Dragon,Complete Hela's Revival Path III to unlock.,61400036
1405,14,0,1406,Hela's Revival Path V,"Soon after, Hel encounters the last of the Nordic dragon clan’s guardians…",2743,Defeat Ember Dragon,Complete Hela's Revival Path IV to unlock.,61400048
1406,14,0,-1,Hela's Revival Path VI,"Before the Creator’s altar, Hel faces an unexpected opponent…",2705,Defeat Loki,Complete Hela's Revival Path V to unlock.,61400071
1501,15,1,1502,Enmusubi's Revival Path I,"The great deity of Yamato, who governs the bonds and fate between mortals and gods, now stands before the gates of the Seventh Divine Realm…",2943,Defeat Gemini,-1,61500001
1502,15,0,1503,Enmusubi's Revival Path II,"On the narrow path leading to the heart of the Divine Realm, Eudemons encountered someone who had “lost all hope in fate and destiny”…",3025,Defeat Capricornus,Complete Enmusubi's Revival Path I to unlock,61500015
1503,15,0,1504,Enmusubi's Revival Path III,"Around the ruins at the center of the Divine Realm, Eudemons met the final Guardian of the Zodiac…",3076,Defeat Pisces,Complete Enmusubi's Revival Path II to unlock,61500027
1504,15,0,1505,Enmusubi's Revival Path IV,"After leaving the ruins, Eudemons crossed paths with a former “rival”…",3084,Defeat Chang’e,Complete Enmusubi's Revival Path III to unlock,61500036
1505,15,0,1506,Enmusubi's Revival Path V,"On the way to the Creation Altar, the Demon-Breaking Witch Himiko awaited Eudemons for their ultimate confrontation…",3007,Defeat Himiko,Complete Enmusubi's Revival Path IV to unlock,61500049
1506,15,0,-1,Enmusubi's Revival Path VI,"Before the Creation Altar, Eudemons came face to face with the ruler of the Yamato…",2962,Defeat Amaterasu,Complete Enmusubi's Revival Path V to unlock,61500079
1601,16,1,1602,Lucifer the Fallen Angel's Revival Path Ⅰ,"After going through countless trials in Purgatory, Lucifer was qualified to stand in front of the Creator Sanctum...",3150,Defeat Loki,-1,61600001
1602,16,0,1603,Lucifer the Fallen Angel's Revival Path Ⅱ,"After entering the gate of the Seventh Divine Realm, Lucifer met the Greek Goddess of Wisdom...",3159,Defeat Athena,Complete Lucifer the Fallen Angel's Revival Path I to unlock,61600012
1603,16,0,1604,Lucifer the Fallen Angel's Revival Path III,"On the way to the Creator’s Altar, waiting is Egypt's most powerful Light Ruler...",3223,Defeat Ra,Complete Lucifer the Fallen Angel's Revival Path II to unlock,61600021
1604,16,0,1605,Lucifer the Fallen Angel's Revival Path Ⅳ,"On the path in the ruins, Lucifer met his enemy who had once hunted and judged him...",3270,Defeat Uriel,Complete Lucifer the Fallen Angel's Revival Path III to unlock,61600030
1605,16,0,1606,Lucifer the Fallen Angel's Revival Path V,"On the way to the Creator's Altar, Lucifer met an old friend from the past...",3290,Defeat Lilith the Night Walker,Complete Lucifer the Fallen Angel's Revival Path IV to unlock,61600041
1606,16,0,-1,Lucifer the Fallen Angel's Revival Path VI,"In front of the Creator's Altar, the holy arbitrator Raphael is waiting for the duel with the fallen angels...",3255,Defeat Raphael the Arcangel,Complete Lucifer the Fallen Angel's Revival Path V to unlock,61600053
1701,17,1,1702,Uriel's Revival Path I,"The Hell's Angel stood in front of the Creator's gate, ready to hunt down the criminals who escaped from prison...",3463,Defeat Asura,-1,61700001
1702,17,0,1703,Uriel's Revival Path II,"After Uriel passed through the gate, she found that the Nordic God of Death had been waiting for a long time...",3468,Defeat Hela,Unlocked after completing Uriel’s Revival Path I,61700014
1703,17,0,1704,Uriel's Revival Path III,"On the way to the Creator’s Altar, the creator of the Greek gods was waiting for the young warden...",3477,Defeat Chaos,Unlocked after completing Uriel’s Revival Path II,61700026
1704,17,0,1705,Uriel's Revival Path IV,Uriel found the original succubus who had escaped from her hands countless times...,3402,Defeat Lilith the Night Walker,Unlocked after completing Uriel’s Revival Path III,61700036
1705,17,0,1706,Uriel's Revival Path V,"When she was about to reach the Creator’s Altar, a former companion of the Hell's Angel stood in front of her...",3368,Defeat Raphael the Arcangel,Unlocked after completing Uriel’s Revival Path IV,61700047
1706,17,0,-1,Uriel's Revival Path VI,"In front of the Creator's Altar, the Judge met the first angel in history who committed the sin of betrayal...",3357,Defeat Lucifer the Fallen Angel,Unlocked after completing Uriel’s Revival Path V,61700060
1801,18,1,1802,Freyja's Revival Path I,"Freyja, the Nordic Goddess of Star, Magic, and War, was finally summoned by the creator of the Seventh Divine Realm...",3592,Defeat Ember Dragon,-1,61800001
1802,18,0,1803,Freyja's Revival Path II,"After passing through the Divine Realm’s gate, Freyja met the Nordic God of Thunder...",3674,Defeat Thor,Unlocked after completing Freyja's Revival Path I,61800014
1803,18,0,1804,Freyja's Revival Path III,"On the way to the Creator's Altar, Freyja met the former guardian of the Nordic countries...",3709,Defeat Storm Dragon,Unlocked after completing Freyja's Revival Path II,61800023
1804,18,0,1805,Freyja's Revival Path Ⅳ,"In front of the Bifrost in the Seventh Divine Realm, Freyja met the most loyal warrior in Northern Europe...",3687,Defeat Heimdall,Unlocked after completing Freyja's Revival Path III,61800035
1805,18,0,1806,Freyja's Revival Path V,"In the snowy land leading to the Creator’s Altar, the last dragon guardian of Northern Europe stood in front of Freyja...",3612,Defeat Frost Dragon,Unlocked after completing Freyja's Revival Path IV,61800046
1806,18,0,-1,Freyja's Revival Path VI,"At the Creator’s Altar, truth and deception met...",3600,Defeat Loki,Unlocked after completing Freyja's Revival Path V,61800058
1901,19,1,1902,Frigga's Revival Path I,Northern Europe’s Frigga finally gets the chance to fulfill her ambitions...,3937,Defeat Thor,-1,61900001
1902,19,0,1903,Frigga's Revival Path II,Northern Europe’s Frigga finally gets the chance to fulfill her ambitions...,3861,Defeat Hela,Unlocked after completing Frigga's Revival Path I,61900011
1903,19,0,1904,Frigga's Revival Path III,"On her way to the Creator's Altar, she meets Loki, the god of fraud, who has been waiting for a long time...",3814,Defeat Loki,Unlocked after completing Frigga's Revival Path II,61900021
1904,19,0,1905,Frigga's Revival Path IV,"In central ruins of the Divine Realm, Frigga meets the goddess of the stars, who is divining fate...",3759,Defeat Freyja,Unlocked after completing Frigga's Revival Path III,61900033
1905,19,0,1906,Frigga's Revival Path V,"On a cliff not far from the Creator’s Altar, the strongest guardian of the Norse is waiting for Frigga's arrival...",3778,Defeat Heimdall,Unlocked after completing Frigga's Revival Path IV,61900045
1906,19,0,-1,Frigga's Revival Path VI,"Before the Creator’s Altar, the two Queens of Greece and Northern Europe are put to the final test...",3856,Defeat Hera,Unlocked after completing Frigga's Revival Path V,61900064
2001,20,1,2002,Jeanne d'Arc the Sworn Warrior's Revival Path I,"Jeanne d'Arc, once a mortal, now stands before the gates of the Seventh Divine Realm...",3981,Defeat Icarus,-1,62000001
2002,20,0,2003,Jeanne d'Arc the Sworn Warrior's Revival Path II,"As Jeanne d'Arc steps through the gates of the Seventh Divine Realm, she meets another Candidate of the Creator—someone who was once mortal, like her.",4012,Defeat Himiko,Unlocked after completing Jeanne d'Arc the Sworn Warrior's Revival Path I,62000012
2003,20,0,2004,Jeanne d'Arc the Sworn Warrior's Revival Path III,"On the path to the Creator's Altar, Jeanne d'Arc encounters the most merciless being among all the angels...",4024,Defeat Uriel,Unlocked after completing Jeanne d'Arc the Sworn Warrior's Revival Path II,62000022
2004,20,0,2005,Jeanne d'Arc the Sworn Warrior's Revival Path Ⅳ,"In the depths of the ruins, Jeanne d'Arc prepares to face the trial of Raphael the Archangel...",4077,Defeat Raphael the Arcangel,Unlocked after completing Jeanne d'Arc the Sworn Warrior's Revival Path III,62000031
2005,20,0,2006,Jeanne d'Arc the Sworn Warrior's Revival Path V,"Not far from the Creator’s Altar, Jeanne d'Arc encounters the first succubus in history...",4146,Defeat Lilith the Night Walker,Unlocked after completing Jeanne d'Arc the Sworn Warrior's Revival Path IV,62000039
2006,20,0,-1,Jeanne d'Arc the Sworn Warrior's Revival Path VI,"Before the Creator’s Altar, the incarnation of Pride is preparing the final trial for Jeanne d'Arc...",4093,Defeat Lucifer the Fallen Angel,Unlocked after completing Jeanne d'Arc the Sworn Warrior's Revival Path V,62000056
2101,21,1,2102,Gemini's Revival Path I,"The incarnation of Gemini arrives before the Creator's Courtyard, seeking a prophecy of their mutual destiny...",4292,Defeat Pisces,-1,62100010
2102,21,0,2103,Gemini's Revival Path II,"After entering the gate of the Creator's courtyard, they meet another tragic incarnation of the Zodiac...",4216,Defeat Capricornus,Unlocked after completing Gemini's Revival Path I,62100022
2103,21,0,2104,Gemini's Revival Path III,"On the path to the Creator's Altar, the twins encounter their former mentor and friend...",4196,Defeat Athena,Unlocked after completing Gemini's Revival Path II,62100037
2104,21,0,2105,Gemini's Revival Path IV,"In the depths of the ruins, waiting for the twins is a little angel who has caused trouble for the Gods countless times...",4230,Defeat Cupid,Unlocked after completing Gemini's Revival Path III,62100048
2105,21,0,2106,Gemini's Revival Path V,"Not far from the Creator's altar, the Japanese Goddess of fate blocks the twins' path...",4302,Defeat Eudemons,Unlocked after completing Gemini's Revival Path IV,62100060
2106,21,0,-1,Gemini's Revival Path VI,"Before the Creator's Altar, Freyja, the Nordic Goddess of War and Ruler of All Stars, foreshadowed the twins' final trial...",4335,Defeat Freyja,Unlocked after completing Gemini's Revival Path V,62100073
2201,22,1,2202,Loki's Revival Path I,"Having past the first trial of the Creator, Loki has gained a chance to stand before Him...",4375,Defeat Ember Dragon,-1,62200008
2202,22,0,2203,Loki's Revival Path II,"After the flames of Purgatory, the most powerful Guardian of Ice in Northern Europe stands before her...",4454,Defeat Frost Dragon,Unlocked after completing Loki's Revival Path I,62200021
2203,22,0,2204,Loki's Revival Path III,"Outside the Courtyard of Wisdom, Loki meets the first embodiment of wisdom in Northern Europe...",4501,Defeat Storm Dragon,Unlocked after completing Loki's Revival Path II,62200032
2204,22,0,2205,Loki's Revival Path Ⅳ,"In the deep of the Courtyard of Wisdom, Loki meets the most powerful sage in Northern Europe...",4508,Defeat Hela,Unlocked after completing Loki's Revival Path III,62200042
2205,22,0,2206,Loki's Revival Path V,"Not far away from the Creator's Altar, the Goddess of Stars and War is waiting for Loki...",4568,Defeat Freyja,Unlocked after completing Loki's Revival Path IV,62200053
2206,22,0,-1,Loki's Revival Path VI,"Before the Creator's Altar, the two nemeses of Ragnarok meet again...",4470,Defeat Heimdall,Unlocked after completing Loki's Revival Path V,62200064
2301,23,1,2302,Poseidon the Sea Sovereign's Revival Path I,"Poseidon stands before the gate of the Seventh Divine Realm, but the Creator doesn't intend to make her journey an easy one...",4717,Defeat Icarus,-1,62300001
2302,23,0,2303,Poseidon the Sea Sovereign's Revival Path II,"Behind the gate of the Creator's Courtyard, the hero who stole fire for mortals tries to stop Poseidon...",4724,Defeat Prometheus,Unlocked after completing Poseidon the Sea Sovereign's Revival Path I,62300012
2303,23,0,2304,Poseidon the Sea Sovereign's Revival Path III,"Outside the Courtyard of Wisdom, Apollo is waiting for a destined meeting...",4651,Defeat Apollo,Unlocked after completing Poseidon the Sea Sovereign's Revival Path II,62300025
2304,23,0,2305,Poseidon the Sea Sovereign's Revival Path IV,"Facing the Creator from Greece, the Goddess of the Sea falls into a dilemma...",4590,Defeat Chaos,Unlocked after completing Poseidon the Sea Sovereign's Revival Path III,62300035
2305,23,0,2306,Poseidon the Sea Sovereign's Revival Path V,"On the way to the Creator's Altar, the Celestial Empress fights the Goddess of the Sea for throne...",4630,Defeat Hera,Unlocked after completing Poseidon the Sea Sovereign's Revival Path IV,62300048
2306,23,0,-1,Poseidon the Sea Sovereign's Revival Path VI,"Before the Creator's Altar, the ultimate fight between thunder and tide is about to begin. The power belongs to only one of them...",4710,Defeat Zeus,Unlocked after completing Poseidon the Sea Sovereign's Revival Path V,62300067
