dialog_id,next_dialog_id,bg,UIbg,bgm,skippable,character_spine,character_position,character_name,dialog,voice,text_anchor,delay,eff_name
101028,101029,NuwaJingu,,,1,USER_MAIN0,2,Cupid,I didn’t have any dreams. Someone offered a substantial reward for me to wait here for you.,,0,0,
101029,101030,NuwaJingu,,,1,PDL0,2,Hera,Oh? And who asked you to wait for me?,,0,0,
101030,-1,NuwaJingu,,,1,LXF_MR,1,Cupid,That’s a secret. You’ll have to guess for yourself.,,0,0,
101031,101032,NuwaJingu,,,1,YD0,1,Hera,It looks like Cupid has been enchanted or deceived. Let’s proceed and see if other goddesses have also been lured here.,,0,0,
101032,101033,NuwaJingu,,,1,USER_MAIN0,1,Hera,That’s… Icarus.,,0,0,
101033,101034,NuwaJingu,,,1,PDL0,2,Icarus,"Greetings, Queen Hera. I trust you’re well.",,0,0,
101034,101035,NuwaJingu,,,1,USER_MAIN0,1,Hera,"Are you here to obstruct me as well, having been similarly deceived?",,0,0,
101035,101036,NuwaJingu,,,1,PDL0,2,Icarus,"Deceived? I came here of my own volition. My wings can carry me to various worlds, and this is just one of them.",,0,0,
101036,101037,NuwaJingu,,,1,PDL0,2,Hera,What brings you here?,,0,0,
101037,101038,NuwaJingu,,,1,USER_MAIN0,2,Icarus,I’ve heard there’s a treasure here that can enhance flying abilities. I intend to acquire it.,,0,0,
101038,101039,NuwaJingu,,,1,PDL0,1,Hera,"I suppose if I want to get past here, I’ll have to go through you?",,0,0,
101039,-1,NuwaJingu,,,1,WN0,1,Icarus,Indeed. The treasure I seek won’t be handed over easily.,,0,0,
101040,101041,NuwaJingu,,,1,USER_MAIN0,2,Hera,Is this the end? I don’t see how this place is any different from the others.,,0,0,
101041,101042,NuwaJingu,,,1,PDL0,1,Loki,"If your hands are empty, you might see nothing. But with the blood of a chief deity, things change.",,0,0,
101042,101043,NuwaJingu,,,1,PDL0,1,Hera,What do you mean?,,0,0,
101043,101044,NuwaJingu,,,1,PDL0,1,Loki,"I’m sorry, Queen Hera, but I deceived you. I lured you here and even made a deal with Cupid to obtain your blood and reveal the secrets of the Seventh Divine Realm!",,0,0,
101044,101045,NuwaJingu,,,1,USER_MAIN0,2,Hera,The Seventh Divine Realm!,,0,0,
101045,101046,NuwaJingu,,,1,PDL0,1,Loki,"Indeed. Now, let’s see how you, the trapped lamb, will struggle to survive!",,0,0,
101046,101047,NuwaJingu,,,1,PDL0,1,Hera,It seems Hades was right—you indeed have sinister intentions… It’s rare for him to be accurate.,,0,0,
101047,101048,NuwaJingu,,,1,USER_MAIN0,2,Hera,"I’ve been prepared for your betrayal. I’m eager to see how you, a defeated foe, will try to turn the tide!",,0,0,
101048,101049,NuwaJingu,,,1,PDL0,1,Loki,"No, this can’t be happening! My puppets, come forth! I need your assistance!",,0,0,
101049,-1,NuwaJingu,,,1,YDN_MR,1,Hera,"Calling for help when you’re outmatched? Very well, let everyone witness the power of creation I’ve obtained!",,0,0,
