box_name,box_type,need_condition,unlock_condition,reward
C5-M1-G1-r6,2,1,852|856|853|855,5:4000035:5|1:2:500
C5-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C5-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C5-M1-G1-r9,1,0,0,5:6000001:5
C6-M1-G1-r1,2,0,0,5:4000036:5|1:2:500
C6-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C6-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C6-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C6-M1-G1-r2,2,0,0,5:4000036:5|1:2:500
C6-M1-G1-r3,2,0,0,5:4000036:5|1:2:500
C6-M1-G1-r4,2,1,1151|1179|1153|1180,5:4000036:5|1:2:500
C6-M1-G1-r5,2,0,0,5:4000036:5|1:2:500
C6-M1-G1-r6,2,1,1217|1219|1246|1245|1243|1242,5:4000036:5|1:2:500
C6-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C6-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C6-M1-G1-r9,1,0,0,5:6000001:5
C7-M1-G1-r1,2,0,0,5:4000037:5|1:2:500
C7-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C7-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C7-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C7-M1-G1-r2,2,0,0,5:4000037:5|1:2:500
C7-M1-G1-r3,2,0,0,5:4000037:5|1:2:500
C7-M1-G1-r4,2,0,0,5:4000037:5|1:2:500
C7-M1-G1-r5,2,1,1336|1310|1338|1312|1313,5:4000037:5|1:2:500
C7-M1-G1-r6,2,1,1433|1434|1436|1437,5:4000037:5|1:2:500
C7-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C7-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C7-M1-G1-r9,1,0,0,5:6000001:5
C8-M1-G1-r1,2,0,0,5:4000038:5|1:2:500
C8-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C8-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C8-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C8-M1-G1-r2,2,0,0,5:4000038:5|1:2:500
C8-M1-G1-r3,2,0,0,5:4000038:5|1:2:500
C8-M1-G1-r4,2,0,0,5:4000038:5|1:2:500
C8-M1-G1-r5,2,1,1477|1504|1506|1481|1480|1478,5:4000038:5|1:2:500
C8-M1-G1-r6,2,1,1588|1590|1616|1614,5:4000038:5|1:2:500
C8-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C8-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C8-M1-G1-r9,1,0,0,5:6000001:5
C9-M1-G1-r1,2,0,0,5:4000039:5|1:2:500
C9-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C9-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C9-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C9-M1-G1-r2,2,0,0,5:4000039:5|1:2:500
C9-M1-G1-r3,2,0,0,5:4000039:5|1:2:500
C9-M1-G1-r4,2,0,0,5:4000039:5|1:2:500
C9-M1-G1-r5,2,1,1725|1723|1748|1749|1751|1752,5:4000039:5|1:2:500
C9-M1-G1-r6,2,1,1817|1845|1842|1843,5:4000039:5|1:2:500
C9-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C9-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C9-M1-G1-r9,1,0,0,5:6000001:5
C10-M1-G1-r1,2,0,0,5:4000040:5|1:2:500
C10-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C10-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C10-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C10-M1-G1-r2,2,0,0,5:4000040:5|1:2:500
C10-M1-G1-r3,2,0,0,5:4000040:5|1:2:500
C10-M1-G1-r4,2,0,0,5:4000040:5|1:2:500
C10-M1-G1-r5,2,1,1898|1900|1875|1874|1872,5:4000040:5|1:2:500
C10-M1-G1-r6,2,1,2027|2025|2050|2051|2053,5:4000040:5|1:2:500
C10-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C10-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C10-M1-G1-r9,1,0,0,5:6000001:5
C11-M1-G1-r1,2,0,0,5:4000041:5|1:2:500
C11-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C11-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C11-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C11-M1-G1-r2,2,0,0,5:4000041:5|1:2:500
C11-M1-G1-r3,2,0,0,5:4000041:5|1:2:500
C11-M1-G1-r4,2,0,0,5:4000041:5|1:2:500
C11-M1-G1-r5,2,1,2106|2108|2083|2082|2080,5:4000041:5|1:2:500
C11-M1-G1-r6,2,1,2287|2261|2285|2259|2284,5:4000041:5|1:2:500
C11-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C11-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C11-M1-G1-r9,1,0,0,5:6000001:5
C12-M1-G1-r1,2,0,0,5:4000042:5|1:2:500
C12-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C12-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C12-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C12-M1-G1-r2,2,0,0,5:4000042:5|1:2:500
C12-M1-G1-r3,2,0,0,5:4000042:5|1:2:500
C12-M1-G1-r4,2,0,0,5:4000042:5|1:2:500
C12-M1-G1-r5,2,1,2313|2311|2336|2337|2339,5:4000042:5|1:2:500
C12-M1-G1-r6,2,1,2444|2446|2447|2472|2470,5:4000042:5|1:2:500
C12-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C12-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C12-M1-G1-r9,1,0,0,5:6000001:5
C13-M1-G1-r1,2,0,0,5:4000043:5|1:2:500
C13-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C13-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C13-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C13-M1-G1-r2,2,0,0,5:4000043:5|1:2:500
C13-M1-G1-r3,2,0,0,5:4000043:5|1:2:500
C13-M1-G1-r4,2,0,0,5:4000043:5|1:2:500
C13-M1-G1-r5,2,1,2521|2519|2544|2545|2547,5:4000043:5|1:2:500
C13-M1-G1-r6,2,1,2652|2654|2655|2680|2678,5:4000043:5|1:2:500
C13-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C13-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C13-M1-G1-r9,1,0,0,5:6000001:5
C14-M1-G1-r1,2,0,0,5:4000044:5|1:2:500
C14-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C14-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C14-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C14-M1-G1-r2,2,0,0,5:4000044:5|1:2:500
C14-M1-G1-r3,2,0,0,5:4000044:5|1:2:500
C14-M1-G1-r4,2,0,0,5:4000044:5|1:2:500
C14-M1-G1-r5,2,1,2859|2857|2833|2831|2856,5:4000044:5|1:2:500
C14-M1-G1-r6,2,1,2724|2728|2727|2725,5:4000044:5|1:2:500
C14-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C14-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C14-M1-G1-r9,1,0,0,5:6000001:5
C15-M1-G1-r1,2,0,0,5:4000045:5|1:2:500
C15-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C15-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C15-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C15-M1-G1-r2,2,0,0,5:4000045:5|1:2:500
C15-M1-G1-r3,2,0,0,5:4000045:5|1:2:500
C15-M1-G1-r4,2,0,0,5:4000045:5|1:2:500
C15-M1-G1-r5,2,1,3068|3070|3071|3096|3094,5:4000045:5|1:2:500
C15-M1-G1-r6,2,1,3119|3117|3116|3091|3093,5:4000045:5|1:2:500
C15-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C15-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C15-M1-G1-r9,1,0,0,5:6000001:5
C16-M1-G1-r1,2,0,0,5:4000046:5|1:2:500
C16-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C16-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C16-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C16-M1-G1-r2,2,0,0,5:4000046:5|1:2:500
C16-M1-G1-r3,2,0,0,5:4000046:5|1:2:500
C16-M1-G1-r4,2,0,0,5:4000046:5|1:2:500
C16-M1-G1-r5,2,1,3140|3141|3143|3144,5:4000046:5|1:2:500
C16-M1-G1-r6,2,1,3301|3299|3324|3325|3327,5:4000046:5|1:2:500
C16-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C16-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C16-M1-G1-r9,1,0,0,5:6000001:5
C17-M1-G1-r1,2,0,0,5:4000047:5|1:2:500
C17-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C17-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C17-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C17-M1-G1-r2,2,0,0,5:4000047:5|1:2:500
C17-M1-G1-r3,2,0,0,5:4000047:5|1:2:500
C17-M1-G1-r4,2,0,0,5:4000047:5|1:2:500
C17-M1-G1-r5,2,1,3521|3523|3524|3497|3495,5:4000047:5|1:2:500
C17-M1-G1-r6,2,1,3417|3419|3420|3393|3391,5:4000047:5|1:2:500
C17-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C17-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C17-M1-G1-r9,1,0,0,5:6000001:5
C18-M1-G1-r1,2,0,0,5:4000048:5|1:2:500
C18-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C18-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C18-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C18-M1-G1-r2,2,0,0,5:4000048:5|1:2:500
C18-M1-G1-r3,2,0,0,5:4000048:5|1:2:500
C18-M1-G1-r4,2,0,0,5:4000048:5|1:2:500
C18-M1-G1-r5,2,1,3719|3720|3722|3723,5:4000048:5|1:2:500
C18-M1-G1-r6,2,1,3739|3740|3742|3743,5:4000048:5|1:2:500
C18-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C18-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C18-M1-G1-r9,1,0,0,5:6000001:5
C19-M1-G1-r1,2,0,0,5:4000049:5|1:2:500
C19-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C19-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C19-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C19-M1-G1-r2,2,0,0,5:4000049:5|1:2:500
C19-M1-G1-r3,2,0,0,5:4000049:5|1:2:500
C19-M1-G1-r4,2,0,0,5:4000049:5|1:2:500
C19-M1-G1-r5,2,1,3947|3948|3950|3951,5:4000049:5|1:2:500
C19-M1-G1-r6,2,1,3771|3773|3800|3799|3797|3796,5:4000049:5|1:2:500
C19-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C19-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C19-M1-G1-r9,1,0,0,5:6000001:5
C20-M1-G1-r1,2,0,0,5:4000050:5|1:2:500
C20-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C20-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C20-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C20-M1-G1-r2,2,0,0,5:4000050:5|1:2:500
C20-M1-G1-r3,2,0,0,5:4000050:5|1:2:500
C20-M1-G1-r4,2,0,0,5:4000050:5|1:2:500
C20-M1-G1-r5,2,1,4000|4002|3973|3974|3976|3977,5:4000050:5|1:2:500
C20-M1-G1-r6,2,1,4155|4156|4158|4159,5:4000050:5|1:2:500
C20-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C20-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C20-M1-G1-r9,1,0,0,5:6000001:5
C21-M1-G1-r1,2,0,0,5:4000051:5|1:2:500
C21-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C21-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C21-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C21-M1-G1-r2,2,0,0,5:4000051:5|1:2:500
C21-M1-G1-r3,2,0,0,5:4000051:5|1:2:500
C21-M1-G1-r4,2,0,0,5:4000051:5|1:2:500
C21-M1-G1-r5,2,1,4188|4190|4165|4164|4162,5:4000051:5|1:2:500
C21-M1-G1-r6,2,1,4315|4313|4312|4287|4289,5:4000051:5|1:2:500
C21-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C21-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C21-M1-G1-r9,1,0,0,5:6000001:5
C22-M1-G1-r1,2,0,0,5:4000052:5|1:2:500
C22-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C22-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C22-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C22-M1-G1-r2,2,0,0,5:4000052:5|1:2:500
C22-M1-G1-r3,2,0,0,5:4000052:5|1:2:500
C22-M1-G1-r4,2,0,0,5:4000052:5|1:2:500
C22-M1-G1-r5,2,1,4447|4449|4450|4423|4421|4446,5:4000052:5|1:2:500
C22-M1-G1-r6,2,1,4418|4416|4389|4390,5:4000052:5|1:2:500
C22-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C22-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C22-M1-G1-r9,1,0,0,5:6000001:5
C23-M1-G1-r1,2,0,0,5:4000053:5|1:2:500
C23-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C23-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C23-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C23-M1-G1-r2,2,0,0,5:4000053:5|1:2:500
C23-M1-G1-r3,2,0,0,5:4000053:5|1:2:500
C23-M1-G1-r4,2,0,0,5:4000053:5|1:2:500
C23-M1-G1-r5,2,1,4783|4781|4780|4755|4757,5:4000053:5|1:2:500
C23-M1-G1-r6,2,1,4602|4604|4579|4578|4576,5:4000053:5|1:2:500
C23-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C23-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C23-M1-G1-r9,1,0,0,5:6000001:5
C24-M1-G1-r1,2,0,0,5:4000054:5|1:2:500
C24-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C24-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C24-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C24-M1-G1-r2,2,0,0,5:4000054:5|1:2:500
C24-M1-G1-r3,2,0,0,5:4000054:5|1:2:500
C24-M1-G1-r4,2,0,0,5:4000054:5|1:2:500
C24-M1-G1-r5,2,1,4832|4834|4809|4808|4806|4805,5:4000054:5|1:2:500
C24-M1-G1-r6,2,1,4788|4787|4785|4784,5:4000054:5|1:2:500
C24-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C24-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C24-M1-G1-r9,1,0,0,5:6000001:5
C25-M1-G1-r1,2,0,0,5:4000055:5|1:2:500
C25-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C25-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C25-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C25-M1-G1-r2,2,0,0,5:4000055:5|1:2:500
C25-M1-G1-r3,2,0,0,5:4000055:5|1:2:500
C25-M1-G1-r4,2,0,0,5:4000055:5|1:2:500
C25-M1-G1-r5,2,1,5195|5196|5198|5199,5:4000055:5|1:2:500
C25-M1-G1-r6,2,1,5061|5063|5064|5037|5035|5060,5:4000055:5|1:2:500
C25-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C25-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C25-M1-G1-r9,1,0,0,5:6000001:5
C26-M1-G1-r1,2,0,0,5:4000056:5|1:2:500
C26-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C26-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C26-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C26-M1-G1-r2,2,0,0,5:4000056:5|1:2:500
C26-M1-G1-r3,2,0,0,5:4000056:5|1:2:500
C26-M1-G1-r4,2,0,0,5:4000056:5|1:2:500
C26-M1-G1-r5,2,1,5248|5250|5225|5224|5222|5221,5:4000056:5|1:2:500
C26-M1-G1-r6,2,1,5372|5347|5349|5376,5:4000056:5|1:2:500
C26-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C26-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C26-M1-G1-r9,1,0,0,5:6000001:5
C27-M1-G1-r1,2,0,0,5:4000057:5|1:2:500
C27-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C27-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C27-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C27-M1-G1-r2,2,0,0,5:4000057:5|1:2:500
C27-M1-G1-r3,2,0,0,5:4000057:5|1:2:500
C27-M1-G1-r4,2,0,0,5:4000057:5|1:2:500
C27-M1-G1-r5,2,1,5456|5458|5433|5432|5430|5429,5:4000057:5|1:2:500
C27-M1-G1-r6,2,1,5611|5612|5614|5615,5:4000057:5|1:2:500
C27-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C27-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C27-M1-G1-r9,1,0,0,5:6000001:5
C28-M1-G1-r1,2,0,0,5:4000058:5|1:2:500
C28-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C28-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C28-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C28-M1-G1-r2,2,0,0,5:4000058:5|1:2:500
C28-M1-G1-r3,2,0,0,5:4000058:5|1:2:500
C28-M1-G1-r4,2,0,0,5:4000058:5|1:2:500
C28-M1-G1-r5,2,1,5731|5733|5734|5707|5705|5730,5:4000058:5|1:2:500
C28-M1-G1-r6,2,1,5636|5637|5639|5640,5:4000058:5|1:2:500
C28-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C28-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C28-M1-G1-r9,1,0,0,5:6000001:5
C29-M1-G1-r1,2,0,0,5:4000059:5|1:2:500
C29-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C29-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C29-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C29-M1-G1-r2,2,0,0,5:4000059:5|1:2:500
C29-M1-G1-r3,2,0,0,5:4000059:5|1:2:500
C29-M1-G1-r4,2,0,0,5:4000059:5|1:2:500
C29-M1-G1-r5,2,1,6027|6028|6030|6031,5:4000059:5|1:2:500
C29-M1-G1-r6,2,1,6007|6009|6010|5983|5981|6006,5:4000059:5|1:2:500
C29-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C29-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C29-M1-G1-r9,1,0,0,5:6000001:5
C30-M1-G1-r1,2,0,0,5:4000060:5|1:2:500
C30-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C30-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C30-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C30-M1-G1-r2,2,0,0,5:4000060:5|1:2:500
C30-M1-G1-r3,2,0,0,5:4000060:5|1:2:500
C30-M1-G1-r4,2,0,0,5:4000060:5|1:2:500
C30-M1-G1-r5,2,1,6084|6086|6087|6110|6112,5:4000060:5|1:2:500
C30-M1-G1-r6,2,1,6188|6190|6191|6214|6216,5:4000060:5|1:2:500
C30-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C30-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C30-M1-G1-r9,1,0,0,5:6000001:5
C31-M1-G1-r1,2,0,0,5:4000061:5|1:2:500
C31-M1-G1-r10,1,1,6260|6264,5:2000010:40|1:2:300
C31-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C31-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C31-M1-G1-r2,2,0,0,5:4000061:5|1:2:500
C31-M1-G1-r3,2,0,0,5:4000061:5|1:2:500
C31-M1-G1-r4,2,0,0,5:4000061:5|1:2:500
C31-M1-G1-r5,2,1,6344|6346|6370|6372|6347,5:4000061:5|1:2:500
C31-M1-G1-r6,2,1,6317|6315|6340|6341|6343,5:4000061:5|1:2:500
C31-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C31-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C31-M1-G1-r9,1,1,6429|6433,5:6000001:5
C32-M1-G1-r1,2,0,0,5:4000062:5|1:2:500
C32-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C32-M1-G1-r11,1,1,6569|6573,5:3000008:10|1:2:300
C32-M1-G1-r12,1,1,6456|6460,5:1000040:5|1:2:300
C32-M1-G1-r2,2,0,0,5:4000062:5|1:2:500
C32-M1-G1-r3,2,1,6629|6655|6627|6653|6652,5:4000062:5|1:2:500
C32-M1-G1-r4,2,1,6518|6514|6491|6489,5:4000062:5|1:2:500
C32-M1-G1-r5,2,0,0,5:4000062:5|1:2:500
C32-M1-G1-r6,2,0,0,5:4000062:5|1:2:500
C32-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C32-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C32-M1-G1-r9,1,0,0,5:6000001:5
C33-M1-G1-r1,2,0,0,5:4000063:5|1:2:500
C33-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C33-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C33-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C33-M1-G1-r2,2,0,0,5:4000063:5|1:2:500
C33-M1-G1-r3,2,0,0,5:4000063:5|1:2:500
C33-M1-G1-r4,2,0,0,5:4000063:5|1:2:500
C33-M1-G1-r5,2,1,6786|6786|6812|6814|6789,5:4000063:5|1:2:500
C33-M1-G1-r6,2,1,6805|6829|6803|6828,5:4000063:5|1:2:500
C33-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C33-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C33-M1-G1-r9,1,0,0,5:6000001:5
C34-M1-G1-r1,2,0,0,5:4000064:5|1:2:500
C34-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C34-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C34-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C34-M1-G1-r2,2,0,0,5:4000064:5|1:2:500
C34-M1-G1-r3,2,0,0,5:4000064:5|1:2:500
C34-M1-G1-r4,2,0,0,5:4000064:5|1:2:500
C34-M1-G1-r5,2,1,7013|7040|7042|7017|7014|7016,5:4000064:5|1:2:500
C34-M1-G1-r6,2,1,6884|6888|6885|6887,5:4000064:5|1:2:500
C34-M1-G1-r7,1,0,0,5:3000009:5|1:2:300
C34-M1-G1-r8,1,0,0,5:2000011:25|1:2:300
C34-M1-G1-r9,1,0,0,5:6000001:5
C35-M1-G1-r1,2,0,0,5:4000065:5|1:2:500
C35-M1-G1-r10,1,0,0,5:2000010:40|1:2:300
C35-M1-G1-r11,1,0,0,5:3000008:10|1:2:300
C35-M1-G1-r12,1,0,0,5:1000040:5|1:2:300
C35-M1-G1-r2,2,0,0,5:4000065:5|1:2:500
C35-M1-G1-r3,2,0,0,5:4000065:5|1:2:500
C35-M1-G1-r4,2,1,7183|7211|7185|7212,5:4000065:5|1:2:500
C35-M1-G1-r5,2,0,0,5:4000065:5|1:2:500
