chapter_id,chapter_name,banner_path,dialog
22,Loki's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
23,Poseidon the Sea Sovereign's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
24,Horus's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
25,Anubis the Deathlord's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
26,Prometheus's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
27,Idun the Unwithering Flower's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
28,Chang'e's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
29,Nemesis the Orderkeeper's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
30,Pisces's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
31,Pandora the Secretkeeper's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
32,Sagittarius's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
33,Asura's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
34,Merlin's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
35,Medusa the Cursebound's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
36,Venus's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
37,Aquarius's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
38,Fuxi the Heavenruler's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
39,雅典娜的创世圣境,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
