index,option_id,chapter,option_index,dialog_id,character_name,dialog,bg,character_spine,content,pos_x,pos_y,scale,condition_type,condition_param,result_type,result_param
25,9,2,0,60100001,Gemini,Gemini wants to join your team,,YWJ_MR,,-30,150,1.2,0,0,9,
26,9,2,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2065
27,9,2,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2065
28,10,2,0,60100001,Prometheus,Prometheus wants to join your team,,PLMXS_MR,,40,100,1.2,0,0,9,
29,10,2,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2087
30,10,2,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2087
31,11,2,0,60100001,Chaos,Chaos wants to join your team,,KES_MR,,20,150,1.2,0,0,9,
32,11,2,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2050
33,11,2,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2050
34,12,2,0,60100001,Apollo,Apollo wants to join your team,,ABL_MR,,30,300,1,0,0,9,
35,12,2,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2078
36,12,2,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2078
37,13,2,0,60100001,Hera,Hera wants to join your team,,HL_CSHS,,30,100,1.2,0,0,9,
38,13,2,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2039
39,13,2,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2039
40,14,2,0,60100001,Freyja,Freyja wants to join your team,,FLY_MR,,-20,10,1.3,0,0,9,
41,14,2,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2060
42,14,2,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2060
43,15,3,0,60100001,Apollo,Apollo wants to join your team,,ABL_MR,,30,300,1,0,0,9,
44,15,3,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2078
45,15,3,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2078
46,16,3,0,60100001,Venus,Venus wants to join your team,,WNS_MR,,-30,230,1.2,0,0,9,
47,16,3,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2074
48,16,3,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2074
49,17,3,0,60100001,Prometheus,Prometheus wants to join your team,,PLMXS_MR,,40,100,1.2,0,0,9,
50,17,3,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2087
51,17,3,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2087
52,18,3,0,60100001,Horus,Horus wants to join your team,,HLS_MR,,20,150,1.2,0,0,9,
53,18,3,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2081
54,18,3,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2081
55,19,3,0,60100001,Chaos,Chaos wants to join your team,,KES_MR,,20,150,1.2,0,0,9,
56,19,3,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2050
57,19,3,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2050
58,20,3,0,60100001,Hela,Hela wants to join your team,,HLA_MR,,30,100,1.2,0,0,9,
59,20,3,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2086
60,20,3,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2086
61,21,3,0,60100001,Sim Cheong,Sim Cheong wants to join your team,,SQE_MR,,-20,10,1.3,0,0,9,
62,21,3,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2063
63,21,3,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2063
64,22,4,0,60400007,Ares,Ares wants to join your team,,ARS_MR,,30,300,1,0,0,-1,
65,22,4,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2083
66,22,4,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2083
67,23,4,0,60400016,Cupid,Cupid wants to join your team,,QBT_CSHS,,-20,100,1.2,0,0,-1,
68,23,4,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2047
69,23,4,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2047
70,24,4,0,60400025,Hera,Hera wants to join your team,,HL_CSHS,,30,100,1.2,0,0,-1,
71,24,4,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2039
72,24,4,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2039
73,25,4,0,60400034,Zeus,Zeus wants to join your team,,ZS_MR,,20,220,1.2,0,0,-1,
74,25,4,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2075
75,25,4,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2075
76,26,4,0,60400044,Apollo,Apollo wants to join your team,,ABL_MR,,20,150,1.2,0,0,-1,
77,26,4,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2078
78,26,4,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2078
79,27,4,0,60100001,Himiko,Himiko wants to join your team,,BMH_MR,,30,100,1.2,0,0,9,
80,27,4,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2053
81,27,4,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2053
82,28,4,0,60100001,Storm Dragon,Storm Dragon wants to join your team,,LL_MR,,-20,70,1.3,0,0,9,
83,28,4,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2057
84,28,4,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2057
85,29,5,0,60500010,Athena,Athena wants to join your team,,YDN_MR,,30,300,1,0,0,-1,
86,29,5,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2069
87,29,5,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2069
88,30,5,0,60500022,Prometheus,Prometheus wants to join your team,,PLMXS_MR,,-20,100,1.2,0,0,-1,
89,30,5,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2087
90,30,5,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2087
91,31,5,0,60500032,Freyja,Freyja wants to join your team,,FLY_MR,,30,100,1.2,0,0,-1,
92,31,5,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2060
93,31,5,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2060
94,32,5,0,60500039,Ra,Ra wants to join your team,,R_MR,,-10,150,1.2,0,0,-1,
95,32,5,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2037
96,32,5,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2037
97,33,5,0,60500046,Amaterasu,Amaterasu wants to join your team,,TZDS_CZ,,20,95,1.2,0,0,-1,
98,33,5,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2032
99,33,5,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2032
100,34,5,0,60100001,Asura,Asura wants to join your team,,AXL_MR,,30,100,1.2,0,0,9,
101,34,5,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2068
102,34,5,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2068
103,35,5,0,60100001,Hera,Hera wants to join your team,,HL_CSHS,,30,70,1.2,0,0,9,
104,35,5,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2039
105,35,5,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2039
106,36,6,0,60600007,Princess Kaguya,Princess Kaguya wants to join your team,,HYJ0,,30,300,1,0,0,-1,
107,36,6,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2062
108,36,6,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2062
109,37,6,0,60600013,Ember Dragon,Ember Dragon wants to join your team,,LH_MR,,-20,100,1.2,0,0,-1,
110,37,6,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2056
111,37,6,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2056
112,38,6,0,60600021,Nekomata,Nekomata wants to join your team,,MY0,,30,100,1.2,0,0,-1,
113,38,6,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2058
114,38,6,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2058
115,39,6,0,60600030,Ra,Ra wants to join your team,,R_CSHS,,-10,150,1.2,0,0,-1,
116,39,6,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2037
117,39,6,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2037
118,40,6,0,60600039,Heimdall,Heimdall wants to join your team,,HMDE_MR,,20,95,1.2,0,0,-1,
119,40,6,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2051
120,40,6,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2051
121,41,6,0,60100001,Hera,Hera wants to join your team,,HL_CSHS,,30,70,1.2,0,0,9,
122,41,6,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2039
123,41,6,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2039
124,42,6,0,60100001,Icarus,Icarus wants to join your team,,YKLS_CSHS,,30,70,1.2,0,0,9,
125,42,6,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2049
126,42,6,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2049
127,43,7,0,0,Michael,Michael wants to join your team.,,MJL0,,30,300,1,0,0,-1,
128,43,7,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2052
129,43,7,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2052
130,44,7,0,0,Uriel,Uriel wants to join your team.,,WLE_MR,,-20,100,1.2,0,0,-1,
131,44,7,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2084
132,44,7,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2084
133,45,7,0,0,Heimdall,Heimdall wants to join your team,,HMDE_MR,,30,100,1.2,0,0,-1,
134,45,7,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2051
135,45,7,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2051
136,46,7,0,0,Horus,Horus wants to join your team,,HLS_MR,,-10,150,1.2,0,0,-1,
137,46,7,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2081
138,46,7,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2081
139,47,7,0,0,Himiko,Himiko wants to join your team,,BMH_CSHS,,20,95,1.2,0,0,-1,
140,47,7,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2053
141,47,7,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2053
142,48,7,0,0,Ra,Ra wants to join your team,,R_CSHS,,30,70,1.2,0,0,9,
143,48,7,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2037
144,48,7,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2037
145,49,7,0,0,Cupid,Cupid wants to join your team,,QBT_CSHS,,30,70,1.2,0,0,9,
146,49,7,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2047
147,49,7,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2047
