id,chapter_id,group_index,play_type,weight,fight_value,enemy_id_group,enemy_show_id,desc
91,3,103015,1,100,17835009408,31501|31502|31503|31504|31505|31506,31501,Creatures born from unknown chaotic energy.
92,3,103016,2,100,8719337933,31601,31601,Creatures born from unknown chaotic energy.
93,3,103017,1,100,7926670848,31701,31701,Creatures born from unknown chaotic energy.
94,3,103018,1,100,8190893210,31801,31801,Creatures born from unknown chaotic energy.
95,3,103019,1,100,21005677747,31901|31902|31903|31904|31905|31906,31901,Creatures born from unknown chaotic energy.
96,3,103020,2,100,10040449741,32001,32001,Creatures born from unknown chaotic energy.
97,3,103021,1,100,9247782656,32101,32101,Creatures born from unknown chaotic energy.
98,3,103022,1,100,9512005018,32201,32201,Creatures born from unknown chaotic energy.
99,3,103023,1,100,24176346086,32301|32302|32303|32304|32305|32306,32301,Creatures born from unknown chaotic energy.
100,3,103024,2,100,11361561549,32401,32401,Creatures born from unknown chaotic energy.
101,3,103025,1,100,10568894464,32501,32501,Creatures born from unknown chaotic energy.
102,3,103026,1,100,10833116826,32601,32601,Creatures born from unknown chaotic energy.
103,3,103027,1,100,11097339187,32701,32701,Creatures born from unknown chaotic energy.
104,3,103028,1,100,11361561549,32801,32801,Creatures born from unknown chaotic energy.
105,3,103029,1,100,11625783910,32901,32901,Creatures born from unknown chaotic energy.
106,3,103030,1,100,11890006272,33001,33001,Creatures born from unknown chaotic energy.
107,3,103031,1,100,12154228634,33101,33101,Creatures born from unknown chaotic energy.
108,3,103032,1,100,12418450995,33201,33201,Creatures born from unknown chaotic energy.
109,3,103033,1,100,12682673357,33301,33301,Creatures born from unknown chaotic energy.
110,3,103034,1,100,12946895718,33401,33401,Creatures born from unknown chaotic energy.
111,3,103035,2,100,15457008154,33501|33502|33503|33504|33505|33506,33501,Creatures born from unknown chaotic energy.
112,3,103036,2,100,17042342323,33601|33602|33603|33604|33605|33606,33601,Creatures born from unknown chaotic energy.
113,3,103037,2,100,18627676493,33701|33702|33703|33704|33705|33706,33701,Creatures born from unknown chaotic energy.
114,3,103038,2,100,20213010662,33801|33802|33803|33804|33805|33806,33801,Creatures born from unknown chaotic energy.
