task_id,chapter_id,map_name,task_type,task_value,jindu_value,reward
1610,17,C17-M1-G1,1,38,20,1:2:100
1611,17,C17-M1-G1,3,6,20,1:2:100
1612,17,C17-M1-G1,4,6,20,1:2:100
1613,17,C17-M1-G1,5,7,20,1:2:100
1614,17,C17-M1-G1,6,8,20,1:2:100
1801,18,C18-M1-G1,1,36,20,1:2:100
1803,18,C18-M1-G1,3,6,20,1:2:100
1805,18,C18-M1-G1,4,6,20,1:2:100
1807,18,C18-M1-G1,5,7,20,1:2:100
1809,18,C18-M1-G1,6,8,20,1:2:100
1901,19,C19-M1-G1,1,38,20,1:2:100
1902,19,C19-M1-G1,3,6,20,1:2:100
1903,19,C19-M1-G1,4,6,20,1:2:100
1904,19,C19-M1-G1,5,7,20,1:2:100
1905,19,C19-M1-G1,6,8,20,1:2:100
2001,20,C20-M1-G1,1,38,20,1:2:100
2002,20,C20-M1-G1,3,6,20,1:2:100
2003,20,C20-M1-G1,4,6,20,1:2:100
2004,20,C20-M1-G1,5,7,20,1:2:100
2005,20,C20-M1-G1,6,8,20,1:2:100
2101,21,C21-M1-G1,1,38,20,1:2:100
2102,21,C21-M1-G1,3,6,20,1:2:100
2103,21,C21-M1-G1,4,6,20,1:2:100
2104,21,C21-M1-G1,5,7,20,1:2:100
2105,21,C21-M1-G1,6,8,20,1:2:100
2201,22,C22-M1-G1,1,38,20,1:2:100
2202,22,C22-M1-G1,3,6,20,1:2:100
2203,22,C22-M1-G1,4,6,20,1:2:100
2204,22,C22-M1-G1,5,7,20,1:2:100
2205,22,C22-M1-G1,6,8,20,1:2:100
2301,23,C23-M1-G1,1,38,20,1:2:100
2302,23,C23-M1-G1,3,6,20,1:2:100
2303,23,C23-M1-G1,4,6,20,1:2:100
2304,23,C23-M1-G1,5,7,20,1:2:100
2305,23,C23-M1-G1,6,8,20,1:2:100
2401,24,C24-M1-G1,1,38,20,1:2:100
2402,24,C24-M1-G1,3,6,20,1:2:100
2403,24,C24-M1-G1,4,6,20,1:2:100
2404,24,C24-M1-G1,5,7,20,1:2:100
2405,24,C24-M1-G1,6,8,20,1:2:100
