id,group,difficulty,boss_name,kill_reward,avatar_path,spine_name,image_id,role,quality,star,job,level,skill_id_list,fight_value,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
39,20,1,虚空魔灵,5:3000108:1|5:3000105:1|1:2:100,NPC47.png,NPC47,10,22,6,5,2,195,111401001|114801001,905997312,263668956,8204442,8790473,43072,972529,457682,457682,2999999,215,182489,9124,0,200,0,0,810,5900,5900,3000,0,0,0
40,20,2,虚空魔灵,5:3000127:1|5:3000188:20|5:3000107:1,NPC47.png,NPC47,10,22,7,5,2,195,111401001|114801001,905997312,395503434,12306663,13185710,64608,1458794,686523,686523,4499999,323,273734,13686,0,200,0,0,830,7080,7080,3000,0,0,0
41,21,1,混沌之主,5:3000108:1|5:3000105:1|1:2:100,NPC44.png,NPC44,6,22,6,5,3,200,110702001|100210001,905997312,295309230,9106930,9757425,44795,1035743,508027,508027,2999999,220,200738,10037,0,210,0,0,850,6200,6200,3000,0,0,0
42,21,2,混沌之主,5:3000127:1|5:3000048:5|5:3000107:1,NPC44.png,NPC44,6,22,7,5,3,200,110702001|100210001,905997312,442963845,13660395,14636138,67193,1553615,762041,762041,4499999,330,301107,15056,0,210,0,0,880,7440,7440,3000,0,0,0
43,22,1,业火妖姬,5:3000108:1|5:3000105:1|1:2:100,NPC30.png,NPC30,8,22,6,5,1,200,111001001|112401001,905997312,330746338,10108693,10830742,46587,1103067,563910,563910,2999999,225,220812,11041,0,220,0,0,910,6500,6500,3000,0,0,0
44,22,2,业火妖姬,5:3000127:1|5:3000049:5|5:3000107:1,NPC30.png,NPC30,8,22,7,5,1,200,111001001|112401001,905997312,496119507,15163040,16246113,69881,1654601,845865,845865,4499999,338,331218,16562,0,220,0,0,940,7800,7800,3000,0,0,0
45,23,1,堕落天使,5:3000108:1|5:3000105:1|1:2:100,NPC53.png,NPC53,1,22,6,5,2,200,100201001|112202001,905997312,370435898,11220649,12022124,48451,1174766,625940,625940,2999999,230,242893,12145,0,230,0,0,970,6800,6800,3000,0,0,0
46,23,2,堕落天使,5:3000127:1|5:2000006:1|5:3000107:1,NPC53.png,NPC53,1,22,7,5,2,200,100201001|112202001,905997312,555653847,16830974,18033186,72677,1762149,938910,938910,4499999,345,364340,18218,0,230,0,0,1000,8160,8160,3000,0,0,0
47,24,1,虚空死灵,5:3000108:1|5:3000105:1|1:2:100,NPC40.png,NPC40,4,22,6,5,3,200,112901001|112902001,905997312,414888206,12454920,13344557,50389,1251126,694793,694793,2999999,235,267183,13359,0,240,0,0,1030,7100,7100,3000,0,0,0
48,24,2,虚空死灵,5:3000127:1|1:2:500|5:3000107:1,NPC40.png,NPC40,4,22,7,5,3,200,112901001|112902001,905997312,622332309,18682380,20016836,75584,1876689,1042190,1042190,4499999,353,400775,20039,0,240,0,0,1060,8520,8520,3000,0,0,0
49,25,1,堕落蛇灵,5:3000108:1|5:3000105:1|1:2:100,NPC36.png,NPC36,2,22,6,5,1,200,113102001|112401001,905997312,464674791,13824961,14812459,52404,1332449,771220,771220,2999999,240,293901,14695,0,250,0,0,1090,7400,7400,3000,0,0,0
50,25,2,堕落蛇灵,5:3000127:1|5:3000188:20|5:3000107:1,NPC36.png,NPC36,2,22,7,5,1,200,113102001|112401001,905997312,697012187,20737442,22218689,78606,1998674,1156830,1156830,4499999,360,440852,22043,0,250,0,0,1120,8880,8880,3000,0,0,0
51,26,1,混沌之羽,5:3000108:1|5:3000105:1|1:2:100,NPC54.png,NPC54,5,22,6,5,2,200,112902001|111802001,905997312,520435766,15345707,16441829,54500,1419058,856055,856055,2999999,245,323291,16165,0,260,0,0,1150,7700,7700,3000,0,0,0
52,26,2,混沌之羽,5:3000127:1|5:2000011:20|5:3000107:1,NPC54.png,NPC54,5,22,7,5,2,200,112902001|111802001,905997312,780653649,23018561,24662744,81750,2128587,1284083,1284083,4499999,368,484937,24248,0,260,0,0,1180,9240,9240,3000,0,0,0
53,27,1,混沌魔蛇,5:3000108:1|5:3000105:1|1:2:100,NPC31.png,NPC31,7,22,6,5,3,200,100109001|112602001,905997312,582888058,17033735,18250430,56680,1511297,950221,950221,2999999,250,355620,17781,0,270,0,0,1210,8000,8000,3000,0,0,0
54,27,2,混沌魔蛇,5:3000127:1|5:1000010:1|5:3000107:1,NPC31.png,NPC31,7,22,7,5,3,200,100109001|112602001,905997312,874332087,25550603,27375645,85020,2266946,1425332,1425332,4499999,375,533430,26672,0,270,0,0,1240,9600,9600,3000,0,0,0
55,28,1,混沌蝎王,5:3000108:1|5:3000105:1|1:2:100,NPC15.png,NPC15,9,22,6,5,1,200,100310001|112901001,905997312,652834625,18907446,20257977,58948,1609531,1054745,1054745,2999999,255,391182,19559,0,280,0,0,1270,8300,8300,3000,0,0,0
56,28,2,混沌蝎王,5:3000127:1|5:3000107:1|5:3000107:1,NPC15.png,NPC15,9,22,7,5,1,200,100310001|112901001,905997312,979251938,28361169,30386966,88422,2414297,1582118,1582118,4499999,383,586773,29339,0,280,0,0,1300,9960,9960,3000,0,0,0
57,29,1,混沌冰龙,5:3000108:1|5:3000105:1|1:2:100,NPC55.png,NPC55,3,22,6,5,2,200,112602001|112901001,905997312,731174780,20987265,22486355,61305,1714151,1170767,1170767,2999999,260,430300,21515,0,290,0,0,1330,8600,8600,3000,0,0,0
58,29,2,混沌冰龙,5:3000127:1|5:6000001:5|5:3000107:1,NPC55.png,NPC55,3,22,7,5,2,200,112602001|112901001,905997312,1096762170,31480898,33729533,91958,2571227,1756151,1756151,4499999,390,645450,32273,0,290,0,0,1360,10320,10320,3000,0,0,0
59,30,1,虚空魔灵,5:3000108:1|5:3000105:1|1:2:100,NPC47.png,NPC47,10,22,6,5,3,200,110102001|115001001,905997312,818915753,23295864,24959854,63758,1825571,1299551,1299551,2999999,265,473330,23667,0,300,0,0,1390,8900,8900,3000,0,0,0
60,30,2,虚空魔灵,5:3000127:1|5:3000188:20|5:3000107:1,NPC47.png,NPC47,10,22,7,5,3,200,110102001|115001001,905997312,1228373630,34943796,37439781,95637,2738357,1949327,1949327,4499999,398,709995,35501,0,300,0,0,1420,10680,10680,3000,0,0,0
61,31,1,混沌之主,5:3000104:1|5:3000105:2|1:2:100,NPC44.png,NPC44,6,22,6,5,1,200,112901001|112901001,905997312,868050698,24460657,26207847,66308,1852954,1312547,1312547,2999999,270,501730,25087,0,310,0,0,1450,9200,9200,3000,0,0,0
62,31,2,混沌之主,5:3000127:1|5:3000066:5|5:3000107:1,NPC44.png,NPC44,6,22,7,5,1,200,112901001|112901001,905997312,1302076047,36690986,39311771,99462,2779431,1968821,1968821,4499999,405,752595,37631,0,310,0,0,1480,11040,11040,3000,0,0,0
63,32,1,业火妖姬,5:3000104:1|5:3000105:2|1:2:100,NPC30.png,NPC30,8,22,6,5,2,200,111501001|113402001,905997312,920133740,25683690,27518239,68960,1880749,1325672,1325672,2999999,275,531834,26592,0,320,0,0,1510,9500,9500,3000,0,0,0
64,32,2,业火妖姬,5:3000127:1|5:2000011:20|5:3000107:1,NPC30.png,NPC30,8,22,7,5,2,200,111501001|113402001,905997312,1380200610,38525535,41277359,103440,2821124,1988508,1988508,4499999,413,797751,39888,0,320,0,0,1540,11400,11400,3000,0,0,0
65,33,1,堕落天使,5:3000104:1|5:3000105:2|1:2:100,NPC53.png,NPC53,1,22,6,5,3,200,112901001|110201001,905997312,975341765,26967874,28894151,71719,1908960,1338929,1338929,2999999,280,563744,28187,0,330,0,0,1570,9800,9800,3000,0,0,0
66,33,2,堕落天使,5:3000127:1|5:2000007:1|5:3000107:1,NPC53.png,NPC53,1,22,7,5,3,200,112901001|110201001,905997312,1463012648,40451811,43341227,107579,2863440,2008394,2008394,4499999,420,845616,42281,0,330,0,0,1600,11760,11760,3000,0,0,0
67,34,1,虚空死灵,5:3000104:1|5:3000105:2|1:2:100,NPC40.png,NPC40,4,22,6,5,1,200,100302001|112901001,905997312,1033862271,28316268,30338859,74588,1937594,1352318,1352318,2999999,285,597569,29878,0,340,0,0,1650,10100,10100,3000,0,0,0
68,34,2,虚空死灵,5:3000127:1|1:2:500|5:3000107:1,NPC40.png,NPC40,4,22,7,5,1,200,100302001|112901001,905997312,1550793407,42474402,45508289,111882,2906391,2028477,2028477,4499999,428,896354,44817,0,340,0,0,1700,12120,12120,3000,0,0,0
69,35,1,堕落蛇灵,5:3000104:1|5:3000105:2|1:2:100,NPC36.png,NPC36,2,22,6,5,2,200,115101001|115102001,905997312,1095894007,29732081,31855801,77571,1966658,1365841,1365841,2999999,290,633423,31671,0,350,0,0,1750,10400,10400,3000,0,0,0
70,35,2,堕落蛇灵,5:3000127:1|5:3000188:25|5:3000107:1,NPC36.png,NPC36,2,22,7,5,2,200,115101001|115102001,905997312,1643841011,44598122,47783702,116357,2949987,2048762,2048762,4499999,435,950135,47507,0,350,0,0,1800,12480,12480,3000,0,0,0
71,36,1,混沌之羽,5:3000104:1|5:3000105:2|1:2:100,NPC54.png,NPC54,5,22,6,5,3,200,111801001|111802001,905997312,1161647647,31218685,33448592,80674,1996158,1379500,1379500,2999999,295,671428,33571,0,360,0,0,1850,10700,10700,3000,0,0,0
72,36,2,混沌之羽,5:3000127:1|5:2000011:20|5:3000107:1,NPC54.png,NPC54,5,22,7,5,3,200,111801001|111802001,905997312,1742471471,46828028,50172888,121011,2994237,2069250,2069250,4499999,443,1007142,50357,0,360,0,0,1900,12840,12840,3000,0,0,0
73,37,1,混沌魔蛇,5:3000104:1|5:3000105:2|1:2:100,NPC31.png,NPC31,7,22,6,5,1,200,112901001|100304001,905997312,1231346506,32779620,35121021,83901,2026100,1393295,1393295,2999999,300,711714,35586,0,370,0,0,1950,11000,11000,3000,0,0,0
74,37,2,混沌魔蛇,5:3000127:1|5:1000010:1|5:3000107:1,NPC31.png,NPC31,7,22,7,5,1,200,112901001|100304001,905997312,1847019759,49169430,52681532,125852,3039150,2089943,2089943,4499999,450,1067571,53379,0,370,0,0,2000,13200,13200,3000,0,0,0
75,38,1,混沌蝎王,5:3000104:1|5:3000105:2|1:2:100,NPC15.png,NPC15,9,22,6,5,2,200,112202001|100110001,905997312,1305227296,34418601,36877072,87257,2056492,1407228,1407228,2999999,305,754417,37721,0,380,0,0,2050,11300,11300,3000,0,0,0
76,38,2,混沌蝎王,5:3000127:1|5:3000140:10|5:3000107:1,NPC15.png,NPC15,9,22,7,5,2,200,112202001|100110001,905997312,1957840944,51627902,55315608,130886,3084738,2110842,2110842,4499999,458,1131626,56582,0,380,0,0,2100,13560,13560,3000,0,0,0
77,39,1,混沌冰龙,5:3000104:1|5:3000105:2|1:2:100,NPC55.png,NPC55,3,22,6,5,3,200,100304001|112202001,905997312,1383540934,36139531,38720926,90747,2087339,1421300,1421300,2999999,310,799682,39984,0,390,0,0,2150,11600,11600,3000,0,0,0
78,39,2,混沌冰龙,5:3000127:1|5:3000011:2|5:3000107:1,NPC55.png,NPC55,3,22,7,5,3,200,100304001|112202001,905997312,2075311401,54209297,58081389,136121,3131009,2131950,2131950,4499999,465,1199523,59976,0,390,0,0,2200,13920,13920,3000,0,0,0
79,40,1,虚空魔灵,5:3000104:1|5:3000105:2|1:2:100,NPC47.png,NPC47,10,22,6,5,1,200,111401001|114801001,905997312,1466553390,37946507,40656972,94377,2118649,1435513,1435513,2999999,315,847662,42383,0,400,0,0,2250,11900,11900,3000,0,0,0
80,40,2,虚空魔灵,5:3000127:1|5:3000188:25|5:3000107:1,NPC47.png,NPC47,10,22,7,5,1,200,111401001|114801001,905997312,2199830085,56919761,60985458,141566,3177974,2153270,2153270,4499999,473,1271493,63575,0,400,0,0,2300,14280,14280,3000,0,0,0
81,41,1,混沌之主,5:3000104:1|5:3000105:2|1:2:100,NPC44.png,NPC44,6,22,6,5,2,200,112202001|112801001,905997312,1554546594,39843833,42689821,98152,2150429,1449868,1449868,2999999,320,898522,44926,0,410,0,0,2350,12200,12200,3000,0,0,0
82,41,2,混沌之主,5:3000127:1|5:3000066:5|5:3000107:1,NPC44.png,NPC44,6,22,7,5,2,200,112202001|112801001,905997312,2331819891,59765750,64034732,147228,3225644,2174802,2174802,4499999,480,1347783,67389,0,410,0,0,2400,14640,14640,3000,0,0,0
83,42,1,业火妖姬,5:3000104:1|5:3000105:2|1:2:100,NPC30.png,NPC30,8,22,6,5,3,200,112602001|113301001,905997312,1647819389,41836024,44824312,102078,2182686,1464367,1464367,2999999,325,952433,47622,0,420,0,0,2450,12500,12500,3000,0,0,0
84,42,2,业火妖姬,5:3000127:1|5:2000011:20|5:3000107:1,NPC30.png,NPC30,8,22,7,5,3,200,112602001|113301001,905997312,2471729084,62754036,67236468,153117,3274029,2196551,2196551,4499999,488,1428650,71433,0,420,0,0,2500,15000,15000,3000,0,0,0
85,43,1,堕落天使,5:3000104:1|5:3000105:2|1:2:100,NPC53.png,NPC53,1,22,6,5,1,200,112801001|111901001,905997312,1746688553,43927825,47065527,106161,2215426,1479010,1479010,2999999,330,1009579,50479,0,430,0,0,2550,12800,12800,3000,0,0,0
86,43,2,堕落天使,5:3000127:1|5:2000007:1|5:3000107:1,NPC53.png,NPC53,1,22,7,5,1,200,112801001|111901001,905997312,2620032830,65891738,70598291,159242,3323139,2218515,2218515,4499999,495,1514369,75719,0,430,0,0,2600,15360,15360,3000,0,0,0
87,44,1,虚空死灵,5:3000104:1|5:3000105:2|1:2:100,NPC40.png,NPC40,4,22,6,5,2,200,113301001|112002001,905997312,1851489866,46124217,49418804,110408,2248657,1493800,1493800,2999999,335,1070154,53508,0,440,0,0,2650,13100,13100,3000,0,0,0
88,44,2,虚空死灵,5:3000127:1|1:2:500|5:3000107:1,NPC40.png,NPC40,4,22,7,5,2,200,113301001|112002001,905997312,2777234799,69186326,74128206,165612,3372986,2240700,2240700,4499999,503,1605231,80262,0,440,0,0,2700,15720,15720,3000,0,0,0
89,45,1,堕落蛇灵,5:3000104:1|5:3000105:2|1:2:100,NPC36.png,NPC36,2,22,6,5,3,200,113102001|112401001,905997312,1962579258,48430428,51889744,114824,2282387,1508738,1508738,2999999,340,1134363,56718,0,450,0,0,2750,13400,13400,3000,0,0,0
90,45,2,堕落蛇灵,5:3000127:1|5:3000188:25|5:3000107:1,NPC36.png,NPC36,2,22,7,5,3,200,113102001|112401001,905997312,2943868887,72645642,77834616,172236,3423581,2263107,2263107,4499999,510,1701545,85077,0,450,0,0,2800,16080,16080,3000,0,0,0
91,46,1,混沌之羽,5:3000104:1|5:3000105:2|1:2:100,NPC54.png,NPC54,5,22,6,5,1,200,100303001|100203001,905997312,2080334013,50851949,54484231,119417,2316623,1523826,1523826,2999999,345,1202425,60121,0,460,0,0,2850,13700,13700,3000,0,0,0
92,46,2,混沌之羽,5:3000127:1|5:2000011:20|5:3000107:1,NPC54.png,NPC54,5,22,7,5,1,200,100303001|100203001,905997312,3120501020,76277924,81726347,179126,3474935,2285739,2285739,4499999,518,1803638,90182,0,460,0,0,2900,16440,16440,3000,0,0,0
93,47,1,混沌魔蛇,5:3000104:1|5:3000105:2|1:2:100,NPC31.png,NPC31,7,22,6,5,2,200,112202001|112801001,905997312,2205154054,53394546,57208443,124194,2351372,1539064,1539064,2999999,350,1274571,63729,0,470,0,0,2950,14000,14000,3000,0,0,0
94,47,2,混沌魔蛇,5:3000127:1|5:1000010:1|5:3000107:1,NPC31.png,NPC31,7,22,7,5,2,200,112202001|112801001,905997312,3307731081,80091819,85812665,186291,3527058,2308596,2308596,4499999,525,1911857,95594,0,470,0,0,3000,16800,16800,3000,0,0,0
95,48,1,混沌蝎王,5:3000104:1|5:3000105:2|1:2:100,NPC15.png,NPC15,9,22,6,5,3,200,112002001|112201001,905997312,2337463297,56064274,60068865,129161,2386643,1554455,1554455,2999999,355,1351045,67552,0,480,0,0,3050,14500,14500,3000,0,0,0
96,48,2,混沌蝎王,5:3000127:1|5:3000140:10|5:3000107:1,NPC15.png,NPC15,9,22,7,5,3,200,112002001|112201001,905997312,3506194946,84096411,90103298,193742,3579965,2331683,2331683,4499999,533,2026568,101328,0,480,0,0,3100,17400,17400,3000,0,0,0
97,49,1,混沌冰龙,5:3000104:1|5:3000105:2|1:2:100,NPC55.png,NPC55,3,22,6,5,1,200,112801001|110201001,905997312,2477711095,58867487,63072308,134328,2422442,1569999,1569999,2999999,360,1432108,71605,0,490,0,0,3150,15000,15000,3000,0,0,0
98,49,2,混沌冰龙,5:3000127:1|5:3000011:2|5:3000107:1,NPC55.png,NPC55,3,22,7,5,1,200,112801001|110201001,905997312,3716566643,88301231,94608462,201492,3633663,2354999,2354999,4499999,540,2148162,107408,0,490,0,0,3200,18000,18000,3000,0,0,0
99,50,1,虚空魔灵,5:3000104:1|5:3000105:2|1:2:100,NPC47.png,NPC47,10,22,6,5,2,200,110102001|115001001,905997312,2626373761,61810862,66225923,139701,2458779,1585699,1585699,2999999,365,1518034,75902,0,500,0,0,3250,15500,15500,3000,0,0,0
100,50,2,虚空魔灵,5:3000127:1|5:3000188:25|5:3000107:1,NPC47.png,NPC47,10,22,7,5,2,200,110102001|115001001,905997312,3939560642,92716293,99338885,209552,3688169,2378549,2378549,4499999,548,2277051,113853,0,500,0,0,3300,18600,18600,3000,0,0,0
