dialog_id,next_dialog_id,switch_id,bg,bgm,skippable,character_spine,character_review_spine,character_position,character_name,dialog,voice,text_anchor,delay
21201,21202,,,,1,USER_MAIN_CZ,HL0,1,Me,真要命……你有办法击败它们么？,,0,0
21202,21203,,,,1,WL_CZ,HFSTS0,2,Gabriel,我想想……你有手机吗？或许你可以打电话叫个帮手？,,0,0
21203,21204,,,,1,USER_MAIN_CZ,HL0,1,Me,别开玩笑了，叫多少人来也没用！,,0,0
21204,21205,,,,1,WL_CZ,HFSTS0,2,Gabriel,说得不错，那我们就召唤比人类强一百倍的天使吧！,,0,0
21205,21206,,,,1,USER_MAIN_CZ,HL0,1,Me,你不会把米迦勒叫来吧？那我和被恶魔吃了有什么两样？！,,0,0
21206,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,放心，我的同伴可不像她那么冷血，准备天使召唤！,,0,0
21301,-1,,{translucent},,0,WL_CZ,HFSTS0,2,Gabriel,这里能够进行天使召唤，可召唤出强大的天使与你并肩作战。,,0,0
21401,21402,,ShouErQingDian,,1,WL0,WL0,2,Gabriel,天使长加百列，应神明所揭示的命运而来，听候您的指令。,,0,0
21402,21403,,,,1,USER_MAIN_CZ,HL0,1,Me,原来我真能召唤出天使，连我自己都不敢相信！,,0,0
21403,21404,,,,1,WL_CZ,HFSTS0,2,Gabriel,挺不赖嘛……看来你确实有着不凡的天赋。,,0,0
21404,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,我们去打倒这里的首领吧，不然这鬼地方永远别想安宁。,,0,0
21501,21502,,,,1,USER_MAIN_CZ,HL0,1,Me,呃……看来我别无选择啊……,,0,0
21502,21503,,,,1,WL_CZ,HFSTS0,2,Gabriel,放心上吧，死不了的，顶多断几根骨头罢了！,,0,0
21503,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,哎？！等等……巴里你说什么？！,,0,0
21601,21602,,,,1,USER_MAIN_CZ,HL0,1,Me,呜……我不要！我只是个高中生啊……,,0,0
21602,21603,,,,1,WL_CZ,HFSTS0,2,Gabriel,犹豫什么呢！拿出你的勇气来！,,0,0
21603,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,等等！我还没做好心理准备！天哪……天使大人救命啊！,,0,0
21701,21702,,ShouErQingDian,,1,USER_MAIN_CZ,HL0,1,Me,真是命悬一线……不会之后的每次战斗都这么惊险吧……,,0,0
21702,21703,,,,1,WL_CZ,HFSTS0,2,Gabriel,你应该能看见敌人消散后残留的能量吧？走到能量中间试试？,,0,0
21703,21704,,,,1,USER_MAIN_CZ,HL0,1,Me,啊！我感到这些能量似乎……流入了我的体内？,,0,0
21704,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,天使、恶魔依靠吸收彼此力量而成长，这是上古的法则……,,0,0
21801,-1,,{translucent},,0,WL_CZ,HFSTS0,2,Gabriel,当角色的经验值积累到一定程度后，就可以进行升级，升级后的战斗力将大幅提升！,,0,0
21901,21902,,ShouErQingDian,,1,WL_CZ,HFSTS0,2,Gabriel,嗯，感觉你比之前变强了不少，应该能应付更难的战斗了。,,0,0
21902,21903,,,,1,USER_MAIN_CZ,HL0,1,Me,提到刚才的战斗！巴里你竟然只是站在一旁看着我挨揍！,,0,0
21903,21904,,,,1,WL_CZ,HFSTS0,2,Gabriel,我也想帮你啊，不过可惜的是我已经失去了所有的神力。,,0,0
21904,21905,,,,1,USER_MAIN_CZ,HL0,1,Me,你说谎都不眨眼的么！之前你还和路西法打得不可开交！,,0,0
21905,21906,,,,1,WL_CZ,HFSTS0,2,Gabriel,呵呵……让我给你看看证据你就明白了，失礼啦，亲爱的。,,0,0
21906,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,等等！你脱我衣服做什么！咦？我胸前的伤口怎么会……,,0,0
22001,22002,,GuideVideo3,,1,WL_CZ,HFSTS0,2,Gabriel,当时你被米迦勒一枪贯穿了心脏，原本是必死无疑的……,,0,0
22002,22003,,,,1,WL_CZ,HFSTS0,2,Gabriel,仁慈的巴里为了救你，将主神的圣物连同神力融入了你体内。,,0,0
22003,22004,,,,1,WL_CZ,HFSTS0,2,Gabriel,你胸前伤口处的圣物，人称众神之印，它能保护你的心脏。,,0,0
22004,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,同时，它也让你觉醒了召唤天使的能力。,,0,0
22101,22102,,ShouErQingDian,,1,USER_MAIN_CZ,HL0,1,Me,原来事情是这么一回事……好吧，谢谢你救了我。,,0,0
22102,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,没错，但我却失去了战斗能力，看来你得替我履行神职了。,,0,0
22301,22302,,,,1,USER_MAIN_CZ,HL0,1,Me,嗯……好吧，毕竟你是我的救命恩人……,,0,0
22302,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,嗯，那么我们继续进行下一步行动吧。,,0,0
22401,22402,,,,1,USER_MAIN_CZ,HL0,1,Me,呜……好麻烦，我想回家……,,0,0
22402,22403,,,,1,WL_CZ,HFSTS0,2,Gabriel,啊啦，你如果离我太远，体内的众神之印就会崩溃，恐怕……,,0,0
22403,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,停！别吓我了……我听你的就是了……接下来要怎么办？,,0,0
22501,22502,,ShouErQingDian,,0,WL_CZ,HFSTS0,2,Gabriel,为了阻止末日到来，正义的天使正在各地防御恶魔的入侵。,,0,0
22502,22503,,,,0,WL_CZ,HFSTS0,2,Gabriel,离这里最近的东京，由米迦勒负责，我们需要去帮助她。,,0,0
22503,22504,,,,0,USER_MAIN_CZ,HL0,1,Me,我能不去见米迦勒么？她见了我后又一枪捅过来怎么办……,,0,0
22504,22505,,,,0,WL_CZ,HFSTS0,2,Gabriel,之前你被恶魔咬伤后会变成怪物，而现在已经没必要杀你了。,,0,0
22505,22506,,,,0,USER_MAIN_CZ,HL0,1,Me,真是过分！她怎么可以这么草率地对待一条生命！,,0,0
22506,22507,,,,0,WL_CZ,HFSTS0,2,Gabriel,至少结果不坏，你获得了超凡的力量不是么？,,0,0
22507,-1,,,,0,WL_CZ,HFSTS0,2,Gabriel,传送阵已经准备好了，我们出发吧！,,0,0
22601,22602,,ShouErQingDian,,1,USER_MAIN_CZ,HL0,1,Me,看来我不仅晕车，而且晕传送阵……等等！这里是东京？,,0,0
22602,22603,,,,1,WL_CZ,HFSTS0,2,Gabriel,准确来说是东京的残骸……唉，看来这里也没能逃过一劫。,,0,0
22603,22604,,,,1,USER_MAIN_CZ,HL0,1,Me,哼，从把我们围住的魔物来看，米迦勒恐怕没做好她的工作。,,0,0
22604,22605,,,,1,WL_CZ,HFSTS0,2,Gabriel,我感应到她正在城北一处神社，最好快点找到她。,,0,0
22605,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,眼下敌人不少……是时候教你更强大的十连星天使召唤了！,,0,0
22201,22202,,ShouErQingDian,,1,USER_MAIN_CZ,HL0,1,Me,呼……我真惊讶你们的咒文竟然都这么长！而且这么难念！,,0,0
22202,22203,,,,1,WL_CZ,HFSTS0,2,Gabriel,这次召唤的力量可是之前的十倍，咒文麻烦不是很正常么！,,0,0
22203,-1,,,,1,BLDD2,MJL0,2,Belldandy,喂！你们两个！我应召唤而来可不是听你们闲聊的！,,0,0
22701,22702,,ShouErQingDian,,1,USER_MAIN_CZ,HL0,1,Me,啊……手好痛，拳头打在敌人这么硬的盔甲上太难受了！,,0,0
22702,22703,,,,1,WL_CZ,HFSTS0,2,Gabriel,空手战斗确实吃亏，但天使或恶魔的装备凡人无法使用……,,0,0
22703,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,那我也要试试！哪怕当铁棍一样挥也比现在赤手空拳要强！,,0,0
22801,22802,,,,1,WL_CZ,HFSTS0,2,Gabriel,怎么可能？！你竟然激活了这件异界的装备！,,0,0
22802,22803,,,,1,USER_MAIN_CZ,HL0,1,Me,这很奇怪么？我觉得这把剑很合手啊！,,0,0
22803,22804,,,,1,WL_CZ,HFSTS0,2,Gabriel,这难道是神格的觉醒？你或许能通过一个仪式变得加更强大！,,0,0
22804,22805,,,,1,USER_MAIN_CZ,HL0,1,Me,那还犹豫什么呢！告诉我仪式该怎么做就行了！,,0,0
22805,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,好吧，在你身上发生任何奇怪的事，我都已经不会觉得吃惊了……,,0,0
22901,-1,,{translucent},,0,WL_CZ,HFSTS0,2,Gabriel,当与主角相同品阶的天使达到一定数量后，可以让主角觉醒至下一品阶！,,0,0
23001,23002,,ShouErQingDian,,1,USER_MAIN_CZ,HL0,1,Me,发生了什么……我感到自己仿佛脱胎换骨了一般！,,0,0
23002,23003,,,,1,WL_CZ,HFSTS0,2,Gabriel,这是简直是神迹……凡人根本不可能成功！,,0,0
23003,23004,,,,1,WL0,WL0,2,Gabriel,不会有错的……巴里，她或许已经不是个凡人了。,,0,0
23004,23005,,,,1,WL_CZ,HFSTS0,2,Gabriel,我大概猜到路西法来找她的原因了，我们最好尽快与米迦勒会合！,,0,0
23005,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,等等！见米迦勒前，我想找几件更结实的装备，增加点安全感……,,0,0
1,-1,,{black},,0,,,0,,Next night...,,0,0
2,-1,,{black},,0,,,0,,"Cheonggye, Seoul",,1,0
1002,1003,,ShouErQingDian,,1,WL_CZ,HMDE0,2,Gabriel,"Please hurry up, my Lady! Or we can't catch the monsters anymore!",blgz_1,0,0
1003,1004,,,,1,USER_MAIN_CZ,HL0,1,Me,"Monsters won't come to such crowded place like this! The crowd is suffocating me. Bari, I want to go home now.",user_1,0,0
1004,1005,,,,1,WL_CZ,HMDE0,2,Gabriel,"Stop complaining, my Lady! Please remember you are chosed by God. Why don't you have any fighting spirit? !",blgz_2,0,0
1005,1006,,,,1,USER_MAIN_CZ,HL0,1,Me,"What? I am chosen because of my pretty face, not my fighting spirit.",user_2,0,0
1006,1007,,,,1,WL_CZ,HMDE0,2,Gabriel,颜值？！... ,blgz_3,0,0
1007,1008,,,,1,WL_CZ,HMDE0,2,Gabriel,Look! There are some monsters beside the stage. Let's sneak up on them and wipe them out!,blgz_4,0,0
1008,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,"Luckily, we didn't come in vain. Let's catch those monsters quickly and go home.",user_3,0,0
2009,2010,,ShouErQingDian,,1,WL_CZ,HMDE0,2,Gabriel,Great! Congratulations my Lady! Today's lesson is over.,blgz_5,0,0
2010,2011,,,,1,USER_MAIN_CZ,HL0,1,Me,It is already over?! I haven't really adapted to it…,user_4,0,0
2011,2012,,,,1,WL_CZ,HMDE0,2,Gabriel,Princess Bari is in a good mood. She decides to take a good sleep.,blgz_6,0,0
2012,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,加百列原来也这么难以琢磨...,user_5,0,0
3001,3002,,ShenNvQiSuo,,1,USER_MAIN_CZ,HL0,1,Me,Please let me go… I really miss my mom…,user_6,0,0
3002,3003,,,,1,WL_CZ,HMDE0,2,Gabriel,"Absolutely no! You are God's chosen one, and you must fulfill the task God has given you.",blgz_7,0,0
3003,3004,,,,1,USER_MAIN_CZ,HL0,1,Me,But I'm just a student traveling to Korea and I have already booked my round-trip ticket for tomorrow.,user_7,0,0
3004,3005,,,,1,WL_CZ,HMDE0,2,Gabriel,Don't bother with those details. Today I'll teach you an important skill: Summon Angels!,blgz_8,0,0
3005,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,Sounds cool…,user_8,0,0
4001,4002,,ShenNvQiSuo,,1,USER_MAIN_CZ,HL0,1,Me,WOW! How pretty she is! And she has a pair of REAL WINGS!,user_9,0,0
4002,4003,,,,1,WL_CZ,HMDE0,2,Gabriel,"I told you that will be fun. She is Gabriel, an angel. And she will follow you in the future.",blgz_10,0,0
4003,4004,,,,1,USER_MAIN_CZ,HL0,1,Me,Follow me? Awesome!,user_10,0,0
4004,4005,,,,1,WL_CZ,HMDE0,2,Gabriel,Yes. She will help you to destroy the monsters!,blgz_11,0,0
4005,4006,,,,1,USER_MAIN_CZ,HL0,1,Me,You are always talking about monsters …,user_11,0,0
4006,-1,,,,1,WL_CZ,HMDE0,2,Gabriel,It's the task God had delegated you. Now let's go and fight alongside Gabriel!,blgz_12,0,0
5001,5002,,ShenNvQiSuo,,1,USER_MAIN_CZ,HL0,1,Me,"Gabriel, you’re amazing! Please always stay by my side!",,0,0
5002,5003,,,,1,WL_CZ,HFSTS0,2,Gabriel,"Yes! And since you are the master of Gabriel, you are more powerful.",,0,0
5003,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,You will encounter more monsters as you venture down this road. You must vanquish them all!,,0,0
5004,5005,,ShenNvQiSuo,,1,USER_MAIN_CZ,HL0,1,Me,"Gabriel, you’re amazing! Please always stay by my side!",,0,0
5005,5006,,,,1,WL_CZ,HFSTS0,2,Gabriel,"Yes! And since you are the master of Gabriel, you are more powerful.",,0,0
5006,5007,,,,1,USER_MAIN_CZ,HL0,1,Me,Haha! It's so wonderful to have an Angel as a bodyguard!,,0,0
5007,5008,,,,1,WL_CZ,HFSTS0,2,Gabriel,"Not a bodyguard… Angels are sent by God to help you, just like me.",,0,0
5008,5009,,,,1,USER_MAIN_CZ,HL0,1,Me,我知道啦，加百列是韩国著名的天使，神指引你来帮助我，所以我的旅游全泡汤了...,,0,0
5009,5010,,,,1,WL_CZ,HFSTS0,2,Gabriel,Why do you still remember such a little thing as traveling? You are the one chosen by God!,,0,0
5010,5011,,,,1,USER_MAIN_CZ,HL0,1,Me,"OK OK, please continue your presentation…",,0,0
5011,5012,,,,1,WL_CZ,HFSTS0,2,Gabriel,That's more like it.,,0,0
5012,5013,,,,1,USER_MAIN_CZ,HL0,1,Me,"Bari, look what I just found. It looks very powerful.",,0,0
5013,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,It's the gear dropped from killed monster. Equip it now!,,0,0
5020,5021,,ShenNvQiSuo,,1,WL_CZ,HFSTS0,2,Gabriel,Here's the key to improving your power! Replace new gears in time when you see a red dot!,,0,0
5021,5022,,,,1,USER_MAIN_CZ,HL0,1,Me,"Sure enough, I feel stronger now.",,0,0
5022,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,Yes. Always remember to change to the newest gear. That's the secret of becoming stronger.,,0,0
6001,-1,,ShenNvQiSuo,,1,WL_CZ,HFSTS0,2,Gabriel,"Reach over 80% Win Rate to challenge the Boss, beat the Boss, we can go to next Dungeon",,0,0
6002,6003,,ShenNvQiSuo,,1,USER_MAIN_CZ,HL0,1,Me,So many nice things!,,0,0
6003,6004,,,,1,WL_CZ,HFSTS0,2,Gabriel,"Yes, there are many rewards for killing the Boss. God won't let you work for nothing.",,0,0
6004,6005,,,,1,USER_MAIN_CZ,HL0,1,Me,"Okay, I see. Is it time to change the gear again?",,0,0
6005,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,Clever! You're definitely the chosen one.,,0,0
6011,6012,,ShenNvQiSuo,,1,USER_MAIN_CZ,HL0,1,Me,Area is cleared! Can we go home and take a rest?,user_12,0,0
6012,6013,,,,1,WL_CZ,HMDE0,2,Gabriel,"Yes, my Master.",blgz_13,0,0
6013,6014,,,,1,USER_MAIN_CZ,HL0,1,Me,Master?? You call me Master?,user_13,0,0
6014,6015,,,,1,WL_CZ,HMDE0,2,Gabriel,"It was just a slip of the tongue. I was saying that let's have an early rest today, because we have to go to Japan tomorrow.",blgz_14,0,0
6015,6016,,,,1,USER_MAIN_CZ,HL0,1,Me,What?! Japan? Why do we suddenly have to go to Japan???! I haven't had a good time in Korea yet.,user_14,0,0
6016,6017,,,,1,WL_CZ,HMDE0,2,Gabriel,"Korea's monsters has been almost eliminated by us. Now, Japan needs you more.",blgz_15,0,0
6017,6018,,,,1,USER_MAIN_CZ,HL0,1,Me,"Gosh, we need to go to Japan to fight the monsters there?!",user_15,0,0
6018,-1,,,,1,WL_CZ,HMDE0,2,Gabriel,"Yes, I've bought us the tickets. Take an early break. Ha ha…",blgz_16,0,0
6019,6020,,TianZhaoShenShe-Combined,,1,USER_MAIN_CZ,HL0,1,Me,"It is dangerous, but at last we killed that bastard!",,0,0
6020,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,This area is safe for the moment. Let's go to other areas to help others.,,0,0
7001,-1,,TianZhaoShenShe-Combined,,1,USER_MAIN_CZ,HL0,1,Me,It seems that monsters here are much more powerful. I need more help!,user_16,0,0
7002,7003,,,,1,WL_CZ,HFSTS0,2,Gabriel,"Well, now we need more advanced angels!!",,0,0
7003,7004,,,,1,USER_MAIN_CZ,HL0,1,Me,What? There are advanced summons? Why don't you say it earlier?,,0,0
7004,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,Advanced Summon comes with higher chances to get high-level angels. Let me show you how to do it~,,0,0
7010,7011,,TianZhaoShenShe-Combined,,1,USER_MAIN_CZ,HL0,1,Me,"The monster is getting more powerful. If it goes on like this, we will all die here!",,0,0
7011,7012,,,,1,WL_CZ,HFSTS0,2,Gabriel,It seems that we need stronger divine power!,,0,0
7012,7013,,,,1,USER_MAIN_CZ,HL0,1,Me,The ancient divine power? But I feel like I tried my best today.,,0,0
7013,7014,,,,1,WL_CZ,HFSTS0,2,Gabriel,"Have you forgotten these angels? There is enormous divine power hidden in their bodies, which will be released by awakening!",,0,0
7014,7015,,,,1,USER_MAIN_CZ,HL0,1,Me,You should say it earlier. Let's awake them!,,0,0
7015,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,How can it be so easy? We need to find the Angel Shards first. Come with me!,,0,0
8001,8002,,TianZhaoShenShe-Combined,,1,USER_MAIN_CZ,HL0,1,Me,Huh? It seems I’ve obtained a few Belldandy Shards again. What am I gonna do with it?,,0,0
8002,8003,,,,1,WL_CZ,HFSTS0,2,Gabriel,"Collect enough shards to awaken the Angels you’ve already owned. Quick, use these shards to awaken your angel!",,0,0
8003,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,"Well, I'll try it right away!",,0,0
9001,9002,,TianZhaoShenShe-Combined,,1,BLDD0,MJL0,2,Belldandy,God of Present! Take control of everything!,,0,0
9002,9003,,,,1,USER_MAIN_CZ,HL0,1,Me,Great! Is that the power of awakening?,,0,0
9003,9004,,,,1,WL_CZ,HFSTS0,2,Gabriel,Sure. I can feel the power surging in her body!,,0,0
9004,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,Go! Let's go on cleaning up the monsters in Japan!,,0,0
10001,10002,,YueDuShenShe,,1,WL_CZ,HMDE0,2,Gabriel,"Wait a minute, we'll take forever if we keep fighting like this. We need to enhance our power. Well, drastic times call for drastic measures!",,0,0
10002,10003,,,,1,USER_MAIN_CZ,HL0,1,Me,Why go to all the trouble?,,0,0
10003,10004,,,,1,WL_CZ,HMDE0,2,Gabriel,What do you care more about? Trouble or death?,,0,0
10004,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,Emm...death.,,0,0
2001001,-1,,{translucent},,0,YDN_UR,HMDE0,2,Athena,Here you can make different types of <color=#E36853>Summon</color> and get various rewards. Try it now ~,blgz_9,0,0
2002001,-1,,{translucent},,0,WL_CZ,HFSTS0,2,Gabriel,"Your power soared! Do not underestimate your gear, cause every piece of gear brings you a quantum leap!",,0,0
2003001,-1,,{translucent},,0,WL_CZ,HFSTS0,2,Gabriel,Awake can improve Angel attributes and has the chance to get Skill.Try now~,,0,0
2004001,-1,,{translucent},,0,WL_CZ,HFSTS0,2,Gabriel,"As long as we keep exploring, monsters will continue to appear, and our Angels will fight to destroy them automatically!",,0,0
2005001,-1,,{translucent},,0,WL_CZ,HFSTS0,2,Gabriel,"Strengthen the gear that has just been replaced, and further strengthen the fight power!",,0,0
1004001,1004002,,ShouErQingDian,,1,USER_MAIN_CZ,HL0,1,Me,这些怪物都是免费的赠品吗，怎么到处都是？,,0,0
1004002,1004003,,,,1,WL_CZ,HFSTS0,2,Gabriel,熊女守护的力量在减弱，难道那边也出事了？,,0,0
1004003,1004004,,,,1,USER_MAIN_CZ,HL0,1,Me,不会吧？所以现在连熊女也靠不住了吗？,,0,0
1004004,1004005,,,,1,WL_CZ,HFSTS0,2,Gabriel,呼，我们必须立刻去熊女那里看看。,,0,0
1004005,1004006,,,,1,USER_MAIN_CZ,HL0,1,Me,我，我吗？普通人是不能靠近熊女栖所的。,,0,0
1004006,1004007,,,,1,WL_CZ,HFSTS0,2,Gabriel,普通人这个身份你还是尽早抛弃吧，神裔拥有跟熊女相同的力量，也就拥有同等的使命。,,0,0
1004007,1004008,,,,1,USER_MAIN_CZ,HL0,1,Me,抱歉，我好像并没有收到“相同的力量”……,,0,0
1004008,1004009,,,,1,WL_CZ,HFSTS0,2,Gabriel,总之跟我来就是了！,,0,0
1004009,-1,,{black},,0,,,0,,随后，女神和加百列一起，踏上了去熊女栖所的征程。。,,0,0
1005001,1005002,,{black},,0,,,0,,怪物统领在攻击熊女的守护结界。。。,,0,0
1005002,1005003,,ShenNvQiSuo,,1,USER_MAIN_CZ,HL0,1,Me,这是在玩塔防？,,0,0
1005003,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,果然这里也遭到了攻击，救出熊女是当务之急。,,0,0
1006001,1006002,,ShenNvQiSuo,,1,USER_MAIN_CZ,HL0,1,Me,呼，好险！熊女没事吧？,,0,0
1006002,1006003,,,,1,XN0,MJL0,2,Ungnyeo,我没事，谢谢你们，我纯洁的孩子。,,0,0
1006003,1006004,,,,1,WL_CZ,HFSTS0,2,Gabriel,熊女，发生了什么事？为何您的力量如此羸弱？,,0,0
1006004,1006005,,,,1,XN0,MJL0,2,Ungnyeo,太阳···光明之力越来越弱了···巨大的黑暗笼罩了大洋彼岸的日本，那里一定发生了什么···,,0,0
1006005,1006006,,,,1,WL_CZ,HFSTS0,2,Gabriel,日本···难道是天照大神···,,0,0
1006006,1006007,,,,1,XN0,MJL0,2,Ungnyeo,你能去日本看看是什么情况吗？,,0,0
1006007,1006008,,,,1,USER_MAIN_CZ,HL0,1,Me,啊！？我？您是在和我说话吗？,,0,0
1006008,1006009,,,,1,XN0,MJL0,2,Ungnyeo,对不起，我还有其它事情要做，能帮助我的只有你了！,,0,0
1006009,1006010,,,,1,XN0,MJL0,2,Ungnyeo,请和加百列一起去日本，看看那里到底发生了什么。,,0,0
1006010,1006011,,,,1,XN0,MJL0,2,Ungnyeo,请闭上眼睛。,,0,0
1006011,-1,,,,1,USER_MAIN_CZ,HL0,1,Me,喂，等一下！！,,0,0
1006012,1006013,,{black},,0,,,0,,火山和海啸给予了岛国日本沉重的打击，九州和北海道完全沉入了海底，幸存的人们蜷缩在本州和四国的部分领土上艰难度日，就连天照大神的力量也被未知的因素侵蚀而渐渐削弱。。。,,0,0
1006013,1006014,,TianZhaoShenShe-Combined,,1,USER_MAIN_CZ,HL0,1,Me,···这里···是日本！我到日本了？！,,0,0
1006014,1006015,,,,1,WL_CZ,HFSTS0,2,Gabriel,没错，神女有移动空间的能力。,,0,0
1006015,1006016,,,,1,USER_MAIN_CZ,HL0,1,Me,哎呀???这一切都太突然了！我哪有什么力量???我只是一个普通人，帮不了你的！,,0,0
1006016,1006017,,,,1,WL_CZ,HFSTS0,2,Gabriel,别说丧气话，刚才你不是体验过自己的力量了吗？,,0,0
1006017,1006018,,,,1,USER_MAIN_CZ,HL0,1,Me,可是。。。我还是感觉很一般啊???,,0,0
1006018,1006019,,,,1,WL_CZ,HFSTS0,2,Gabriel,那可不一般！这可是守护大韩民国的神女的力量！,,0,0
1006019,1006020,,,,1,USER_MAIN_CZ,HL0,1,Me,别这样说...不过是表面的花架子罢了...,,0,0
1006020,-1,,,,1,WL_CZ,HFSTS0,2,Gabriel,小心！啊！,,0,0
