id,attr_arr
480,3:1000
481,1:7500
482,17:675
483,5:675
484,10:600
485,11:600
486,3:1000
487,1:7500
488,17:675
489,5:675
490,10:600
491,11:600
492,3:1000
493,1:7500
494,17:675
495,5:675
496,10:600
497,11:600
498,3:1000
499,1:7500
500,17:675|5:675|10:600|11:600
501,3:1000|1:7500|17:675|5:675|10:600|11:600
502,3:500
503,1:3750
504,17:300
505,5:300
506,10:300
507,11:300
508,3:500
509,1:3750
510,17:375
511,5:375
512,10:300
513,11:300
514,3:1000
515,1:7500
516,17:675
517,5:675
518,10:400
519,11:400
520,3:1000
521,1:7500
522,17:675
523,5:675
524,10:600
525,11:600
526,3:1000
527,1:7500
528,17:675
529,5:675
530,10:600
531,11:600
532,3:1000
533,1:7500
534,17:675
535,5:675
536,10:600
537,11:600
538,3:1000
539,1:7500
540,17:675
541,5:675
542,10:600
543,11:600
544,3:1000
545,1:7500
546,17:675
547,5:675
548,10:600
549,11:600
550,3:1000
551,1:7500
552,17:675
553,5:675
554,10:600
555,11:600
556,3:1000
557,1:7500
558,17:675
559,5:675
560,10:600
561,11:600
562,3:1000
563,1:7500
564,17:675
565,5:675
566,10:600
567,11:600
568,3:1000
569,1:7500
570,17:675
571,5:675
572,10:600
573,11:600
574,3:1000
575,1:7500
576,17:675
577,5:675
578,10:600
579,11:600
580,3:1000
581,1:7500
582,17:675
583,5:675
584,10:600
585,11:600
586,3:1000
587,1:7500
588,17:675
589,5:675
590,10:600
591,11:600
592,3:1000
593,1:7500
594,17:675
595,5:675
596,10:600
597,11:600
598,3:1000
599,1:7500
600,17:675|5:675|10:600|11:600
