treasure_id,position_count,delete_get_score,quality,name,icon,description
3007,50,50,5,Ruyi Bang Piece,3007.jpg,Collect 50 Ruyi Bang pieces to synthesize the Ruyi Bang Miracle Card
3008,50,50,5,Fighting Tournament Piece,3008.jpg,Collect 50 Fighting Tournament pieces to synthesize the Fighting Tournament Miracle Card
3009,50,50,5,1st Anniversary Souvenir Card Piece,3009.jpg,1st Anniversary Souvenir Card Piece
3010,50,50,5,2nd Anniversary Souvenir Card Piece,3010.jpg,2nd Anniversary Souvenir Card Piece
3011,50,50,5,3rd Anniversary Souvenir Card Piece,3011.jpg,3rd Anniversary Souvenir Card Piece
3012,50,50,5,Sakura Demon Piece,3012.jpg,Collect 50 Sakura Demon pieces to synthesize Sakura Demon Miracle Card
3013,50,50,5,Pounding Rice Cakes Piece,3013.jpg,Collect 50 pieces of Pounding Rice Cakes to synthesize the Pounding Rice Cakes Miracle Card
3014,50,50,5,Luminous Scarab Fragment,3014.jpg,Collect 50 Luminous Scarab Fragments to craft a Luminous Scarab
3015,50,50,5,Scarlet Whispers Piece,3015.jpg,Collect 50 Scarlet Whispers pieces to synthesize the Scarlet Whispers Miracle Card
3016,50,50,5,Lotus Lantern Piece,3016.jpg,Collect 50 Lotus Lantern pieces to synthesize the Lotus Lantern Miracle Card
3017,50,50,5,4th Anniversary Souvenir Card Piece,3017.jpg,4th Anniversary Souvenir Card Piece
3018,50,50,5,Palace Beauty Piece,3018.jpg,Collect 50 Palace Beauty pieces to synthesize the Palace Beauty Miracle Card
3019,50,50,5,Ancient Laurels Piece,3019.jpg,Collect 50 Ancient Laurels pieces to synthesize the Ancient Laurels Miracle Card
3020,50,50,5,Peerless Blade Piece,3020.jpg,Collect 50 Peerless Blade pieces to synthesize the Peerless Blade Miracle Card
3021,50,50,5,Azure Glaze Piece,3021.jpg,Collect 50 Azure Glaze pieces to synthesize the Azure Glaze Miracle Card
3022,50,50,5,Eye of the Watcher Piece,3022.jpg,Collect 50 Eye of the Watcher pieces to synthesize the Eye of the Watcher Miracle Card
3023,50,50,5,Queen of Light Piece,3023.jpg,Collect 50 Queen of Light pieces to synthesize the Queen of Light Miracle Card
3024,50,50,5,Battle Echo Piece,3025.jpg,Collect 50 Battle Echo pieces to synthesize the Battle Echo Miracle Card
3025,50,50,5,Moonlight Dream Piece,3024.jpg,Collect 50 Moonlight Dream pieces to synthesize the Moonlight Dream Miracle Card
3026,50,50,5,5th Anniversary Souvenir Card Shard,3026.jpg,5th Anniversary Souvenir Card Shard
3027,50,50,5,Afternoon Charm Shard,3027.jpg,Collect 50 Afternoon Charm Shards to synthesize Afternoon Charm
3028,50,50,5,Rendezvous Under the Moon Shard,3028.jpg,Collect 50 Rendezvous Under the Moon Shards to Synthesize Rendezvous Under the Moon
3029,50,50,5,Moonlight Invite Shard,3029.jpg,Collect 50 Moonlight Invite Shards to synthesize Moonlight Invite
3030,50,50,5,Angel of Dark Night Shard,3030.jpg,Collect 50 Angel of Dark Night Shards to synthesize Angel of Dark Night
3031,50,50,5,Beachside Nap Shard,3031.jpg,Collect 50 Beachside Nap shards to synthesize the Miracle Card.
3032,50,50,5,After-Class Whispers Shard,3032.jpg,Collect 50 After-Class Whispers shards to synthesize the Miracle Card.
