effect_id,type,fight_attribute,job,divide_value,limit_times,desc
19,5,2:1:1000,0,1000,100,解锁后，每消耗1000钻石（0/100），全体女神生命提升1000。(当前增加0）
20,5,2:1:1550,0,1000,100,解锁后，每消耗1000钻石（0/100），全体女神生命提升1550。(当前增加0）
21,5,2:1:2150,0,1000,100,解锁后，每消耗1000钻石（0/100），全体女神生命提升2150。(当前增加0）
22,5,2:1:2800,0,1000,100,解锁后，每消耗1000钻石（0/100），全体女神生命提升2800。(当前增加0）
23,5,2:1:3500,0,1000,100,解锁后，每消耗1000钻石（0/100），全体女神生命提升3500。(当前增加0）
24,4,2:17:30,0,5,100,解锁后，每天空塔扫荡5次（0/100），全体女神破防等级增加30。（当前增加0）
25,4,2:17:60,0,5,100,解锁后，每天空塔扫荡5次（0/100），全体女神破防等级增加60。（当前增加0）
26,4,2:17:90,0,5,100,解锁后，每天空塔扫荡5次（0/100），全体女神破防等级增加90。（当前增加0）
27,4,2:17:120,0,5,100,解锁后，每天空塔扫荡5次（0/100），全体女神破防等级增加120。（当前增加0）
28,4,2:17:150,0,5,100,解锁后，每天空塔扫荡5次（0/100），全体女神破防等级增加150。（当前增加0）
29,3,2:3:500,0,50,10,解锁后，每累计通关50层恐惧恐惧（0/10），全体女神攻击力增加500.（当前增加0）
30,3,2:3:1000,0,50,10,解锁后，每累计通关50层恐惧恐惧（0/10），全体女神攻击力增加1000.（当前增加0）
31,3,2:3:1550,0,50,10,解锁后，每累计通关50层恐惧恐惧（0/10），全体女神攻击力增加1550.（当前增加0）
32,3,2:3:2150,0,50,10,解锁后，每累计通关50层恐惧恐惧（0/10），全体女神攻击力增加2150.（当前增加0）
33,3,2:3:2800,0,50,10,解锁后，每累计通关50层恐惧恐惧（0/10），全体女神攻击力增加2800.（当前增加0）
34,3,2:3:3500,0,50,10,解锁后，每累计通关50层恐惧恐惧（0/10），全体女神攻击力增加3500.（当前增加0）
35,2,1:1:10|1:2:10|1:3:10|1:4:10,0,1,70,解锁后，每累计通关1章主线剧情，全体女神基础属性提升10。（当前增加0）
36,2,1:1:20|1:2:20|1:3:20|1:4:20,0,1,70,解锁后，每累计通关1章主线剧情，全体女神基础属性提升20。（当前增加0）
37,2,1:1:40|1:2:40|1:3:40|1:4:40,0,1,70,解锁后，每累计通关1章主线剧情，全体女神基础属性提升30。（当前增加0）
38,2,1:1:60|1:2:60|1:3:60|1:4:60,0,1,70,解锁后，每累计通关1章主线剧情，全体女神基础属性提升40。（当前增加0）
39,2,1:1:80|1:2:80|1:3:80|1:4:80,0,1,70,解锁后，每累计通关1章主线剧情，全体女神基础属性提升50。（当前增加0）
40,2,1:1:100|1:2:100|1:3:100|1:4:100,0,1,70,解锁后，每累计通关1章主线剧情，全体女神基础属性提升60。（当前增加0）
41,1,1:1:50|1:2:50|1:3:50|1:4:50,0,1,30,解锁后，每拥有1件宝物（0/30），全体女神基础属性提升200。(当前增加0）
42,1,1:1:100|1:2:100|1:3:100|1:4:100,0,1,30,解锁后，每拥有1件宝物（0/30），全体女神基础属性提升400。(当前增加0）
43,1,1:1:150|1:2:150|1:3:150|1:4:150,0,1,30,解锁后，每拥有1件宝物（0/30），全体女神基础属性提升600。(当前增加0）
44,1,1:1:200|1:2:200|1:3:200|1:4:200,0,1,30,解锁后，每拥有1件宝物（0/30），全体女神基础属性提升800。(当前增加0）
45,1,1:1:250|1:2:250|1:3:250|1:4:250,0,1,30,解锁后，每拥有1件宝物（0/30），全体女神基础属性提升1000。(当前增加0）
46,1,1:1:300|1:2:300|1:3:300|1:4:300,0,1,30,解锁后，每拥有1件宝物（0/30），全体女神基础属性提升1200。(当前增加0）
47,9,2:17:80,0,3,60,解锁后，每挑战3次公会boss（0/60），全体女神破防等级提升80。(当前增加0）
48,9,2:17:160,0,3,60,解锁后，每挑战3次公会boss（0/60），全体女神破防等级提升160。(当前增加0）
49,9,2:17:240,0,3,60,解锁后，每挑战3次公会boss（0/60），全体女神破防等级提升240。(当前增加0）
50,9,2:17:320,0,3,60,解锁后，每挑战3次公会boss（0/60），全体女神破防等级提升320。(当前增加0）
51,9,2:17:400,0,3,60,解锁后，每挑战3次公会boss（0/60），全体女神破防等级提升400。(当前增加0）
52,9,2:17:480,0,3,60,解锁后，每挑战3次公会boss（0/60），全体女神破防等级提升480。(当前增加0）
53,10,2:5:90,0,5,60,解锁后，竞技场每挑战5次（0/60），全体女神防御力提升90。(当前增加0）
54,10,2:5:180,0,5,60,解锁后，竞技场每挑战5次（0/60），全体女神防御力提升180。(当前增加0）
55,10,2:5:270,0,5,60,解锁后，竞技场每挑战5次（0/60），全体女神防御力提升270。(当前增加0）
56,10,2:5:360,0,5,60,解锁后，竞技场每挑战5次（0/60），全体女神防御力提升360。(当前增加0）
57,10,2:5:450,0,5,60,解锁后，竞技场每挑战5次（0/60），全体女神防御力提升450。(当前增加0）
58,10,2:5:540,0,5,60,解锁后，竞技场每挑战5次（0/60），全体女神防御力提升540。(当前增加0）
59,11,2:1:1000,0,100,60,解锁后，黄沙秘宝每挖掘100个地块（0/60），全体女神获得1000点生命值。（当前增加0）
60,11,2:1:2000,0,100,60,解锁后，黄沙秘宝每挖掘100个地块（0/60），全体女神获得2000点生命值。（当前增加0）
61,11,2:1:3000,0,100,60,解锁后，黄沙秘宝每挖掘100个地块（0/60），全体女神获得3000点生命值。（当前增加0）
62,11,2:1:4000,0,100,60,解锁后，黄沙秘宝每挖掘100个地块（0/60），全体女神获得4000点生命值。（当前增加0）
63,11,2:1:5000,0,100,60,解锁后，黄沙秘宝每挖掘100个地块（0/60），全体女神获得5000点生命值。（当前增加0）
64,11,2:1:6000,0,100,60,解锁后，黄沙秘宝每挖掘100个地块（0/60），全体女神获得6000点生命值。（当前增加0）
