id,signal,index,pre_index,type,level,add_attr,value_type,show_type,cost_count
35,1,1,0,1,5,3:2:150|3:13:150,1|1,1|1,1800
36,1,2,1,1,1,3:4:40|3:1:20,1|1,1|1,100
37,1,2,1,1,2,3:4:80|3:1:40,1|1,1|1,300
38,1,2,1,1,3,3:4:120|3:1:60,1|1,1|1,900
39,1,2,1,1,4,3:4:160|3:1:80,1|1,1|1,1500
40,1,2,1,1,5,3:4:200|3:1:100,1|1,1|1,1800
41,1,3,2,2,1,1:1:50,2,0,1
42,1,4,3,1,1,3:16:10|3:14:20,1|1,1|1,100
43,1,4,3,1,2,3:16:20|3:14:40,1|1,1|1,300
44,1,4,3,1,3,3:16:30|3:14:60,1|1,1|1,900
45,1,4,3,1,4,3:16:40|3:14:80,1|1,1|1,1500
46,1,4,3,1,5,3:16:50|3:14:100,1|1,1|1,1800
47,1,5,4,2,1,2:38:100|2:18:20,1|1,1|0,1
48,1,6,5,1,1,3:17:20|3:2:20,1|1,1|1,100
49,1,6,5,1,2,3:17:40|3:2:40,1|1,1|1,300
50,1,6,5,1,3,3:17:60|3:2:60,1|1,1|1,900
51,1,6,5,1,4,3:17:80|3:2:80,1|1,1|1,1500
52,1,6,5,1,5,3:17:100|3:2:100,1|1,1|1,1800
53,1,7,6,2,1,2:15:50|3:5:100,1|1,1|1,1
54,1,8,6,2,1,2:38:100|3:23:100,1|1,1|1,1
55,1,9,8,1,1,3:2:30|3:13:20,1|1,1|1,100
56,1,9,8,1,2,3:2:60|3:13:40,1|1,1|1,300
57,1,9,8,1,3,3:2:90|3:13:60,1|1,1|1,900
58,1,9,8,1,4,3:2:120|3:13:80,1|1,1|1,1500
59,1,9,8,1,5,3:2:150|3:13:100,1|1,1|1,1800
60,1,10,9,2,1,2:25:150|2:37:100,1|1,1|1,1
61,7,1,0,1,1,3:2:30|3:13:30,1|1,1|1,100
62,7,1,0,1,2,3:2:60|3:13:60,1|1,1|1,300
63,7,1,0,1,3,3:2:90|3:13:90,1|1,1|1,900
64,7,1,0,1,4,3:2:120|3:13:120,1|1,1|1,1500
65,7,1,0,1,5,3:2:150|3:13:150,1|1,1|1,1800
66,7,2,1,1,1,3:4:40|3:1:20,1|1,1|1,100
67,7,2,1,1,2,3:4:80|3:1:40,1|1,1|1,300
68,7,2,1,1,3,3:4:120|3:1:60,1|1,1|1,900
69,7,2,1,1,4,3:4:160|3:1:80,1|1,1|1,1500
70,7,2,1,1,5,3:4:200|3:1:100,1|1,1|1,1800
71,7,3,2,2,1,1:1:50,2,0,1
72,7,4,3,1,1,2:18:4|3:14:20,1|1,0|1,100
73,7,4,3,1,2,2:18:8|3:14:40,1|1,0|1,300
74,7,4,3,1,3,2:18:12|3:14:60,1|1,0|1,900
75,7,4,3,1,4,2:18:16|3:14:80,1|1,0|1,1500
76,7,4,3,1,5,2:18:20|3:14:100,1|1,0|1,1800
77,7,5,4,2,1,2:38:100|2:18:20,1|1,1|0,1
78,7,6,5,1,1,3:4:30|3:1:20,1|1,1|1,100
79,7,6,5,1,2,3:4:60|3:1:40,1|1,1|1,300
80,7,6,5,1,3,3:4:90|3:1:60,1|1,1|1,900
81,7,6,5,1,4,3:4:120|3:1:80,1|1,1|1,1500
82,7,6,5,1,5,3:4:150|3:1:100,1|1,1|1,1800
83,7,7,6,2,1,2:15:50|3:5:100,1|1,1|1,1
84,7,8,6,2,1,2:38:100|3:23:100,1|1,1|1,1
85,7,9,8,1,1,3:2:30|3:13:20,1|1,1|1,100
86,7,9,8,1,2,3:2:60|3:13:40,1|1,1|1,300
87,7,9,8,1,3,3:2:90|3:13:60,1|1,1|1,900
88,7,9,8,1,4,3:2:120|3:13:80,1|1,1|1,1500
89,7,9,8,1,5,3:2:150|3:13:100,1|1,1|1,1800
90,7,10,9,2,1,2:25:150|2:37:100,1|1,1|1,1
91,6,1,0,1,1,3:1:30|3:6:30,1|1,1|1,100
92,6,1,0,1,2,3:1:60|3:6:60,1|1,1|1,300
93,6,1,0,1,3,3:1:90|3:6:90,1|1,1|1,900
94,6,1,0,1,4,3:1:120|3:6:120,1|1,1|1,1500
95,6,1,0,1,5,3:1:150|3:6:150,1|1,1|1,1800
96,6,2,1,1,1,3:4:30|3:7:30,1|1,1|1,100
97,6,2,1,1,2,3:4:60|3:7:60,1|1,1|1,300
98,6,2,1,1,3,3:4:90|3:7:90,1|1,1|1,900
99,6,2,1,1,4,3:4:120|3:7:120,1|1,1|1,1500
100,6,2,1,1,5,3:4:150|3:7:150,1|1,1|1,1800
101,6,3,2,2,1,1:2:50,2,0,1
102,6,4,3,1,1,2:17:20|3:8:30,2|1,0|1,100
103,6,4,3,1,2,2:17:40|3:8:60,2|1,0|1,300
104,6,4,3,1,3,2:17:60|3:8:90,2|1,0|1,900
105,6,4,3,1,4,2:17:80|3:8:120,2|1,0|1,1500
106,6,4,3,1,5,2:17:100|3:8:150,2|1,0|1,1800
107,6,5,4,2,1,2:38:50|2:18:20,1|1,1|0,1
108,6,6,5,1,1,3:2:40|3:9:20,1|1,1|1,100
109,6,6,5,1,2,3:2:80|3:9:40,1|1,1|1,300
110,6,6,5,1,3,3:2:120|3:9:60,1|1,1|1,900
111,6,6,5,1,4,3:2:160|3:9:80,1|1,1|1,1500
112,6,6,5,1,5,3:2:200|3:9:100,1|1,1|1,1800
113,6,7,6,2,1,2:37:100|3:5:100,1|1,1|1,1
114,6,8,6,2,1,3:8:200|2:38:50,1|1,1|1,1
115,6,9,8,1,1,3:1:40|3:14:20,1|1,1|1,100
116,6,9,8,1,2,3:1:80|3:14:40,1|1,1|1,300
117,6,9,8,1,3,3:1:120|3:14:60,1|1,1|1,900
118,6,9,8,1,4,3:1:160|3:14:80,1|1,1|1,1500
119,6,9,8,1,5,3:1:200|3:14:100,1|1,1|1,1800
120,6,10,9,2,1,2:23:150|2:39:100,1|1,1|1,1
121,3,1,0,1,1,3:2:30|3:6:30,1|1,1|1,100
122,3,1,0,1,2,3:2:60|3:6:60,1|1,1|1,300
123,3,1,0,1,3,3:2:90|3:6:90,1|1,1|1,900
124,3,1,0,1,4,3:2:120|3:6:120,1|1,1|1,1500
125,3,1,0,1,5,3:2:150|3:6:150,1|1,1|1,1800
126,3,2,1,1,1,3:4:30|3:1:30,1|1,1|1,100
127,3,2,1,1,2,3:4:60|3:1:60,1|1,1|1,300
128,3,2,1,1,3,3:4:90|3:1:90,1|1,1|1,900
129,3,2,1,1,4,3:4:120|3:1:120,1|1,1|1,1500
130,3,2,1,1,5,3:4:150|3:1:150,1|1,1|1,1800
131,3,3,2,2,1,1:2:50,2,0,1
132,3,4,3,1,1,2:18:4|3:13:20,1|1,0|1,100
133,3,4,3,1,2,2:18:8|3:13:40,1|1,0|1,300
134,3,4,3,1,3,2:18:12|3:13:60,1|1,0|1,900
135,3,4,3,1,4,2:18:16|3:13:80,1|1,0|1,1500
136,3,4,3,1,5,2:18:20|3:13:100,1|1,0|1,1800
137,3,5,4,2,1,2:37:100|2:18:20,1|1,1|0,1
138,3,6,5,1,1,2:27:20|3:2:20,1|1,1|1,100
139,3,6,5,1,2,2:27:40|3:2:40,1|1,1|1,300
140,3,6,5,1,3,2:27:60|3:2:60,1|1,1|1,900
141,3,6,5,1,4,2:27:80|3:2:80,1|1,1|1,1500
142,3,6,5,1,5,2:27:100|3:2:100,1|1,1|1,1800
143,3,7,6,2,1,2:15:50|3:5:150,1|1,1|1,1
144,3,8,6,2,1,2:37:100|3:23:100,1|1,1|1,1
145,3,9,8,1,1,3:2:30|3:14:20,1|1,1|1,100
146,3,9,8,1,2,3:2:60|3:14:40,1|1,1|1,300
147,3,9,8,1,3,3:2:90|3:14:60,1|1,1|1,900
148,3,9,8,1,4,3:2:120|3:14:80,1|1,1|1,1500
149,3,9,8,1,5,3:2:150|3:14:100,1|1,1|1,1800
150,3,10,9,2,1,2:26:150|2:39:100,1|1,1|1,1
151,9,1,0,1,1,3:2:30|3:6:30,1|1,1|1,100
152,9,1,0,1,2,3:2:60|3:6:60,1|1,1|1,300
153,9,1,0,1,3,3:2:90|3:6:90,1|1,1|1,900
154,9,1,0,1,4,3:2:120|3:6:120,1|1,1|1,1500
155,9,1,0,1,5,3:2:150|3:6:150,1|1,1|1,1800
156,9,2,1,1,1,3:4:30|3:1:30,1|1,1|1,100
157,9,2,1,1,2,3:4:60|3:1:60,1|1,1|1,300
158,9,2,1,1,3,3:4:90|3:1:90,1|1,1|1,900
159,9,2,1,1,4,3:4:120|3:1:120,1|1,1|1,1500
160,9,2,1,1,5,3:4:150|3:1:150,1|1,1|1,1800
161,9,3,2,2,1,1:2:50,2,0,1
162,9,4,3,1,1,2:18:4|3:13:20,1|1,0|1,100
163,9,4,3,1,2,2:18:8|3:13:40,1|1,0|1,300
164,9,4,3,1,3,2:18:12|3:13:60,1|1,0|1,900
165,9,4,3,1,4,2:18:16|3:13:80,1|1,0|1,1500
166,9,4,3,1,5,2:18:20|3:13:100,1|1,0|1,1800
167,9,5,4,2,1,2:37:100|2:18:20,1|1,1|0,1
168,9,6,5,1,1,2:29:40|3:2:20,1|1,1|1,100
169,9,6,5,1,2,2:29:80|3:2:40,1|1,1|1,300
170,9,6,5,1,3,2:29:120|3:2:60,1|1,1|1,900
171,9,6,5,1,4,2:29:160|3:2:80,1|1,1|1,1500
172,9,6,5,1,5,2:29:200|3:2:100,1|1,1|1,1800
173,9,7,6,2,1,2:15:50|3:5:150,1|1,1|1,1
174,9,8,6,2,1,2:37:100|3:23:100,1|1,1|1,1
175,9,9,8,1,1,3:2:30|3:14:20,1|1,1|1,100
176,9,9,8,1,2,3:2:60|3:14:40,1|1,1|1,300
177,9,9,8,1,3,3:2:90|3:14:60,1|1,1|1,900
178,9,9,8,1,4,3:2:120|3:14:80,1|1,1|1,1500
179,9,9,8,1,5,3:2:150|3:14:100,1|1,1|1,1800
180,9,10,9,2,1,2:26:150|2:39:100,1|1,1|1,1
181,5,1,0,1,1,3:1:30|3:9:30,1|1,1|1,100
182,5,1,0,1,2,3:1:60|3:9:60,1|1,1|1,300
183,5,1,0,1,3,3:1:90|3:9:90,1|1,1|1,900
184,5,1,0,1,4,3:1:120|3:9:120,1|1,1|1,1500
185,5,1,0,1,5,3:1:150|3:9:150,1|1,1|1,1800
186,5,2,1,1,1,3:4:30|3:8:20,1|1,1|1,100
187,5,2,1,1,2,3:4:60|3:8:40,1|1,1|1,300
188,5,2,1,1,3,3:4:90|3:8:60,1|1,1|1,900
189,5,2,1,1,4,3:4:120|3:8:80,1|1,1|1,1500
190,5,2,1,1,5,3:4:150|3:8:100,1|1,1|1,1800
191,5,3,2,2,1,1:3:50,2,0,1
192,5,4,3,1,1,2:17:20|3:13:20,2|1,1|1,100
193,5,4,3,1,2,2:17:40|3:13:40,2|1,1|1,300
194,5,4,3,1,3,2:17:60|3:13:60,2|1,1|1,900
195,5,4,3,1,4,2:17:80|3:13:80,2|1,1|1,1500
196,5,4,3,1,5,2:17:100|3:13:100,2|1,1|1,1800
197,5,5,4,2,1,2:36:50|2:18:20,1|1,1|0,1
198,5,6,5,1,1,3:2:40|3:9:20,1|1,1|1,100
199,5,6,5,1,2,3:2:80|3:9:40,1|1,1|1,300
200,5,6,5,1,3,3:2:120|3:9:60,1|1,1|1,900
201,5,6,5,1,4,3:2:160|3:9:80,1|1,1|1,1500
202,5,6,5,1,5,3:2:200|3:9:100,1|1,1|1,1800
203,5,7,6,2,1,2:39:100|3:5:100,1|1,1|1,1
204,5,8,6,2,1,2:36:100|3:9:50,1|1,1|1,1
205,5,9,8,1,1,3:1:40|3:4:20,1|1,1|1,100
206,5,9,8,1,2,3:1:80|3:4:40,1|1,1|1,300
207,5,9,8,1,3,3:1:120|3:4:60,1|1,1|1,900
208,5,9,8,1,4,3:1:160|3:4:80,1|1,1|1,1500
209,5,9,8,1,5,3:1:200|3:4:100,1|1,1|1,1800
210,5,10,9,2,1,2:21:150|2:39:100,1|1,1|1,1
211,2,1,0,1,1,3:2:30|3:14:30,1|1,1|1,100
212,2,1,0,1,2,3:2:60|3:14:60,1|1,1|1,300
213,2,1,0,1,3,3:2:90|3:14:90,1|1,1|1,900
214,2,1,0,1,4,3:2:120|3:14:120,1|1,1|1,1500
215,2,1,0,1,5,3:2:150|3:14:150,1|1,1|1,1800
216,2,2,1,1,1,3:4:40|3:1:20,1|1,1|1,100
217,2,2,1,1,2,3:4:80|3:1:40,1|1,1|1,300
218,2,2,1,1,3,3:4:120|3:1:60,1|1,1|1,900
219,2,2,1,1,4,3:4:160|3:1:80,1|1,1|1,1500
220,2,2,1,1,5,3:4:200|3:1:100,1|1,1|1,1800
221,2,3,2,2,1,1:3:50,2,0,1
222,2,4,3,1,1,2:18:4|3:13:20,1|1,0|1,100
223,2,4,3,1,2,2:18:8|3:13:40,1|1,0|1,300
224,2,4,3,1,3,2:18:12|3:13:60,1|1,0|1,900
225,2,4,3,1,4,2:18:16|3:13:80,1|1,0|1,1500
226,2,4,3,1,5,2:18:20|3:13:100,1|1,0|1,1800
227,2,5,4,2,1,2:36:50|2:18:20,1|1,1|0,1
228,2,6,5,1,1,2:27:20|3:2:20,1|1,1|1,100
229,2,6,5,1,2,2:27:40|3:2:40,1|1,1|1,300
230,2,6,5,1,3,2:27:60|3:2:60,1|1,1|1,900
231,2,6,5,1,4,2:27:80|3:2:80,1|1,1|1,1500
232,2,6,5,1,5,2:27:100|3:2:100,1|1,1|1,1800
233,2,7,6,2,1,2:15:50|3:5:150,1|1,1|1,1
234,2,8,6,2,1,2:37:100|3:23:100,1|1,1|1,1
235,2,9,8,1,1,3:2:30|3:4:20,1|1,1|1,100
236,2,9,8,1,2,3:2:60|3:4:40,1|1,1|1,300
237,2,9,8,1,3,3:2:90|3:4:60,1|1,1|1,900
238,2,9,8,1,4,3:2:120|3:4:80,1|1,1|1,1500
239,2,9,8,1,5,3:2:150|3:4:100,1|1,1|1,1800
240,2,10,9,2,1,2:24:150|2:39:100,1|1,1|1,1
241,8,1,0,1,1,3:2:30|3:14:30,1|1,1|1,100
242,8,1,0,1,2,3:2:60|3:14:60,1|1,1|1,300
243,8,1,0,1,3,3:2:90|3:14:90,1|1,1|1,900
244,8,1,0,1,4,3:2:120|3:14:120,1|1,1|1,1500
245,8,1,0,1,5,3:2:150|3:14:150,1|1,1|1,1800
246,8,2,1,1,1,3:4:40|3:1:20,1|1,1|1,100
247,8,2,1,1,2,3:4:80|3:1:40,1|1,1|1,300
248,8,2,1,1,3,3:4:120|3:1:60,1|1,1|1,900
249,8,2,1,1,4,3:4:160|3:1:80,1|1,1|1,1500
250,8,2,1,1,5,3:4:200|3:1:100,1|1,1|1,1800
251,8,3,2,2,1,1:3:50,2,0,1
252,8,4,3,1,1,3:14:20|3:13:20,2|1,1|1,100
253,8,4,3,1,2,3:14:40|3:13:40,2|1,1|1,300
254,8,4,3,1,3,3:14:60|3:13:60,2|1,1|1,900
255,8,4,3,1,4,3:14:80|3:13:80,2|1,1|1,1500
256,8,4,3,1,5,3:14:100|3:13:100,2|1,1|1,1800
257,8,5,4,2,1,2:36:50|2:18:20,1|1,1|0,1
258,8,6,5,1,1,3:1:20|3:2:20,1|1,1|1,100
259,8,6,5,1,2,3:1:40|3:2:40,1|1,1|1,300
260,8,6,5,1,3,3:1:60|3:2:60,1|1,1|1,900
261,8,6,5,1,4,3:1:80|3:2:80,1|1,1|1,1500
262,8,6,5,1,5,3:1:100|3:2:100,1|1,1|1,1800
263,8,7,6,2,1,2:15:50|3:5:150,1|1,1|1,1
264,8,8,6,2,1,2:37:100|3:23:100,1|1,1|1,1
265,8,9,8,1,1,3:2:30|3:4:20,1|1,1|1,100
266,8,9,8,1,2,3:2:60|3:4:40,1|1,1|1,300
267,8,9,8,1,3,3:2:90|3:4:60,1|1,1|1,900
268,8,9,8,1,4,3:2:120|3:4:80,1|1,1|1,1500
269,8,9,8,1,5,3:2:150|3:4:100,1|1,1|1,1800
270,8,10,9,2,1,2:24:150|2:39:100,1|1,1|1,1
