index,eid,damage_type,content
61,110102201,6,因{SKILL_NAME}效果，{TARGET_NAME}攻击降低30%，持续1回合。
62,110102211,6,
63,110201101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
64,110202101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
65,110202201,5,{MASTER_NAME}进入【狂乱】状态，3回合内免疫一切不利buff，攻击必暴击。
66,110301101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
67,110301201,5,因{SKILL_NAME}效果，{TARGET_NAME}【中毒】，每回合损失3%生命，持续4回合。
68,110301211,3,
69,110302101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害，处于【中毒】状态的目标眩晕1回合。
70,110401101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
71,110402101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
72,110402201,4,因{SKILL_NAME}效果，{TARGET_NAME}回复{DAMAGE}生命。
73,110501101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
74,110501201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【火伤】，每回合损失4%生命，持续2回合。
75,110501211,3,
76,110502101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
77,110601101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
78,110601201,1,因{SKILL_NAME}效果，额外对{TARGET_NAME}造成了{DAMAGE}真实伤害。
79,110602101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
80,110602201,1,因{SKILL_NAME}效果，额外对{TARGET_NAME}造成了{DAMAGE}真实伤害。
81,110701101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
82,110701201,6,因{SKILL_NAME}效果，{TARGET_NAME}进入【晕眩】状态，无法行动持续1回合。
83,110702101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
84,110702201,5,因{SKILL_NAME}效果，{TARGET_NAME}【中毒】，每回合损失3%生命，持续3回合。
85,110702211,3,
86,110801101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害，{MASTER_NAME}恢复{DAMAGE}生命值。
87,110802101,5,{MASTER_NAME}释放{SKILL_NAME}，进入【挑衅】状态，2回合内非范围技能只能攻击自己。
88,110802111,5,因{SKILL_NAME}效果，{MASTER_NAME}2回合内所受伤害减少65%。
89,110901101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
90,110901201,6,{TARGET_NAME}被【燃烧】，每回合受到{MASTER_NAME}攻击力100%的伤害，持续2回合。
91,110901211,2,
92,110902101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
93,111001101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
94,111001201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【冰冻】，无法行动，持续1回合。
95,111002101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
96,111002201,6,因{SKILL_NAME}效果，{TARGET_NAME}的{BUFF_NAME}被移除。
97,111101201,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
98,111102101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
99,111102201,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
100,111102301,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
101,111201101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
102,111201201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【虚弱】，2回合内攻击力降低50%。
103,111201211,6,
104,111202101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
105,111301101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
106,111302101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
107,111401101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
108,111401201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【致盲】，3回合内命中率降低80%。
109,111401211,6,
110,111402101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
111,111501101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
112,111501201,9,因{SKILL_NAME}效果，{TARGET_NAME}的{BUFF_NAME}被掠夺。
113,111502101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
114,111601101,4,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，回复了{DAMAGE}生命。
115,111602101,5,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}。
116,111602111,5,因{SKILL_NAME}效果，3回合内{TARGET_NAME}的防御力提高60%，攻击力提高18%
117,111701101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
118,111702101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
119,111801101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
120,111801201,5,因{SKILL_NAME}效果，{MASTER_NAME}进入【残影】状态，3回合内闪避概率提高30%。
121,111801211,5,
122,111802101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害，并将伤害的8%回复给自身。
123,111901101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
124,111902101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
125,111902201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【封印】，2回合内不能释放技能。
126,112001101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
127,112001201,6,因{SKILL_NAME}效果，{TARGET_NAME}进入【晕眩】状态，无法行动，持续1回合。
128,112002101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
129,112002201,6,因{SKILL_NAME}效果，{TARGET_NAME}【流血】，2回合内无法回复生命
130,112101101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
131,112102101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
132,112201101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
133,112201201,5,因{SKILL_NAME}效果，{MASTER_NAME}进入【奋起】状态，防御力提高150%，攻击力提高25%，持续3回合。
134,112201211,5,
135,112202101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
136,112202201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【击破】，防御力降低60%，持续2回合。
137,112202211,6,
138,112301101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
139,112301201,5,因{SKILL_NAME}效果，{TARGET_NAME}【中毒】，每回合损失3%生命，持续2回合。
140,112301211,3,因{SKILL_NAME}效果，{TARGET_NAME}【流血】，2回合内无法回复生命
141,112301301,6,
142,112302101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
143,112302201,5,因{SKILL_NAME}效果，{MASTER_NAME}进入【挑衅】状态，且防御力提高200%，持续2回合。
144,112401101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
145,112402101,4,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，回复了{DAMAGE}生命。
146,112501101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
147,112501201,6,因{SKILL_NAME}效果，{TARGET_NAME}进入【晕眩】状态，无法行动，持续1回合。
148,112502101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
149,112502201,6,因{SKILL_NAME}效果，{TARGET_NAME}的{BUFF_NAME}被移除。
150,112601101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
151,112601201,5,因{SKILL_NAME}效果，{TARGET_NAME}【中毒】，每回合损失3%生命，持续2回合。
152,112601211,3,
153,112601301,6,因{SKILL_NAME}效果，{TARGET_NAME}被【冻结】，无法行动，持续1回合。
154,112601401,5,因{SKILL_NAME}效果，{TARGET_NAME}被【燃烧】，每回合损失4%生命，持续2回合。
155,112601411,3,
156,112602101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
157,112602201,6,因{SKILL_NAME}效果，处于不良状态的目标眩晕1回合。
158,112701101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
159,112701201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【致盲】，2回合内命中率降低60%。
160,112701211,6,
161,112702101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
162,112801101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
163,112802101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
164,112802201,5,因{SKILL_NAME}效果，{TARGET_NAME}【中毒】，每回合损失3%生命。
165,112802211,3,
166,112901101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
167,112902101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
168,113001101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
169,113002101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
170,113002201,5,因{SKILL_NAME}效果，{MASTER_NAME}进入【援护】状态，2回合内受到伤害降低55%，反伤增加60%。
171,113002211,5,
172,113101101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
173,113101201,4,因{SKILL_NAME}效果，{TARGET_NAME}进入【晕眩】状态，无法行动，持续1回合。
174,113102101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
175,113102201,4,因{SKILL_NAME}效果，{TARGET_NAME}被【燃烧】，每回合损失4%的血量，持续3回合
176,113102211,2,
177,113201101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
178,113201201,4,因{SKILL_NAME}效果，{TARGET_NAME}被【封印】，无法使用技能，持续1回合
179,113201211,5,
180,113202101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
181,113301101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
182,113301201,4,因{SKILL_NAME}效果，{TARGET_NAME}【流血】，2回合内无法回复生命。
183,113302101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害，并将伤害的80%回复给自身。
184,113401101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
185,113402101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
186,113402201,2,因{SKILL_NAME}效果，额外对{TARGET_NAME}造成了{DAMAGE}真实伤害。
187,113501101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
188,113501201,4,因{SKILL_NAME}效果，{MASTER_NAME}2回合内暴击伤害提高40%。
189,113501211,5,
190,113502101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
191,113502201,4,因{SKILL_NAME}效果，{TARGET_NAME}被添加【印记】，2回合内成为优先攻击目标。
192,113601101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
193,113601201,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
194,113601301,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
195,113601401,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
196,113601501,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
197,113601601,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
198,113601701,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
199,113601801,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
200,113601901,5,因{SKILL_NAME}的效果，{MASTER_NAME}进入【狂乱】状态，不受异常状态影响。
201,113602101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
202,113602201,5,因{SKILL_NAME}效果，{TARGET_NAME}被【燃烧】，每回合损失4%生命，持续2回合。
203,113602211,3,因{SKILL_NAME}效果，已经处于【燃烧】状态的，会被【眩晕】1回合。
204,113701101,5,因{SKILL_NAME}效果，{TARGET_NAME}被【击破】，防御力降低60%，持续3回合。
205,113701111,6,
206,113701201,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
207,113702101,5,因{SKILL_NAME}的效果，{TARGET_NAME}进入【奋起】状态，攻击力增加30%，防御力提高50%，持续3回合。
208,113702111,5,
209,113702201,5,因{SKILL_NAME}效果，驱散了{TARGET_NAME}身上所有不利buff。
210,113702301,4,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，回复了{DAMAGE}生命。
211,113801101,5,因{SKILL_NAME}效果，驱散了{TARGET_NAME}身上所有不利buff。
212,113801201,5,因{SKILL_NAME}的效果，{TARGET_NAME}进入【奋起】状态，防御力增加赫拉防御力的80%，攻击力增加赫拉攻击力的40%，持续3回合。
213,113802101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
214,113802201,5,因{SKILL_NAME}效果，驱散了{TARGET_NAME}身上所有不利buff。
215,113802301,4,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，回复了{DAMAGE}生命。
216,113901101,6,因{SKILL_NAME}效果，{TARGET_NAME}的{BUFF_NAME}被移除。
217,113901201,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
218,113901301,6,因{SKILL_NAME}效果，{TARGET_NAME}被【燃烧】，每回合损失4%生命，持续2回合。
219,113902101,3,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}真实伤害。
220,114001101,5,因{SKILL_NAME}的效果，{MASTER_NAME}进入【援护】状态，受到的伤害降低50%，伤害反弹增加50%，持续2回合。
221,114001111,5,
222,114001201,5,因{SKILL_NAME}的效果，{TARGET_NAME}进入【援护】状态，受到的伤害降低50%，伤害反弹增加50%，持续2回合。
223,114001211,5,
224,114001301,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
225,114002101,5,因{SKILL_NAME}的效果，驱散了{TARGET_NAME}所有有益状态。
226,114002201,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
227,114101101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
228,114101201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【虚弱】，2回合内攻击力降低30%。
229,114101211,6,
230,114102101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
231,114102201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【冰冻】，无法行动，持续1回合。
232,114002301,6,因{SKILL_NAME}效果，{TARGET_NAME}【流血】，3回合内无法回复生命。
233,114501101,5,因{SKILL_NAME}的效果，{TARGET_NAME}进入【击破】状态，魔抗和物抗降低80%，持续3回合。
234,114501111,6,
235,114501201,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
236,114501301,1,因上一段技能暴击，{MASTER_NAME}继续对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
237,114501401,1,因上一段技能暴击，{MASTER_NAME}继续对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
238,114502101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
239,114502201,6,因{SKILL_NAME}效果，{TARGET_NAME}【流血】，3回合内无法回复生命。
240,114601101,4,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，回复了{DAMAGE}生命。
241,114601201,5,因{SKILL_NAME}效果，{TARGET_NAME}2回合内受到伤害降低30%，异常抵抗增加30%
242,114602101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
243,114602201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【虚弱】，2回合内攻击力降低60%。
244,114701101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
245,114701102,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
246,114701103,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
247,114701201,6,因{SKILL_NAME}效果，{TARGET_NAME}【流血】，2回合内无法回复生命。
248,114702101,6,因{SKILL_NAME}的效果，驱散了{TARGET_NAME}所有有益状态。
249,114702201,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
250,114801101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
251,114801201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【燃烧】，每回合损失4%生命，持续2回合。
252,114802101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
253,114802201,5,因{SKILL_NAME}的效果，{TARGET_NAME}进入【击破】状态，魔抗和物抗降低50%，持续2回合。
254,114901101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
255,114901201,6,因{SKILL_NAME}效果，最大生命低于卡俄斯的目标眩晕1回合。
256,114902101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
257,114902201,1,因{SKILL_NAME}效果，额外对{TARGET_NAME}造成了{DAMAGE}真实伤害。
258,115001101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
259,115001201,5,因{SKILL_NAME}效果，{MASTER_NAME}进入【挑衅】状态，非范围技能只能攻击{MASTER_NAME}，所受伤害降低50%，伤害反弹增加70%，持续2回合。
260,115002101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害，并将伤害的30%回复给自身。
261,100111101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
262,100111102,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
263,100111202,4,因{SKILL_NAME}效果，{TARGET_NAME}进入【晕眩】状态，无法行动，持续1回合。
264,100111103,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
265,100111203,4,因{SKILL_NAME}效果，{TARGET_NAME}进入【晕眩】状态，无法行动，持续1回合。
266,100111104,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
267,100111204,4,因{SKILL_NAME}效果，{TARGET_NAME}攻击力降低20%，持续2回合
