sid,type,is_normal,kill_enemy_trigger,cause_damage_trigger,before_fight_trigger,action_trigger,die_trigger,after_action_trigger,mp_cost,eid,open_level,show_popup,adjust_target_position,prepare_anim,skill_anim,multi_target_spacing_time,name,icon,info,frame_id
100111004,1,0,0,0,0,0,0,0,250,100111104,1,0,1,1010_act,,0,雷霆一击,1010.png,对1名敌人造成400%的伤害，并且有50%的几率使其【晕眩】1回合；并且使目标进入【虚弱】状态，攻击力降低20%，持续2回合,0
100111005,1,0,0,0,0,0,0,0,250,100111105,1,0,1,1010_act,,0,雷霆一击,1010.png,对1名敌人造成450%的伤害，并且有60%的几率使其【晕眩】1回合；并且使目标进入【虚弱】状态，攻击力降低30%，持续2回合,0
100111006,1,0,0,0,0,0,0,0,250,100111106,1,0,1,1010_act,,0,雷霆一击,1010.png,对1名敌人造成550%的伤害，并且有70%的几率使其【晕眩】1回合；并且使目标进入【虚弱】【破甲】状态，攻击力、防御力降低40%，持续2回合,0
100111007,1,0,0,0,0,0,0,0,250,100111107,1,0,1,1010_act,,0,雷霆一击,1010.png,对1名敌人造成600%的伤害，并且有80%的几率使其【晕眩】1回合；并且使目标进入【虚弱】【破甲】状态，攻击力、防御力降低50%，持续2回合,0
100111008,1,0,0,0,0,0,0,0,250,100111108,1,0,1,1010_act,,0,雷霆一击,1010.png,对攻击力最高的1名敌人造成650%的伤害，并使其【晕眩】1回合；并且使目标进入【粉碎】【虚弱】状态，防御力、物抗和魔抗、攻击力降低50%，持续2回合。,1
100112001,1,0,0,0,0,0,0,0,150,100112101,1,0,0,1008_act,,0,战争号角,2004.png,使3名队友进入【奋发】状态，增加20%的伤害，持续3回合,0
100112002,1,0,0,0,0,0,0,0,150,100112102,1,0,0,1008_act,,0,战争号角,2004.png,使3名队友进入【奋发】状态，增加25%的伤害，25%的防御力，持续3回合,0
100112003,1,0,0,0,0,0,0,0,150,100112103,1,0,0,1008_act,,0,战争号角,2004.png,使3名队友进入【奋发】状态，增加30%的伤害，30%的防御力，持续3回合,0
100112004,1,0,0,0,0,0,0,0,150,100112104,1,0,0,1008_act,,0,战争号角,2004.png,使3名队友进入【奋发】状态，增加35%的伤害，35%的防御力，持续3回合，并且恢复主角攻击力60%的血量,0
100112005,1,0,0,0,0,0,0,0,150,100112105,1,0,0,1008_act,,0,战争号角,2004.png,使3名队友进入【奋发】状态，增加40%的伤害，40%的防御力，持续3回合，并且恢复主角攻击力70%的血量,0
100112006,1,0,0,0,0,0,0,0,150,100112106,1,0,0,1008_act,,0,战争号角,2004.png,使3名队友进入【奋发】状态，增加50%的伤害，50%的防御力，30%暴击值，持续3回合，并且恢复主角攻击力80%的血量,0
100112007,1,0,0,0,0,0,0,0,150,100112107,1,0,0,1008_act,,0,战争号角,2004.png,使3名队友进入【奋发】状态，增加60%的伤害，60%的防御力，40%暴击值，持续3回合，并且恢复主角攻击力90%的血量,0
100112008,1,0,0,0,0,0,0,0,150,100112108,1,0,0,1008_act,,0,战争号角,2004.png,使攻击力最高的3名队友进入【奋发】状态，增加60%的伤害、防御力、暴击值，持续3回合；并且治疗3名血量百分比最低的队友，使其恢复主角攻击力100%的血量,1
130111007,1,0,0,0,0,0,0,0,250,130111107,1,0,1,1010_act,,0,雷霆一击,1010.png,额外对2名敌方女神造成100%的伤害（主角品质达到SSR+生效）,0
130112007,1,0,0,0,0,0,0,0,150,130112107,1,0,0,1008_act,,0,战争号角,2004.png,额外增加1名友方女神（主角品质达到SSR+生效）,0
140111008,1,0,0,0,0,0,0,0,250,140111108,1,0,1,1010_act,,0,雷霆一击,1010.png,额外对2名敌方女神造成100%的伤害,1
140112008,1,0,0,0,0,0,0,0,150,140112108,1,0,0,1008_act,,0,战争号角,2004.png,额外增加1名友方女神,1
150111007,1,0,0,0,0,0,0,0,250,150111107,1,0,1,1010_act,,0,雷霆一击,1010.png,额外对敌方全体造成100%的伤害（主角品质达到SSR+生效）,0
150112007,1,0,0,0,0,0,0,0,150,150112107,1,0,0,1008_act,,0,战争号角,2004.png,额外增加1名友方女神，【奋发】额外增加40%暴伤（主角品质达到SSR+生效）,0
160111008,1,0,0,0,0,0,0,0,250,160111108,1,0,1,1010_act,,0,雷霆一击,1010.png,额外对敌方全体造成100%的伤害,1
160112008,1,0,0,0,0,0,0,0,150,160112108,1,0,0,1008_act,,0,战争号角,2004.png,额外增加1名友方女神，【奋发】额外增加40%暴伤,1
170111001,1,0,0,0,0,0,0,0,0,170111101,1,0,0,,,0,万神之怒,1661.png,当前回合为第1回合、第3回合等奇数回合，且轮到主角行动时，主角随机对敌人发起3次攻击，每次攻击造成主角攻击力100%的真实伤害，并驱散一个有益状态,1
170112001,1,0,0,0,1,0,0,0,0,170112101,1,0,0,,,0,不灭之灵,1662.png,进入战斗时，立即使我方所有友军恢复主角当前生命值100%的血量，溢出治疗量的10%转化为护盾，护盾持续2回合,1
170113001,1,0,0,0,1,0,0,0,0,170113101,1,0,0,,,0,天命之躯,1663.png,进入战斗时，主角获得【主角光环】状态（无法驱散），持续到战斗结束。主角的攻击力、防御、物抗、魔抗、异常抵抗分别提升[友方全体女神（包含替补）对应属性]的5%,1
100201001,1,0,0,0,0,0,0,0,100,100201101,8,0,0,2001_act,,0,毒蛇钉刺,2001.png,对1名敌人造成160%物理伤害，50%概率使其中毒2回合，每回合减少生命值,0
100202001,1,0,0,0,0,0,0,0,200,100202101,10,0,0,attack_2_act,,0,多重射击,2002.png,随机进行攻击2次，每次造成150%的伤害，可作用于同一个敌人,0
100203001,1,0,0,0,0,0,0,0,250,100203101,15,0,0,2003_act,,0,爆炸射击,2003.png,对后排3名敌人造成140%的物理伤害，并使自身暴击率增加10%,0
100204001,1,0,0,0,0,0,0,0,150,100204101,20,0,0,2004_act,,0,沉默射击,2004.png,对1名敌人造成180%的物理伤害，50%的几率使其不能使用技能，持续2回合,0
100205001,1,0,0,0,0,0,0,0,200,100205101,25,0,0,2005_act,2005_att,0,死亡印记,2005.png,对当前血量百分比最少的1名敌人造成200%的物理伤害，并对其添加印记，使其成为优先攻击目标，持续3回合,0
100206001,1,0,0,0,0,0,0,0,200,100206101,30,0,0,2006_act,,0,隐形,2006.png,使自己进入隐形状态，只会受到范围攻击伤害，持续2回合,0
100207001,1,0,0,0,0,0,0,0,150,100207101,35,0,0,2007_act,,0,致盲射击,2007.png,对1名敌人造成150%物理伤害，并使其致盲，降低70%的命中3回合,0
100208001,1,0,0,0,0,0,0,0,200,100208101,40,0,0,2008_act,,0,杀戮命令,2008.png,提升自己的70%的伤害，持续2回合,0
100209001,1,0,0,0,0,0,0,0,150,100209101,45,0,1,2009_act,,0,噬血射击,2009.png,对1名敌人造成100%的魔法伤害，并回复等值的生命值,0
100210001,1,0,0,0,0,0,0,0,250,100210101,50,0,0,2010_act,2010_att,0,箭雨风暴,2010.png,对前排3名敌人造成150%的物理伤害，并有50%的几率驱散攻击目标1个增益状态,0
100301001,1,0,0,0,0,0,0,0,100,100301101,8,0,0,3001_act,3001_att,0,火焰冲击,3001.png,对1名敌人造成260%的魔法伤害,0
100302001,1,0,0,0,0,0,0,0,200,100302101,10,1,0,3002_act,,0.2,奥术飞弹,12102.png,随机进行3次攻击，每次造成110%的魔法伤害，可作用于同一个敌人,0
100303001,1,0,0,0,0,0,0,0,250,100303101,15,0,0,3003_act,3003_att,0,暴风雪,3003.png,对后排3名敌人造成130%的魔法伤害，50%降低其50%的攻击力2回合,0
100304001,1,0,0,0,0,0,0,0,150,100304101,20,0,0,3004_act,,0,寒冰箭,3004.png,对1名敌人造成200%的魔法伤害，并有50%的几率使其【冰冻】1回合，敌人将无法行动。,0
100305001,1,0,0,0,0,0,0,0,300,100305101,25,0,0,3005_act,3005_att2,0,灵魂虹吸,3005.png,对1名敌人造成190%的魔法伤害，并减少其最大魔法值12%的魔法值，回复自身12%的魔法值,0
100306001,1,0,0,0,0,0,0,0,200,100306101,30,0,0,3006_act,,0,冰甲术,3006.png,随机对2名队友施加冰甲状态，使其防御力增加20%，并且受到普通攻击时60%几率冻结攻击者1回合,0
100307001,1,0,0,0,0,0,0,0,200,100307101,35,0,0,3007_act,3007_att,0,炎爆术,3007.png,对1个敌人造成380%的魔法伤害,0
100308001,1,0,0,0,0,0,0,0,0,100308101,40,0,0,3008_act,3008_att,0,法术轮回,3008.png,再次使用上回合使用技能，魔法消耗增加500%,0
100309001,1,0,0,0,0,0,0,0,0,100309101,45,0,0,3009_act,,0,魔法护盾,3009.png,给自己施加魔法护盾，之后2回合用魔法值抵消伤害，1点魔法值抵消5点伤害,0
100310001,1,0,0,0,0,0,0,0,350,100310101,50,0,0,3010_act,3010_att,0,烈焰风暴,3010.png,对前排3名敌人造成190%的魔法伤害，20%的几率使其晕眩1回合,0
110001001,1,0,0,0,0,0,0,0,250,110001101,1,1,0,SFKW_act,SFKW_att,0,蛇发狂舞,10001.png,对后排3名敌人造成180%的物理伤害，并且额外附带20%无视任何防御的真实伤害。,0
110002001,1,0,0,0,0,0,0,0,150,110002101,1,1,0,attack_act,,0,石化凝视,10002.png,攻击力最高的1名敌人造成380%的物理伤害，并使其【晕眩】1回合,0
110101001,1,0,0,0,0,0,0,0,150,110101101,1,1,0,,,0,海市蜃楼,10101.png,对前排3名队友进行治疗，回复波塞冬攻击力100%的血量，并且解除全部不良状态,0
110102001,1,0,0,0,0,0,0,0,200,110102101,1,1,0,SYZZ_act,SYZZ_att,0,深渊诅咒,10102.png,对后排3名敌人造成220%的法术伤害，并使其进入【虚弱】状态，攻击降低30%，持续1回合,0
110201001,1,0,0,0,0,0,0,0,200,110201101,1,1,0,TZQS_act,TZQS_att,0.1,天之启示,10201.png,对后排3名敌人造成180%的物理伤害，若敌人处于不良状态，则伤害翻倍,0
110202001,1,0,0,0,0,0,0,0,150,110202101,1,1,0,attack_act,,0,神圣裁决,10202.png,对血量百分比最低的1名敌人造成400%的物理伤害，并且使自身进入【狂乱】状态，普通攻击必定暴击，且不受不良状态影响，持续3回合,0
110301001,1,0,0,0,0,0,0,0,200,110301101,1,1,0,JTHL_act	,JTHL_att,0,惊涛骇浪,10301.png,对3名敌人造成220%的法术伤害，并有80%的几率使其进入【中毒】状态，每回合损失敌人当前生命值3%的血量，持续4回合,0
110302001,1,0,0,0,0,0,0,0,300,110302101,1,1,0,attack_3_act,,0,水神怒吼,10302.png,对3名敌人造成180%的法术伤害，若目标处于【中毒】状态，则【眩晕】1回合,0
110401001,1,0,0,0,0,0,0,0,150,110401101,1,1,0,SWSG_act	,SWSG_att,0,死亡收割,10401.png,对2名敌人造成180%物理伤害，若目标血量低于50%，则必定暴击,0
110402001,1,0,0,0,0,0,0,0,200,110402101,1,1,0,attack_2_act,,0,生命治愈,10402.png,对随机2名敌人造成100%的物理伤害，对血量百分比最低的两名队员进行治疗，回复攻击力50%的血量,0
110501001,1,0,0,0,0,0,0,0,100,110501101,1,1,0,YD_act,YD_att,0,月读,10501.png,对1名敌人造成230%的物理伤害，并使敌人进入【燃烧】状态，每回合损失敌人当前生命值4%的血量，持续2回合,0
110502001,1,0,0,0,0,0,0,0,200,110502101,1,1,0,attack_2_act,,0,月神之箭,10502.png,随机进行2次攻击，每次攻击造成150%的物理伤害,0
110601001,1,0,0,0,0,0,0,0,100,110601101,1,1,0,GHZJ_act,GHZJ_att,0,光辉之剑,10601.png,对3名敌人造成120%的物理伤害，并额外增加自身最大HP的7%的伤害,0
110602001,1,0,0,0,0,0,0,0,120,110602101,1,1,0,attack_act,,0,破晓之盾,10602.png,对3名敌人造成140%的物理伤害，并额外增加自身已损失HP的20%的伤害,0
110701001,1,0,0,0,0,0,0,0,120,110701101,1,1,0,GDLL_act,,0,蛊毒流离,10701.png,对1名敌人造成160%的物理伤害，并使其【眩晕】1回合,0
110702001,1,0,0,0,0,0,0,0,150,110702101,1,1,0,attack_act,,0,百草毒咒,10702.png,对前排3名敌人造成150%的物理伤害，并使其进入【中毒】状态，每回合损失敌人当前生命值3%的血量，持续3回合,0
110801001,1,0,0,0,0,0,0,0,150,110801101,1,1,0,,,0,撼地冲击,10801.png,对1名敌人造成340%的物理伤害，并将伤害值的80%回复为自身的HP,0
110802001,1,0,0,0,0,0,0,0,100,110802101,1,1,0,,,0,地动山摇,10802.png,进入【挑衅】状态2回合，强迫敌人单体伤害攻击自己，且2回合内所受到的伤害减少65%,0
110901001,1,0,0,0,0,0,0,0,100,110901101,1,1,0,MMWX_act,MMWX_att,0,溟濛万象,10901.png,对前排3名敌人造成100%的法术伤害，并有使敌人进入【燃烧】状态，【燃烧】每回合造成自身攻击力80%的法术伤害，该伤害计算敌人防御力，持续2回合,0
110902001,1,0,0,0,0,0,0,0,120,110902101,1,1,0,attack_act,,0,永恒空虚,10902.png,对前排3名敌人造成120%的法术伤害，若敌人处于【燃烧】状态，则造成2倍的伤害,0
111001001,1,0,0,0,0,0,0,0,250,111001101,1,1,0,BTXD_act,BTXD_att,0,冰天雪地,11001.png,对4名敌人造成150%的法术伤害，40%的几率附加【冰冻】状态，敌人将无法行动，持续1回合,0
111002001,1,0,0,0,0,0,0,0,250,111002101,1,1,0,attack_3_act,,0,陨石天降,11002.png,对3名敌人造成230%的法术伤害，50%的几率去除敌人1个增益状态,0
111101001,1,0,0,0,0,0,0,0,350,111101101,1,1,0,SBDL_act,SBDL_att,0,山崩地裂,11101.png,对6名敌人造成150%的法术伤害，若出现暴击，则伤害加倍,0
111102001,1,0,0,0,0,0,0,0,300,111102101,1,1,0,GYDBM_act,GYDBM_att,0,盖亚的悲悯,11102.png,对3名攻击力最高的敌人分别造成480%，360%，240%的法术伤害，并吸收总伤害的10%回复自身血量,0
1111010011,1,0,0,0,0,0,0,0,350,1111011011,1,1,0,SBDL_act,SBDL_att,0,山崩地裂,11101.png,法术伤害系数增加30%,0
1111020011,1,0,0,0,0,0,0,0,300,1111021011,1,1,0,GYDBM_act,GYDBM_att,0,盖亚的悲悯,11102.png,法术伤害系数增加120%,0
111201001,1,0,0,0,0,0,0,0,200,111201101,1,1,0,ZEMH_act,ZEMH_att,0,灾厄魔盒,11201.png,对前排3名敌人造成225%的法术伤害，50%几率使敌人【虚弱】，降低敌人攻击力50%，持续2回合,0
111202001,1,0,0,0,0,0,0,0,250,111202101,1,1,0,attack_3_act,,0,恶毒祸水,11202.png,对前排3名敌人造成200%的法术伤害，若敌人处于有害状态，伤害翻倍,0
111301001,1,0,0,0,0,0,0,0,150,111301101,1,1,0,YYCF_act,,0,英勇冲锋,11301.png,对当前血量百分比最高的1名敌人造成了300%的物理伤害，若敌人当前HP在50%以上则必定暴击,0
111302001,1,0,0,0,0,0,0,0,150,111302101,1,1,0,attack_act,,0,必胜之刺,11302.png,对当前血量百分比最低的1名敌人造成了300%的物理伤害，若敌人当前HP在50%以下则必定暴击,0
111401001,1,0,0,0,0,0,0,0,150,111401101,1,1,0,QCPG_act,QCPG_att,0,青春苹果,11401.png,对3名攻击力最高的敌人造成225%的物理伤害，并【致盲】敌人，降低敌人80%命中值，持续3回合,0
111402001,1,0,0,0,0,0,0,0,150,111402101,1,1,0,attack_2_act,,0,光耀守护,11402.png,随机发出3支箭，每支箭对敌人造成160%物理伤害，若敌人处于有害状态，则必定暴击,0
111501001,1,0,0,0,0,0,0,0,350,111501101,1,1,0,SGZM_act,SGZM_att,0.1,神光之矛,11501.png,对6名敌人造成200%的物理伤害，并有25%几率【剥夺】敌人身上的1个有益状态，附加到自己身上,0
111502001,1,0,0,0,0,0,0,0,350,111502101,1,1,0,YYZC_act,,0,英勇之刺,11502.png,对血量最低的3名敌人造成280%的物理伤害，若攻击时敌人的当前血量低于敌人血量上限的30%，则造成600%的物理伤害,0
1115010011,1,0,0,0,0,0,0,0,350,1115011011,1,1,0,SGZM_act,SGZM_att,0.1,神光之矛,11501.png,物理伤害系数增加20%，【剥夺】几率增加10%,0
1115020011,1,0,0,0,0,0,0,0,350,1115021011,1,1,0,YYZC_act,,0,英勇之刺,11502.png,若攻击时敌人的当前血量低于敌人血量上限的30%，则额外造成280%的物理伤害,0
111601001,1,0,0,0,0,0,0,0,100,111601101,1,1,0,SJZY_act,SJZY_att,0,神将治愈,11601.png,对己方血量最低的3名队友回复自身攻击力100%的血量,0
111602001,1,0,0,0,0,0,0,0,100,111602101,1,1,0,,,0,六翼天使,11602.png,使己方3名队友进入【奋发】状态，使其防御力增加60%，攻击力增加18%，持续3回合,0
111701001,1,0,0,0,0,0,0,0,100,111701101,1,1,0,MNCZ_act,,0,蛮牛冲撞,11701.png,对1名敌人造成300%的物理伤害,0
111702001,1,0,0,0,0,0,0,0,120,111702101,1,1,0,attack_act,,0,公牛之角,11702.png,对3名敌人造成140%的物理伤害,0
111801001,1,0,0,0,0,0,0,0,300,111801101,1,1,0,WQZY_act,WQZY_att,0,无情正义,11801.png,对6名敌人造成150%的物理伤害，并使自己进入【残影】状态，增加30%的闪避值，持续3回合,0
111802001,1,0,0,0,0,0,0,0,350,111802101,1,1,0,attack_2_act,,0,神圣复仇,11802.png,对6名敌人造成150%的物理伤害，并吸收本次总伤害的8%回复给自己,0
111901001,1,0,0,0,0,0,0,0,100,111901101,1,1,0,TLSJ_act,,0,天籁射击,11901.png,对2名敌人造成180%的法术伤害,0
111902001,1,0,0,0,0,0,0,0,100,111902101,1,1,0,attack_2_act,,0,迷人之弦,11902.png,对1名敌人造成130%的法术伤害，并【封印】敌人，敌人不能释放技能，持续2回合,0
112001001,1,0,0,0,0,0,0,0,150,112001101,1,1,0,AYZJ_act,,0,奥义之箭,12001.png,对2名攻击力最高的敌人造成120%的物理伤害，并有70%几率使对方【眩晕】，持续1回合,0
112002001,1,0,0,0,0,0,0,0,200,112002101,1,1,0,attack_2_act,,0,毁灭射击,12002.png,对前排3名敌人造成150%的物理伤害，并有50%的几率使对方【流血】，【流血】期间无法回复生命值，持续2回合,0
112101001,1,0,0,0,0,0,0,0,120,112101101,1,1,0,MYZW_act,MYZW_att,0,命运之网,12101.png,对3名敌人造成120%的法术伤害，若敌人处于有益状态下则伤害加倍,0
112102001,1,0,0,0,0,0,0,0,120,112102101,1,1,0,attack_3_act,,0,操控现实,3002.png,对3名敌人造成120%的法术伤害，若敌人处于有害状态下则伤害加倍,0
112201001,1,0,0,0,0,0,0,0,150,112201101,1,1,0,MRJF_act,,0.3,迷人金发,12201.png,对1名敌人造成200%的物理伤害，并在攻击后进入【奋发】状态，增加自身防御力50%，增加攻击力25%，持续3回合,0
112202001,1,0,0,0,0,0,0,0,150,112202101,1,1,0,attack_act,,0,雷击之矛,12202.png,对血量百分比最高的两名敌人造成200%的物理伤害，并有60%几率使敌人进入【破甲】状态，敌人防御力降低60%，持续2回合,0
112301001,1,0,0,0,0,0,0,0,100,112301101,1,1,0,HAJL_act,,0,黑暗降临,12301.png,对1名敌人造成500%的物理伤害，使其【中毒】和【流血】，持续2回合，【中毒】每回合损失当前生命值3%的血量，【流血】期间无法回复生命值,0
112302001,1,0,0,0,0,0,0,0,200,112302101,1,1,0,attack_act,,0,诱惑之箭,12302.png,对后排3名敌人造成230%的物理伤害，并在攻击后进入【挑衅】状态，且防御力提高200%，持续2回合,0
112401001,1,0,0,0,0,0,0,0,300,112401101,1,1,0,WHYJ_act,WHYJ_att,0,娲皇一击,12401.png,对6名敌人造成185%的法术伤害，当敌人血量低于敌人最大血量的50%时，所造成伤害增加100%,0
112402001,1,0,0,0,0,0,0,0,150,112402101,1,1,0,WCBT_act,WCBT_att,0,五彩补天,12402.png,对己方6名队友回复自身攻击力80%的血量，当队友血量低于队友自身最大血量的50%时，治疗量翻倍,0
1124010011,1,0,0,0,0,0,0,0,300,1124011011,1,1,0,WHYJ_act,WHYJ_att,0,娲皇一击,12401.png,法术伤害系数增加30%,0
1124020011,1,0,0,0,0,0,0,0,150,1124021011,1,1,0,WCBT_act,WCBT_att,0,五彩补天,12402.png,回复血量系数增加40%,0
112501001,1,0,0,0,0,0,0,0,250,112501101,1,1,0,TJBG_act,TJBG_att,0,太极八卦,12501.png,对4名敌人造成180%的法术伤害，50%的几率使其【眩晕】，持续1回合,0
112502001,1,0,0,0,0,0,0,0,200,112502101,1,1,0,attack_3_act,,0,天人合一,12502.png,对4名敌人造成200%的法术伤害，并恢复自身攻击力70%的生命值,0
112601001,1,0,0,0,0,0,0,0,150,112601101,1,1,0,MYTX_act,,0,母仪天下,12601.png,对1名敌人造成340%的物理伤害，并随机附加【中毒】/【冰冻】/【燃烧】状态，中毒每回合损失敌人当前生命值3%的血量，燃烧每回合损失敌人当前生命值4%的血量，持续2回合,0
112602001,1,0,0,0,0,0,0,0,200,112602101,1,1,0,attack_2_act,,0,星河箭雨,12602.png,对2名敌人造成160%的物理伤害，若目标处于不良状态，则【眩晕】1回合,0
112701001,1,0,0,0,0,0,0,0,300,112701101,1,1,0,HQSJ_act,,0.3,黄泉射击,12701.png,随机放出6发致盲箭，分别造成80%的物理伤害，50%几率附加【致盲】状态，命中值降低60%，持续2回合,0
112702001,1,0,0,0,0,0,0,0,350,112702101,1,1,0,attack_2_act,,0,阴间之药,12702.png,对6名敌人造成120%-300%物理伤害，队伍中友方每死亡1人，伤害倍率提高60%，最高造成300%物理伤害,0
112801001,1,0,0,0,0,0,0,0,150,112801101,1,1,0,LYMS_act,,0.5,烈焰灭世,13901.png,随机进行3次攻击，每次造成150%的法术伤害,0
112802001,1,0,0,0,0,0,0,0,200,112802101,1,1,0,attack_3_act,,0,飞火流星,13902.png,对前排3名敌人造成180%的法术伤害，有80%的几率使其【中毒】3回合，每回合损失敌人当前生命值3%的血量,0
112901001,1,0,0,0,0,0,0,0,100,112901101,1,1,0,SZGM_act,SZGM_att,0,神之光明,12901.png,对前排3名敌人造成140%的物理伤害,0
112902001,1,0,0,0,0,0,0,0,150,112902101,1,1,0,attack_2_act,,0,地狱之火,12902.png,对1名敌人造成200%的物理伤害，如果暴击则继续攻击，最多造成3次伤害,0
113001001,1,0,0,0,0,0,0,0,350,113001101,1,1,0,YYJL_act,,0,永夜降临,13001.png,对6名敌人造成180%-270%的物理伤害，自身血量每损失1%，伤害倍率增加2%，最高增加至270%，此次攻击每击杀1名敌人，则回复自身25%的血量,0
113002001,1,0,0,0,0,0,0,0,250,113002101,1,1,0,MDZY_act,MDZY_att,0,冥帝咒怨,13002.png,对前排3名敌人造成260%的物理伤害，自身进入【援护】状态，受到伤害降低55%，并获得60%的反伤，持续2回合,0
1130010011,1,0,0,0,0,0,0,0,350,1130011011,1,1,0,YYJL_act,,0,永夜降临,13001.png,自身血量每损失1%，伤害倍率增加3%,0
1130020011,1,0,0,0,0,0,0,0,250,1130021011,1,1,0,MDZY_act,MDZY_att,0,冥帝咒怨,13002.png,物理伤害系数增加70%,0
113101001,1,0,0,0,0,0,0,0,350,113101101,1,1,0,YCZX_act,YCZX_att,0,玉串振响,13101.png,对6名敌人造成130%的物理伤害，50%几率使敌人【眩晕】，持续1回合,0
113102001,1,0,0,0,0,0,0,0,300,113102101,1,1,0,BZJ_act,BZJ_att,0,八咫镜,13102.png,对6名敌人造成200%的物理伤害，并附加【燃烧】状态，每回合损失敌人当前生命值4%的血量，持续3回合,0
1131010011,1,0,0,0,0,0,0,0,350,1131011011,1,1,0,YCZX_act,YCZX_att,0,玉串振响,13101.png,物理伤害系数增加15%，被【眩晕】命中的敌人防御力降低40%，持续1回合,0
1131020011,1,0,0,0,0,0,0,0,300,1131021011,1,1,0,BZJ_act,BZJ_att,0,八咫镜,13102.png,【燃烧】状态每回合损失敌人最大生命值4%的血量，持续4回合,0
