bid,buff_anim,buff_trigger_anim,name,icon,info,stack_count_max
100204211,,,封印,FengYin,2回合内无法使用技能,0
100205211,2005_buff,,印记,YinJi,3回合内射手优先攻击目标,0
100206111,,,隐身,YingShen,2回合内只会受到范围攻击伤害,0
100207211,,,致盲,ZhiMang,3回合内降低70%命中,0
100208111,,,杀戮命令,KuangLuan,2回合内提升自身伤害70%,0
100303211,,,暴风雪,XuRuo,2回合内降低伤害50%,0
100304211,,,冰冻,BingDong,1回合冰冻，无法行动,0
100306111,,,冰甲-极寒守护,BingJia,2回合物抗增加100%，反伤增加30%，受到普通攻击时50%几率冻结攻击者2回合,0
100306221,,,冰冻,BingDong,2回合冰冻，无法行动,0
125402111,,,冰甲-冰钻坚甲,BingJia,2回合物抗增加100%，反伤增加40%，受到普通攻击时55%几率冻结攻击者2回合,0
135402111,,,冰甲-极寒守护,BingJia,3回合物抗增加100%，反伤增加30%，受到普通攻击时50%几率冻结攻击者2回合,0
145402111,,,冰甲-冰钻坚甲,BingJia,3回合物抗增加100%，反伤增加40%，受到普通攻击时55%几率冻结攻击者2回合,0
100309111,,,魔法护盾,,2回合内用魔法值抵消伤害，1点魔法值抵消5点伤害,0
100310211,,,晕眩,YunXuan,1回合无法行动,0
100111211,1002_buff,,晕眩-雷霆一击,YunXuan,1回合无法行动,0
110002211,,,晕眩-石化凝视,YunXuan,1回合无法行动,0
110102211,,,虚弱-深渊诅咒,XuRuo,1回合攻击力降低30%,0
110202211,,,狂乱-神圣裁决,KuangLuan,3回合普通攻击必定暴击，免疫不良状态,0
110301211,,,中毒-惊涛骇浪,ZhongDu,4回合每回合损失3%的当前生命值,0
110501211,,,燃烧-月读,RanShao,2回合每回合损失4%的当前生命值,0
110701211,,,晕眩-蛊毒流离,YunXuan,1回合无法行动,0
110702211,,,中毒-百草毒咒,ZhongDu,3回合每回合损失3%的当前生命值,0
110802111,,,挑衅-地动山摇,TiaoXin,2回合挑衅，受到伤害减少65%,0
110901211,,,燃烧-溟濛万象,RanShao,2回合每回合受到攻击力80%的法术伤害,0
111001211,,,冰冻,BingDong,1回合冰冻，无法行动,0
111101111,,,山崩地裂,,1回合内暴击伤害增加180%,0
111201211,,,虚弱-灾厄魔盒,XuRuo,2回合攻击力降低50%,0
111401211,,,致盲-青春苹果,ZhiMang,3回合命中值降低80%,0
111602111,,,奋发-六翼天使,FenFa,3回合防御力增加60%，攻击力增加18%,0
111801211,,,残影-无情正义,CanYing,3回合闪避值增加30%,0
111902211,,,封印-迷人之弦,FengYin,2回合无法释放技能,0
112001211,,,晕眩-奥义之箭,YunXuan,1回合无法行动,0
112002211,,,流血-毁灭射击,LiuXue,2回合无法回复生命值,0
112201211,,,奋发-迷人金发,FenFa,3回合防御力增加50%，攻击力增加25%,0
112202211,,,破甲-雷击之矛,PoJia,2回合防御力降低60%,0
112301211,,,中毒-黑暗降临,ZhongDu,2回合每回合损失3%的当前生命值,0
112301311,,,流血-黑暗降临,LiuXue,2回合无法回复生命值,0
112302211,,,挑衅-魅惑之箭,TiaoXin,2回合挑衅，防御力提高200%,0
112501211,,,晕眩-太极八卦,YunXuan,1回合无法行动,0
112701211,,,致盲-黄泉射击,ZhiMang,2回合命中值降低60%,0
112802211,,,中毒-飞火流星,ZhongDu,3回合每回合损失3%的当前生命值,0
113002211,,,援护-冥帝咒怨,YuanHu,2回合受到伤害减少55%，反伤增加60%,0
112601211,,,中毒-母仪天下,ZhongDu,2回合每回合损失3%的当前生命值,0
112601311,,,冰冻-母仪天下,BingDong,2回合冰冻，无法行动,0
112601411,,,燃烧-母仪天下,RanShao,2回合每回合损失4%的当前生命值,0
112602211,,,晕眩-星河箭雨,YunXuan,1回合无法行动,0
110302211,,,晕眩-水神怒吼,YunXuan,1回合无法行动,0
113101211,,,晕眩-玉串振响,YunXuan,1回合无法行动,0
113102211,,,燃烧-八咫镜,RanShao,3回合每回合损失4%的当前生命值,0
1131012111,,,晕眩-玉串振响,YunXuan,1回合无法行动，防御降低40%,0
1131022111,,,燃烧-八咫镜,RanShao,4回合每回合损失4%的最大生命值,0
113201211,,,封印-耀光天降,FengYin,1回合无法释放技能,0
113301211,,,流血-地狱之手,LiuXue,2回合无法回复生命值,0
113401211,,,永恒之枪,,1回合内暴击伤害增加180%,0
113501211,,,专注-幻影箭雨,ZhuanZhu,2回合暴击伤害增加40%,0
113502211,,,印记-光芒标记,YinJi,2回合射手优先攻击目标,0
113601911,,,狂乱-拉神之眼,KuangLuan,2回合普通攻击必定暴击，免疫不良状态,0
113602211,,,燃烧-太阳风暴,RanShao,3回合每回合损失4%的当前生命值,0
123601911,,,狂乱-恒星凝视,KuangLuan,2回合普通攻击必定暴击，免疫不良状态,0
123602211,,,燃烧-宇宙风暴,RanShao,3回合每回合损失6%的当前生命值,0
133602111,,,燃烧-太阳风暴,RanShao,3回合每回合损失4%的最大生命值,0
143602311,,,燃烧-宇宙风暴,RanShao,3回合每回合损失6%的最大生命值,0
153601111,,,炽阳化身,,提升速度（临时buff图标）,0
153601211,,,炽阳化身,,伤害增加（临时buff图标）,0
113701111,,,破甲-破魔之箭,PoJia,3回合防御力降低60%,0
113702111,,,奋发-神乐舞,FenFa,3回合攻击力增加40%，防御力增加50%,0
113801211,,,鼓舞-战争之歌,GuWu,3回合防御力增加赫拉防御力的100%，攻击力增加赫拉攻击力的60%,0
123801211,,,鼓舞-英雄战歌,GuWu,3回合防御力增加赫拉防御力的100%，攻击力增加赫拉攻击力的70%，物抗、魔抗增加赫拉物抗、魔抗的30%,0
123802311,,,照耀-至高荣耀,ZhaoYao,1回合治疗量增加20%,0
133801211,,,鼓舞-战争之歌,GuWu,3回合防御力增加赫拉防御力的100%，攻击力增加赫拉攻击力的60%，暴伤、韧性增加赫拉暴伤、韧性的10%,0
143801211,,,鼓舞-英雄战歌,GuWu,3回合防御力增加赫拉防御力的100%，攻击力增加赫拉攻击力的70%，物抗、魔抗增加赫拉物抗、魔抗的30%，暴伤、韧性增加赫拉暴伤、韧性的10%,0
153801111,,,净魂之风,,增加10%攻击力和防御，并且每次行动时，随机选择一名我方女神驱散所有负面状态。,0
113901311,,,燃烧-火神灭世,RanShao,2回合每回合损失4%的当前生命值,0
114001111,,,援护-全副武装,YuanHu,2回合受到伤害减少50%，反伤增加20%,0
114001211,,,援护-全副武装,YuanHu,2回合受到伤害减少50%，反伤增加20%,0
114002311,,,流血-混沌之锤,LiuXue,3回合无法回复生命值,0
114101211,,,虚弱-冰封雪飘,XuRuo,2回合攻击力降低30%,0
114102211,,,冰冻-惊喜之箭,BingDong,1回合冰冻，无法行动,0
124101211,,,虚弱-冰封领域,XuRuo,2回合攻击力降低50%,0
124102211,,,冰冻-惊喜灵矢,BingDong,1回合冰冻，无法行动,0
114501111,,,击破-无限月读,JiPo,3回合物抗、魔抗降低80%,0
114502211,,,流血-黄泉轮回,LiuXue,3回合无法回复生命值,0
114601211,,,守护-爱心守护,ShouHu,2回合受到伤害减少30%，异常抵抗增加30%,0
114602211,,,虚弱-爱心之箭,XuRuo,2回合攻击力降低60%,0
114701211,,,流血-黄泉之手,LiuXue,2回合无法回复生命值,0
114801211,,,燃烧-圣光之翼,RanShao,2回合每回合损失4%的当前生命值,0
114802211,,,击破-光之锁链,JiPo,2回合物抗、魔抗降低50%,0
1348011011,,,临时暴击值,,临时暴击值,0
154801111,,,临时增伤,,,0
154802111,,,护盾-曙光之羽,,最大生命值10%的不可驱散护盾,0
114901211,,,晕眩-秩序掌控,YunXuan,1回合无法行动,0
115001211,,,挑衅-勇气号角,TiaoXin,2回合挑衅，受到伤害减少50%，反伤增加70%,0
125001211,,,挑衅-守护号角,TiaoXin,2回合挑衅，受到伤害减少60%，反伤增加80%,0
125001311,,,链接-守护号角,LianJie,2回合链接，分摊伤害方,0
125001411,,,链接-守护号角,LianJie,2回合链接，承担伤害方,0
125002111,,,100%暴击BUFF,,100%暴击BUFF,0
125002211,,,流血-裁决之刃,LiuXue,2回合无法回复生命值,0
135001211,,,挑衅-勇气号角,TiaoXin,2回合挑衅，受到伤害减少50%，反伤增加90%,0
135001311,,,链接-勇气号角,LianJie,2回合链接，分摊伤害方,0
135001411,,,链接-勇气号角,LianJie,2回合链接，承担伤害方,0
145001211,,,挑衅-守护号角,TiaoXin,2回合挑衅，受到伤害减少60%，反伤增加100%,0
145001311,,,链接-守护号角,LianJie,2回合链接，分摊伤害方,0
145001411,,,链接-守护号角,LianJie,2回合链接，承担伤害方,0
155001111,,,彩虹圣域,,增加海姆达尔生命值2%的物抗,0
155001211,,,彩虹圣域,,增加海姆达尔生命值1%的防御力,0
155001311,,,彩虹圣域,,增加海姆达尔生命值1%的魔抗,0
155002111,,,链接-彩虹圣域,,2回合链接，分摊伤害方,0
155002211,,,链接-彩虹圣域,,2回合链接，承担伤害方,0
115102211,,,粉碎-光之制裁,FenSui,3回合防御力、物抗、魔抗降低50%,0
115201211,,,魂体-魂天斩-斩击1,HunTi,2回合攻击力增加30%，吸血增加10%,0
115201411,,,魂体-魂天斩-斩击2,HunTi,2回合攻击力增加30%，吸血增加10%,0
115201611,,,魂体-魂天斩-斩击3,HunTi,2回合攻击力增加30%，吸血增加10%,0
125201211,,,魂体-极天斩-斩击1,HunTi,2回合攻击力增加30%，吸血增加10%,0
125201411,,,魂体-极天斩-斩击2,HunTi,2回合攻击力增加30%，吸血增加10%,0
125201611,,,魂体-极天斩-斩击3,HunTi,2回合攻击力增加30%，吸血增加10%,0
115202111,,,流血-神秘斩,LiuXue,1回合无法回复生命值,0
125202111,,,流血-极秘斩,LiuXue,1回合无法回复生命值,0
1252022011,,,狂乱-极秘斩,KuangLuan,2回合普通攻击必定暴击，免疫不良状态,0
115301111,,,祝福-情意绵绵,YuanFen_JS,2回合速度增加50,0
115301311,,,祝福-情意绵绵,YuanFen_BJ,2回合暴击值增加50%,0
115301511,,,祝福-情意绵绵,YuanFen_BJSH,2回合暴击伤害增加50%,0
115301711,,,祝福-情意绵绵,YuanFen_YCDK,2回合异常抵抗增加20%,0
115301911,,,祝福-情意绵绵,YuanFen_EWSHJM,2回合额外伤害减免增加20%,0
115302211,,,击破-晕头转向,YuanFen_JP,2回合物抗、魔抗降低50%,0
115302411,,,中毒-晕头转向,YuanFen_ZD,2回合每回合损失3%的当前生命值,0
115302611,,,燃烧-晕头转向,YuanFen_RS,2回合每回合损失4%的当前生命值,0
115302811,,,流血-晕头转向,YuanFen_LX,2回合无法回复生命值,0
1153021011,,,虚弱-晕头转向,YuanFen_XR,2回合攻击力降低60%,0
125301111,,,祝福-情深意长,YuanFen_JS,3回合速度增加50,0
125301411,,,祝福-情深意长,YuanFen_BJ,3回合暴击值增加50%,0
125301711,,,祝福-情深意长,YuanFen_BJSH,3回合暴击伤害增加50%,0
1253011011,,,祝福-情深意长,YuanFen_YCDK,3回合异常抵抗增加20%,0
1253011311,,,祝福-情深意长,YuanFen_EWSHJM,3回合额外伤害减免增加20%,0
125301311,,,护盾-情深意长,,1回合增加最大攻击15%的不可驱散护盾,0
125301611,,,护盾-情深意长,,1回合增加最大攻击15%的不可驱散护盾,0
125301911,,,护盾-情深意长,,1回合增加最大攻击15%的不可驱散护盾,0
1253011211,,,护盾-情深意长,,1回合增加最大攻击15%的不可驱散护盾,0
1253011511,,,护盾-情深意长,,1回合增加最大攻击15%的不可驱散护盾,0
1153012013,,,护盾-情深意长+,,1回合增加最大攻击10%的不可驱散护盾,0
1153014013,,,护盾-情深意长+,,1回合增加最大攻击10%的不可驱散护盾,0
1153016013,,,护盾-情深意长+,,1回合增加最大攻击10%的不可驱散护盾,0
1153018013,,,护盾-情深意长+,,1回合增加最大攻击10%的不可驱散护盾,0
1153110013,,,护盾-情深意长+,,1回合增加最大攻击10%的不可驱散护盾,0
125302211,,,击破-爱情漩涡,YuanFen_JP,2回合物抗、魔抗降低50%,0
125302411,,,中毒-爱情漩涡,YuanFen_ZD,2回合每回合损失3%的当前生命值,0
125302611,,,燃烧-爱情漩涡,YuanFen_RS,2回合每回合损失4%的当前生命值,0
125302811,,,流血-爱情漩涡,YuanFen_LX,2回合无法回复生命值,0
1253021011,,,虚弱-爱情漩涡,YuanFen_XR,2回合攻击力降低60%,0
135301111,,,护盾-情深意长,,1回合增加最大攻击15%的不可驱散护盾,0
155201111,,,招架-神风之刃,ZhaoJia,降低一次高额伤害,0
155201211,,,招架-神风之刃,ZhaoJia,降低一次高额伤害,0
155201311,,,必暴-神风之刃,,,0
115501211,,,燃烧-痛苦龙息,RanShao,4回合每回合损失6%的当前生命值,0
115601211,,,破甲-风暴龙息,PoJia,4回合防御力降低80%,0
115602111,,,雷暴-龙血沸腾,LeiBao,2回合攻击力增加300%，普通攻击必定暴击，免疫不良状态,0
135602111,,,雷暴-龙血沸腾,LeiBao,2回合攻击力增加350%，普通攻击必定暴击，免疫不良状态,0
115002111,,,100%暴击BUFF,,100%暴击BUFF,0
115801211,,,破甲-带头冲锋,PoJia,2回合防御力降低50%,0
115801311,,,奋发-带头冲锋,FenFa,2回合攻击力增加25%,0
115802311,,,强壮-喝杯牛奶,QiangZhuang,3回合防御力、物抗、魔抗增加30%,0
115702211,,,流血-猫爪旋风,LiuXue,2回合无法回复生命值,0
124601211,,,守护-心有灵犀,ShouHu,2回合受到伤害减少30%，异常抵抗增加40%,0
124601311,,,护盾-心有灵犀,,1回合增加最大攻击50%的不可驱散护盾,0
134601311,,,护盾-心有灵犀,,1回合增加最大攻击100%的不可驱散护盾,0
124602211,,,虚弱-爱神双箭,XuRuo,2回合攻击力降低60%,0
124602311,,,祝福-爱神双箭,ZhuFu,2回合攻击力增加25%,0
154601111,,,爱神庇佑,,自身异常抵抗增加100%,0
154602111,,,坚定-爱神庇佑,JianDing,每层提升5%异常抵抗,999
124901211,,,易碎-原初秩序,YiDong,2回合异常抵抗减少20%（绝对值）,0
134901211,,,易碎-原初秩序,YiDong,2回合异常抵抗减少10%（绝对值）,0
144901211,,,易碎-原初秩序,YiDong,2回合异常抵抗减少30%（绝对值）,0
154901111,,,混沌-混沌侵袭,HunDun,无视20%异常抵抗（无法驱散）,0
125201231,,,魂体-极天斩-斩击1,HunTi_BJ,2回合暴击值增加10%,0
125201431,,,魂体-极天斩-斩击2,HunTi_BJ,2回合暴击值增加10%,0
125201631,,,魂体-极天斩-斩击3,HunTi_BJ,2回合暴击值增加10%,0
116001311,,,冻伤-极寒水泡,DongShang,2回合速度减少30,0
116001411,,,流血-极寒水泡,LiuXue,2回合无法回复生命值,0
116002211,,,护盾-泡泡治愈,,1回合增加最大攻击50%的不可驱散护盾,0
116002411,,,护盾-泡泡治愈,,1回合增加最大攻击50%的不可驱散护盾,0
116002611,,,护盾-泡泡治愈,,1回合增加最大攻击50%的不可驱散护盾,0
116101311,,,护盾-势如破竹,,1回合增加最大攻击50%的不可驱散护盾,0
116101211,,,粉碎-势如破竹,FenSui,3回合防御力、物抗、魔抗降低60%,0
124801211,,,初神-新生飞羽,ChuShen,2回合攻击力增加50%，暴击伤害增加50%,0
124801311,,,燃烧-新生飞羽,RanShao,2回合每回合损失4%的当前生命值,0
124802211,,,击破-锁心光链,JiPo,2回合物抗、魔抗降低50%,0
116201111,,,护盾-莲花守护,,1回合增加当前生命50%的不可驱散护盾,0
116201211,,,虚弱-莲花守护,XuRuo,1回合攻击力降低沈青儿攻击力的50%,0
116202111,,,祝福-细水长流,ZhuFu,无限回合攻击力增加20%，暴击伤害增加15%，防御力增加10%,5
126201111,,,护盾-绝对防御,,2回合增加当前生命值60%的不可驱散护盾,0
126201311,,,虚弱-绝对防御,XuRuo,1回合攻击力降低沈青儿攻击力的60%,0
126202111,,,祝福-绵延不绝,ZhuFu,无限回合攻击力增加25%，暴击伤害增加20%，防御力增加15%,5
136201311,,,护盾-莲花守护,,1回合增加当前生命10%的不可驱散护盾,0
136202111,,,祝福-细水长流,ZhuFu,无限回合攻击力增加25%，暴击伤害增加20%，防御力增加15%,5
146201211,,,护盾-绝对防御,,2回合增加当前生命值10%的不可驱散护盾,0
146202111,,,祝福-绵延不绝,ZhuFu,无限回合攻击力增加30%，暴击伤害增加30%，防御力增加30%,5
156201111,,,驱散-莲华天幕,,,0
156201211,,,莲华-莲华天幕,LianHua,受到暴击时的伤害额外降低10%,0
156201311,,,莲华-莲华天幕,LianHua,受到暴击时的伤害额外降低10%,0
156201411,,,莲华-莲华天幕,LianHua,受到暴击时的伤害额外降低10%,0
156201511,,,护盾-莲华天幕,,,0
125401411,,,冻伤-雪虐风饕,DongShang,3回合速度减少100，每回合损失5%的最大生命值,0
125401511,,,冻伤-雪虐风饕,,,0
125402211,,,冬眠-冰钻坚甲,DongMian,2回合无法行动，每回合回复20%自身最大生命值，获得90%伤害减免,0
125402221,,,冬眠-冰钻坚甲,,,0
125402231,,,冬眠-冰钻坚甲,,,0
155401111,,,减速-深渊冰狱,,速度降低50点,0
155402201,,,寒冰守护-深渊冰狱,,每次受到伤害时使敌人伤害降低3%,0
155402211,,,伤害降低-深渊冰狱,ShenYuan,伤害降低,10
100000111,,,强毒1,ZhongDu,施加【中毒】持续至战斗结束，每回合损失最大生命值5%生命值，【中毒】可叠加，最多5层。,5
100000112,,,强毒2,ZhongDu,施加【中毒】持续至战斗结束，每回合损失最大生命值5%生命值，【中毒】可叠加不可驱散，最多5层。,5
100000113,,,强毒3,ZhongDu,施加【中毒】持续至战斗结束，每回合损失最大生命值6%生命值，【中毒】可叠加，最多5层。,5
100000114,,,强毒4,ZhongDu,施加【中毒】持续至战斗结束，每回合损失最大生命值6%生命值，【中毒】可叠加不可驱散，最多5层。,5
100000115,,,叠甲叠伤1,KuangLuan,【祝福】自己，增加40%的伤害、防御力，持续3回合，祝福持续无限回合，最多可叠加5层。,5
100000116,,,叠甲叠伤2,KuangLuan,【祝福】自己，增加40%的伤害、防御力，持续3回合，祝福持续无限回合，最多可叠加5层。（不可驱散）,5
125502711,,,怒焰-怒火灼烧,NuYan,1回合火焰标记，每层怒焰标记会增加透体灼弹50%的伤害,6
125501211,,,燃烧-毒燎焚天,RanShao,4回合每回合损失8%的当前生命值,0
125501311,,,火盾-毒燎焚天,HuoDun,2回合魔抗增加100%，受到伤害反弹给敌人【灼烧】效果,0
125501411,,,灼烧-毒燎焚天,ZhuoShao,2回合将受到灰烬龙女（20%*层数）真实伤害,3
155501111,,,标记-灭世新星,BiaoJi,优先被攻击,0
155501211,,,胆怯-灭世新星,,攻击力降低50%,0
155502111,,,业火-灭世新星,YeHuo,每回合损失8%的最大生命值,0
125601211,,,破甲-疾风雷暴,PoJia,4回合防御力降低80%,0
125602111,,,雷暴-风雷涌动,LeiBao,2回合攻击力增加350%，普通攻击必定暴击，免疫不良状态,0
145602111,,,雷暴-风雷涌动,LeiBao,2回合攻击力增加400%，普通攻击必定暴击，免疫不良状态,0
125602211,,,电-风雷涌动,Dian,3回合【电】效果，受到普攻后，将触发雷暴受到风暴之龙10%的物理伤害,0
125601411,,,庇护-疾风雷暴,BiHu,1回合韧性提升50%,0
155601111,,,风怒-飓风闪影,,每次普攻攻击2次,0
155602111,,,雷暴-飓风闪影,LeiBao,1回合攻击力增加100%，免疫不良状态,0
155901111,,,法连-星影回音,,,0
155902111,,,破甲-星影回音,PoJia,1回合防御力降低芙蕾雅防御力的80%,0
155902211,,,破甲-星影回音,PoJia,1回合韧性降低芙蕾雅韧性的20%,0
116402511,,,虚弱-阴阳,XuRuo,1回合，降低双子座攻击力100%的攻击力,0
156401111,,,耀光-超凡双星,YaoGuang,暴击值、暴击伤害增加30%,0
156403111,,,暗影-超凡双星,AnYing,提升50%异常抵抗，30%伤害减免,0
156403211,,,转护盾-超凡双星,,,0
156403311,,,护盾-超凡双星,,,999
116601111,,,月光-广寒孤月,YueGuang,无限回合，广寒孤月所提供的【月光】标记,12
126601111,,,月光-明月共赏,YueGuang,无限回合，明月共赏所提供的【月光】标记,18
126601411,,,月神-明月共赏,YueShen,无限回合，攻击力、暴击值增加5%,6
116701111,,,修罗-修罗场,XiuLuoChang_Y,1回合，获得阿修罗10%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116701121,,,修罗-修罗场,,1回合，获得阿修罗10%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116701131,,,修罗-修罗场,,1回合，获得阿修罗10%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116701141,,,修罗-修罗场,,1回合，获得阿修罗10%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116701151,,,修罗-修罗场,,1回合，获得阿修罗10%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116701161,,,修罗-修罗场,,1回合，获得阿修罗10%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116701171,,,修罗-修罗场,,1回合，获得阿修罗10%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116701211,,,修罗-修罗场,XiuLuoChang_D,1回合，获得阿修罗10%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116701221,,,修罗-修罗场,,1回合，获得阿修罗10%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116701231,,,修罗-修罗场,,1回合，获得阿修罗10%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116701241,,,修罗-修罗场,,1回合，获得阿修罗10%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116701251,,,修罗-修罗场,,1回合，获得阿修罗10%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116701261,,,修罗-修罗场,,1回合，获得阿修罗10%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116701271,,,修罗-修罗场,,1回合，获得阿修罗10%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701111,,,修罗-修罗王界,XiuLuoChang_Y,2回合，获得阿修罗12%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701121,,,修罗-修罗王界,,2回合，获得阿修罗12%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701131,,,修罗-修罗王界,,2回合，获得阿修罗12%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701141,,,修罗-修罗王界,,2回合，获得阿修罗12%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701151,,,修罗-修罗王界,,2回合，获得阿修罗12%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701161,,,修罗-修罗王界,,2回合，获得阿修罗12%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701171,,,修罗-修罗王界,,2回合，获得阿修罗12%的属性增益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701211,,,修罗-修罗王界,XiuLuoChang_D,2回合，获得阿修罗12%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701221,,,修罗-修罗王界,,2回合，获得阿修罗12%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701231,,,修罗-修罗王界,,2回合，获得阿修罗12%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701241,,,修罗-修罗王界,,2回合，获得阿修罗12%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701251,,,修罗-修罗王界,,2回合，获得阿修罗12%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701261,,,修罗-修罗王界,,2回合，获得阿修罗12%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
126701271,,,修罗-修罗王界,,2回合，获得阿修罗12%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
136701211,,,修罗-修罗场,XiuLuoChang_D,1回合，获得阿修罗13%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
146701211,,,修罗-修罗王界,XiuLuoChang_D,2回合，获得阿修罗15%的属性减益（暴击值、暴击伤害、韧性、物抗、法抗）,0
116801211,,,战神-纯洁圣体,ZhanShen,2回合，免疫异常效果,0
116801411,,,战神EX-纯洁圣体,ZhanShenEX,无限回合，伤害增加20%,999
126801211,,,战神-纯灵神体,ZhanShen,2回合，免疫异常效果,0
126801411,,,战神EX-纯灵神体,ZhanShenEX,无限回合，伤害增加20%,999
136801411,,,战神EX-纯洁圣体,ZhanShenEX,无限回合，伤害增加30%,999
146801411,,,战神EX-纯灵神体,ZhanShenEX,无限回合，伤害增加30%,999
117001211,,,破甲-烈虎崩山击,PoJia,2回合防御力降低50%,0
117001311,,,晕眩-烈虎崩山击,YunXuan,1回合无法行动,0
117002111,,,奋发-如虎添翼,FenFa,3回合攻击力、暴击、暴击伤害增加25%,0
117101111,,,激昂-魂火献祭,JiAng,3回合伤害、治疗效果、物抗、魔抗增加30%,0
