id,hero_cid,divine_rank,fight_attr_base,fight_attr_pvp,ir_debris_count,coin
203702,2037,2,2:1:3:80,1:2:67:2|1:2:68:2|1:2:36:200|1:2:21:200|1:2:39:200|1:3:7:200|1:2:37:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:12:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
203703,2037,3,2:1:3:120,1:2:67:3|1:2:68:3|1:2:36:300|1:2:21:300|1:2:39:300|1:3:7:300|1:2:37:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:12:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
203901,2039,1,2:1:3:40,1:2:67:1|1:2:68:1|1:2:39:100|1:2:25:100|1:2:36:100|1:3:15:50|1:2:29:100|1:3:13:100|1:3:14:100|1:2:44:100|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
203902,2039,2,2:1:3:80,1:2:67:2|1:2:68:2|1:2:39:200|1:2:25:200|1:2:36:200|1:3:15:100|1:2:29:200|1:3:13:200|1:3:14:200|1:2:44:200|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
203903,2039,3,2:1:3:120,1:2:67:3|1:2:68:3|1:2:39:300|1:2:25:300|1:2:36:300|1:3:15:150|1:2:29:300|1:3:13:300|1:3:14:300|1:2:44:300|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
204701,2047,1,2:1:2:40,1:2:67:1|1:2:68:1|1:2:37:100|1:2:26:100|1:2:38:100|1:3:5:100|1:2:29:100|1:3:13:100|1:3:14:100|1:2:44:100|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
204702,2047,2,2:1:2:80,1:2:67:2|1:2:68:2|1:2:37:200|1:2:26:200|1:2:38:200|1:3:5:200|1:2:29:200|1:3:13:200|1:3:14:200|1:2:44:200|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
204703,2047,3,2:1:2:120,1:2:67:3|1:2:68:3|1:2:37:300|1:2:26:300|1:2:38:300|1:3:5:300|1:2:29:300|1:3:13:300|1:3:14:300|1:2:44:300|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
204901,2049,1,2:1:1:40,1:2:67:1|1:2:68:1|1:2:38:100|1:2:22:100|1:2:37:100|1:3:7:100|1:2:39:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:11:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
204902,2049,2,2:1:1:80,1:2:67:2|1:2:68:2|1:2:38:200|1:2:22:200|1:2:37:200|1:3:7:200|1:2:39:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:11:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
204903,2049,3,2:1:1:120,1:2:67:3|1:2:68:3|1:2:38:300|1:2:22:300|1:2:37:300|1:3:7:300|1:2:39:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:11:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
205001,2050,1,2:1:4:40,1:2:67:1|1:2:68:1|1:2:37:100|1:2:26:100|1:2:38:100|1:3:5:100|1:3:15:50|1:3:13:100|1:3:14:100|1:3:24:50|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
205002,2050,2,2:1:4:80,1:2:67:2|1:2:68:2|1:2:37:200|1:2:26:200|1:2:38:200|1:3:5:200|1:3:15:100|1:3:13:200|1:3:14:200|1:3:24:100|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
205003,2050,3,2:1:4:120,1:2:67:3|1:2:68:3|1:2:37:300|1:2:26:300|1:2:38:300|1:3:5:300|1:3:15:150|1:3:13:300|1:3:14:300|1:3:24:150|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
205101,2051,1,2:1:4:40,1:2:67:1|1:2:68:1|1:2:37:100|1:2:26:100|1:2:38:100|1:3:5:100|1:3:17:100|1:3:13:100|1:3:14:100|1:3:23:100|1:2:52:100|1:3:16:100|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
205102,2051,2,2:1:4:80,1:2:67:2|1:2:68:2|1:2:37:200|1:2:26:200|1:2:38:200|1:3:5:200|1:3:17:200|1:3:13:200|1:3:14:200|1:3:23:200|1:2:52:200|1:3:16:200|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
205103,2051,3,2:1:4:120,1:2:67:3|1:2:68:3|1:2:37:300|1:2:26:300|1:2:38:300|1:3:5:300|1:3:17:300|1:3:13:300|1:3:14:300|1:3:23:300|1:2:52:300|1:3:16:300|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
205301,2053,1,2:1:1:40,1:2:67:1|1:2:68:1|1:2:38:100|1:2:22:100|1:2:37:100|1:3:7:100|1:2:39:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:11:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
205302,2053,2,2:1:1:80,1:2:67:2|1:2:68:2|1:2:38:200|1:2:22:200|1:2:37:200|1:3:7:200|1:2:39:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:11:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
205303,2053,3,2:1:1:120,1:2:67:3|1:2:68:3|1:2:38:300|1:2:22:300|1:2:37:300|1:3:7:300|1:2:39:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:11:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
205401,2054,1,2:1:3:40,1:2:67:1|1:2:68:1|1:2:39:100|1:2:25:100|1:2:36:100|1:3:15:50|1:2:29:100|1:3:13:100|1:3:14:100|1:2:44:100|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
205402,2054,2,2:1:3:80,1:2:67:2|1:2:68:2|1:2:39:200|1:2:25:200|1:2:36:200|1:3:15:100|1:2:29:200|1:3:13:200|1:3:14:200|1:2:44:200|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
205403,2054,3,2:1:3:120,1:2:67:3|1:2:68:3|1:2:39:300|1:2:25:300|1:2:36:300|1:3:15:150|1:2:29:300|1:3:13:300|1:3:14:300|1:2:44:300|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
205501,2055,1,2:1:3:40,1:2:67:1|1:2:68:1|1:2:39:100|1:2:25:100|1:2:36:100|1:3:15:50|1:3:17:100|1:3:13:100|1:3:14:100|1:3:24:50|1:2:52:100|1:3:16:100|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
205502,2055,2,2:1:3:80,1:2:67:2|1:2:68:2|1:2:39:200|1:2:25:200|1:2:36:200|1:3:15:100|1:3:17:200|1:3:13:200|1:3:14:200|1:3:24:100|1:2:52:200|1:3:16:200|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
205503,2055,3,2:1:3:120,1:2:67:3|1:2:68:3|1:2:39:300|1:2:25:300|1:2:36:300|1:3:15:150|1:3:17:300|1:3:13:300|1:3:14:300|1:3:24:150|1:2:52:300|1:3:16:300|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
206001,2060,1,2:1:3:40,1:2:67:1|1:2:68:1|1:2:36:100|1:2:21:100|1:2:39:100|1:3:7:100|1:2:37:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:12:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
206002,2060,2,2:1:3:80,1:2:67:2|1:2:68:2|1:2:36:200|1:2:21:200|1:2:39:200|1:3:7:200|1:2:37:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:12:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
206003,2060,3,2:1:3:120,1:2:67:3|1:2:68:3|1:2:36:300|1:2:21:300|1:2:39:300|1:3:7:300|1:2:37:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:12:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
206301,2063,1,2:1:4:40,1:2:67:1|1:2:68:1|1:2:39:100|1:2:25:100|1:2:36:100|1:3:15:50|1:2:29:100|1:3:13:100|1:3:14:100|1:2:44:100|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
206302,2063,2,2:1:4:80,1:2:67:2|1:2:68:2|1:2:39:200|1:2:25:200|1:2:36:200|1:3:15:100|1:2:29:200|1:3:13:200|1:3:14:200|1:2:44:200|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
206303,2063,3,2:1:4:120,1:2:67:3|1:2:68:3|1:2:39:300|1:2:25:300|1:2:36:300|1:3:15:150|1:2:29:300|1:3:13:300|1:3:14:300|1:2:44:300|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
206501,2065,1,2:1:3:40,1:2:67:1|1:2:68:1|1:2:36:100|1:2:21:100|1:2:39:100|1:3:7:100|1:2:37:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:12:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
206502,2065,2,2:1:3:80,1:2:67:2|1:2:68:2|1:2:36:200|1:2:21:200|1:2:39:200|1:3:7:200|1:2:37:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:12:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
206503,2065,3,2:1:3:120,1:2:67:3|1:2:68:3|1:2:36:300|1:2:21:300|1:2:39:300|1:3:7:300|1:2:37:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:12:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
206701,2067,1,2:1:2:40,1:2:67:1|1:2:68:1|1:2:38:100|1:2:23:100|1:2:37:100|1:3:8:100|1:2:39:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:11:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
206702,2067,2,2:1:2:80,1:2:67:2|1:2:68:2|1:2:38:200|1:2:23:200|1:2:37:200|1:3:8:200|1:2:39:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:11:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
206703,2067,3,2:1:2:120,1:2:67:3|1:2:68:3|1:2:38:300|1:2:23:300|1:2:37:300|1:3:8:300|1:2:39:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:11:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
207601,2076,1,2:1:1:40,1:2:67:1|1:2:68:1|1:2:38:100|1:2:22:100|1:2:37:100|1:3:7:100|1:2:39:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:11:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
207602,2076,2,2:1:1:80,1:2:67:2|1:2:68:2|1:2:38:200|1:2:22:200|1:2:37:200|1:3:7:200|1:2:39:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:11:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
207603,2076,3,2:1:1:120,1:2:67:3|1:2:68:3|1:2:38:300|1:2:22:300|1:2:37:300|1:3:7:300|1:2:39:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:11:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
207701,2077,1,2:1:1:40,1:2:67:1|1:2:68:1|1:2:38:100|1:2:22:100|1:2:37:100|1:3:7:100|1:2:39:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:11:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
207702,2077,2,2:1:1:80,1:2:67:2|1:2:68:2|1:2:38:200|1:2:22:200|1:2:37:200|1:3:7:200|1:2:39:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:11:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
207703,2077,3,2:1:1:120,1:2:67:3|1:2:68:3|1:2:38:300|1:2:22:300|1:2:37:300|1:3:7:300|1:2:39:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:11:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
207801,2078,1,2:1:2:40,1:2:67:1|1:2:68:1|1:2:38:100|1:2:23:100|1:2:37:100|1:3:8:100|1:2:39:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:11:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
207802,2078,2,2:1:2:80,1:2:67:2|1:2:68:2|1:2:38:200|1:2:23:200|1:2:37:200|1:3:8:200|1:2:39:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:11:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
207803,2078,3,2:1:2:120,1:2:67:3|1:2:68:3|1:2:38:300|1:2:23:300|1:2:37:300|1:3:8:300|1:2:39:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:11:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
208101,2081,1,2:1:2:40,1:2:67:1|1:2:68:1|1:2:37:100|1:2:26:100|1:2:38:100|1:3:5:100|1:3:15:50|1:3:13:100|1:3:14:100|1:3:24:50|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
208102,2081,2,2:1:2:80,1:2:67:2|1:2:68:2|1:2:37:200|1:2:26:200|1:2:38:200|1:3:5:200|1:3:15:100|1:3:13:200|1:3:14:200|1:3:24:100|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
208103,2081,3,2:1:2:120,1:2:67:3|1:2:68:3|1:2:37:300|1:2:26:300|1:2:38:300|1:3:5:300|1:3:15:150|1:3:13:300|1:3:14:300|1:3:24:150|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
208201,2082,1,2:1:3:40,1:2:67:1|1:2:68:1|1:2:39:100|1:2:25:100|1:2:36:100|1:3:15:50|1:3:17:100|1:3:13:100|1:3:14:100|1:3:24:50|1:2:52:100|1:3:16:100|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
208202,2082,2,2:1:3:80,1:2:67:2|1:2:68:2|1:2:39:200|1:2:25:200|1:2:36:200|1:3:15:100|1:3:17:200|1:3:13:200|1:3:14:200|1:3:24:100|1:2:52:200|1:3:16:200|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
208203,2082,3,2:1:3:120,1:2:67:3|1:2:68:3|1:2:39:300|1:2:25:300|1:2:36:300|1:3:15:150|1:3:17:300|1:3:13:300|1:3:14:300|1:3:24:150|1:2:52:300|1:3:16:300|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
208401,2084,1,2:1:1:40,1:2:67:1|1:2:68:1|1:2:37:100|1:2:38:100|1:3:5:100|1:2:29:100|1:3:13:100|1:3:14:100|1:2:44:100|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
208402,2084,2,2:1:1:80,1:2:67:2|1:2:68:2|1:2:37:200|1:2:38:200|1:3:5:200|1:2:29:200|1:3:13:200|1:3:14:200|1:2:44:200|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
208403,2084,3,2:1:1:120,1:2:67:3|1:2:68:3|1:2:37:300|1:2:38:300|1:3:5:300|1:2:29:300|1:3:13:300|1:3:14:300|1:2:44:300|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
208601,2086,1,2:1:4:40,1:2:67:1|1:2:68:1|1:2:39:100|1:2:25:100|1:2:36:100|1:3:15:50|1:2:29:100|1:3:13:100|1:3:14:100|1:2:44:100|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
208602,2086,2,2:1:4:80,1:2:67:2|1:2:68:2|1:2:39:200|1:2:25:200|1:2:36:200|1:3:15:100|1:2:29:200|1:3:13:200|1:3:14:200|1:2:44:200|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
208603,2086,3,2:1:4:120,1:2:67:3|1:2:68:3|1:2:39:300|1:2:25:300|1:2:36:300|1:3:15:150|1:2:29:300|1:3:13:300|1:3:14:300|1:2:44:300|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
208701,2087,1,2:1:2:40,1:2:67:1|1:2:68:1|1:2:38:100|1:2:23:100|1:2:37:100|1:3:8:100|1:2:39:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:11:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
208702,2087,2,2:1:2:80,1:2:67:2|1:2:68:2|1:2:38:200|1:2:23:200|1:2:37:200|1:3:8:200|1:2:39:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:11:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
208703,2087,3,2:1:2:120,1:2:67:3|1:2:68:3|1:2:38:300|1:2:23:300|1:2:37:300|1:3:8:300|1:2:39:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:11:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
208801,2088,1,2:1:4:40,1:2:67:1|1:2:68:1|1:2:39:100|1:2:25:100|1:2:36:100|1:3:15:50|1:2:29:100|1:3:13:100|1:3:14:100|1:2:44:100|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
208802,2088,2,2:1:4:80,1:2:67:2|1:2:68:2|1:2:39:200|1:2:25:200|1:2:36:200|1:3:15:100|1:2:29:200|1:3:13:200|1:3:14:200|1:2:44:200|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
208803,2088,3,2:1:4:120,1:2:67:3|1:2:68:3|1:2:39:300|1:2:25:300|1:2:36:300|1:3:15:150|1:2:29:300|1:3:13:300|1:3:14:300|1:2:44:300|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
209001,2090,1,2:1:4:40,1:2:67:1|1:2:68:1|1:2:38:100|1:2:22:100|1:2:37:100|1:3:7:100|1:2:39:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:11:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
209002,2090,2,2:1:4:80,1:2:67:2|1:2:68:2|1:2:38:200|1:2:22:200|1:2:37:200|1:3:7:200|1:2:39:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:11:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
209003,2090,3,2:1:4:120,1:2:67:3|1:2:68:3|1:2:38:300|1:2:22:300|1:2:37:300|1:3:7:300|1:2:39:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:11:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
209101,2091,1,2:1:2:40,1:2:67:1|1:2:68:1|1:2:38:100|1:2:23:100|1:2:37:100|1:3:8:100|1:2:39:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:11:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
209102,2091,2,2:1:2:80,1:2:67:2|1:2:68:2|1:2:38:200|1:2:23:200|1:2:37:200|1:3:8:200|1:2:39:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:11:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
209103,2091,3,2:1:2:120,1:2:67:3|1:2:68:3|1:2:38:300|1:2:23:300|1:2:37:300|1:3:8:300|1:2:39:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:11:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
209201,2092,1,2:1:4:40,1:2:67:1|1:2:68:1|1:2:37:100|1:2:26:100|1:2:38:100|1:3:5:100|1:3:17:100|1:3:13:100|1:3:14:100|1:3:23:100|1:2:52:100|1:3:16:100|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
209202,2092,2,2:1:4:80,1:2:67:2|1:2:68:2|1:2:37:200|1:2:26:200|1:2:38:200|1:3:5:200|1:3:17:200|1:3:13:200|1:3:14:200|1:3:23:200|1:2:52:200|1:3:16:200|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
209203,2092,3,2:1:4:120,1:2:67:3|1:2:68:3|1:2:37:300|1:2:26:300|1:2:38:300|1:3:5:300|1:3:17:300|1:3:13:300|1:3:14:300|1:3:23:300|1:2:52:300|1:3:16:300|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
209301,2093,1,2:1:4:40,1:2:67:1|1:2:68:1|1:2:39:100|1:2:25:100|1:2:36:100|1:3:15:50|1:2:29:100|1:3:13:100|1:3:14:100|1:2:44:100|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
209302,2093,2,2:1:4:80,1:2:67:2|1:2:68:2|1:2:39:200|1:2:25:200|1:2:36:200|1:3:15:100|1:2:29:200|1:3:13:200|1:3:14:200|1:2:44:200|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
209303,2093,3,2:1:4:120,1:2:67:3|1:2:68:3|1:2:39:300|1:2:25:300|1:2:36:300|1:3:15:150|1:2:29:300|1:3:13:300|1:3:14:300|1:2:44:300|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
209401,2094,1,2:1:1:40,1:2:67:1|1:2:68:1|1:2:38:100|1:2:22:100|1:2:37:100|1:3:7:100|1:2:39:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:11:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
209402,2094,2,2:1:1:80,1:2:67:2|1:2:68:2|1:2:38:200|1:2:22:200|1:2:37:200|1:3:7:200|1:2:39:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:11:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
209403,2094,3,2:1:1:120,1:2:67:3|1:2:68:3|1:2:38:300|1:2:22:300|1:2:37:300|1:3:7:300|1:2:39:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:11:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
209501,2095,1,2:1:2:40,1:2:67:1|1:2:68:1|1:2:37:100|1:2:26:100|1:2:38:100|1:3:5:100|1:3:15:50|1:3:13:100|1:3:14:100|1:3:24:50|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
209502,2095,2,2:1:2:80,1:2:67:2|1:2:68:2|1:2:37:200|1:2:26:200|1:2:38:200|1:3:5:200|1:3:15:100|1:3:13:200|1:3:14:200|1:3:24:100|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
209503,2095,3,2:1:2:120,1:2:67:3|1:2:68:3|1:2:37:300|1:2:26:300|1:2:38:300|1:3:5:300|1:3:15:150|1:3:13:300|1:3:14:300|1:3:24:150|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
209601,2096,1,2:1:2:40,1:2:67:1|1:2:68:1|1:2:38:100|1:2:23:100|1:2:37:100|1:3:8:100|1:2:39:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:11:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
209602,2096,2,2:1:2:80,1:2:67:2|1:2:68:2|1:2:38:200|1:2:23:200|1:2:37:200|1:3:8:200|1:2:39:200|1:3:9:200|1:3:5:200|1:2:51:200|1:3:11:1000|1:2:30:100|1:2:18:40|1:2:55:100,200,20000000
209603,2096,3,2:1:2:120,1:2:67:3|1:2:68:3|1:2:38:300|1:2:23:300|1:2:37:300|1:3:8:300|1:2:39:300|1:3:9:300|1:3:5:300|1:2:51:300|1:3:11:1500|1:2:30:150|1:2:18:60|1:2:55:150,200,20000000
207301,2073,1,2:1:3:40,1:2:67:1|1:2:68:1|1:2:39:100|1:2:25:100|1:2:36:100|1:3:15:50|1:3:17:100|1:3:13:100|1:3:14:100|1:3:24:50|1:2:52:100|1:3:16:100|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
207302,2073,2,2:1:3:80,1:2:67:2|1:2:68:2|1:2:39:200|1:2:25:200|1:2:36:200|1:3:15:100|1:3:17:200|1:3:13:200|1:3:14:200|1:3:24:100|1:2:52:200|1:3:16:200|1:2:31:100|1:2:18:40|1:2:56:100,200,20000000
207303,2073,3,2:1:3:120,1:2:67:3|1:2:68:3|1:2:39:300|1:2:25:300|1:2:36:300|1:3:15:150|1:3:17:300|1:3:13:300|1:3:14:300|1:3:24:150|1:2:52:300|1:3:16:300|1:2:31:150|1:2:18:60|1:2:56:150,200,20000000
209701,2097,1,2:1:4:40,1:2:67:1|1:2:68:1|1:2:39:100|1:2:25:100|1:2:36:100|1:3:15:50|1:3:17:100|1:3:13:100|1:3:14:100|1:3:24:50|1:2:52:100|1:3:16:100|1:2:31:50|1:2:18:20|1:2:56:50,200,20000000
