id,big_step,small_step,npc_id,first_rewards,first_reward_quality,pass_reward_quality,weight,first_random_count,sweep_common_count,sweep_random_count,enhance_hero_cids
34,2,14,34,32:4003:0|32:4004:0,5,5|4|3|2,5|12|25|58,0,4,9,1001|2078|2069|2081|2074|2039|2083
35,2,15,35,32:4001:0|32:4002:0,5,5|4|3|2,8|15|30|47,0,4,9,1001|2078|2069|2081|2074|2039|2083
36,2,16,36,32:4003:0|32:4004:0,5,5|4|3|2,10|18|32|40,0,4,10,1001|2078|2069|2081|2074|2039|2083
37,2,17,37,32:5001:0|32:5002:0,6,6|5|4|3|2,3|12|20|35|30,0,4,10,1001|2078|2069|2081|2074|2039|2083
38,2,18,38,32:5003:0|32:5004:0,6,6|5|4|3|2,5|15|22|38|20,0,4,10,1001|2078|2069|2081|2074|2039|2083
39,2,19,39,32:5001:0|32:5002:0,6,6|5|4|3|2,8|18|20|40|14,0,4,10,1001|2078|2069|2081|2074|2039|2083
40,2,20,40,32:5003:0|32:5004:0,6,6|5|4|3|2,10|20|20|40|10,0,4,10,1001|2078|2069|2081|2074|2039|2083
41,3,1,41,32:1001:0|32:1002:0,2,2,100,0,2,2,1001|2049|2056|2050|2076|2090|2073
42,3,2,42,32:1003:0|32:1004:0,2,2,100,0,2,3,1001|2049|2056|2050|2076|2090|2073
43,3,3,43,32:1001:0|32:1002:0,2,2,100,0,3,3,1001|2049|2056|2050|2076|2090|2073
44,3,4,44,32:1003:0|32:1004:0,2,2,100,0,3,4,1001|2049|2056|2050|2076|2090|2073
45,3,5,45,32:2001:0|32:2002:0,3,3|2,5|95,0,4,4,1001|2049|2056|2050|2076|2090|2073
46,3,6,46,32:2003:0|32:2004:0,3,3|2,10|90,0,4,5,1001|2049|2056|2050|2076|2090|2073
47,3,7,47,32:2001:0|32:2002:0,3,3|2,15|85,0,4,5,1001|2049|2056|2050|2076|2090|2073
48,3,8,48,32:2003:0|32:2004:0,3,3|2,18|82,0,4,6,1001|2049|2056|2050|2076|2090|2073
49,3,9,49,32:3001:0|32:3002:0,4,4|3|2,2|18|80,0,4,6,1001|2049|2056|2050|2076|2090|2073
50,3,10,50,32:3003:0|32:3004:0,4,4|3|2,5|18|77,0,4,7,1001|2049|2056|2050|2076|2090|2073
51,3,11,51,32:3001:0|32:3002:0,4,4|3|2,8|20|72,0,4,7,1001|2049|2056|2050|2076|2090|2073
52,3,12,52,32:3003:0|32:3004:0,4,4|3|2,10|20|70,0,4,8,1001|2049|2056|2050|2076|2090|2073
53,3,13,53,32:4001:0|32:4002:0,5,5|4|3|2,2|12|25|61,0,4,8,1001|2049|2056|2050|2076|2090|2073
54,3,14,54,32:4003:0|32:4004:0,5,5|4|3|2,5|12|25|58,0,4,9,1001|2049|2056|2050|2076|2090|2073
55,3,15,55,32:4001:0|32:4002:0,5,5|4|3|2,8|15|30|47,0,4,9,1001|2049|2056|2050|2076|2090|2073
56,3,16,56,32:4003:0|32:4004:0,5,5|4|3|2,10|18|32|40,0,4,10,1001|2049|2056|2050|2076|2090|2073
57,3,17,57,32:5001:0|32:5002:0,6,6|5|4|3|2,3|12|20|35|30,0,4,10,1001|2049|2056|2050|2076|2090|2073
58,3,18,58,32:5003:0|32:5004:0,6,6|5|4|3|2,5|15|22|38|20,0,4,10,1001|2049|2056|2050|2076|2090|2073
59,3,19,59,32:5001:0|32:5002:0,6,6|5|4|3|2,8|18|20|40|14,0,4,10,1001|2049|2056|2050|2076|2090|2073
60,3,20,60,32:5003:0|32:5004:0,6,6|5|4|3|2,10|20|20|40|10,0,4,10,1001|2049|2056|2050|2076|2090|2073
61,4,1,61,32:1001:0|32:1002:0,2,2,100,0,2,2,1001|2037|2075|2051|2084|2016|2031
62,4,2,62,32:1003:0|32:1004:0,2,2,100,0,2,3,1001|2037|2075|2051|2084|2016|2031
63,4,3,63,32:1001:0|32:1002:0,2,2,100,0,3,3,1001|2037|2075|2051|2084|2016|2031
64,4,4,64,32:1003:0|32:1004:0,2,2,100,0,3,4,1001|2037|2075|2051|2084|2016|2031
65,4,5,65,32:2001:0|32:2002:0,3,3|2,5|95,0,4,4,1001|2037|2075|2051|2084|2016|2031
66,4,6,66,32:2003:0|32:2004:0,3,3|2,10|90,0,4,5,1001|2037|2075|2051|2084|2016|2031
67,4,7,67,32:2001:0|32:2002:0,3,3|2,15|85,0,4,5,1001|2037|2075|2051|2084|2016|2031
68,4,8,68,32:2003:0|32:2004:0,3,3|2,18|82,0,4,6,1001|2037|2075|2051|2084|2016|2031
69,4,9,69,32:3001:0|32:3002:0,4,4|3|2,2|18|80,0,4,6,1001|2037|2075|2051|2084|2016|2031
70,4,10,70,32:3003:0|32:3004:0,4,4|3|2,5|18|77,0,4,7,1001|2037|2075|2051|2084|2016|2031
71,4,11,71,32:3001:0|32:3002:0,4,4|3|2,8|20|72,0,4,7,1001|2037|2075|2051|2084|2016|2031
72,4,12,72,32:3003:0|32:3004:0,4,4|3|2,10|20|70,0,4,8,1001|2037|2075|2051|2084|2016|2031
73,4,13,73,32:4001:0|32:4002:0,5,5|4|3|2,2|12|25|61,0,4,8,1001|2037|2075|2051|2084|2016|2031
74,4,14,74,32:4003:0|32:4004:0,5,5|4|3|2,5|12|25|58,0,4,9,1001|2037|2075|2051|2084|2016|2031
75,4,15,75,32:4001:0|32:4002:0,5,5|4|3|2,8|15|30|47,0,4,9,1001|2037|2075|2051|2084|2016|2031
76,4,16,76,32:4003:0|32:4004:0,5,5|4|3|2,10|18|32|40,0,4,10,1001|2037|2075|2051|2084|2016|2031
77,4,17,77,32:5001:0|32:5002:0,6,6|5|4|3|2,3|12|20|35|30,0,4,10,1001|2037|2075|2051|2084|2016|2031
78,4,18,78,32:5003:0|32:5004:0,6,6|5|4|3|2,5|15|22|38|20,0,4,10,1001|2037|2075|2051|2084|2016|2031
79,4,19,79,32:5001:0|32:5002:0,6,6|5|4|3|2,8|18|20|40|14,0,4,10,1001|2037|2075|2051|2084|2016|2031
80,4,20,80,32:5003:0|32:5004:0,6,6|5|4|3|2,10|20|20|40|10,0,4,10,1001|2037|2075|2051|2084|2016|2031
81,5,1,81,32:1001:0|32:1002:0,2,2,100,0,2,2,1001|2053|2065|2055|2082|2052|2032
82,5,2,82,32:1003:0|32:1004:0,2,2,100,0,2,3,1001|2053|2065|2055|2082|2052|2032
83,5,3,83,32:1001:0|32:1002:0,2,2,100,0,3,3,1001|2053|2065|2055|2082|2052|2032
84,5,4,84,32:1003:0|32:1004:0,2,2,100,0,3,4,1001|2053|2065|2055|2082|2052|2032
85,5,5,85,32:2001:0|32:2002:0,3,3|2,5|95,0,4,4,1001|2053|2065|2055|2082|2052|2032
86,5,6,86,32:2003:0|32:2004:0,3,3|2,10|90,0,4,5,1001|2053|2065|2055|2082|2052|2032
87,5,7,87,32:2001:0|32:2002:0,3,3|2,15|85,0,4,5,1001|2053|2065|2055|2082|2052|2032
88,5,8,88,32:2003:0|32:2004:0,3,3|2,18|82,0,4,6,1001|2053|2065|2055|2082|2052|2032
89,5,9,89,32:3001:0|32:3002:0,4,4|3|2,2|18|80,0,4,6,1001|2053|2065|2055|2082|2052|2032
90,5,10,90,32:3003:0|32:3004:0,4,4|3|2,5|18|77,0,4,7,1001|2053|2065|2055|2082|2052|2032
91,5,11,91,32:3001:0|32:3002:0,4,4|3|2,8|20|72,0,4,7,1001|2053|2065|2055|2082|2052|2032
92,5,12,92,32:3003:0|32:3004:0,4,4|3|2,10|20|70,0,4,8,1001|2053|2065|2055|2082|2052|2032
93,5,13,93,32:4001:0|32:4002:0,5,5|4|3|2,2|12|25|61,0,4,8,1001|2053|2065|2055|2082|2052|2032
94,5,14,94,32:4003:0|32:4004:0,5,5|4|3|2,5|12|25|58,0,4,9,1001|2053|2065|2055|2082|2052|2032
95,5,15,95,32:4001:0|32:4002:0,5,5|4|3|2,8|15|30|47,0,4,9,1001|2053|2065|2055|2082|2052|2032
96,5,16,96,32:4003:0|32:4004:0,5,5|4|3|2,10|18|32|40,0,4,10,1001|2053|2065|2055|2082|2052|2032
97,5,17,97,32:5001:0|32:5002:0,6,6|5|4|3|2,3|12|20|35|30,0,4,10,1001|2053|2065|2055|2082|2052|2032
98,5,18,98,32:5003:0|32:5004:0,6,6|5|4|3|2,5|15|22|38|20,0,4,10,1001|2053|2065|2055|2082|2052|2032
99,5,19,99,32:5001:0|32:5002:0,6,6|5|4|3|2,8|18|20|40|14,0,4,10,1001|2053|2065|2055|2082|2052|2032
100,5,20,100,32:5003:0|32:5004:0,6,6|5|4|3|2,10|20|20|40|10,0,4,10,1001|2053|2065|2055|2082|2052|2032
101,6,1,101,32:1001:0|32:1002:0,2,2,100,0,2,2,1001|2087|2060|2063|2086|2071|2067
102,6,2,102,32:1003:0|32:1004:0,2,2,100,0,2,3,1001|2087|2060|2063|2086|2071|2067
103,6,3,103,32:1001:0|32:1002:0,2,2,100,0,3,3,1001|2087|2060|2063|2086|2071|2067
104,6,4,104,32:1003:0|32:1004:0,2,2,100,0,3,4,1001|2087|2060|2063|2086|2071|2067
105,6,5,105,32:2001:0|32:2002:0,3,3|2,5|95,0,4,4,1001|2087|2060|2063|2086|2071|2067
106,6,6,106,32:2003:0|32:2004:0,3,3|2,10|90,0,4,5,1001|2087|2060|2063|2086|2071|2067
107,6,7,107,32:2001:0|32:2002:0,3,3|2,15|85,0,4,5,1001|2087|2060|2063|2086|2071|2067
108,6,8,108,32:2003:0|32:2004:0,3,3|2,18|82,0,4,6,1001|2087|2060|2063|2086|2071|2067
109,6,9,109,32:3001:0|32:3002:0,4,4|3|2,2|18|80,0,4,6,1001|2087|2060|2063|2086|2071|2067
110,6,10,110,32:3003:0|32:3004:0,4,4|3|2,5|18|77,0,4,7,1001|2087|2060|2063|2086|2071|2067
111,6,11,111,32:3001:0|32:3002:0,4,4|3|2,8|20|72,0,4,7,1001|2087|2060|2063|2086|2071|2067
112,6,12,112,32:3003:0|32:3004:0,4,4|3|2,10|20|70,0,4,8,1001|2087|2060|2063|2086|2071|2067
113,6,13,113,32:4001:0|32:4002:0,5,5|4|3|2,2|12|25|61,0,4,8,1001|2087|2060|2063|2086|2071|2067
114,6,14,114,32:4003:0|32:4004:0,5,5|4|3|2,5|12|25|58,0,4,9,1001|2087|2060|2063|2086|2071|2067
115,6,15,115,32:4001:0|32:4002:0,5,5|4|3|2,8|15|30|47,0,4,9,1001|2087|2060|2063|2086|2071|2067
116,6,16,116,32:4003:0|32:4004:0,5,5|4|3|2,10|18|32|40,0,4,10,1001|2087|2060|2063|2086|2071|2067
117,6,17,117,32:5001:0|32:5002:0,6,6|5|4|3|2,3|12|20|35|30,0,4,10,1001|2087|2060|2063|2086|2071|2067
118,6,18,118,32:5003:0|32:5004:0,6,6|5|4|3|2,5|15|22|38|20,0,4,10,1001|2087|2060|2063|2086|2071|2067
119,6,19,119,32:5001:0|32:5002:0,6,6|5|4|3|2,8|18|20|40|14,0,4,10,1001|2087|2060|2063|2086|2071|2067
120,6,20,120,32:5003:0|32:5004:0,6,6|5|4|3|2,10|20|20|40|10,0,4,10,1001|2087|2060|2063|2086|2071|2067
