id,hero_cid,default_super_common_skill_index,fight_value,max_hp,max_mp,min_attack,max_attack,defend,physc_def,magic_def,hit,dehit,crit,decrit,mp_recover,damage_add,damage_minus,defend_ignore_level,speed,crit_permillage,dehit_permillage,damage_add_target_wu_jiang,damage_add_target_gong_jiang,damage_add_target_mou_shi,damage_minus_target_wu_jiang,damage_minus_target_gong_jiang,damage_minus_target_mou_shi,effect_chance_permillage,true_damage_add,treat_add,shield,damage_add_array,damage_minus_array,damage_add_tag_match,treat_add_tag_match,magic_damage_add,magic_damage_minus,physc_damage_add,physc_damage_minus,skill_damage_add,skill_damage_minus,normal_skill_damage_add,be_treat_add,be_shield_add,base_attribute_add,ignore_damage_minus,be_boost_skill_effect_add,be_damage_add,anger_add_efficiency,anger_skill_damage_add,anger_skill_damage_minus,attack_add,hp_add,hit_add,defend_add,decrit_add,dehit_add,crit_add,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,physc_def_add,magic_def_add,debuff_resist,hp_recover,bounce_rate,exp_add,coin_add,high_quality_rate,all_def_ignore,charm,crit_damage_ignore,ignorel_resist,is_advance,is_super,is_mr,is_incarnation,skin_cid
11,2039,0|0|2|2|3|0,2524815104,33676415,8300,6222829,8615409,1259668,3261689,3072477,1056084,298980,2181368,1669802,1215,0,0,1163044,2811,500,0,0,150,0,0,0,0,0,0,0,0,100,100,0,0,0,100,150,100,150,0,300,0,0,0,0,0,0,0,0,0,3564,3731,150,330,400,0,600,3565,400,2200,0,0,400,400,450,0,300,0,0,0,3550,4600,350,0,1,1,1,0,102039368
12,2063,0|1|1|3|1|0,1333974528,50501636,8300,3841372,5288841,1405015,2938763,3072585,1012689,298846,1557454,1669136,1243,50,0,1079969,2730,0,0,0,0,0,150,0,0,1350,0,900,0,100,100,0,0,50,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3069,4452,0,480,450,0,600,780,300,2200,0,0,440,450,550,0,300,0,0,0,3550,4100,450,0,1,1,1,0,102063368
13,2051,0|1|1|1|2|0,1851075328,69934306,8300,2853818,3929308,1937952,3988953,3182828,1012888,298913,1557786,1669468,1243,50,0,1079969,2932,0,0,0,0,0,150,0,0,850,0,0,0,100,100,0,0,50,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,2794,4342,0,480,450,0,600,780,300,2200,0,0,400,450,450,0,300,0,0,0,3550,3600,250,0,1,1,1,0,102051368
14,2081,0|0|2|2|3|0,1706994432,33672073,8300,6555678,9075916,1744156,3261181,2969576,1055874,298913,1947232,1669468,1215,0,0,1163044,2766,0,0,0,150,0,0,0,0,0,750,0,0,100,100,0,0,0,100,150,100,150,0,300,0,0,0,0,0,0,0,0,0,3949,3042,150,330,400,0,600,1655,570,2200,0,0,400,400,450,0,300,0,0,0,3550,3600,350,0,1,1,0,0,102081300
15,2056,0|0|2|2|3|0,3357674496,32741702,8300,4118856,5638614,1598810,2737324,2671320,969808,298180,1624120,1597901,1186,0,0,1163044,2668,0,0,0,0,150,0,0,0,0,0,0,0,100,100,0,0,0,100,100,100,150,0,300,0,0,0,0,0,0,0,0,0,3701,3237,0,330,400,150,750,4115,500,2200,0,0,300,400,450,0,300,0,0,0,3550,3150,150,0,1,1,1,0,102056368
16,2086,0|0|2|2|3|0,1441724544,46626723,8300,5607722,7717623,1259668,3044511,3183153,1013017,298956,2414900,1669682,1243,450,0,1163044,3028,0,0,150,0,0,0,0,0,0,0,0,0,100,100,0,0,150,0,0,200,150,0,300,0,0,0,0,0,0,0,0,0,3366,3341,0,430,400,0,675,1180,850,2200,0,0,400,300,450,0,300,0,0,0,3550,4140,150,0,1,1,1,0,102086368
17,2049,0|1|1|3|1|0,3903405312,66548012,8300,4240214,5881332,1453464,3040021,3288523,1056085,312976,1628102,1741229,1272,50,0,1079969,2815,0,0,0,0,0,150,0,0,0,0,0,0,100,100,0,0,50,100,0,100,0,100,0,200,200,50,0,0,0,0,0,0,3256,4803,0,480,450,0,600,780,300,2200,0,0,440,450,1100,0,300,0,0,0,3550,4140,250,0,1,1,1,0,102049368
18,2047,,740339712,73825872,8300,3968550,5474797,1453464,2729572,2867488,1013022,312952,1697982,1669690,1215,500,0,1079969,2816,0,0,0,0,0,0,0,150,100,0,0,0,100,100,0,0,0,200,0,100,0,100,0,0,0,0,0,0,0,0,0,0,3179,4907,0,330,450,150,600,780,450,2200,0,0,400,400,450,0,300,0,0,0,3550,4680,450,0,0,0,0,0,102047000
19,2037,0|1|1|3|1|0,3903405312,66548012,8300,4240214,5881332,1453464,3040021,3288523,1056085,312976,1628102,1741229,1272,50,0,1079969,2815,0,0,0,0,0,150,0,0,0,0,0,0,100,100,0,0,50,100,0,100,0,100,0,200,200,50,0,0,0,0,0,0,3256,4803,0,480,450,0,600,780,300,2200,0,0,440,450,1100,0,300,0,0,0,3550,4140,250,0,1,1,1,1,102037388
20,2049,0|1|1|3|1|0,3903405312,66548012,8300,4240214,5881332,1453464,3040021,3288523,1056085,312976,1628102,1741229,1272,50,0,1079969,2815,0,0,0,0,0,150,0,0,0,0,0,0,100,100,0,0,50,100,0,100,0,100,0,200,200,50,0,0,0,0,0,0,3256,4803,0,480,450,0,600,780,300,2200,0,0,440,450,1100,0,300,0,0,0,3550,4140,250,0,1,1,1,1,102049388
21,2053,0|1|1|3|1|0,3903405312,66548012,8300,4240214,5881332,1453464,3040021,3288523,1056085,312976,1628102,1741229,1272,50,0,1079969,2815,0,0,0,0,0,150,0,0,0,0,0,0,100,100,0,0,50,100,0,100,0,100,0,200,200,50,0,0,0,0,0,0,3256,4803,0,480,450,0,600,780,300,2200,0,0,440,450,1100,0,300,0,0,0,3550,4140,250,0,1,1,1,1,102053388
22,2060,0|1|1|3|1|0,3903405312,66548012,8300,4240214,5881332,1453464,3040021,3288523,1056085,312976,1628102,1741229,1272,50,0,1079969,2815,0,0,0,0,0,150,0,0,0,0,0,0,100,100,0,0,50,100,0,100,0,100,0,200,200,50,0,0,0,0,0,0,3256,4803,0,480,450,0,600,780,300,2200,0,0,440,450,1100,0,300,0,0,0,3550,4140,250,0,1,1,1,1,102060388
23,2077,0|1|1|3|1|0,3903405312,66548012,8300,4240214,5881332,1453464,3040021,3288523,1056085,312976,1628102,1741229,1272,50,0,1079969,2815,0,0,0,0,0,150,0,0,0,0,0,0,100,100,0,0,50,100,0,100,0,100,0,200,200,50,0,0,0,0,0,0,3256,4803,0,480,450,0,600,780,300,2200,0,0,440,450,1100,0,300,0,0,0,3550,4140,250,0,1,1,1,1,102077388
