id,attr_fixd_type_type_1,attr_fixd_type_1,attr_fixd_value_1,attr_fixd_type_type_2,attr_fixd_type_2,attr_fixd_value_2,consume_1,consume_2,unlock_skill,need_quality
54,2,1,172,2,3,172,3000139:1500,3000140:0,0,0
55,2,1,175,2,3,175,3000139:1500,3000140:125,0,0
56,2,1,178,2,3,178,3000139:1500,3000140:0,0,0
57,2,1,182,2,3,182,3000139:1500,3000140:0,0,0
58,2,1,186,2,3,186,3000139:1500,3000140:0,0,0
59,2,1,190,2,3,190,3000139:1500,3000140:0,0,0
60,2,1,200,2,3,200,3000139:1500,3000140:150,1,0
61,2,1,203,2,3,203,3000139:1500,3000140:0,0,0
62,2,1,206,2,3,206,3000139:1500,3000140:0,0,0
63,2,1,209,2,3,209,3000139:1500,3000140:0,0,0
64,2,1,212,2,3,212,3000139:1500,3000140:0,0,0
65,2,1,215,2,3,215,3000139:1500,3000140:50,0,0
66,2,1,218,2,3,218,3000139:1500,3000140:0,0,0
67,2,1,221,2,3,221,3000139:1500,3000140:0,0,0
68,2,1,224,2,3,224,3000139:1500,3000140:0,0,0
69,2,1,227,2,3,227,3000139:1500,3000140:0,0,0
70,2,1,230,2,3,230,3000139:1500,3000140:75,0,0
71,2,1,233,2,3,233,3000139:1500,3000140:0,0,0
72,2,1,236,2,3,236,3000139:1500,3000140:0,0,0
73,2,1,239,2,3,239,3000139:1500,3000140:0,0,0
74,2,1,242,2,3,242,3000139:1500,3000140:0,0,0
75,2,1,245,2,3,245,3000139:1500,3000140:100,0,0
76,2,1,248,2,3,248,3000139:1500,3000140:0,0,0
77,2,1,251,2,3,251,3000139:1500,3000140:0,0,0
78,2,1,254,2,3,254,3000139:1500,3000140:0,0,0
79,2,1,257,2,3,257,3000139:1500,3000140:0,0,0
80,2,1,260,2,3,260,3000139:1500,3000140:125,0,0
81,2,1,263,2,3,263,3000139:1500,3000140:0,0,0
82,2,1,266,2,3,266,3000139:1500,3000140:0,0,0
83,2,1,269,2,3,269,3000139:1500,3000140:0,0,0
84,2,1,272,2,3,272,3000139:1500,3000140:0,0,0
85,2,1,275,2,3,275,3000139:1500,3000140:150,0,0
86,2,1,278,2,3,278,3000139:1500,3000140:0,0,0
87,2,1,282,2,3,282,3000139:1500,3000140:0,0,0
88,2,1,286,2,3,286,3000139:1500,3000140:0,0,0
89,2,1,290,2,3,290,3000139:1500,3000140:0,0,0
90,2,1,300,2,3,300,3000139:1500,3000140:200,1,0
