level,need_exp,strength,agility,intelligence,stamina,game_play_damage_add,game_play_damage_minus
63,28292,76000,76000,76000,76000,1260,1260
64,28983,78000,78000,78000,78000,1280,1280
65,29674,80000,80000,80000,80000,1300,1300
66,30365,82000,82000,82000,82000,1320,1320
67,31056,84000,84000,84000,84000,1340,1340
68,31747,86000,86000,86000,86000,1360,1360
69,32438,88000,88000,88000,88000,1380,1380
70,33129,90000,90000,90000,90000,1400,1400
71,33820,92000,92000,92000,92000,1420,1420
72,34511,94000,94000,94000,94000,1440,1440
73,35202,96000,96000,96000,96000,1460,1460
74,35893,98000,98000,98000,98000,1480,1480
75,36584,100000,100000,100000,100000,1500,1500
76,37275,102000,102000,102000,102000,1520,1520
77,37966,104000,104000,104000,104000,1540,1540
78,38657,106000,106000,106000,106000,1560,1560
79,39348,108000,108000,108000,108000,1580,1580
80,40039,110000,110000,110000,110000,1600,1600
81,61000,114000,114000,114000,114000,1620,1620
82,61069,118000,118000,118000,118000,1640,1640
83,61138,122000,122000,122000,122000,1660,1660
84,61207,126000,126000,126000,126000,1680,1680
85,61276,130000,130000,130000,130000,1700,1700
86,61345,134000,134000,134000,134000,1720,1720
87,61414,138000,138000,138000,138000,1740,1740
88,61483,142000,142000,142000,142000,1760,1760
89,61552,146000,146000,146000,146000,1780,1780
90,61621,150000,150000,150000,150000,1800,1800
91,61690,154000,154000,154000,154000,1820,1820
92,61759,158000,158000,158000,158000,1840,1840
93,61828,162000,162000,162000,162000,1860,1860
94,61897,166000,166000,166000,166000,1880,1880
95,61966,170000,170000,170000,170000,1900,1900
96,62000,174000,174000,174000,174000,1920,1920
97,62132,178000,178000,178000,178000,1940,1940
98,62264,182000,182000,182000,182000,1960,1960
99,62396,186000,186000,186000,186000,1980,1980
100,62528,190000,190000,190000,190000,2000,2000
101,62660,198000,198000,198000,198000,2020,2020
102,62792,206000,206000,206000,206000,2040,2040
103,62924,214000,214000,214000,214000,2060,2060
104,63056,222000,222000,222000,222000,2080,2080
105,63188,230000,230000,230000,230000,2100,2100
106,63320,238000,238000,238000,238000,2120,2120
107,63452,246000,246000,246000,246000,2140,2140
108,63584,254000,254000,254000,254000,2160,2160
109,63716,262000,262000,262000,262000,2180,2180
110,63848,270000,270000,270000,270000,2200,2200
111,63800,278000,278000,278000,278000,2220,2220
112,63812,286000,286000,286000,286000,2240,2240
113,63824,294000,294000,294000,294000,2260,2260
114,63836,302000,302000,302000,302000,2280,2280
115,63848,310000,310000,310000,310000,2300,2300
116,63860,318000,318000,318000,318000,2320,2320
117,63872,326000,326000,326000,326000,2340,2340
118,63884,334000,334000,334000,334000,2360,2360
119,63896,342000,342000,342000,342000,2380,2380
120,63908,350000,350000,350000,350000,2400,2400
121,63920,360000,360000,360000,360000,2420,2420
122,63932,370000,370000,370000,370000,2440,2440
123,63944,380000,380000,380000,380000,2460,2460
124,63956,390000,390000,390000,390000,2480,2480
125,63968,400000,400000,400000,400000,2500,2500
126,64500,410000,410000,410000,410000,2520,2520
127,64824,420000,420000,420000,420000,2540,2540
128,65148,430000,430000,430000,430000,2560,2560
129,65472,440000,440000,440000,440000,2580,2580
130,65796,450000,450000,450000,450000,2600,2600
131,66120,460000,460000,460000,460000,2620,2620
132,66444,470000,470000,470000,470000,2640,2640
133,66768,480000,480000,480000,480000,2660,2660
134,67092,490000,490000,490000,490000,2680,2680
135,67416,500000,500000,500000,500000,2700,2700
136,67740,510000,510000,510000,510000,2720,2720
137,68064,520000,520000,520000,520000,2740,2740
138,68388,530000,530000,530000,530000,2760,2760
139,68712,540000,540000,540000,540000,2780,2780
140,69036,550000,550000,550000,550000,2800,2800
141,69300,560000,560000,560000,560000,2820,2820
142,69349,570000,570000,570000,570000,2840,2840
143,69398,580000,580000,580000,580000,2860,2860
144,69447,590000,590000,590000,590000,2880,2880
145,69496,600000,600000,600000,600000,2900,2900
146,69545,610000,610000,610000,610000,2920,2920
147,69594,620000,620000,620000,620000,2940,2940
148,69643,630000,630000,630000,630000,2960,2960
149,69692,640000,640000,640000,640000,2980,2980
150,69741,650000,650000,650000,650000,3000,3000
151,69790,660000,660000,660000,660000,3020,3020
152,69839,670000,670000,670000,670000,3040,3040
153,69888,680000,680000,680000,680000,3060,3060
154,69937,690000,690000,690000,690000,3080,3080
155,69986,700000,700000,700000,700000,3100,3100
156,70000,710000,710000,710000,710000,3120,3120
157,70292,720000,720000,720000,720000,3140,3140
158,70584,730000,730000,730000,730000,3160,3160
159,70876,740000,740000,740000,740000,3180,3180
160,71168,750000,750000,750000,750000,3200,3200
161,71460,760000,760000,760000,760000,3220,3220
162,71752,770000,770000,770000,770000,3240,3240
163,72044,780000,780000,780000,780000,3260,3260
164,72336,790000,790000,790000,790000,3280,3280
165,72628,800000,800000,800000,800000,3300,3300
166,72920,810000,810000,810000,810000,3320,3320
167,73212,820000,820000,820000,820000,3340,3340
168,73504,830000,830000,830000,830000,3360,3360
169,73796,840000,840000,840000,840000,3380,3380
170,74088,850000,850000,850000,850000,3400,3400
171,74200,860000,860000,860000,860000,3420,3420
172,74235,870000,870000,870000,870000,3440,3440
173,74270,880000,880000,880000,880000,3460,3460
174,74305,890000,890000,890000,890000,3480,3480
175,74340,900000,900000,900000,900000,3500,3500
176,74375,910000,910000,910000,910000,3520,3520
177,74410,920000,920000,920000,920000,3540,3540
178,74445,930000,930000,930000,930000,3560,3560
179,74480,940000,940000,940000,940000,3580,3580
180,74515,950000,950000,950000,950000,3600,3600
181,74550,960000,960000,960000,960000,3620,3620
182,74585,970000,970000,970000,970000,3640,3640
183,74620,980000,980000,980000,980000,3660,3660
184,74655,990000,990000,990000,990000,3680,3680
185,74690,1000000,1000000,1000000,1000000,3700,3700
186,75000,1010000,1010000,1010000,1010000,3720,3720
187,75195,1020000,1020000,1020000,1020000,3740,3740
188,75390,1030000,1030000,1030000,1030000,3760,3760
189,75585,1040000,1040000,1040000,1040000,3780,3780
190,75780,1050000,1050000,1050000,1050000,3800,3800
191,75975,1060000,1060000,1060000,1060000,3820,3820
192,76170,1070000,1070000,1070000,1070000,3840,3840
193,76365,1080000,1080000,1080000,1080000,3860,3860
194,76560,1090000,1090000,1090000,1090000,3880,3880
195,76755,1100000,1100000,1100000,1100000,3900,3900
196,76950,1110000,1110000,1110000,1110000,3920,3920
197,77145,1120000,1120000,1120000,1120000,3940,3940
198,77340,1130000,1130000,1130000,1130000,3960,3960
199,77535,1140000,1140000,1140000,1140000,3980,3980
200,77730,1150000,1150000,1150000,1150000,4000,4000
201,77800,1160000,1160000,1160000,1160000,4020,4020
202,77869,1170000,1170000,1170000,1170000,4040,4040
203,77938,1180000,1180000,1180000,1180000,4060,4060
204,78007,1190000,1190000,1190000,1190000,4080,4080
205,78076,1200000,1200000,1200000,1200000,4100,4100
206,78145,1210000,1210000,1210000,1210000,4120,4120
207,78214,1220000,1220000,1220000,1220000,4140,4140
208,78283,1230000,1230000,1230000,1230000,4160,4160
209,78352,1240000,1240000,1240000,1240000,4180,4180
210,78421,1250000,1250000,1250000,1250000,4200,4200
211,78490,1260000,1260000,1260000,1260000,4220,4220
212,78559,1270000,1270000,1270000,1270000,4240,4240
213,78628,1280000,1280000,1280000,1280000,4260,4260
214,78697,1290000,1290000,1290000,1290000,4280,4280
215,78766,1300000,1300000,1300000,1300000,4300,4300
216,78900,1310000,1310000,1310000,1310000,4320,4320
217,79361,1320000,1320000,1320000,1320000,4340,4340
218,79822,1330000,1330000,1330000,1330000,4360,4360
219,80283,1340000,1340000,1340000,1340000,4380,4380
220,80744,1350000,1350000,1350000,1350000,4400,4400
221,81205,1360000,1360000,1360000,1360000,4420,4420
222,81666,1370000,1370000,1370000,1370000,4440,4440
223,82127,1380000,1380000,1380000,1380000,4460,4460
224,82588,1390000,1390000,1390000,1390000,4480,4480
225,83049,1400000,1400000,1400000,1400000,4500,4500
226,83510,1410000,1410000,1410000,1410000,4520,4520
227,83971,1420000,1420000,1420000,1420000,4540,4540
228,84432,1430000,1430000,1430000,1430000,4560,4560
229,84893,1440000,1440000,1440000,1440000,4580,4580
230,85354,1450000,1450000,1450000,1450000,4600,4600
231,85500,1460000,1460000,1460000,1460000,4620,4620
232,85566,1470000,1470000,1470000,1470000,4640,4640
233,85632,1480000,1480000,1480000,1480000,4660,4660
234,85698,1490000,1490000,1490000,1490000,4680,4680
235,85764,1500000,1500000,1500000,1500000,4700,4700
236,85830,1510000,1510000,1510000,1510000,4720,4720
237,85896,1520000,1520000,1520000,1520000,4740,4740
238,85962,1530000,1530000,1530000,1530000,4760,4760
239,86028,1540000,1540000,1540000,1540000,4780,4780
240,86094,1550000,1550000,1550000,1550000,4800,4800
241,86160,1560000,1560000,1560000,1560000,4820,4820
242,86226,1570000,1570000,1570000,1570000,4840,4840
243,86292,1580000,1580000,1580000,1580000,4860,4860
244,86358,1590000,1590000,1590000,1590000,4880,4880
245,86424,1600000,1600000,1600000,1600000,4900,4900
246,86700,1610000,1610000,1610000,1610000,4920,4920
247,87006,1620000,1620000,1620000,1620000,4940,4940
248,87312,1630000,1630000,1630000,1630000,4960,4960
249,87618,1640000,1640000,1640000,1640000,4980,4980
250,87924,1650000,1650000,1650000,1650000,5000,5000
251,88230,1660000,1660000,1660000,1660000,5020,5020
252,88536,1670000,1670000,1670000,1670000,5040,5040
253,88842,1680000,1680000,1680000,1680000,5060,5060
254,89148,1690000,1690000,1690000,1690000,5080,5080
255,89454,1700000,1700000,1700000,1700000,5100,5100
256,89760,1710000,1710000,1710000,1710000,5120,5120
257,90066,1720000,1720000,1720000,1720000,5140,5140
258,90372,1730000,1730000,1730000,1730000,5160,5160
259,90678,1740000,1740000,1740000,1740000,5180,5180
260,90984,1750000,1750000,1750000,1750000,5200,5200
261,91000,1760000,1760000,1760000,1760000,5220,5220
262,91104,1770000,1770000,1770000,1770000,5240,5240
263,91208,1780000,1780000,1780000,1780000,5260,5260
264,91312,1790000,1790000,1790000,1790000,5280,5280
265,91416,1800000,1800000,1800000,1800000,5300,5300
266,91520,1810000,1810000,1810000,1810000,5320,5320
267,91624,1820000,1820000,1820000,1820000,5340,5340
268,91728,1830000,1830000,1830000,1830000,5360,5360
269,91832,1840000,1840000,1840000,1840000,5380,5380
270,91936,1850000,1850000,1850000,1850000,5400,5400
271,92040,1860000,1860000,1860000,1860000,5420,5420
272,92144,1870000,1870000,1870000,1870000,5440,5440
273,92248,1880000,1880000,1880000,1880000,5460,5460
274,92352,1890000,1890000,1890000,1890000,5480,5480
275,92456,1900000,1900000,1900000,1900000,5500,5500
276,92600,1910000,1910000,1910000,1910000,5520,5520
277,92886,1920000,1920000,1920000,1920000,5540,5540
278,93172,1930000,1930000,1930000,1930000,5560,5560
279,93458,1940000,1940000,1940000,1940000,5580,5580
280,93744,1950000,1950000,1950000,1950000,5600,5600
281,94030,1960000,1960000,1960000,1960000,5620,5620
282,94316,1970000,1970000,1970000,1970000,5640,5640
283,94602,1980000,1980000,1980000,1980000,5660,5660
284,94888,1990000,1990000,1990000,1990000,5680,5680
285,95174,2000000,2000000,2000000,2000000,5700,5700
286,95460,2010000,2010000,2010000,2010000,5720,5720
287,95746,2020000,2020000,2020000,2020000,5740,5740
288,96032,2030000,2030000,2030000,2030000,5760,5760
289,96318,2040000,2040000,2040000,2040000,5780,5780
290,96604,2050000,2050000,2050000,2050000,5800,5800
291,96800,2060000,2060000,2060000,2060000,5820,5820
292,96829,2070000,2070000,2070000,2070000,5840,5840
293,96858,2080000,2080000,2080000,2080000,5860,5860
294,96887,2090000,2090000,2090000,2090000,5880,5880
295,96916,2100000,2100000,2100000,2100000,5900,5900
296,96945,2110000,2110000,2110000,2110000,5920,5920
297,96974,2120000,2120000,2120000,2120000,5940,5940
298,97003,2130000,2130000,2130000,2130000,5960,5960
299,97032,2140000,2140000,2140000,2140000,5980,5980
300,97061,2150000,2150000,2150000,2150000,6000,6000
301,97090,2160000,2160000,2160000,2160000,6020,6020
302,97119,2170000,2170000,2170000,2170000,6040,6040
303,97148,2180000,2180000,2180000,2180000,6060,6060
304,97177,2190000,2190000,2190000,2190000,6080,6080
305,97206,2200000,2200000,2200000,2200000,6100,6100
306,97400,2210000,2210000,2210000,2210000,6120,6120
307,97686,2220000,2220000,2220000,2220000,6140,6140
308,97972,2230000,2230000,2230000,2230000,6160,6160
309,98258,2240000,2240000,2240000,2240000,6180,6180
310,98544,2250000,2250000,2250000,2250000,6200,6200
311,98830,2260000,2260000,2260000,2260000,6220,6220
312,99116,2270000,2270000,2270000,2270000,6240,6240
313,99402,2280000,2280000,2280000,2280000,6260,6260
314,99688,2290000,2290000,2290000,2290000,6280,6280
315,99974,2300000,2300000,2300000,2300000,6300,6300
316,100260,2310000,2310000,2310000,2310000,6320,6320
317,100546,2320000,2320000,2320000,2320000,6340,6340
318,100832,2330000,2330000,2330000,2330000,6360,6360
319,101118,2340000,2340000,2340000,2340000,6380,6380
320,101404,2350000,2350000,2350000,2350000,6400,6400
321,101500,2360000,2360000,2360000,2360000,6420,6420
322,101544,2370000,2370000,2370000,2370000,6440,6440
323,101588,2380000,2380000,2380000,2380000,6460,6460
324,101632,2390000,2390000,2390000,2390000,6480,6480
325,101676,2400000,2400000,2400000,2400000,6500,6500
326,101720,2410000,2410000,2410000,2410000,6520,6520
327,101764,2420000,2420000,2420000,2420000,6540,6540
328,101808,2430000,2430000,2430000,2430000,6560,6560
329,101852,2440000,2440000,2440000,2440000,6580,6580
330,101896,2450000,2450000,2450000,2450000,6600,6600
331,101940,2460000,2460000,2460000,2460000,6620,6620
332,101984,2470000,2470000,2470000,2470000,6640,6640
333,102028,2480000,2480000,2480000,2480000,6660,6660
334,102072,2490000,2490000,2490000,2490000,6680,6680
335,102116,2500000,2500000,2500000,2500000,6700,6700
336,102300,2510000,2510000,2510000,2510000,6720,6720
337,102476,2520000,2520000,2520000,2520000,6740,6740
338,102652,2530000,2530000,2530000,2530000,6760,6760
339,102828,2540000,2540000,2540000,2540000,6780,6780
340,103004,2550000,2550000,2550000,2550000,6800,6800
341,103180,2560000,2560000,2560000,2560000,6820,6820
342,103356,2570000,2570000,2570000,2570000,6840,6840
343,103532,2580000,2580000,2580000,2580000,6860,6860
344,103708,2590000,2590000,2590000,2590000,6880,6880
345,103884,2600000,2600000,2600000,2600000,6900,6900
346,104060,2610000,2610000,2610000,2610000,6920,6920
347,104236,2620000,2620000,2620000,2620000,6940,6940
348,104412,2630000,2630000,2630000,2630000,6960,6960
349,104588,2640000,2640000,2640000,2640000,6980,6980
350,104764,2650000,2650000,2650000,2650000,7000,7000
351,104900,2660000,2660000,2660000,2660000,7020,7020
352,104952,2670000,2670000,2670000,2670000,7040,7040
353,105004,2680000,2680000,2680000,2680000,7060,7060
354,105056,2690000,2690000,2690000,2690000,7080,7080
355,105108,2700000,2700000,2700000,2700000,7100,7100
356,105160,2710000,2710000,2710000,2710000,7120,7120
357,105212,2720000,2720000,2720000,2720000,7140,7140
358,105264,2730000,2730000,2730000,2730000,7160,7160
359,105316,2740000,2740000,2740000,2740000,7180,7180
360,105368,2750000,2750000,2750000,2750000,7200,7200
361,105420,2760000,2760000,2760000,2760000,7220,7220
362,105472,2770000,2770000,2770000,2770000,7240,7240
363,105524,2780000,2780000,2780000,2780000,7260,7260
364,105576,2790000,2790000,2790000,2790000,7280,7280
365,105628,2800000,2800000,2800000,2800000,7300,7300
366,105800,2810000,2810000,2810000,2810000,7320,7320
367,105970,2820000,2820000,2820000,2820000,7340,7340
368,106140,2830000,2830000,2830000,2830000,7360,7360
369,106310,2840000,2840000,2840000,2840000,7380,7380
370,106480,2850000,2850000,2850000,2850000,7400,7400
371,106650,2860000,2860000,2860000,2860000,7420,7420
372,106820,2870000,2870000,2870000,2870000,7440,7440
373,106990,2880000,2880000,2880000,2880000,7460,7460
374,107160,2890000,2890000,2890000,2890000,7480,7480
375,107330,2900000,2900000,2900000,2900000,7500,7500
376,107500,2910000,2910000,2910000,2910000,7520,7520
377,107670,2920000,2920000,2920000,2920000,7540,7540
378,107840,2930000,2930000,2930000,2930000,7560,7560
379,108010,2940000,2940000,2940000,2940000,7580,7580
380,108180,2950000,2950000,2950000,2950000,7600,7600
381,108300,2960000,2960000,2960000,2960000,7620,7620
382,108360,2970000,2970000,2970000,2970000,7640,7640
383,108420,2980000,2980000,2980000,2980000,7660,7660
384,108480,2990000,2990000,2990000,2990000,7680,7680
385,108540,3000000,3000000,3000000,3000000,7700,7700
386,108600,3010000,3010000,3010000,3010000,7720,7720
387,108660,3020000,3020000,3020000,3020000,7740,7740
388,108720,3030000,3030000,3030000,3030000,7760,7760
389,108780,3040000,3040000,3040000,3040000,7780,7780
390,108840,3050000,3050000,3050000,3050000,7800,7800
391,108900,3060000,3060000,3060000,3060000,7820,7820
392,108960,3070000,3070000,3070000,3070000,7840,7840
393,109020,3080000,3080000,3080000,3080000,7860,7860
394,109080,3090000,3090000,3090000,3090000,7880,7880
395,109140,3100000,3100000,3100000,3100000,7900,7900
396,110000,3110000,3110000,3110000,3110000,7920,7920
397,221133,3120000,3120000,3120000,3120000,7940,7940
398,332266,3130000,3130000,3130000,3130000,7960,7960
399,443399,3140000,3140000,3140000,3140000,7980,7980
400,554532,3150000,3150000,3150000,3150000,8000,8000
