team_id,npc_level,npc_name,npc_name_after,if_monster,npc_ids
10039,200,1-Team Challenge,39-1,0,103901|103902|103903|103904|103905|103906
10040,200,1-Team Challenge,40-1,1,104001
10041,200,1-Team Challenge,41-1,0,104101|104102|104103|104104|104105|104106
10042,200,1-Team Challenge,42-1,0,104201|104202|104203|104204|104205|104206
10043,200,1-Team Challenge,43-1,0,104301|104302|104303|104304|104305|104306
10044,200,1-Team Challenge,44-1,0,104401|104402|104403|104404|104405|104406
10045,200,1-Team Challenge,45-1,1,104501
10046,200,1-Team Challenge,46-1,0,104601|104602|104603|104604|104605|104606
10047,200,1-Team Challenge,47-1,0,104701|104702|104703|104704|104705|104706
10048,200,1-Team Challenge,48-1,0,104801|104802|104803|104804|104805|104806
10049,200,1-Team Challenge,49-1,0,104901|104902|104903|104904|104905|104906
10050,200,1-Team Challenge,50-1,1,105001
10051,200,1-Team Challenge,51-1,0,105101|105102|105103|105104|105105|105106
10052,200,1-Team Challenge,52-1,0,105201|105202|105203|105204|105205|105206
10053,200,1-Team Challenge,53-1,0,105301|105302|105303|105304|105305|105306
10054,200,1-Team Challenge,54-1,0,105401|105402|105403|105404|105405|105406
10055,200,1-Team Challenge,55-1,1,105501
10056,200,1-Team Challenge,56-1,0,105601|105602|105603|105604|105605|105606
10057,200,1-Team Challenge,57-1,0,105701|105702|105703|105704|105705|105706
10058,200,1-Team Challenge,58-1,0,105801|105802|105803|105804|105805|105806
10059,200,1-Team Challenge,59-1,0,105901|105902|105903|105904|105905|105906
10060,200,1-Team Challenge,60-1,1,106001
10061,200,1-Team Challenge,61-1,0,106101|106102|106103|106104|106105|106106
10062,200,1-Team Challenge,62-1,0,106201|106202|106203|106204|106205|106206
10063,200,1-Team Challenge,63-1,0,106301|106302|106303|106304|106305|106306
10064,200,1-Team Challenge,64-1,0,106401|106402|106403|106404|106405|106406
10065,200,1-Team Challenge,65-1,1,106501
10066,200,1-Team Challenge,66-1,0,106601|106602|106603|106604|106605|106606
10067,200,1-Team Challenge,67-1,0,106701|106702|106703|106704|106705|106706
10068,200,1-Team Challenge,68-1,0,106801|106802|106803|106804|106805|106806
10069,200,1-Team Challenge,69-1,0,106901|106902|106903|106904|106905|106906
10070,200,1-Team Challenge,70-1,1,107001
10071,200,1-Team Challenge,71-1,0,107101|107102|107103|107104|107105|107106
10072,200,1-Team Challenge,72-1,0,107201|107202|107203|107204|107205|107206
10073,200,1-Team Challenge,73-1,0,107301|107302|107303|107304|107305|107306
10074,200,1-Team Challenge,74-1,0,107401|107402|107403|107404|107405|107406
10075,200,1-Team Challenge,75-1,1,107501
10076,200,1-Team Challenge,76-1,0,107601|107602|107603|107604|107605|107606
10077,200,1-Team Challenge,77-1,0,107701|107702|107703|107704|107705|107706
10078,200,1-Team Challenge,78-1,0,107801|107802|107803|107804|107805|107806
10079,200,1-Team Challenge,79-1,0,107901|107902|107903|107904|107905|107906
10080,200,1-Team Challenge,80-1,1,108001
10081,200,1-Team Challenge,81-1,0,108101|108102|108103|108104|108105|108106
10082,200,1-Team Challenge,82-1,0,108201|108202|108203|108204|108205|108206
10083,200,1-Team Challenge,83-1,0,108301|108302|108303|108304|108305|108306
10084,200,1-Team Challenge,84-1,0,108401|108402|108403|108404|108405|108406
10085,200,1-Team Challenge,85-1,1,108501
10086,200,1-Team Challenge,86-1,0,108601|108602|108603|108604|108605|108606
10087,200,1-Team Challenge,87-1,0,108701|108702|108703|108704|108705|108706
10088,200,1-Team Challenge,88-1,0,108801|108802|108803|108804|108805|108806
10089,200,1-Team Challenge,89-1,0,108901|108902|108903|108904|108905|108906
10090,200,1-Team Challenge,90-1,1,109001
10091,200,1-Team Challenge,91-1,0,109101|109102|109103|109104|109105|109106
10092,200,1-Team Challenge,92-1,0,109201|109202|109203|109204|109205|109206
10093,200,1-Team Challenge,93-1,0,109301|109302|109303|109304|109305|109306
10094,200,1-Team Challenge,94-1,0,109401|109402|109403|109404|109405|109406
10095,200,1-Team Challenge,95-1,1,109501
10096,200,1-Team Challenge,96-1,0,109601|109602|109603|109604|109605|109606
10097,200,1-Team Challenge,97-1,0,109701|109702|109703|109704|109705|109706
10098,200,1-Team Challenge,98-1,0,109801|109802|109803|109804|109805|109806
10099,200,1-Team Challenge,99-1,0,109901|109902|109903|109904|109905|109906
10100,200,1-Team Challenge,100-1,1,110001
10101,200,1-Team Challenge,101-1,0,110101|110102|110103|110104|110105|110106
10102,200,1-Team Challenge,102-1,0,110201|110202|110203|110204|110205|110206
10103,200,1-Team Challenge,103-1,0,110301|110302|110303|110304|110305|110306
10104,200,1-Team Challenge,104-1,0,110401|110402|110403|110404|110405|110406
10105,200,1-Team Challenge,105-1,1,110501
10106,200,1-Team Challenge,106-1,0,110601|110602|110603|110604|110605|110606
10107,200,1-Team Challenge,107-1,0,110701|110702|110703|110704|110705|110706
10108,200,1-Team Challenge,108-1,0,110801|110802|110803|110804|110805|110806
10109,200,1-Team Challenge,109-1,0,110901|110902|110903|110904|110905|110906
10110,200,1-Team Challenge,110-1,1,111001
10111,200,1-Team Challenge,111-1,0,111101|111102|111103|111104|111105|111106
10112,200,1-Team Challenge,112-1,0,111201|111202|111203|111204|111205|111206
10113,200,1-Team Challenge,113-1,0,111301|111302|111303|111304|111305|111306
10114,200,1-Team Challenge,114-1,0,111401|111402|111403|111404|111405|111406
10115,200,1-Team Challenge,115-1,1,111501
10116,200,1-Team Challenge,116-1,0,111601|111602|111603|111604|111605|111606
10117,200,1-Team Challenge,117-1,0,111701|111702|111703|111704|111705|111706
10118,200,1-Team Challenge,118-1,0,111801|111802|111803|111804|111805|111806
10119,200,1-Team Challenge,119-1,0,111901|111902|111903|111904|111905|111906
10120,200,1-Team Challenge,120-1,1,112001
10121,200,1-Team Challenge,121-1,0,112101|112102|112103|112104|112105|112106
10122,200,1-Team Challenge,122-1,0,112201|112202|112203|112204|112205|112206
10123,200,1-Team Challenge,123-1,0,112301|112302|112303|112304|112305|112306
10124,200,1-Team Challenge,124-1,0,112401|112402|112403|112404|112405|112406
10125,200,1-Team Challenge,125-1,1,112501
10126,200,1-Team Challenge,126-1,0,112601|112602|112603|112604|112605|112606
10127,200,1-Team Challenge,127-1,0,112701|112702|112703|112704|112705|112706
10128,200,1-Team Challenge,128-1,0,112801|112802|112803|112804|112805|112806
10129,200,1-Team Challenge,129-1,0,112901|112902|112903|112904|112905|112906
10130,200,1-Team Challenge,130-1,1,113001
10131,200,1-Team Challenge,131-1,0,113101|113102|113103|113104|113105|113106
10132,200,1-Team Challenge,132-1,0,113201|113202|113203|113204|113205|113206
10133,200,1-Team Challenge,133-1,0,113301|113302|113303|113304|113305|113306
10134,200,1-Team Challenge,134-1,0,113401|113402|113403|113404|113405|113406
10135,200,1-Team Challenge,135-1,1,113501
10136,200,1-Team Challenge,136-1,0,113601|113602|113603|113604|113605|113606
10137,200,1-Team Challenge,137-1,0,113701|113702|113703|113704|113705|113706
10138,200,1-Team Challenge,138-1,0,113801|113802|113803|113804|113805|113806
10139,200,1-Team Challenge,139-1,0,113901|113902|113903|113904|113905|113906
10140,200,1-Team Challenge,140-1,1,114001
10141,200,1-Team Challenge,141-1,0,114101|114102|114103|114104|114105|114106
10142,200,1-Team Challenge,142-1,0,114201|114202|114203|114204|114205|114206
10143,200,1-Team Challenge,143-1,0,114301|114302|114303|114304|114305|114306
10144,200,1-Team Challenge,144-1,0,114401|114402|114403|114404|114405|114406
10145,200,1-Team Challenge,145-1,1,114501
10146,200,1-Team Challenge,146-1,0,114601|114602|114603|114604|114605|114606
10147,200,1-Team Challenge,147-1,0,114701|114702|114703|114704|114705|114706
10148,200,1-Team Challenge,148-1,0,114801|114802|114803|114804|114805|114806
10149,200,1-Team Challenge,149-1,0,114901|114902|114903|114904|114905|114906
10150,200,1-Team Challenge,150-1,1,115001
10151,200,1-Team Challenge,151-1,0,115101|115102|115103|115104|115105|115106
10152,200,1-Team Challenge,152-1,0,115201|115202|115203|115204|115205|115206
10153,200,1-Team Challenge,153-1,0,115301|115302|115303|115304|115305|115306
10154,200,1-Team Challenge,154-1,0,115401|115402|115403|115404|115405|115406
10155,200,1-Team Challenge,155-1,1,115501
10156,200,1-Team Challenge,156-1,0,115601|115602|115603|115604|115605|115606
10157,200,1-Team Challenge,157-1,0,115701|115702|115703|115704|115705|115706
10158,200,1-Team Challenge,158-1,0,115801|115802|115803|115804|115805|115806
10159,200,1-Team Challenge,159-1,0,115901|115902|115903|115904|115905|115906
10160,200,1-Team Challenge,160-1,1,116001
10161,200,1-Team Challenge,161-1,0,116101|116102|116103|116104|116105|116106
10162,200,1-Team Challenge,162-1,0,116201|116202|116203|116204|116205|116206
10163,200,1-Team Challenge,163-1,0,116301|116302|116303|116304|116305|116306
10164,200,1-Team Challenge,164-1,0,116401|116402|116403|116404|116405|116406
10165,200,1-Team Challenge,165-1,1,116501
10166,200,1-Team Challenge,166-1,0,116601|116602|116603|116604|116605|116606
10167,200,1-Team Challenge,167-1,0,116701|116702|116703|116704|116705|116706
10168,200,1-Team Challenge,168-1,0,116801|116802|116803|116804|116805|116806
10169,200,1-Team Challenge,169-1,0,116901|116902|116903|116904|116905|116906
10170,200,1-Team Challenge,170-1,1,117001
10171,200,1-Team Challenge,171-1,0,117101|117102|117103|117104|117105|117106
10172,200,1-Team Challenge,172-1,0,117201|117202|117203|117204|117205|117206
10173,200,1-Team Challenge,173-1,0,117301|117302|117303|117304|117305|117306
10174,200,1-Team Challenge,174-1,0,117401|117402|117403|117404|117405|117406
10175,200,1-Team Challenge,175-1,1,117501
10176,200,1-Team Challenge,176-1,0,117601|117602|117603|117604|117605|117606
10177,200,1-Team Challenge,177-1,0,117701|117702|117703|117704|117705|117706
10178,200,1-Team Challenge,178-1,0,117801|117802|117803|117804|117805|117806
10179,200,1-Team Challenge,179-1,0,117901|117902|117903|117904|117905|117906
10180,200,1-Team Challenge,180-1,1,118001
10181,200,1-Team Challenge,181-1,0,118101|118102|118103|118104|118105|118106
10182,200,1-Team Challenge,182-1,0,118201|118202|118203|118204|118205|118206
10183,200,1-Team Challenge,183-1,0,118301|118302|118303|118304|118305|118306
10184,200,1-Team Challenge,184-1,0,118401|118402|118403|118404|118405|118406
10185,200,1-Team Challenge,185-1,1,118501
10186,200,1-Team Challenge,186-1,0,118601|118602|118603|118604|118605|118606
10187,200,1-Team Challenge,187-1,0,118701|118702|118703|118704|118705|118706
10188,200,1-Team Challenge,188-1,0,118801|118802|118803|118804|118805|118806
10189,200,1-Team Challenge,189-1,0,118901|118902|118903|118904|118905|118906
10190,200,1-Team Challenge,190-1,1,119001
10191,200,1-Team Challenge,191-1,0,119101|119102|119103|119104|119105|119106
10192,200,1-Team Challenge,192-1,0,119201|119202|119203|119204|119205|119206
10193,200,1-Team Challenge,193-1,0,119301|119302|119303|119304|119305|119306
10194,200,1-Team Challenge,194-1,0,119401|119402|119403|119404|119405|119406
10195,200,1-Team Challenge,195-1,1,119501
10196,200,1-Team Challenge,196-1,0,119601|119602|119603|119604|119605|119606
10197,200,1-Team Challenge,197-1,0,119701|119702|119703|119704|119705|119706
10198,200,1-Team Challenge,198-1,0,119801|119802|119803|119804|119805|119806
10199,200,1-Team Challenge,199-1,0,119901|119902|119903|119904|119905|119906
10200,200,1-Team Challenge,200-1,1,120001
10201,200,1-Team Challenge,201-1,0,120101|120102|120103|120104|120105|120106
10202,200,1-Team Challenge,202-1,0,120201|120202|120203|120204|120205|120206
10203,200,1-Team Challenge,203-1,0,120301|120302|120303|120304|120305|120306
10204,200,1-Team Challenge,204-1,0,120401|120402|120403|120404|120405|120406
10205,200,1-Team Challenge,205-1,1,120501
10206,200,1-Team Challenge,206-1,0,120601|120602|120603|120604|120605|120606
10207,200,1-Team Challenge,207-1,0,120701|120702|120703|120704|120705|120706
10208,200,1-Team Challenge,208-1,0,120801|120802|120803|120804|120805|120806
10209,200,1-Team Challenge,209-1,0,120901|120902|120903|120904|120905|120906
10210,200,1-Team Challenge,210-1,1,121001
10211,200,1-Team Challenge,211-1,0,121101|121102|121103|121104|121105|121106
10212,200,1-Team Challenge,212-1,0,121201|121202|121203|121204|121205|121206
10213,200,1-Team Challenge,213-1,0,121301|121302|121303|121304|121305|121306
10214,200,1-Team Challenge,214-1,0,121401|121402|121403|121404|121405|121406
10215,200,1-Team Challenge,215-1,1,121501
10216,200,1-Team Challenge,216-1,0,121601|121602|121603|121604|121605|121606
10217,200,1-Team Challenge,217-1,0,121701|121702|121703|121704|121705|121706
10218,200,1-Team Challenge,218-1,0,121801|121802|121803|121804|121805|121806
10219,200,1-Team Challenge,219-1,0,121901|121902|121903|121904|121905|121906
10220,200,1-Team Challenge,220-1,1,122001
10221,200,1-Team Challenge,221-1,0,122101|122102|122103|122104|122105|122106
10222,200,1-Team Challenge,222-1,0,122201|122202|122203|122204|122205|122206
10223,200,1-Team Challenge,223-1,0,122301|122302|122303|122304|122305|122306
10224,200,1-Team Challenge,224-1,0,122401|122402|122403|122404|122405|122406
10225,200,1-Team Challenge,225-1,1,122501
10226,200,1-Team Challenge,226-1,0,122601|122602|122603|122604|122605|122606
10227,200,1-Team Challenge,227-1,0,122701|122702|122703|122704|122705|122706
10228,200,1-Team Challenge,228-1,0,122801|122802|122803|122804|122805|122806
10229,200,1-Team Challenge,229-1,0,122901|122902|122903|122904|122905|122906
10230,200,1-Team Challenge,230-1,1,123001
10231,200,1-Team Challenge,231-1,0,123101|123102|123103|123104|123105|123106
10232,200,1-Team Challenge,232-1,0,123201|123202|123203|123204|123205|123206
10233,200,1-Team Challenge,233-1,0,123301|123302|123303|123304|123305|123306
10234,200,1-Team Challenge,234-1,0,123401|123402|123403|123404|123405|123406
10235,200,1-Team Challenge,235-1,1,123501
10236,200,1-Team Challenge,236-1,0,123601|123602|123603|123604|123605|123606
10237,200,1-Team Challenge,237-1,0,123701|123702|123703|123704|123705|123706
10238,200,1-Team Challenge,238-1,0,123801|123802|123803|123804|123805|123806
10239,200,1-Team Challenge,239-1,0,123901|123902|123903|123904|123905|123906
10240,200,1-Team Challenge,240-1,1,124001
10241,200,1-Team Challenge,241-1,0,124101|124102|124103|124104|124105|124106
10242,200,1-Team Challenge,242-1,0,124201|124202|124203|124204|124205|124206
10243,200,1-Team Challenge,243-1,0,124301|124302|124303|124304|124305|124306
10244,200,1-Team Challenge,244-1,0,124401|124402|124403|124404|124405|124406
10245,200,1-Team Challenge,245-1,1,124501
10246,200,1-Team Challenge,246-1,0,124601|124602|124603|124604|124605|124606
10247,200,1-Team Challenge,247-1,0,124701|124702|124703|124704|124705|124706
10248,200,1-Team Challenge,248-1,0,124801|124802|124803|124804|124805|124806
10249,200,1-Team Challenge,249-1,0,124901|124902|124903|124904|124905|124906
10250,200,1-Team Challenge,250-1,1,125001
10251,200,1-Team Challenge,251-1,0,125101|125102|125103|125104|125105|125106
10252,200,1-Team Challenge,252-1,0,125201|125202|125203|125204|125205|125206
10253,200,1-Team Challenge,253-1,0,125301|125302|125303|125304|125305|125306
10254,200,1-Team Challenge,254-1,0,125401|125402|125403|125404|125405|125406
10255,200,1-Team Challenge,255-1,1,125501
10256,200,1-Team Challenge,256-1,0,125601|125602|125603|125604|125605|125606
10257,200,1-Team Challenge,257-1,0,125701|125702|125703|125704|125705|125706
10258,200,1-Team Challenge,258-1,0,125801|125802|125803|125804|125805|125806
10259,200,1-Team Challenge,259-1,0,125901|125902|125903|125904|125905|125906
10260,200,1-Team Challenge,260-1,1,126001
10261,200,1-Team Challenge,261-1,0,126101|126102|126103|126104|126105|126106
10262,200,1-Team Challenge,262-1,0,126201|126202|126203|126204|126205|126206
10263,200,1-Team Challenge,263-1,0,126301|126302|126303|126304|126305|126306
10264,200,1-Team Challenge,264-1,0,126401|126402|126403|126404|126405|126406
10265,200,1-Team Challenge,265-1,1,126501
10266,200,1-Team Challenge,266-1,0,126601|126602|126603|126604|126605|126606
10267,200,1-Team Challenge,267-1,0,126701|126702|126703|126704|126705|126706
10268,200,1-Team Challenge,268-1,0,126801|126802|126803|126804|126805|126806
10269,200,1-Team Challenge,269-1,0,126901|126902|126903|126904|126905|126906
10270,200,1-Team Challenge,270-1,1,127001
10271,200,1-Team Challenge,271-1,0,127101|127102|127103|127104|127105|127106
10272,200,1-Team Challenge,272-1,0,127201|127202|127203|127204|127205|127206
10273,200,1-Team Challenge,273-1,0,127301|127302|127303|127304|127305|127306
10274,200,1-Team Challenge,274-1,0,127401|127402|127403|127404|127405|127406
10275,200,1-Team Challenge,275-1,1,127501
10276,200,1-Team Challenge,276-1,0,127601|127602|127603|127604|127605|127606
10277,200,1-Team Challenge,277-1,0,127701|127702|127703|127704|127705|127706
10278,200,1-Team Challenge,278-1,0,127801|127802|127803|127804|127805|127806
10279,200,1-Team Challenge,279-1,0,127901|127902|127903|127904|127905|127906
10280,200,1-Team Challenge,280-1,1,128001
10281,200,1-Team Challenge,281-1,0,128101|128102|128103|128104|128105|128106
10282,200,1-Team Challenge,282-1,0,128201|128202|128203|128204|128205|128206
10283,200,1-Team Challenge,283-1,0,128301|128302|128303|128304|128305|128306
10284,200,1-Team Challenge,284-1,0,128401|128402|128403|128404|128405|128406
10285,200,1-Team Challenge,285-1,1,128501
10286,200,1-Team Challenge,286-1,0,128601|128602|128603|128604|128605|128606
10287,200,1-Team Challenge,287-1,0,128701|128702|128703|128704|128705|128706
10288,200,1-Team Challenge,288-1,0,128801|128802|128803|128804|128805|128806
10289,200,1-Team Challenge,289-1,0,128901|128902|128903|128904|128905|128906
10290,200,1-Team Challenge,290-1,1,129001
10291,200,1-Team Challenge,291-1,0,129101|129102|129103|129104|129105|129106
10292,200,1-Team Challenge,292-1,0,129201|129202|129203|129204|129205|129206
10293,200,1-Team Challenge,293-1,0,129301|129302|129303|129304|129305|129306
10294,200,1-Team Challenge,294-1,0,129401|129402|129403|129404|129405|129406
10295,200,1-Team Challenge,295-1,1,129501
10296,200,1-Team Challenge,296-1,0,129601|129602|129603|129604|129605|129606
10297,200,1-Team Challenge,297-1,0,129701|129702|129703|129704|129705|129706
10298,200,1-Team Challenge,298-1,0,129801|129802|129803|129804|129805|129806
10299,200,1-Team Challenge,299-1,0,129901|129902|129903|129904|129905|129906
10300,200,1-Team Challenge,300-1,1,130001
20001,200,2-Team Challenge,1-1,0,200101|200102|200103|200104|200105|200106
20002,200,2-Team Challenge,1-2,0,200107|200108|200109|200110|200111|200112
20003,200,2-Team Challenge,2-1,0,200201|200202|200203|200204|200205|200206
20004,200,2-Team Challenge,2-2,0,200207|200208|200209|200210|200211|200212
20005,200,2-Team Challenge,3-1,0,200301|200302|200303|200304|200305|200306
20006,200,2-Team Challenge,3-2,0,200307|200308|200309|200310|200311|200312
20007,200,2-Team Challenge,4-1,0,200401|200402|200403|200404|200405|200406
20008,200,2-Team Challenge,4-2,0,200407|200408|200409|200410|200411|200412
20009,200,2-Team Challenge,5-1,1,200501
20010,200,2-Team Challenge,5-2,1,200502
20011,200,2-Team Challenge,6-1,0,200601|200602|200603|200604|200605|200606
20012,200,2-Team Challenge,6-2,0,200607|200608|200609|200610|200611|200612
20013,200,2-Team Challenge,7-1,0,200701|200702|200703|200704|200705|200706
20014,200,2-Team Challenge,7-2,0,200707|200708|200709|200710|200711|200712
20015,200,2-Team Challenge,8-1,0,200801|200802|200803|200804|200805|200806
20016,200,2-Team Challenge,8-2,0,200807|200808|200809|200810|200811|200812
20017,200,2-Team Challenge,9-1,0,200901|200902|200903|200904|200905|200906
20018,200,2-Team Challenge,9-2,0,200907|200908|200909|200910|200911|200912
20019,200,2-Team Challenge,10-1,1,201001
20020,200,2-Team Challenge,10-2,1,201002
20021,200,2-Team Challenge,11-1,0,201101|201102|201103|201104|201105|201106
20022,200,2-Team Challenge,11-2,0,201107|201108|201109|201110|201111|201112
20023,200,2-Team Challenge,12-1,0,201201|201202|201203|201204|201205|201206
20024,200,2-Team Challenge,12-2,0,201207|201208|201209|201210|201211|201212
20025,200,2-Team Challenge,13-1,0,201301|201302|201303|201304|201305|201306
20026,200,2-Team Challenge,13-2,0,201307|201308|201309|201310|201311|201312
20027,200,2-Team Challenge,14-1,0,201401|201402|201403|201404|201405|201406
20028,200,2-Team Challenge,14-2,0,201407|201408|201409|201410|201411|201412
20029,200,2-Team Challenge,15-1,1,201501
20030,200,2-Team Challenge,15-2,1,201502
20031,200,2-Team Challenge,16-1,0,201601|201602|201603|201604|201605|201606
20032,200,2-Team Challenge,16-2,0,201607|201608|201609|201610|201611|201612
20033,200,2-Team Challenge,17-1,0,201701|201702|201703|201704|201705|201706
20034,200,2-Team Challenge,17-2,0,201707|201708|201709|201710|201711|201712
20035,200,2-Team Challenge,18-1,0,201801|201802|201803|201804|201805|201806
20036,200,2-Team Challenge,18-2,0,201807|201808|201809|201810|201811|201812
20037,200,2-Team Challenge,19-1,0,201901|201902|201903|201904|201905|201906
20038,200,2-Team Challenge,19-2,0,201907|201908|201909|201910|201911|201912
20039,200,2-Team Challenge,20-1,1,202001
20040,200,2-Team Challenge,20-2,1,202002
20041,200,2-Team Challenge,21-1,0,202101|202102|202103|202104|202105|202106
20042,200,2-Team Challenge,21-2,0,202107|202108|202109|202110|202111|202112
20043,200,2-Team Challenge,22-1,0,202201|202202|202203|202204|202205|202206
20044,200,2-Team Challenge,22-2,0,202207|202208|202209|202210|202211|202212
20045,200,2-Team Challenge,23-1,0,202301|202302|202303|202304|202305|202306
20046,200,2-Team Challenge,23-2,0,202307|202308|202309|202310|202311|202312
20047,200,2-Team Challenge,24-1,0,202401|202402|202403|202404|202405|202406
20048,200,2-Team Challenge,24-2,0,202407|202408|202409|202410|202411|202412
20049,200,2-Team Challenge,25-1,1,202501
20050,200,2-Team Challenge,25-2,1,202502
20051,200,2-Team Challenge,26-1,0,202601|202602|202603|202604|202605|202606
20052,200,2-Team Challenge,26-2,0,202607|202608|202609|202610|202611|202612
20053,200,2-Team Challenge,27-1,0,202701|202702|202703|202704|202705|202706
20054,200,2-Team Challenge,27-2,0,202707|202708|202709|202710|202711|202712
20055,200,2-Team Challenge,28-1,0,202801|202802|202803|202804|202805|202806
20056,200,2-Team Challenge,28-2,0,202807|202808|202809|202810|202811|202812
20057,200,2-Team Challenge,29-1,0,202901|202902|202903|202904|202905|202906
20058,200,2-Team Challenge,29-2,0,202907|202908|202909|202910|202911|202912
20059,200,2-Team Challenge,30-1,1,203001
20060,200,2-Team Challenge,30-2,1,203002
20061,200,2-Team Challenge,31-1,0,203101|203102|203103|203104|203105|203106
20062,200,2-Team Challenge,31-2,0,203107|203108|203109|203110|203111|203112
20063,200,2-Team Challenge,32-1,0,203201|203202|203203|203204|203205|203206
20064,200,2-Team Challenge,32-2,0,203207|203208|203209|203210|203211|203212
20065,200,2-Team Challenge,33-1,0,203301|203302|203303|203304|203305|203306
20066,200,2-Team Challenge,33-2,0,203307|203308|203309|203310|203311|203312
20067,200,2-Team Challenge,34-1,0,203401|203402|203403|203404|203405|203406
20068,200,2-Team Challenge,34-2,0,203407|203408|203409|203410|203411|203412
20069,200,2-Team Challenge,35-1,1,203501
20070,200,2-Team Challenge,35-2,1,203502
20071,200,2-Team Challenge,36-1,0,203601|203602|203603|203604|203605|203606
20072,200,2-Team Challenge,36-2,0,203607|203608|203609|203610|203611|203612
20073,200,2-Team Challenge,37-1,0,203701|203702|203703|203704|203705|203706
20074,200,2-Team Challenge,37-2,0,203707|203708|203709|203710|203711|203712
20075,200,2-Team Challenge,38-1,0,203801|203802|203803|203804|203805|203806
20076,200,2-Team Challenge,38-2,0,203807|203808|203809|203810|203811|203812
20077,200,2-Team Challenge,39-1,0,203901|203902|203903|203904|203905|203906
20078,200,2-Team Challenge,39-2,0,203907|203908|203909|203910|203911|203912
20079,200,2-Team Challenge,40-1,1,204001
20080,200,2-Team Challenge,40-2,1,204002
20081,200,2-Team Challenge,41-1,0,204101|204102|204103|204104|204105|204106
20082,200,2-Team Challenge,41-2,0,204107|204108|204109|204110|204111|204112
20083,200,2-Team Challenge,42-1,0,204201|204202|204203|204204|204205|204206
20084,200,2-Team Challenge,42-2,0,204207|204208|204209|204210|204211|204212
20085,200,2-Team Challenge,43-1,0,204301|204302|204303|204304|204305|204306
20086,200,2-Team Challenge,43-2,0,204307|204308|204309|204310|204311|204312
20087,200,2-Team Challenge,44-1,0,204401|204402|204403|204404|204405|204406
20088,200,2-Team Challenge,44-2,0,204407|204408|204409|204410|204411|204412
20089,200,2-Team Challenge,45-1,1,204501
20090,200,2-Team Challenge,45-2,1,204502
20091,200,2-Team Challenge,46-1,0,204601|204602|204603|204604|204605|204606
20092,200,2-Team Challenge,46-2,0,204607|204608|204609|204610|204611|204612
20093,200,2-Team Challenge,47-1,0,204701|204702|204703|204704|204705|204706
20094,200,2-Team Challenge,47-2,0,204707|204708|204709|204710|204711|204712
20095,200,2-Team Challenge,48-1,0,204801|204802|204803|204804|204805|204806
20096,200,2-Team Challenge,48-2,0,204807|204808|204809|204810|204811|204812
20097,200,2-Team Challenge,49-1,0,204901|204902|204903|204904|204905|204906
