cfg_id,name,icon,armor_part,level,strength,agility,intelligence,stamina,secondary_attr,exp
40009,Ghostflicker,6009.png,8,90,12000,12000,12000,12000,3:2:500|3:9:90,5
40010,Salvation,6010.png,8,100,14000,14000,14000,14000,3:2:550|3:9:100,5
40011,Life Belt,6011.png,8,110,16000,16000,16000,16000,3:2:650|3:9:110,5
40012,Killer Belt,6012.png,8,120,18000,18000,18000,18000,3:2:750|3:9:120,5
40013,Vermillion,6013.png,8,130,20000,20000,20000,20000,3:2:850|3:9:130,5
40014,Dominion,6014.png,8,140,22000,22000,22000,22000,3:2:950|3:9:140,5
40015,Deathdealer,6015.png,8,150,24000,24000,24000,24000,3:2:1050|3:9:150,5
40016,Forgeblade,6016.png,8,160,26000,26000,26000,26000,3:2:1150|3:9:160,5
40017,Wind Dancer,6017.png,8,170,28000,28000,28000,28000,3:2:1250|3:9:170,5
40018,Expulsion,6018.png,8,180,30000,30000,30000,30000,3:2:1350|3:9:180,5
40019,Mortbreath,6019.png,8,190,35000,35000,35000,35000,3:2:1450|3:9:190,5
40020,Annihilation,6020.png,8,200,40000,40000,40000,40000,3:2:1550|3:9:200,5
40021,Crimson Belt,6021.png,8,210,45000,45000,45000,45000,3:2:1700|3:9:210,5
40022,Obsidian,6022.png,8,220,50000,50000,50000,50000,3:2:1850|3:9:220,5
40023,Thunder Belt,6023.png,8,230,55000,55000,55000,55000,3:2:2000|3:9:230,5
40024,Bloodmist,6024.png,8,240,60000,60000,60000,60000,3:2:2150|3:9:240,5
40025,Victim Belt,6025.png,8,250,65000,65000,65000,65000,3:2:2300|3:9:250,5
40026,Holy Belt,6026.png,8,260,70000,70000,70000,70000,3:2:2450|3:9:260,5
40027,Jazeraint,6027.png,8,270,75000,75000,75000,75000,3:2:2600|3:9:270,5
40028,Banish Belt,6028.png,8,280,80000,80000,80000,80000,3:2:2750|3:9:280,5
40029,Dark Belt,6029.png,8,290,85000,85000,85000,85000,3:2:2900|3:9:290,5
40030,Blooded Belt,6030.png,8,300,90000,90000,90000,90000,3:2:3000|3:9:300,5
50001,Cloth Shoes,8001.png,10,10,3000,3000,3000,3000,2:6:7000|3:5:10,5
50002,Leather Boots,8002.png,10,20,4000,4000,4000,4000,2:6:8400|3:5:20,5
50003,Padded Boots,8003.png,10,30,5000,5000,5000,5000,2:6:10080|3:5:30,5
50004,Chain Boots,8004.png,10,40,6000,6000,6000,6000,2:6:12096|3:5:40,5
50005,Seeker Boots,8005.png,10,50,7000,7000,7000,7000,2:6:14515|3:5:50,5
50006,Rogue Boots,8006.png,10,60,8000,8000,8000,8000,2:6:17418|3:5:60,5
50007,Confusion,8007.png,10,70,9000,9000,9000,9000,2:6:20902|3:5:70,5
50008,Chaos,8008.png,10,80,10000,10000,10000,10000,2:6:25082|3:5:80,5
50009,Victor Armor,8009.png,10,90,12000,12000,12000,12000,2:6:30098|3:5:90,5
50010,Calamity,8010.png,10,100,14000,14000,14000,14000,2:6:36118|3:5:100,5
50011,Paladin,8011.png,10,110,16000,16000,16000,16000,2:6:43342|3:5:110,5
50012,Silent Boots,8012.png,10,120,18000,18000,18000,18000,2:6:52010|3:5:120,5
50013,Dragonbone,8013.png,10,130,20000,20000,20000,20000,2:6:62412|3:5:130,5
50014,Oracle Boots,8014.png,10,140,22000,22000,22000,22000,2:6:74894|3:5:140,5
50015,Pride Boots,8015.png,10,150,24000,24000,24000,24000,2:6:89873|3:5:150,5
50016,Leap Boots,8016.png,10,160,26000,26000,26000,26000,2:6:107848|3:5:160,5
50017,Voodoo,8017.png,10,170,28000,28000,28000,28000,2:6:129418|3:5:170,5
50018,Ghost Fox,8018.png,10,180,30000,30000,30000,30000,2:6:155302|3:5:180,5
50019,Bramble,8019.png,10,190,35000,35000,35000,35000,2:6:186362|3:5:190,5
50020,Shadowblade,8020.png,10,200,40000,40000,40000,40000,2:6:223634|3:5:200,5
50021,Integrity,8021.png,10,210,45000,45000,45000,45000,2:6:268361|3:5:210,5
50022,Ghost Boots,8022.png,10,220,50000,50000,50000,50000,2:6:322033|3:5:220,5
50023,Ice Storm,8023.png,10,230,55000,55000,55000,55000,2:6:386440|3:5:230,5
50024,Death Shadow,8024.png,10,240,60000,60000,60000,60000,2:6:463728|3:5:240,5
50025,Darkstorm,8025.png,10,250,65000,65000,65000,65000,2:6:556474|3:5:250,5
50026,Frost Boots,8026.png,10,260,70000,70000,70000,70000,2:6:667769|3:5:260,5
50027,Shadow Armor,8027.png,10,270,75000,75000,75000,75000,2:6:801323|3:5:270,5
50028,Soothsayer,8028.png,10,280,80000,80000,80000,80000,2:6:961588|3:5:280,5
50029,Samurai,8029.png,10,290,85000,85000,85000,85000,2:6:1153906|3:5:290,5
50030,Feline Boots,8030.png,10,300,90000,90000,90000,90000,2:6:1384687|3:5:300,5
60001,Silver Ring,14001.png,5,10,3000,3000,3000,3000,2:17:5000|3:21:500,5
60002,Gold Ring,14002.png,5,20,4000,4000,4000,4000,2:17:6000|3:21:600,5
60003,Jeweled Ring,14003.png,5,30,5000,5000,5000,5000,2:17:7200|3:21:700,5
60004,Beastsoul,14004.png,5,40,6000,6000,6000,6000,2:17:8640|3:21:800,5
60005,Sharptooth,14005.png,5,50,7000,7000,7000,7000,2:17:10368|3:21:900,5
60006,Bloodfeather,14006.png,5,60,8000,8000,8000,8000,2:17:12442|3:21:1000,5
60007,Starry Ring,14007.png,5,70,9000,9000,9000,9000,2:17:14930|3:21:1100,5
60008,Rampaging,14008.png,5,80,10000,10000,10000,10000,2:17:17916|3:21:1200,5
60009,Great Dragon,14009.png,5,90,12000,12000,12000,12000,2:17:21499|3:21:1300,5
60010,Destruction,14010.png,5,100,14000,14000,14000,14000,2:17:25799|3:21:1400,5
60011,New Life,14011.png,5,110,16000,16000,16000,16000,2:17:30959|3:21:1500,5
60012,Hope Ring,14012.png,5,120,18000,18000,18000,18000,2:17:37151|3:21:1600,5
60013,Omnipotence,14013.png,5,130,20000,20000,20000,20000,2:17:44581|3:21:1700,5
60014,Sacred Ring,14014.png,5,140,22000,22000,22000,22000,2:17:53497|3:21:1800,5
60015,Peace Ring,14015.png,5,150,24000,24000,24000,24000,2:17:64196|3:21:1900,5
60016,Heart-Lesion,14016.png,5,160,26000,26000,26000,26000,2:17:77035|3:21:2000,5
60017,Demon Ring,14017.png,5,170,28000,28000,28000,28000,2:17:92442|3:21:2100,5
60018,Enigmatic,14018.png,5,180,30000,30000,30000,30000,2:17:110930|3:21:2200,5
60019,Void Ring,14019.png,5,190,35000,35000,35000,35000,2:17:133116|3:21:2300,5
60020,Sinking Ring,14020.png,5,200,40000,40000,40000,40000,2:17:159739|3:21:2400,5
60021,Poison,14021.png,5,210,45000,45000,45000,45000,2:17:191687|3:21:2500,5
60022,Soulrip Ring,14022.png,5,220,50000,50000,50000,50000,2:17:230024|3:21:2600,5
60023,Marble Ring,14023.png,5,230,55000,55000,55000,55000,2:17:276029|3:21:2700,5
60024,Coral Ring,14024.png,5,240,60000,60000,60000,60000,2:17:331235|3:21:2800,5
60025,Midsummer,14025.png,5,250,65000,65000,65000,65000,2:17:397482|3:21:2900,5
60026,Blessed Ring,14026.png,5,260,70000,70000,70000,70000,2:17:476978|3:21:3000,5
60027,Warden Ring,14027.png,5,270,75000,75000,75000,75000,2:17:572374|3:21:3100,5
60028,Warrior Ring,14028.png,5,280,80000,80000,80000,80000,2:17:686849|3:21:3200,5
60029,Chakra Ring,14029.png,5,290,85000,85000,85000,85000,2:17:824219|3:21:3300,5
60030,Sky Ring,14030.png,5,300,90000,90000,90000,90000,2:17:989063|3:21:3400,5
