index,eid,damage_type,content
78,110601201,1,"Because of {SKILL_NAME}, deals an extra {DAMAGE} True DMG to {TARGET_NAME}"
79,110602101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
80,110602201,1,"Because of {SKILL_NAME}, deals an extra {DAMAGE} True DMG to {TARGET_NAME}"
81,110701101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
82,110701201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Stunned] and is unable to perform actions for 1 round"
83,110702101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
84,110702201,5,"Because of {SKILL_NAME}, {TARGET_NAME} is [Poisoned] and loses 3% HP in each rounds, lasts 4 rounds"
85,110702211,3,
86,110801101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, caused {DAMAGE} DMG. {MASTER_NAME} restored {DAMAGE} HP."
87,110802101,5,{MASTER_NAME} used {SKILL_NAME} and entered a [Taunt] state. All non-AoE skills only target self for 2 rounds.
88,110802111,5,"Because of {SKILL_NAME}, {MASTER_NAME} takes 65% less DMG for 2 rounds"
89,110901101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
90,110901201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Ignited] and loses {0}% of Lilith's ATK HP in each round, lasts 2 rounds"
91,110901211,2,
92,110902101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
93,111001101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
94,111001201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Frozen] and is unable to perform any actions, lasts 1 round"
95,111002101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
96,111002201,6,"Because of {SKILL_NAME}, {TARGET_NAME}'s {BUFF_NAME} has been dispelled."
97,111101201,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
98,111102101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
99,111102201,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
100,111102301,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
101,111201101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
102,111201201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Weakened] and ATK is decreased by 50% for 2 rounds"
103,111201211,6,
104,111202101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
105,111301101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
106,111302101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
107,111401101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
108,111401201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Blinded] and ACC chance is decreased by 80% for 3 rounds"
109,111401211,6,
110,111402101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
111,111501101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
112,111501201,9,"Because of {SKILL_NAME}, {TARGET_NAME}'s {BUFF_NAME} has been stolen."
113,111502101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
114,111601101,4,{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME} and heal {DAMAGE} HP.
115,111602101,5,{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}.
116,111602111,5,"Because of {SKILL_NAME}, in 3 rounds, {TARGET_NAME}'s DEF is increased by 60% and ATK is increased by 18%."
117,111701101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
118,111702101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
119,111801101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
120,111801201,5,"Because of {SKILL_NAME}, {MASTER_NAME} enters [Afterimage] state, increasing EVA Chance by 30% for 3 rounds."
121,111801211,5,
122,111802101,1,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害，并将伤害的8%回复给自身。
123,111901101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
124,111902101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
125,111902201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Sealed] and is unable to use any skills for 2 rounds."
126,112001101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
127,112001201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Stunned] and is unable to perform actions for 1 round"
128,112002101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
129,112002201,6,"Because of {SKILL_NAME}, {TARGET_NAME} [Bleed] and cannot receive healing for 2 rounds"
130,112101101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
131,112102101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
132,112201101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
133,112201201,5,"Because of {SKILL_NAME}, {MASTER_NAME} enters [Provoked] state, increasing DEF by 150%, ATK by 25%, lasts 3 rounds"
134,112201211,5,
135,112202101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
136,112202201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Pierced] and DEF is decreased by 60%, lasts 2 rounds"
137,112202211,6,
138,112301101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
139,112301201,5,"Because of {SKILL_NAME}, {TARGET_NAME} is [Poisoned] and loses 3% HP in each round, lasts 2 rounds"
140,112301211,3,"Because of {SKILL_NAME}, {TARGET_NAME} [Bleed] and cannot receive healing for 2 rounds"
141,112301301,6,
142,112302101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
143,112302201,5,因{SKILL_NAME}效果，{MASTER_NAME}进入【挑衅】状态，且防御力提高200%，持续2回合。
144,112401101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
145,112402101,4,{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME} and heal {DAMAGE} HP.
146,112501101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
147,112501201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Stunned] and is unable to perform actions for 1 round"
148,112502101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
149,112502201,6,"Because of {SKILL_NAME}, {TARGET_NAME}'s {BUFF_NAME} has been dispelled."
150,112601101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
151,112601201,5,"Because of {SKILL_NAME}, {TARGET_NAME} is [Poisoned] and loses 3% HP in each round, lasts 2 rounds"
152,112601211,3,
153,112601301,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Frozen] and is unable to perform any actions, lasts 1 round."
154,112601401,5,"Because of {SKILL_NAME}, {TARGET_NAME} is [Ignited] and loses {0}% HP in each round, lasts 2 rounds"
155,112601411,3,
156,112602101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
157,112602201,6,Because of {SKILL_NAME} target which in debuffs will [Stun] for 1 round
158,112701101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
159,112701201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Blinded] and ACC chance is decreased by 60% for 2 rounds"
160,112701211,6,
161,112702101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
162,112801101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
163,112802101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
164,112802201,5,因{SKILL_NAME}效果，{TARGET_NAME}【中毒】，每回合损失3%生命。
165,112802211,3,
166,112901101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
167,112902101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
168,113001101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
169,113002101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
170,113002201,5,"Because of {SKILL_NAME}, {MASTER_NAME} enters [Bolstered] state. In 2 rounds, reduce DMG taken by 55% and increase DMG Reflection by 60%"
171,113002211,5,
172,113101101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
173,113101201,4,"Because of {SKILL_NAME}, {TARGET_NAME} is [Stunned] and is unable to perform actions for 1 round"
174,113102101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
175,113102201,4,因{SKILL_NAME}效果，{TARGET_NAME}被【燃烧】，每回合损失4%的血量，持续3回合
176,113102211,2,
177,113201101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
178,113201201,4,"Because of {SKILL_NAME}, {TARGET_NAME} get [Seal] so can't launch skills for 2 rounds"
179,113201211,5,
180,113202101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
181,113301101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
182,113301201,4,"Because of {SKILL_NAME}, {TARGET_NAME}【Bleed】,And unable to recover HP in 2 rounds."
183,113302101,2,{MASTER_NAME}对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害，并将伤害的80%回复给自身。
184,113401101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
185,113402101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
186,113402201,2,"Because of {SKILL_NAME}, deals an extra {DAMAGE} True DMG to {TARGET_NAME}"
187,113501101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
188,113501201,4,"Because of {SKILL_NAME}, {MASTER_NAME} Crit DMG increase 40% in 2 rounds"
189,113501211,5,
190,113502101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
191,113502201,4,因{SKILL_NAME}效果，{TARGET_NAME}被添加【印记】，2回合内成为优先攻击目标。
192,113601101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
193,113601201,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
194,113601301,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
195,113601401,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
196,113601501,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
197,113601601,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
198,113601701,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
199,113601801,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
200,113601901,5,"Because of {SKILL_NAME}. {MASTER_NAME} entered a [Frenzied] state, gain immunity to all debuffs in 2 rounds"
201,113602101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
202,113602201,5,"Because of {SKILL_NAME}, {TARGET_NAME} is [Ignited] and loses {0}% HP in each round, lasts 2 rounds"
203,113602211,3,"Because of {SKILL_NAME}, target already in [Ignited] state will be [Stun] for 1 round"
204,113701101,5,"Because of {SKILL_NAME}, {TARGET_NAME} is [Pierced] and DEF is decreased by 60, lasts 3 rounds"
205,113701111,6,
206,113701201,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
207,113702101,5,"Because of {SKILL_NAME}, {MASTER_NAME} enters [Provoked] state, increasing DEF by 50%, ATK by 30%, lasts 3 rounds"
208,113702111,5,
209,113702201,5,"Because of {SKILL_NAME}, all debuffs on {TARGET_NAME} have been dispelled."
210,113702301,4,{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME} and heal {DAMAGE} HP.
211,113801101,5,"Because of {SKILL_NAME}, all debuffs on {TARGET_NAME} have been dispelled."
212,113801201,5,"Because of {SKILL_NAME}. {TARGET_NAME} entered a [Encourage] state, increases DEF by 100% of Hera's DEF and increase ATK by 60% of Hera's ATK."
213,113802101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
214,113802201,5,"Because of {SKILL_NAME}, all debuffs on {TARGET_NAME} have been dispelled."
215,113802301,4,{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME} and heal {DAMAGE} HP.
216,113901101,6,"Because of {SKILL_NAME}, {TARGET_NAME}'s {BUFF_NAME} has been dispelled."
217,113901201,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
218,113901301,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Ignited] and loses {0}% HP in each round, lasts 2 rounds"
219,113902101,3,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, caused {DAMAGE} TRUE DMG"
220,114001101,5,"Because of {SKILL_NAME}, {MASTER_NAME} enters [Bolstered] state. In 2 rounds, reduce DMG taken by 50% and increase DMG Reflection by 50%"
221,114001111,5,
222,114001201,5,"Because of {SKILL_NAME}, {TARGET_NAME} enters [Bolstered] state. In 2 rounds, reduce DMG taken by 50% and increase DMG Reflection by 50%"
223,114001211,5,
224,114001301,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
225,114002101,5,"Because of {SKILL_NAME}, all positive buffs on {TARGET_NAME} have been dispelled"
226,114002201,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
227,114101101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
228,114101201,6,因{SKILL_NAME}效果，{TARGET_NAME}被【虚弱】，2回合内攻击力降低30%。
229,114101211,6,
230,114102101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
231,114102201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Frozen] and is unable to perform any actions, lasts 1 round"
232,114002301,6,"Because of {SKILL_NAME}, {TARGET_NAME} [Bleed] and cannot receive healing for 3 rounds"
233,114501101,5,"Due to the effect of {SKILL_NAME}, {TARGET_NAME} enters the state of [Pierce], magic resistance and material resistance are reduced by 80% for 3 rounds."
234,114501111,6,
235,114501201,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
236,114501301,1,因上一段技能暴击，{MASTER_NAME}继续对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
237,114501401,1,因上一段技能暴击，{MASTER_NAME}继续对{TARGET_NAME}使用了{SKILL_NAME}，造成了{DAMAGE}伤害。
238,114502101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
239,114502201,6,"Because of {SKILL_NAME}, {TARGET_NAME} [Bleed] and cannot receive healing for 3 rounds"
240,114601101,4,{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME} and heal {DAMAGE} HP.
241,114601201,5,"Because of {SKILL_NAME}, {TARGET_NAME} reduces DMG taken by 50% and Debuff RES increase by 30%"
242,114602101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
243,114602201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Weakened] and ATK is decreased by 60% for 2 rounds"
244,114701101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
245,114701102,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
246,114701103,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
247,114701201,6,"Because of {SKILL_NAME}, {TARGET_NAME}【Bleed】,And unable to recover HP in 2 rounds."
248,114702101,6,"Because of {SKILL_NAME}, all positive buffs on {TARGET_NAME} have been dispelled"
249,114702201,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
250,114801101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
251,114801201,6,"Because of {SKILL_NAME}, {TARGET_NAME} is [Ignited] and loses {0}% HP in each round, lasts 2 rounds"
252,114802101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
253,114802201,5,"Because of {SKILL_NAME}, {TARGET_NAME} is [Pierced] so P.RES and M.RES is decreased by 50%, lasts 2 rounds"
254,114901101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
255,114901201,6,"Because of {SKILL_NAME}, all targets whose Max HP is lower than Chaos will be [Stun] for 1 round"
256,114902101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
257,114902201,1,"Because of {SKILL_NAME}, deals an extra {DAMAGE} True DMG to {TARGET_NAME}"
258,115001101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
259,115001201,5,"Because of {SKILL_NAME}, {MASTER_NAME} enters [Taunted] state. None AoE skills can only target {MASTER_NAME}. DMG is reduced by 50% and increases 70% DMG Reflection, lasts 2 rounds."
260,115002101,1,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, caused {DAMAGE} DMG, and restored 30% of the DMG dealt."
261,100111101,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
262,100111102,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
263,100111202,4,"Because of {SKILL_NAME}, {TARGET_NAME} is [Stunned] and is unable to perform actions for 1 round"
264,100111103,2,"{MASTER_NAME} used {SKILL_NAME} on {TARGET_NAME}, causing {DAMAGE} damage."
265,100111203,4,"Because of {SKILL_NAME}, {TARGET_NAME} is [Stunned] and is unable to perform actions for 1 round"
