cfg_id,gift_id,sale,gift_name,gift_type,sale_num,money_type,limit_buy_count,charge_id,price,reward
39,17,8,充值礼包5,2,5,0,1,30015,0,5:3000140:15|5:3000139:1000|10:600
40,18,8,充值礼包6,2,5,0,1,30016,0,19:6:1|10:1200
41,19,8,充值礼包7,2,5,0,1,30017,0,19:7:1|10:1200
42,20,8,充值礼包8,2,3,0,1,30018,0,5:3000127:10|5:3000153:2|10:1500
43,21,8,充值礼包9,2,2,0,1,30019,0,5:3000153:5|1:19:10000|10:600
44,22,8,充值礼包10,2,2,0,1,30020,0,5:3000129:9999|1:19:9999|10:300
45,1,6,钻石礼包1,1,1,2,1,0,300,5:3000104:5
46,2,6,钻石礼包2,1,1,2,1,0,360,5:3000105:3
47,3,6,钻石礼包3,1,2,2,1,0,480,5:3000106:2
48,4,6,钻石礼包4,1,3,2,1,0,480,5:3000107:1
49,5,6,钻石礼包5,1,1,2,1,0,300,5:3000108:4
50,6,6,钻石礼包6,1,1,2,1,0,480,5:3000109:3
51,7,6,钻石礼包7,1,2,2,1,0,599,5:3000110:2
52,8,6,钻石礼包8,1,3,2,1,0,599,5:3000111:1
53,9,6,钻石礼包9,1,2,2,1,0,600,5:3000153:2
54,10,6,钻石礼包10,1,1,2,1,0,60,5:3000127:1
55,11,6,钻石礼包11,1,1,2,1,0,60,5:3000129:500
56,12,6,钻石礼包12,1,1,2,1,0,150,5:3000027:1
57,13,6,充值礼包1,2,2,0,1,30021,0,5:3000104:10|5:3000105:10|10:180
58,14,6,充值礼包2,2,5,0,1,30022,0,5:3000106:2|5:3000107:2|10:180
59,15,6,充值礼包3,2,2,0,1,30023,0,5:3000011:5|5:6000001:10|10:180
60,16,6,充值礼包4,2,5,0,1,30024,0,5:1000011:1|5:1000041:10|10:300
61,17,6,充值礼包5,2,5,0,1,30025,0,5:3000140:15|5:3000139:1000|10:300
62,18,6,充值礼包6,2,5,0,1,30026,0,19:6:1|10:1200
63,19,6,充值礼包7,2,5,0,1,30027,0,19:7:1|10:1200
64,20,6,充值礼包8,2,3,0,1,30028,0,5:3000127:10|5:3000153:2|10:1200
65,21,6,充值礼包9,2,2,0,1,30029,0,5:3000153:5|1:19:10000|10:300
66,22,6,充值礼包10,2,2,0,1,30030,0,5:3000129:9999|1:19:9999|10:180
67,1,5,钻石礼包1,1,1,2,1,0,250,5:3000104:5
68,2,5,钻石礼包2,1,1,2,1,0,300,5:3000105:3
69,3,5,钻石礼包3,1,2,2,1,0,400,5:3000106:2
70,4,5,钻石礼包4,1,3,2,1,0,400,5:3000107:1
71,5,5,钻石礼包5,1,1,2,1,0,250,5:3000108:4
72,6,5,钻石礼包6,1,1,2,1,0,400,5:3000109:3
73,7,5,钻石礼包7,1,2,2,1,0,499,5:3000110:2
74,8,5,钻石礼包8,1,3,2,1,0,499,5:3000111:1
75,9,5,钻石礼包9,1,2,2,1,0,500,5:3000153:2
76,10,5,钻石礼包10,1,1,2,1,0,50,5:3000127:1
77,11,5,钻石礼包11,1,1,2,1,0,50,5:3000129:500
78,12,5,钻石礼包12,1,1,2,1,0,100,5:3000027:1
79,13,5,充值礼包1,2,2,0,1,30031,0,5:3000104:10|5:3000105:10|10:120
80,14,5,充值礼包2,2,5,0,1,30032,0,5:3000106:2|5:3000107:2|10:120
81,15,5,充值礼包3,2,2,0,1,30033,0,5:3000011:5|5:6000001:10|10:120
82,16,5,充值礼包4,2,5,0,1,30034,0,5:1000011:1|5:1000041:10|10:180
83,17,5,充值礼包5,2,5,0,1,30035,0,5:3000140:15|5:3000139:1000|10:180
84,18,5,充值礼包6,2,5,0,1,30036,0,19:6:1|10:1200
85,19,5,充值礼包7,2,5,0,1,30037,0,19:7:1|10:1200
86,20,5,充值礼包8,2,3,0,1,30038,0,5:3000127:10|5:3000153:2|10:900
87,21,5,充值礼包9,2,2,0,1,30039,0,5:3000153:5|1:19:10000|10:180
88,22,5,充值礼包10,2,2,0,1,30040,0,5:3000129:9999|1:19:9999|10:120
