task_id,task_type,task_subtype,newbie_day,task_condition,task_value,reward,newbie_active_value,selling_price,name,content,content_param,task_group,task_index,task_id_before
11000406,11,8,4,11,700,1:1:120000|1:3:3000,1,,,Smelt gear 700 times,,11000403,3,11000405
11000407,11,8,4,11,1000,1:1:150000|1:3:5000,1,,,Smelt gear 1000 times,,11000403,4,11000406
11000408,11,9,4,93,2,1:3:300|1:4:100,1,,,Craft 2 times,,11000408,0,0
11000409,11,9,4,93,5,1:3:750|1:4:200,1,,,Craft 5 times,,11000408,1,11000408
11000410,11,9,4,93,10,1:3:1500|1:4:500,1,,,Craft 10 times,,11000408,2,11000409
11000411,11,9,4,93,20,1:3:3000|1:4:1000,1,,,Craft 20 times,,11000408,3,11000410
11000412,11,9,4,93,30,1:3:5000|1:4:2000,1,,,Craft 30 times,,11000408,4,11000411
11000413,11,99,4,46,1,1:3:10000|1:4:10000,1,2:1000|2:3000,,Half Price Sale,,0,0,0
11000501,11,0,5,2,4,1:2:150,1,,,Login for 5 days,,0,0,0
11000502,11,0,5,123,5000,5:3000005:10|5:2000008:1,1,,,Obtain 5000 VIP EXP in total,,0,0,0
11000503,11,10,5,9,3,1:1:50000|1:2:100,1,,,Awake Angel 3 times,,11000503,0,0
11000504,11,10,5,9,6,1:1:100000|1:2:100,1,,,Awake Angel 6 times,,11000503,1,11000503
11000505,11,10,5,9,9,1:1:150000|1:2:200,1,,,Awake Angel 9 times,,11000503,2,11000504
11000506,11,10,5,9,12,1:1:200000|1:2:200,1,,,Awake Angel 12 times,,11000503,3,11000505
11000507,11,10,5,9,15,1:1:250000|1:2:300,1,,,Awake Angel 15 times,,11000503,4,11000506
11000508,11,11,5,31,5,1:1:30000|5:3000004:5,1,,,Own 5 Angels,,11000508,0,0
11000509,11,11,5,31,7,1:1:60000|5:3000004:5,1,,,Own 7 Angels,,11000508,1,11000508
11000510,11,11,5,31,10,1:1:90000|5:3000005:2,1,,,Own 10 Angels,,11000508,2,11000509
11000511,11,11,5,31,15,1:1:120000|5:3000005:3,1,,,Own 15 Angels,,11000508,3,11000510
11000512,11,11,5,31,20,1:1:150000|5:3000005:5,1,,,Own 20 Angels,,11000508,4,11000511
11000513,11,99,5,46,1,1:3:15000|1:4:15000,1,2:1500|2:5000,,Half Price Sale,,0,0,0
11000601,11,0,6,2,6,1:2:150,1,,,Login for 6 days,,0,0,0
11000602,11,0,6,123,10000,5:3000007:200|5:2000008:1,1,,,Obtain 10000 VIP EXP in total,,0,0,0
11000603,11,14,6,30,50000,1:1:50000|1:2:100,1,,,Team CR reaches 50000,,11000603,0,0
11000604,11,14,6,30,100000,1:1:100000|1:2:100,1,,,Team CR reaches 100000,,11000603,1,11000603
11000605,11,14,6,30,200000,1:1:150000|1:2:200,1,,,Team CR reaches 200000,,11000603,2,11000604
11000606,11,14,6,30,300000,1:1:200000|1:2:200,1,,,Team CR reaches 300000,,11000603,3,11000605
11000607,11,14,6,30,500000,1:1:250000|1:2:300,1,,,Team CR reaches 500000,,11000603,4,11000606
11000608,11,15,6,103,1,1:1:50000|5:3000005:1,1,,,Own 1 SR Angel,,11000608,0,0
11000609,11,15,6,103,2,1:1:100000|5:3000005:2,1,,,Own 2 SR Angels,,11000608,1,11000608
11000610,11,15,6,103,3,1:1:150000|5:3000005:2,1,,,Own 3 SR Angels,,11000608,2,11000609
11000611,11,15,6,103,4,1:1:200000|5:3000005:3,1,,,Own 4 SR Angels,,11000608,3,11000610
11000612,11,15,6,103,5,1:1:250000|5:3000005:3,1,,,Own 5 SR Angels,,11000608,4,11000611
11000613,11,99,6,46,1,5:3000007:100|1:4:20000,1,2:3000|2:10000,,Half Price Sale,,0,0,0
11000701,11,0,7,2,7,1:2:200,1,,,Login for 7 days,,0,0,0
11000702,11,0,7,123,15000,5:3000005:20|5:2000008:1,1,,,Obtain 15000 VIP EXP in total,,0,0,0
11000703,11,12,7,49,20,1:1:50000|1:4:1000,1,,,Sky-tower unlock 20,,11000703,0,0
11000704,11,12,7,49,40,1:1:100000|1:4:2000,1,,,Sky-tower unlock 40,,11000703,1,11000703
11000705,11,12,7,49,60,1:1:150000|1:4:3000,1,,,Sky-tower unlock 60,,11000703,2,11000704
11000706,11,12,7,49,80,1:1:200000|1:4:4000,1,,,Sky-tower unlock 80,,11000703,3,11000705
11000707,11,12,7,49,100,1:1:250000|1:4:5000,1,,,Sky-tower unlock 100,,11000703,4,11000706
11000708,11,13,7,6,50,1:1:50000|5:3000007:5,1,,,Train an Angel 50 times,,11000708,0,0
11000709,11,13,7,6,100,1:1:100000|5:3000007:10,1,,,Train an Angel 100 times,,11000708,1,11000708
11000710,11,13,7,6,200,1:1:150000|5:3000007:20,1,,,Train an Angel 200 times,,11000708,2,11000709
11000711,11,13,7,6,300,1:1:200000|5:3000007:30,1,,,Train an Angel 300 times,,11000708,3,11000710
11000712,11,13,7,6,500,1:1:250000|5:3000007:50,1,,,Train an Angel 500 times,,11000708,4,11000711
11000713,11,99,7,46,1,5:3000008:200|1:4:30000,1,2:5000|2:15000,,Half Price Sale,,0,0,0
11100101,11,0,8,2,1,1:2:200,1,,,Login for a total of 8 days,,0,0,0
11100103,11,99,8,46,1,1:4:5000|1:1:200000,1,2:300|2:1500,,Half Price Sale,,0,0,0
11100104,11,1,8,130,10,1:1:100000|5:3000079:5,1,,,Summon Nekomata 10 Times,,11100104,0,0
11100105,11,1,8,130,20,1:1:100000|5:3000079:5,1,,,Summon Nekomata 20 Times,,11100104,1,11100104
11100106,11,1,8,130,30,1:1:150000|5:3000079:5,1,,,Summon Nekomata 30 Times,,11100104,2,11100105
11100107,11,1,8,130,40,1:1:150000|5:3000079:5,1,,,Summon Nekomata 40 Times,,11100104,3,11100106
11100108,11,1,8,130,50,1:1:200000|5:3000079:5,1,,,Summon Nekomata 50 Times,,11100104,4,11100107
11200001,11,1,8,130,60,1:1:200000|5:3000079:5,1,,,Summon Nekomata 60 Times,,11100104,5,11100108
11200002,11,1,8,130,70,1:1:250000|5:3000079:5,1,,,Summon Nekomata 70 Times,,11100104,6,11200001
11200003,11,1,8,130,80,1:1:250000|5:3000079:5,1,,,Summon Nekomata 80 Times,,11100104,7,11200002
11200004,11,1,8,130,90,1:1:300000|5:3000079:5,1,,,Summon Nekomata 90 Times,,11100104,8,11200003
11200005,11,1,8,130,100,1:1:300000|5:3000079:5,1,,,Summon Nekomata 100 Times,,11100104,9,11200004
11100109,11,1,8,101,5,1:1:50000|1:2:50,1,,,Collect 5 R Angels,,11100109,0,0
11100110,11,1,8,102,5,1:1:100000|1:2:100,1,,,Collect 5 R+ Angels,,11100109,1,11100109
11100111,11,1,8,103,5,1:1:150000|1:2:200,1,,,Collect 5 SR Angels,,11100109,2,11100110
11100112,11,1,8,104,5,1:1:200000|1:2:250,1,,,Collect 5 SR+ Angels,,11100109,3,11100111
11100113,11,1,8,105,1,1:1:250000|1:2:300,1,,,Collect 1 SSR Angel,,11100109,4,11100112
11100201,11,0,9,2,2,1:2:200,1,,,Login for a total of 9 days,,0,0,0
11100203,11,99,9,46,1,1:4:5000|5:2000007:1,1,2:500|2:2000,,Half Price Sale,,0,0,0
11100204,11,1,9,131,1,5:2000019:4|5:3000079:5,1,,,Nekomata reaches 1 star,,11100204,0,0
11100205,11,1,9,131,2,5:2000022:4|5:3000079:10,1,,,Nekomata reaches 2 star,,11100204,1,11100204
11100206,11,1,9,131,3,5:2000018:4|5:3000079:15,1,,,Nekomata reaches 3 star,,11100204,2,11100205
11100207,11,1,9,131,4,5:2000027:4|5:3000079:20,1,,,Nekomata reaches 4 star,,11100204,3,11100206
11100208,11,1,9,131,5,5:2000023:4|15:150051:1,1,,,Nekomata reaches 5 star,,11100204,4,11100207
11100209,11,1,9,6,700,5:3000008:10|1:2:50,1,,,Train an Angel 700 times,,11100209,0,0
11100210,11,1,9,6,900,5:3000008:15|1:2:50,1,,,Train an Angel 900 times,,11100209,1,11100209
11100211,11,1,9,6,1100,5:3000008:20|1:2:50,1,,,Train an Angel 1100 times,,11100209,2,11100210
11100212,11,1,9,6,1300,5:3000008:25|1:2:50,1,,,Train an Angel 1300 times,,11100209,3,11100211
11100213,11,1,9,6,1500,5:3000008:30|1:2:50,1,,,Train an Angel 1500 times,,11100209,4,11100212
11100301,11,0,10,2,3,1:2:200,1,,,Login for a total of 10 days,,0,0,0
11100303,11,99,10,46,1,1:4:5000|5:2000023:2,1,2:800|2:2500,,Half Price Sale,,0,0,0
11100304,11,1,10,1,55,1:1:50000|1:2:100,1,,,Upgrade to Lv.55,,11100304,0,0
11100305,11,1,10,1,60,1:1:100000|1:2:150,1,,,Upgrade to Lv.60,,11100304,1,11100304
11100306,11,1,10,1,65,1:1:150000|1:2:200,1,,,Upgrade to Lv.65,,11100304,2,11100305
11100307,11,1,10,1,70,1:1:200000|1:2:250,1,,,Upgrade to Lv.70,,11100304,3,11100306
11100308,11,1,10,1,80,1:1:250000|1:2:300,1,,,Upgrade to Lv.80,,11100304,4,11100307
11100309,11,1,10,125,2,1:1:50000|5:2000006:2,1,,,Complete adventure 2 times,,11100309,0,0
11100310,11,1,10,125,5,1:1:100000|5:2000006:3,1,,,Complete adventure 5 times,,11100309,1,11100309
11100311,11,1,10,125,8,1:1:150000|5:2000006:4,1,,,Complete adventure 8 times,,11100309,2,11100310
11100312,11,1,10,125,10,1:1:200000|5:2000006:5,1,,,Complete adventure 10 times,,11100309,3,11100311
11100313,11,1,10,125,12,1:1:250000|5:2000006:5,1,,,Complete adventure 12 times,,11100309,4,11100312
11100401,11,0,11,2,4,1:2:300,1,,,Login for a total of 11 days,,0,0,0
11100403,11,99,11,46,1,1:3:10000|1:4:10000,1,2:1000|2:3000,,Half Price Sale,,0,0,0
11100404,11,12,11,49,120,1:1:50000|1:4:1000,1,,,Clear Story 120 of Sky Tower,,11100404,0,0
11100405,11,12,11,49,140,1:1:100000|1:4:2000,1,,,Clear Story 140 of Sky Tower,,11100404,1,11100404
11100406,11,12,11,49,150,1:1:150000|1:4:3000,1,,,Clear Story 150 of Sky Tower,,11100404,2,11100405
11100407,11,12,11,49,160,1:1:200000|1:4:4000,1,,,Clear Story 160 of Sky Tower,,11100404,3,11100406
11100408,11,12,11,49,170,1:1:250000|1:4:5000,1,,,Clear Story 170 of Sky Tower,,11100404,4,11100407
11100409,11,2,11,95,120,1:1:50000|1:14:10000,1,,,Any Angel upgrade to Lv.120,,11100409,0,0
11100410,11,2,11,95,140,1:1:100000|1:14:20000,1,,,Any Angel upgrade to Lv.140,,11100409,1,11100409
11100411,11,2,11,95,150,1:1:150000|1:14:30000,1,,,Any Angel upgrade to Lv.150,,11100409,2,11100410
11100412,11,2,11,95,160,1:1:200000|1:14:40000,1,,,Any Angel upgrade to Lv.160,,11100409,3,11100411
11100413,11,2,11,95,170,1:1:250000|1:14:50000,1,,,Any Angel upgrade to Lv.170,,11100409,4,11100412
11100501,11,0,12,2,5,1:2:300,1,,,Login for a total of 12 days,,0,0,0
11100503,11,99,12,46,1,1:3:15000|1:4:15000,1,2:1500|2:5000,,Half Price Sale,,0,0,0
11100504,11,1,12,3,130,1:1:60000|5:2000006:1,1,,,Complete Dungeon 130,,11100504,0,0
11100505,11,1,12,3,160,1:1:120000|5:2000006:2,1,,,Complete Dungeon 160,,11100504,1,11100504
11100506,11,1,12,3,220,1:1:180000|5:2000006:2,1,,,Complete Dungeon 220,,11100504,2,11100505
11100507,11,1,12,3,280,1:1:240000|5:2000006:3,1,,,Complete Dungeon 280,,11100504,3,11100506
11100508,11,1,12,3,340,1:1:300000|5:2000006:4,1,,,Complete Dungeon 340,,11100504,4,11100507
11100509,11,1,12,126,10,1:1:30000|1:2:50,1,,,Compete in the Clash of Titans 10 times,,11100509,0,0
11100510,11,1,12,126,20,1:1:60000|1:2:100,1,,,Compete in the Clash of Titans 20 times,,11100509,1,11100509
11100511,11,1,12,126,30,1:1:90000|1:2:150,1,,,Compete in the Clash of Titans 30 times,,11100509,2,11100510
11100512,11,1,12,126,40,1:1:120000|1:2:200,1,,,Compete in the Clash of Titans 40 times,,11100509,3,11100511
11100513,11,1,12,126,50,1:1:150000|1:2:300,1,,,Compete in the Clash of Titans 50 times,,11100509,4,11100512
11100601,11,0,13,2,6,1:2:300,1,,,Login for a total of 13 days,,0,0,0
11100603,11,99,13,46,1,5:3000008:50|1:4:20000,1,2:3000|2:10000,,Half Price Sale,,0,0,0
11100604,11,14,13,30,700000,1:1:50000|1:2:100,1,,,Team power reaches 700000,,11100604,0,0
11100605,11,14,13,30,1000000,1:1:100000|1:2:100,1,,,Team power reaches 1000000,,11100604,1,11100604
11100606,11,14,13,30,1200000,1:1:150000|1:2:200,1,,,Team power reaches 1200000,,11100604,2,11100605
11100607,11,14,13,30,1400000,1:1:200000|1:2:200,1,,,Team power reaches 1400000,,11100604,3,11100606
11100608,11,14,13,30,1600000,1:1:250000|1:2:300,1,,,Team power reaches 1600000,,11100604,4,11100607
11100609,11,1,13,127,1,1:3:300|1:4:100,1,,,Obtain 1 orange gear,,11100609,0,0
11100610,11,1,13,127,2,1:3:750|1:4:200,1,,,Obtain 2 orange gear,,11100609,1,11100609
11100611,11,1,13,127,3,1:3:1500|1:4:500,1,,,Obtain 3 orange gear,,11100609,2,11100610
11100612,11,1,13,127,4,1:3:3000|1:4:1000,1,,,Obtain 4 orange gear,,11100609,3,11100611
11100613,11,1,13,127,6,1:3:5000|1:4:2000,1,,,Obtain 6 orange gear,,11100609,4,11100612
11100701,11,0,14,2,7,1:2:500,1,,,Login for a total of 14 days,,0,0,0
11100703,11,99,14,46,1,5:3000008:200|1:4:30000,1,2:5000|2:15000,,Half Price Sale,,0,0,0
11100704,11,1,14,128,1,1:1:50000|1:2:100,1,,,Obtain 1 artifact,,11100704,0,0
11100705,11,1,14,128,2,1:1:100000|1:2:100,1,,,Obtain 2 artifact,,11100704,1,11100704
11100706,11,1,14,128,3,1:1:150000|1:2:200,1,,,Obtain 3 artifact,,11100704,2,11100705
11100707,11,1,14,128,4,1:1:200000|1:2:200,1,,,Obtain 4 artifact,,11100704,3,11100706
11100708,11,1,14,128,5,1:1:250000|1:2:300,1,,,Obtain 5 artifact,,11100704,4,11100707
11100709,11,1,14,118,2,1:1:30000|1:3:500,1,,,Any relic upgrades into R quality,,11100709,0,0
11100710,11,1,14,118,3,1:1:60000|1:3:1000,1,,,Any relic upgrades into R+ quality,,11100709,1,11100709
11100711,11,1,14,118,4,1:1:90000|1:3:2000,1,,,Any relic upgrades into SR quality,,11100709,2,11100710
11100712,11,1,14,118,5,1:1:120000|1:3:3000,1,,,Any relic upgrades into SR+ quality,,11100709,3,11100711
11100713,11,1,14,118,6,1:1:150000|1:3:5000,1,,,Any relic upgrades into SSR quality,,11100709,4,11100712
