id,name,if_use_ur_plus_skill,npc_level,hero_level,reward,refresh_index,fight_value
126,The Lost,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,109664640
127,The Fallen,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,110587500
128,The Sink,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,111509880
129,The Drowned,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,112432812
130,The Fearful,0,145,280,5:3000139:50|1:23:10|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,123749928
131,The Survivalist,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,114278136
132,The Challenger,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,115200720
133,The Seeker,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,116123700
134,The Arrogant,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,117046104
135,The Jealous,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,117968496
136,The Furious,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,118891488
137,The Lazy,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,119813820
138,The Greedy,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,120736800
139,The Gluttonous,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,121659192
140,The lustful,0,145,280,5:3000139:50|1:23:10|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,133823076
141,Abyss Sentinel,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,123504768
142,Abyss Warrior,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,124427160
143,Abyss Captain,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,125350092
144,Abyss Vanguard,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,126272484
145,Abyss Elite,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,127195464
146,Abyss General,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,128117796
147,Abyss Warlord Escort,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,129040788
148,Abyss Warlord,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,129963372
149,Abyss Commander Escort,0,145,280,5:3000139:50|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,130886364
150,Abyss Commander,0,145,280,5:3000139:50|5:3000140:5|1:23:10|1:24:1,1|2|2|2|6|7|7|7|11|11|12|16|17|21|22|26|27,156108960
151,The Lost,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,133016628
152,The Fallen,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,135094524
153,The Sink,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,137186304
154,The Drowned,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,139292688
155,The Fearful,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,141412536
156,The Survivalist,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,143545932
157,The Challenger,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,145403820
158,The Seeker,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,147270252
159,The Arrogant,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,149144448
160,The Jealous,0,150,300,5:3000139:50|1:23:10|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,164450064
161,The Furious,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,152436528
162,The Lazy,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,154087752
163,The Greedy,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,155644560
164,The Gluttonous,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,157203888
165,The lustful,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,158764092
166,Abyss Sentinel,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,160236024
167,Abyss Warrior,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,161708364
168,Abyss Captain,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,163180164
169,Abyss Vanguard,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,164651964
170,Abyss Elite,0,150,300,5:3000139:50|1:23:10|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,181113468
171,Abyss General,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,167596104
172,Abyss Warlord Escort,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,169067952
173,Abyss Warlord,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,170539752
174,Abyss Commander Escort,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,172012020
175,Abyss Commander,0,150,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,173483892
176,The Lost,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,176993844
177,The Fallen,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,178483308
178,The Sink,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,179972412
179,The Drowned,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,181461204
180,The Fearful,0,155,300,5:3000139:50|1:23:10|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,199569888
181,The Survivalist,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,184439712
182,The Challenger,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,185928576
183,The Seeker,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,187417524
184,The Arrogant,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,188907144
185,The Jealous,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,190396248
186,The Furious,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,191884956
187,The Lazy,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,193374660
188,The Greedy,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,194863548
189,The Gluttonous,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,196352496
190,The lustful,0,155,300,5:3000139:50|1:23:10|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,215813688
191,Abyss Sentinel,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,199331064
192,Abyss Warrior,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,200819856
193,Abyss Captain,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,202309560
194,Abyss Vanguard,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,203798580
195,Abyss Elite,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,205287240
196,Abyss General,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,206776392
197,Abyss Warlord Escort,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,208265784
198,Abyss Warlord,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,209754756
199,Abyss Commander Escort,0,155,300,5:3000139:50|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,211243692
200,Abyss Commander,0,155,300,5:3000139:50|5:3000140:5|1:23:10|1:24:1,1|2|2|3|6|7|7|8|11|12|12|16|17|21|22|26|27,251382192
201,The Lost,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,249400680
202,The Fallen,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,249953400
203,The Sink,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,250506240
204,The Drowned,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,251059680
205,The Fearful,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,251612436
206,The Survivalist,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,252165432
207,The Challenger,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,252718812
208,The Seeker,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,253271736
209,The Arrogant,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,253824468
210,The Jealous,0,160,320,5:3000139:50|1:23:10|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,277982532
211,The Furious,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,254930664
212,The Lazy,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,255483420
213,The Greedy,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,256036092
214,The Gluttonous,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,256589880
215,The lustful,0,160,320,5:3000139:50|1:24:1,1|2|3|3|6|7|8|8|12|12|13|17|18|22|23|27|28,257142792
