id,team,super_awake_arr,show_hero
12,1001:0:28|2032:0:2|2038:0:4|2040:0:4|2048:0:3|2012:0:2|2011:0:4|2037:0:5|2041:0:4|2028:0:4|2002:0:4|2046:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
13,2038:0:3|2002:0:4|2011:0:4|2001:0:3|2026:0:4|2019:0:4|1001:0:21|2004:0:4|2014:0:4|2003:0:4|2015:0:4|2040:0:3,0|0|0|0|0|0|0|0|0|0|0|0,1
14,2048:0:2|2011:0:4|2012:0:3|2037:0:3|2040:0:4|2003:0:4|2046:0:4|1001:0:22|2015:0:4|2026:0:2|2039:0:2|2038:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
15,2046:0:4|2002:0:4|2041:0:4|2054:0:2|2024:0:4|2015:0:4|1001:0:24|2032:0:2|2031:0:2|2040:0:4|2026:0:4|2037:0:3,0|0|0|0|0|0|0|0|0|0|0|0,1
16,2026:0:2|2014:0:4|1001:0:17|2004:0:4|2011:0:2|2046:0:2|2015:0:4|2040:0:2|2002:0:4|2038:0:4|2028:0:2|2003:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
17,2011:0:4|2041:0:4|2048:0:2|1001:0:30|2026:0:4|2047:0:2|2046:0:4|2014:0:4|2040:0:4|2038:0:4|2031:0:2|2028:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
18,1001:0:21|2001:0:4|2040:0:4|2024:0:2|2011:0:4|2036:0:4|2002:0:4|2058:0:2|2013:0:3|2003:0:4|2004:0:4|2041:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
19,2038:0:4|2041:0:2|2047:0:2|2040:0:4|2048:0:2|2012:0:2|2026:0:4|2028:0:4|2015:0:4|2002:0:4|2046:0:4|1001:0:25,0|0|0|0|0|0|0|0|0|0|0|0,1
20,2041:0:4|1001:0:22|2038:0:4|2026:0:4|2046:0:3|2054:0:2|2037:0:3|2040:0:3|2048:0:2|2028:0:3|2002:0:4|2004:0:4,0|0|0|0|0|0|0|0|0|0|0|0,2
21,2036:0:4|1001:0:19|2019:0:2|2011:0:4|2054:0:3|2028:0:4|2038:0:4|2040:0:4|2041:0:3|2026:0:4|2046:0:4|2003:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
22,2040:0:4|2046:0:4|2047:0:2|2026:0:4|2032:0:2|2028:0:4|2041:0:3|2038:0:4|1001:0:22|2025:0:2|2036:0:4|2002:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
23,2048:0:2|2037:0:2|2046:0:4|2002:0:4|2026:0:4|2041:0:4|2028:0:4|2025:0:2|2040:0:4|1001:0:24|2038:0:4|2054:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
24,1001:0:29|2038:0:4|2039:0:2|2050:0:5|2028:0:4|2025:0:2|2032:0:2|2016:0:2|2054:0:3|2037:0:4|2031:0:3|2012:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
25,2032:0:2|2011:0:4|1001:0:29|2058:0:2|2038:0:4|2035:0:3|2041:0:4|2012:0:4|2025:0:2|2026:0:4|2037:0:3|2047:0:3,0|0|0|0|0|0|0|0|0|0|0|0,1
26,2049:0:2|2031:0:2|1001:0:24|2041:0:4|2038:0:4|2015:0:4|2028:0:4|2054:0:3|2037:0:2|2047:0:2|2046:0:4|2048:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
27,2026:0:4|2028:0:3|2002:0:4|2031:0:2|2046:0:4|2038:0:4|2041:0:4|2013:0:2|2040:0:2|2025:0:2|1001:0:22|2004:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
28,2015:0:4|2041:0:4|2040:0:4|2038:0:4|2026:0:4|1001:0:24|2036:0:4|2054:0:2|2024:0:2|2014:0:4|2035:0:2|2012:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
29,2041:0:3|1001:0:23|2040:0:4|2028:0:4|2054:0:2|2038:0:3|2026:0:4|2047:0:2|2001:0:3|2035:0:2|2046:0:2|2012:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
30,1001:0:28|2031:0:2|2048:0:2|2035:0:2|2037:0:2|2050:0:3|2041:0:4|2028:0:4|2002:0:4|2003:0:4|2015:0:4|2014:0:4,0|0|0|0|0|0|0|0|0|0|0|0,2
31,2002:0:4|2041:0:4|2026:0:4|1001:0:23|2054:0:3|2028:0:4|2040:0:4|2031:0:2|2037:0:2|2038:0:4|2046:0:4|2032:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
32,1001:0:29|2047:0:2|2028:0:4|2035:0:2|2048:0:2|2037:0:3|2041:0:4|2012:0:4|2046:0:4|2040:0:4|2025:0:4|2026:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
33,2040:0:4|2041:0:4|2025:0:2|2031:0:2|2032:0:2|2037:0:2|2028:0:4|2026:0:4|2035:0:2|1001:0:24|2038:0:4|2046:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
34,2032:0:2|2026:0:4|2048:0:3|2050:0:4|2037:0:4|2012:0:4|2047:0:4|2028:0:4|2036:0:4|1001:0:29|2025:0:5|2035:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
35,2019:0:4|2032:0:2|2048:0:3|2046:0:4|2026:0:4|2031:0:2|2040:0:4|1001:0:23|2041:0:4|2014:0:4|2037:0:3|2028:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
36,2026:0:4|2025:0:2|2035:0:2|2019:0:4|2040:0:4|2048:0:3|2046:0:4|1001:0:24|2031:0:2|2036:0:4|2037:0:3|2011:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
37,2058:0:2|2037:0:3|2038:0:4|2013:0:2|2041:0:4|2046:0:4|2040:0:4|2028:0:4|2004:0:4|1001:0:25|2026:0:4|2054:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
38,2041:0:4|2039:0:2|2037:0:2|2046:0:4|2003:0:4|2050:0:2|2038:0:2|2035:0:2|2040:0:3|2026:0:3|2028:0:4|1001:0:21,0|0|0|0|0|0|0|0|0|0|0|0,1
39,2012:0:4|2037:0:4|2050:0:3|2025:0:4|2041:0:4|2032:0:2|2026:0:4|2031:0:2|1001:0:29|2038:0:4|2040:0:4|2028:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
40,2037:0:2|2039:0:2|2050:0:4|2048:0:3|1001:0:24|2035:0:5|2032:0:2|2016:0:2|2026:0:4|2038:0:4|2028:0:4|2041:0:4,0|0|0|0|0|0|0|0|0|0|0|0,2
41,2032:0:4|2046:0:4|1001:0:25|2031:0:2|2047:0:2|2035:0:3|2041:0:4|2040:0:4|2037:0:4|2026:0:4|2028:0:4|2048:0:3,0|0|0|0|0|0|0|0|0|0|0|0,1
42,2054:0:3|2003:0:4|2040:0:4|2026:0:4|2039:0:3|2036:0:4|2014:0:4|2038:0:4|2037:0:2|2011:0:4|1001:0:22|2046:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
43,2041:0:4|2013:0:2|2025:0:2|2012:0:2|2054:0:2|1001:0:23|2040:0:3|2038:0:3|2046:0:2|2037:0:2|2015:0:4|2003:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
44,2048:0:2|1001:0:21|2040:0:3|2041:0:2|2014:0:4|2028:0:4|2026:0:2|2003:0:4|2002:0:4|2015:0:4|2046:0:4|2038:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
45,2026:0:2|2046:0:4|2028:0:4|2041:0:4|2038:0:3|2031:0:2|2040:0:2|2058:0:2|2024:0:2|2013:0:2|1001:0:22|2014:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
46,2039:0:5|2012:0:5|2050:0:4|2025:0:2|1001:0:31|2035:0:3|2054:0:4|2047:0:2|2032:0:4|2049:0:2|2037:0:5|2016:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
47,2049:0:2|2055:0:2|2048:0:5|2012:0:3|2047:0:4|2050:0:2|2031:0:4|2039:0:3|2035:0:2|1001:0:32|2025:0:4|2037:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
48,2041:0:4|2048:0:3|2047:0:4|1001:0:24|2037:0:3|2002:0:4|2040:0:4|2014:0:4|2046:0:4|2025:0:2|2026:0:4|2011:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
49,2041:0:3|1001:0:23|2040:0:4|2028:0:4|2054:0:2|2038:0:3|2026:0:4|2047:0:2|2001:0:3|2035:0:2|2046:0:2|2012:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
50,1001:0:22|2011:0:4|2032:0:2|2026:0:4|2040:0:4|2028:0:4|2038:0:3|2041:0:4|2046:0:4|2002:0:4|2003:0:4|2004:0:4,0|0|0|0|0|0|0|0|0|0|0|0,2
51,2040:0:4|2038:0:4|2037:0:2|2050:0:3|2026:0:4|1001:0:24|2028:0:4|2035:0:2|2025:0:2|2041:0:4|2046:0:4|2012:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
52,2046:0:4|2026:0:4|2040:0:4|2035:0:2|1001:0:25|2012:0:2|2013:0:3|2038:0:4|2028:0:4|2050:0:2|2037:0:2|2054:0:3,0|0|0|0|0|0|0|0|0|0|0|0,1
53,2037:0:4|2013:0:2|2015:0:4|2035:0:3|2038:0:4|2012:0:2|2046:0:4|2026:0:4|2040:0:4|2028:0:4|1001:0:30|2041:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
54,2050:0:5|2054:0:2|2039:1:5:0|2035:0:4|2012:0:5|2032:0:5|2016:0:2|2049:1:5:3|2025:0:4|2037:0:5|1001:0:31|2047:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
55,2046:0:3|2062:0:2|2012:0:3|2032:0:2|2040:0:2|2041:0:2|2038:0:4|2026:0:4|1001:0:24|2011:0:4|2048:0:2|2028:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
56,1001:0:23|2037:0:3|2032:0:2|2031:0:2|2048:0:2|2046:0:4|2026:0:4|2041:0:4|2040:0:4|2003:0:4|2028:0:4|2015:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
57,2054:0:2|2039:0:2|2037:0:2|2041:0:4|2046:0:4|2012:0:2|2005:0:3|2015:0:4|1001:0:23|2031:0:2|2014:0:4|2026:0:3,0|0|0|0|0|0|0|0|0|0|0|0,1
58,2028:0:4|2015:0:4|2026:0:4|2038:0:4|2011:0:4|2031:0:2|2049:0:2|2037:0:3|2040:0:4|2032:0:2|2054:0:3|1001:0:31,0|0|0|0|0|0|0|0|0|0|0|0,1
59,1001:0:22|2046:0:4|2002:0:4|2028:0:4|2040:0:4|2026:0:4|2025:0:2|2041:0:4|2011:0:4|2004:0:4|2003:0:4|2038:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
60,2035:0:2|1001:0:24|2048:0:2|2037:0:2|2032:0:3|2025:0:2|2026:0:4|2040:0:4|2028:0:4|2038:0:4|2041:0:3|2046:0:4,0|0|0|0|0|0|0|0|0|0|0|0,2
61,1001:0:21|2003:0:4|2038:0:4|2004:0:4|2040:0:4|2025:0:2|2028:0:3|2026:0:4|2002:0:4|2041:0:4|2001:0:2|2046:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
62,1001:0:22|2001:0:4|2028:0:4|2013:0:2|2041:0:4|2026:0:4|2038:0:4|2040:0:4|2046:0:4|2054:0:2|2002:0:4|2003:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
63,2047:0:2|2038:0:2|2031:0:2|2028:0:2|1001:0:24|2040:0:4|2037:0:3|2054:0:2|2046:0:3|2025:0:2|2026:0:3|2035:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
64,2028:0:4|1001:0:24|2025:0:3|2049:0:2|2038:0:4|2046:0:4|2026:0:4|2041:0:4|2012:0:2|2013:0:2|2048:0:2|2040:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
65,2048:0:2|2054:0:2|2026:0:4|2040:0:4|1001:0:23|2037:0:4|2036:0:4|2039:0:2|2032:0:3|2028:0:4|2013:0:2|2038:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
66,1001:0:23|2040:0:4|2035:0:2|2004:0:4|2046:0:4|2028:0:4|2041:0:4|2031:0:4|2026:0:4|2038:0:4|2011:0:4|2036:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
67,1001:0:21|2032:0:2|2040:0:4|2001:0:4|2026:0:4|2038:0:4|2046:0:3|2041:0:4|2014:0:4|2028:0:4|2011:0:4|2002:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
68,2037:0:2|1001:0:24|2028:0:4|2016:0:2|2012:0:2|2040:0:3|2041:0:4|2026:0:4|2038:0:4|2031:0:2|2054:0:2|2046:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
69,2046:0:4|2041:0:4|2028:0:4|2026:0:4|2031:0:3|2025:0:2|2014:0:4|2002:0:4|2038:0:4|2040:0:4|1001:0:22|2004:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
70,1001:0:23|2028:0:4|2038:0:4|2026:0:4|2011:0:4|2014:0:4|2002:0:4|2003:0:4|2004:0:4|2015:0:4|2036:0:4|2046:0:4,0|0|0|0|0|0|0|0|0|0|0|0,2
71,2002:0:4|2048:0:2|1001:0:22|2038:0:2|2011:0:4|2032:0:2|2004:0:4|2028:0:4|2046:0:3|2026:0:2|2040:0:4|2041:0:3,0|0|0|0|0|0|0|0|0|0|0|0,1
72,2032:0:2|2038:0:3|2028:0:4|2012:0:3|2041:0:4|2048:0:2|1001:0:24|2050:0:2|2026:0:4|2037:0:3|2040:0:4|2062:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
73,2014:0:4|2026:0:4|1001:0:24|2037:0:2|2025:0:3|2041:0:4|2012:0:2|2046:0:4|2028:0:4|2040:0:4|2032:0:2|2031:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
74,2031:0:3|2025:0:3|2062:0:2|2049:0:2|2048:0:4|2012:0:3|2037:0:5|2039:0:5|2054:0:4|2032:0:5|1001:0:29|2035:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
75,2032:0:2|2046:0:4|2014:0:4|2054:0:2|2028:0:4|2040:0:3|2036:0:4|2026:0:3|2041:0:4|1001:0:23|2038:0:4|2002:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
76,2041:0:4|2039:0:2|2032:0:2|2048:0:2|2026:0:4|2040:0:4|2012:0:2|2054:0:2|1001:0:25|2037:0:2|2035:0:2|2046:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
77,2048:0:2|2041:0:4|2003:0:4|2035:0:2|2038:0:3|2001:0:2|2028:0:3|2026:0:4|1001:0:23|2054:0:2|2040:0:4|2002:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
78,1001:0:22|2040:0:4|2038:0:3|2028:0:4|2011:0:4|2025:0:2|2041:0:3|2013:0:2|2026:0:4|2014:0:4|2002:0:4|2046:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
79,2025:0:2|2031:0:2|2037:0:2|1001:0:24|2046:0:4|2054:0:3|2026:0:4|2040:0:4|2041:0:4|2038:0:4|2028:0:4|2004:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
80,2037:0:3|2046:0:4|2012:0:2|2026:0:4|2050:0:4|2039:0:2|1001:0:25|2047:0:2|2025:0:3|2035:0:2|2016:0:2|2048:0:2,0|0|0|0|0|0|0|0|0|0|0|0,2
81,2054:0:2|2003:0:4|2040:0:2|2035:0:2|2012:0:2|2015:0:4|2050:0:2|2028:0:4|1001:0:23|2038:0:4|2014:0:4|2041:0:3,0|0|0|0|0|0|0|0|0|0|0|0,1
82,2035:0:2|2031:0:2|2037:0:2|2040:0:4|2046:0:4|2026:0:4|2028:0:4|2038:0:4|2047:0:3|2054:0:2|1001:0:24|2041:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
83,1001:0:32|2039:0:2|2025:0:4|2037:0:3|2050:0:2|2048:0:3|2047:0:3|2012:0:4|2016:0:3|2049:0:3|2032:0:2|2035:0:3,0|0|0|0|0|0|0|0|0|0|0|0,1
84,2038:0:4|2026:0:4|2041:0:4|2028:0:4|2046:0:4|2002:0:4|2003:0:4|1001:0:23|2040:0:4|2054:0:2|2015:0:4|2025:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
85,1001:0:24|2054:0:2|2037:0:2|2048:0:2|2046:0:4|2040:0:4|2035:0:2|2012:0:4|2026:0:4|2038:0:4|2041:0:4|2049:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
86,2012:0:2|2035:0:2|1001:0:25|2031:0:2|2038:0:4|2040:0:4|2037:0:3|2054:0:3|2048:0:2|2039:0:4|2013:0:2|2028:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
87,2003:0:4|1001:0:23|2050:0:2|2035:0:2|2040:0:2|2004:0:4|2026:0:4|2038:0:4|2025:0:2|2041:0:3|2028:0:4|2046:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
88,2003:0:4|2050:0:2|2039:0:4|2037:0:3|2032:0:4|2047:0:2|2054:0:2|2012:0:2|2026:0:4|2014:0:4|2031:0:3|1001:0:25,0|0|0|0|0|0|0|0|0|0|0|0,1
89,2040:0:3|2025:0:2|2026:0:4|2038:0:4|2011:0:4|2041:0:4|2048:0:3|2046:0:4|2031:0:2|2037:1:3:0|2028:0:4|1001:0:24,0|0|0|0|0|0|0|0|0|0|0|0,1
90,1001:0:28|2037:0:3|2012:0:2|2031:0:2|2032:0:3|2048:0:3|2054:0:2|2035:0:2|2038:0:4|2040:0:4|2041:0:4|2026:0:4,0|0|0|0|0|0|0|0|0|0|0|0,2
91,2037:0:3|2067:1:2:0|2050:0:2|2048:0:2|2049:0:2|1001:0:31|2012:0:3|2053:0:2|2058:0:2|2054:0:2|2025:0:2|2016:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
92,2048:0:2|2026:0:3|2039:0:2|1001:0:28|2012:0:2|2025:0:2|2014:0:4|2035:0:2|2032:0:2|2037:0:2|2011:0:4|2054:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
93,2041:0:2|2054:0:3|2002:0:4|2046:0:2|2040:0:3|1001:0:22|2028:0:3|2026:0:4|2013:0:2|2032:0:2|2004:0:4|2014:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
94,1001:0:22|2002:0:4|2024:0:2|2004:0:4|2040:0:4|2028:0:3|2003:0:4|2041:0:4|2025:0:2|2046:0:3|2011:0:4|2038:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
95,2031:0:2|2041:0:4|2037:0:3|2032:0:2|2025:0:2|2062:0:2|2035:0:2|2040:0:4|2026:0:4|2038:0:4|2028:0:4|1001:0:28,0|0|0|0|0|0|0|0|0|0|0|0,1
96,2035:0:3|2047:0:2|1001:0:25|2026:0:4|2013:0:2|2041:0:4|2037:0:2|2038:0:4|2031:0:2|2058:0:2|2040:0:4|2048:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
97,2036:0:4|2037:0:3|2032:0:2|2035:0:2|2048:0:2|1001:0:24|2019:0:4|2038:0:4|2053:0:2|2041:0:4|2026:0:4|2002:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
98,2031:0:2|2040:0:4|2028:0:4|2037:0:3|2048:0:2|2054:0:2|2026:0:4|2038:0:3|2012:0:2|2046:0:4|1001:0:24|2041:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
99,1001:0:22|2038:0:4|2026:0:2|2025:0:2|2035:0:2|2040:0:3|2015:0:4|2002:0:4|2046:0:2|2041:0:4|2011:0:4|2028:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
100,2031:0:2|2040:0:4|2026:0:2|2038:0:3|1001:0:21|2041:0:3|2046:0:4|2011:0:4|2002:0:4|2004:0:4|2015:0:4|2036:0:4,0|0|0|0|0|0|0|0|0|0|0|0,2
101,2046:0:4|2013:0:2|1001:0:25|2026:0:4|2049:0:3|2038:0:4|2047:0:2|2058:0:2|2037:0:4|2025:0:2|2035:0:3|2012:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
102,2040:0:4|2031:0:4|2012:0:2|2054:0:2|2047:0:2|2048:0:2|2039:0:5|1001:0:25|2037:0:2|2028:0:4|2041:0:4|2050:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
103,2049:0:5|2050:0:5|2037:0:5|2048:0:3|2032:0:4|1001:0:31|2039:0:5|2016:0:2|2054:0:3|2035:0:4|2047:0:5|2012:0:5,0|0|0|0|0|0|0|0|0|0|0|0,1
104,2025:0:3|2047:0:3|2048:0:2|2031:0:2|2026:0:4|2040:0:4|2041:0:4|2028:0:4|2038:0:4|2037:0:4|1001:0:25|2050:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
105,2003:0:4|2050:0:3|2013:0:4|2014:0:4|2048:0:2|1001:0:29|2058:0:2|2031:0:2|2025:0:3|2019:0:4|2026:0:4|2047:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
106,1001:0:23|2038:0:4|2046:0:4|2048:0:3|2040:0:4|2016:0:2|2026:0:4|2011:0:4|2028:0:4|2041:0:4|2014:0:4|2036:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
107,2004:0:4|2016:0:3|1001:0:24|2035:0:2|2019:0:4|2026:0:4|2003:0:4|2014:0:3|2040:0:3|2036:0:4|2011:0:3|2031:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
108,2040:0:4|2026:0:3|2001:0:2|1001:0:22|2046:0:4|2011:0:4|2028:0:4|2041:0:4|2036:0:4|2002:0:4|2038:0:4|2035:0:3,0|0|0|0|0|0|0|0|0|0|0|0,1
109,2013:0:2|2058:0:2|2039:0:3|2037:0:4|2040:0:4|2025:0:4|2038:0:4|2054:0:2|2026:0:4|2041:0:4|1001:0:25|2028:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
110,2048:0:4|1001:0:29|2050:0:3|2037:0:5|2025:0:2|2047:0:2|2012:0:2|2032:0:2|2035:0:3|2026:0:4|2040:0:4|2014:0:4,0|0|0|0|0|0|0|0|0|0|0|0,2
111,2041:0:4|2039:0:3|2038:0:4|2048:0:2|2037:0:4|1001:0:30|2050:0:3|2032:0:4|2040:0:4|2026:0:4|2054:0:2|2025:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
112,2013:0:2|2014:0:4|2038:0:4|2047:0:2|2046:0:4|2037:0:2|2012:0:4|2058:0:2|2016:0:3|2052:0:2|1001:0:28|2035:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
113,2026:0:4|2014:0:4|2032:0:2|2039:0:2|2041:0:4|2037:0:3|2046:0:4|2028:0:4|2048:0:4|2038:0:4|2040:0:4|1001:0:25,0|0|0|0|0|0|0|0|0|0|0|0,1
114,2041:0:4|2052:0:2|2015:0:4|1001:0:24|2040:0:4|2001:0:4|2016:0:3|2028:0:4|2011:0:4|2026:0:4|2012:0:2|2038:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
115,2032:0:2|2013:0:3|2041:0:4|2038:0:4|2037:0:3|2026:0:4|2028:0:4|2048:0:3|1001:0:29|2046:0:4|2040:0:4|2002:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
116,2026:0:4|2014:0:4|2046:0:4|2025:0:2|2028:0:3|2002:0:4|2038:0:4|2041:0:3|2040:0:4|1001:0:21|2036:0:4|2011:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
117,1001:0:30|2039:0:3|2026:0:4|2037:0:3|2048:0:3|2031:0:2|2025:0:4|2012:0:2|2015:0:4|2049:0:2|2032:0:2|2050:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
118,2037:0:5|2038:0:4|1001:0:29|2016:0:4|2046:0:4|2028:0:4|2040:0:4|2049:0:2|2012:0:5|2026:0:4|2035:0:2|2031:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
119,2054:0:3|2028:0:4|2013:0:2|2026:0:4|2037:0:4|2035:0:2|2031:0:2|2038:0:4|2016:0:3|1001:0:25|2058:0:2|2041:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
120,2041:0:4|1001:0:30|2025:0:4|2012:0:2|2047:0:4|2037:0:2|2028:0:4|2038:0:4|2040:0:4|2002:0:4|2004:0:4|2011:0:4,0|0|0|0|0|0|0|0|0|0|0|0,2
121,2046:0:4|2048:0:2|2040:0:4|2011:0:4|2037:0:5|2038:0:4|2026:0:4|2028:0:4|2032:0:4|2019:0:4|2041:0:4|1001:0:28,0|0|0|0|0|0|0|0|0|0|0|0,1
122,2031:0:3|2037:0:5|2035:0:4|2050:0:3|2024:0:2|2048:0:2|2012:0:4|2039:0:3|1001:0:30|2032:0:3|2025:0:2|2047:0:2,0|0|0|0|0|0|0|0|0|0|0|0,1
123,2041:0:4|2048:0:4|2012:0:4|2035:0:3|2038:0:4|2037:0:5|2026:0:4|2047:0:4|2025:0:4|2031:0:3|2046:0:4|1001:0:29,0|0|0|0|0|0|0|0|0|0|0|0,1
124,2036:0:4|2028:0:4|2004:0:4|2040:0:4|1001:0:23|2015:0:4|2041:0:4|2046:0:4|2032:0:2|2038:0:4|2002:0:4|2003:0:4,0|0|0|0|0|0|0|0|0|0|0|0,1
