dungeon_id,boss_monster_npc_id_list,normal_monster_npc_id_list,armor_drop_rate_when_offline_fight,bg_path,name,map_id,reward
50,10100|10099,1065|1066,12,YueDuShenShe,2-20,2,5:3000214:500
51,10102|10101,1067|1068,12,YueDuShenShe,2-21,2,
52,10104|10103,1067|1068,12,YueDuShenShe,2-22,2,
53,10106|10105,1069|1070,12,YueDuShenShe,2-23,2,
54,10108|10107,1069|1070,12,YueDuShenShe,2-24,2,
55,10110|10109,1071|1072,12,YueDuShenShe,2-25,2,1:2:200
56,10112|10111,1071|1072,12,YueDuShenShe,2-26,2,
57,10114|10113,1073|1074,12,YueDuShenShe,2-27,2,
58,10116|10115,1073|1074,12,YueDuShenShe,2-28,2,
59,10118|10117,1075|1076,12,YueDuShenShe,2-29,2,
60,10120|10119,1075|1076,12,YueDuShenShe,2-30,2,5:3000027:5
61,10122|10121,1077|1078,12,YouAnMiGong,3-1,3,
62,10124|10123,1077|1078,12,YouAnMiGong,3-2,3,
63,10126|10125,1077|1078,12,YouAnMiGong,3-3,3,
64,10128|10127,1077|1078,12,YouAnMiGong,3-4,3,
65,10130|10129,1079|1080,12,YouAnMiGong,3-5,3,1:2:100
66,10132|10131,1079|1080,12,YouAnMiGong,3-6,3,
67,10134|10133,1079|1080,12,YouAnMiGong,3-7,3,
68,10136|10135,1079|1080,12,YouAnMiGong,3-8,3,
69,10138|10137,1081|1082,12,YouAnMiGong,3-9,3,
70,10140|10139,1081|1082,12,YouAnMiGong,3-10,3,5:3000214:500
71,10142|10141,1081|1082,12,YouAnMiGong,3-11,3,
72,10144|10143,1081|1082,12,YouAnMiGong,3-12,3,
73,10146|10145,1083|1084,12,YouAnMiGong,3-13,3,
74,10148|10147,1083|1084,12,YouAnMiGong,3-14,3,
75,10150|10149,1083|1084,12,YouAnMiGong,3-15,3,1:2:100
76,10152|10151,1083|1084,12,YouAnMiGong,3-16,3,
77,10154|10153,1085|1086,12,YouAnMiGong,3-17,3,
78,10156|10155,1085|1086,12,YouAnMiGong,3-18,3,
79,10158|10157,1085|1086,12,YouAnMiGong,3-19,3,
80,10160|10159,1085|1086,12,YouAnMiGong,3-20,3,5:3000214:500
81,10162|10161,1087|1088,12,YouAnMiGong,3-21,3,
82,10164|10163,1087|1088,12,YouAnMiGong,3-22,3,
83,10166|10165,1087|1088,12,YouAnMiGong,3-23,3,
84,10168|10167,1087|1088,12,YouAnMiGong,3-24,3,
85,10170|10169,1089|1090,12,YouAnMiGong,3-25,3,1:2:200
86,10172|10171,1089|1090,12,YouAnMiGong,3-26,3,
87,10174|10173,1089|1090,12,YouAnMiGong,3-27,3,
88,10176|10175,1089|1090,12,YouAnMiGong,3-28,3,
89,10178|10177,1091|1092,12,YouAnMiGong,3-29,3,
90,10180|10179,1091|1092,12,YouAnMiGong,3-30,3,5:3000027:5
91,10182|10181,1091|1092,12,PanDuoLaShenMiao,4-1,4,
92,10184|10183,1091|1092,12,PanDuoLaShenMiao,4-2,4,
93,10186|10185,1093|1094,12,PanDuoLaShenMiao,4-3,4,
94,10188|10187,1093|1094,12,PanDuoLaShenMiao,4-4,4,
95,10190|10189,1093|1094,12,PanDuoLaShenMiao,4-5,4,1:2:100
96,10192|10191,1093|1094,12,PanDuoLaShenMiao,4-6,4,
97,10194|10193,1095|1096,12,PanDuoLaShenMiao,4-7,4,
98,10196|10195,1095|1096,12,PanDuoLaShenMiao,4-8,4,
99,10198|10197,1095|1096,12,PanDuoLaShenMiao,4-9,4,
100,10200|10199,1095|1096,12,PanDuoLaShenMiao,4-10,4,5:3000214:500
101,10202|10201,1097|1098,12,PanDuoLaShenMiao,4-11,4,
102,10204|10203,1097|1098,12,PanDuoLaShenMiao,4-12,4,
103,10206|10205,1097|1098,12,PanDuoLaShenMiao,4-13,4,
104,10208|10207,1097|1098,12,PanDuoLaShenMiao,4-14,4,
105,10210|10209,1097|1098,12,PanDuoLaShenMiao,4-15,4,1:2:100
106,10212|10211,1097|1098,12,PanDuoLaShenMiao,4-16,4,
107,10214|10213,1099|1100,12,PanDuoLaShenMiao,4-17,4,
108,10216|10215,1099|1100,12,PanDuoLaShenMiao,4-18,4,
109,10218|10217,1099|1100,12,PanDuoLaShenMiao,4-19,4,
110,10220|10219,1099|1100,12,PanDuoLaShenMiao,4-20,4,5:3000214:500
111,10222|10221,1099|1100,12,PanDuoLaShenMiao,4-21,4,
112,10224|10223,1099|1100,12,PanDuoLaShenMiao,4-22,4,
113,10226|10225,1101|1102,12,PanDuoLaShenMiao,4-23,4,
114,10228|10227,1101|1102,12,PanDuoLaShenMiao,4-24,4,
115,10230|10229,1101|1102,12,PanDuoLaShenMiao,4-25,4,1:2:200
116,10232|10231,1101|1102,12,PanDuoLaShenMiao,4-26,4,
117,10234|10233,1101|1102,12,PanDuoLaShenMiao,4-27,4,
118,10236|10235,1101|1102,12,PanDuoLaShenMiao,4-28,4,
119,10238|10237,1103|1104,12,PanDuoLaShenMiao,4-29,4,
120,10240|10239,1103|1104,12,PanDuoLaShenMiao,4-30,4,5:3000027:5
121,10242|10241,1103|1104,12,DaJinZiTa,5-1,5,
122,10244|10243,1103|1104,12,DaJinZiTa,5-2,5,
123,10246|10245,1103|1104,12,DaJinZiTa,5-3,5,
124,10248|10247,1103|1104,12,DaJinZiTa,5-4,5,
125,10250|10249,1105|1106,12,DaJinZiTa,5-5,5,1:2:100
126,10252|10251,1105|1106,12,DaJinZiTa,5-6,5,
127,10254|10253,1105|1106,12,DaJinZiTa,5-7,5,
128,10256|10255,1105|1106,12,DaJinZiTa,5-8,5,
129,10258|10257,1105|1106,12,DaJinZiTa,5-9,5,
130,10260|10259,1105|1106,12,DaJinZiTa,5-10,5,5:3000214:500
131,10262|10261,1107|1108,12,DaJinZiTa,5-11,5,
132,10264|10263,1107|1108,12,DaJinZiTa,5-12,5,
133,10266|10265,1107|1108,12,DaJinZiTa,5-13,5,
134,10268|10267,1107|1108,12,DaJinZiTa,5-14,5,
135,10270|10269,1107|1108,12,DaJinZiTa,5-15,5,1:2:100
136,10272|10271,1107|1108,12,DaJinZiTa,5-16,5,
137,10274|10273,1109|1110,12,DaJinZiTa,5-17,5,
138,10276|10275,1109|1110,12,DaJinZiTa,5-18,5,
139,10278|10277,1109|1110,12,DaJinZiTa,5-19,5,
140,10280|10279,1109|1110,12,DaJinZiTa,5-20,5,5:3000214:500
141,10282|10281,1109|1110,12,DaJinZiTa,5-21,5,
142,10284|10283,1109|1110,12,DaJinZiTa,5-22,5,
143,10286|10285,1111|1112,12,DaJinZiTa,5-23,5,
144,10288|10287,1111|1112,12,DaJinZiTa,5-24,5,
145,10290|10289,1111|1112,12,DaJinZiTa,5-25,5,1:2:200
146,10292|10291,1111|1112,12,DaJinZiTa,5-26,5,
147,10294|10293,1111|1112,12,DaJinZiTa,5-27,5,
148,10296|10295,1111|1112,12,DaJinZiTa,5-28,5,
149,10298|10297,1113|1114,12,DaJinZiTa,5-29,5,
150,10300|10299,1113|1114,12,DaJinZiTa,5-30,5,27:1001:1
151,10302|10301,1113|1114,12,MuShiYongDao,6-1,6,
152,10304|10303,1113|1114,12,MuShiYongDao,6-2,6,
153,10306|10305,1113|1114,12,MuShiYongDao,6-3,6,
154,10308|10307,1113|1114,12,MuShiYongDao,6-4,6,
155,10310|10309,1115|1116,12,MuShiYongDao,6-5,6,1:2:100
156,10312|10311,1115|1116,12,MuShiYongDao,6-6,6,
157,10314|10313,1115|1116,12,MuShiYongDao,6-7,6,
158,10316|10315,1115|1116,12,MuShiYongDao,6-8,6,
159,10318|10317,1115|1116,12,MuShiYongDao,6-9,6,
160,10320|10319,1115|1116,12,MuShiYongDao,6-10,6,5:3000214:500
161,10322|10321,1117|1118,12,MuShiYongDao,6-11,6,
162,10324|10323,1117|1118,12,MuShiYongDao,6-12,6,
163,10326|10325,1117|1118,12,MuShiYongDao,6-13,6,
164,10328|10327,1117|1118,12,MuShiYongDao,6-14,6,
165,10330|10329,1117|1118,12,MuShiYongDao,6-15,6,1:2:100
166,10332|10331,1117|1118,12,MuShiYongDao,6-16,6,
167,10334|10333,1119|1120,12,MuShiYongDao,6-17,6,
168,10336|10335,1119|1120,12,MuShiYongDao,6-18,6,
169,10338|10337,1119|1120,12,MuShiYongDao,6-19,6,
170,10340|10339,1119|1120,12,MuShiYongDao,6-20,6,5:3000214:500
171,10342|10341,1119|1120,12,MuShiYongDao,6-21,6,
172,10344|10343,1119|1120,12,MuShiYongDao,6-22,6,
173,10346|10345,1121|1122,12,MuShiYongDao,6-23,6,
174,10348|10347,1121|1122,12,MuShiYongDao,6-24,6,
175,10350|10349,1121|1122,12,MuShiYongDao,6-25,6,1:2:200
176,10352|10351,1121|1122,12,MuShiYongDao,6-26,6,
177,10354|10353,1121|1122,12,MuShiYongDao,6-27,6,
178,10356|10355,1121|1122,12,MuShiYongDao,6-28,6,
179,10358|10357,1123|1124,12,MuShiYongDao,6-29,6,
180,10360|10359,1123|1124,12,MuShiYongDao,6-30,6,5:3000027:5
181,10362|10361,1123|1124,12,JinBiMuShi,7-1,7,
182,10364|10363,1123|1124,12,JinBiMuShi,7-2,7,
183,10366|10365,1123|1124,12,JinBiMuShi,7-3,7,
184,10368|10367,1123|1124,12,JinBiMuShi,7-4,7,
185,10370|10369,1125|1126,12,JinBiMuShi,7-5,7,1:2:100
186,10372|10371,1125|1126,12,JinBiMuShi,7-6,7,
187,10374|10373,1125|1126,12,JinBiMuShi,7-7,7,
188,10376|10375,1125|1126,12,JinBiMuShi,7-8,7,
189,10378|10377,1125|1126,12,JinBiMuShi,7-9,7,
190,10380|10379,1125|1126,12,JinBiMuShi,7-10,7,5:3000214:500
191,10382|10381,1127|1128,12,JinBiMuShi,7-11,7,
192,10384|10383,1127|1128,12,JinBiMuShi,7-12,7,
193,10386|10385,1127|1128,12,JinBiMuShi,7-13,7,
194,10388|10387,1127|1128,12,JinBiMuShi,7-14,7,
195,10390|10389,1127|1128,12,JinBiMuShi,7-15,7,1:2:100
196,10392|10391,1127|1128,12,JinBiMuShi,7-16,7,
197,10394|10393,1129|1130,12,JinBiMuShi,7-17,7,
198,10396|10395,1129|1130,12,JinBiMuShi,7-18,7,
199,10398|10397,1129|1130,12,JinBiMuShi,7-19,7,
200,10400|10399,1129|1130,12,JinBiMuShi,7-20,7,5:3000214:500
201,10402|10401,1129|1130,12,JinBiMuShi,7-21,7,
202,10404|10403,1129|1130,12,JinBiMuShi,7-22,7,
203,10406|10405,1131|1132,12,JinBiMuShi,7-23,7,
204,10408|10407,1131|1132,12,JinBiMuShi,7-24,7,
205,10410|10409,1131|1132,12,JinBiMuShi,7-25,7,1:2:200
206,10412|10411,1131|1132,12,JinBiMuShi,7-26,7,
207,10414|10413,1131|1132,12,JinBiMuShi,7-27,7,
208,10416|10415,1131|1132,12,JinBiMuShi,7-28,7,
209,10418|10417,1133|1134,12,JinBiMuShi,7-29,7,
210,10420|10419,1133|1134,12,JinBiMuShi,7-30,7,5:3000027:5
211,10422|10421,1133|1134,12,RanShaoLianYu,8-1,8,
212,10424|10423,1133|1134,12,RanShaoLianYu,8-2,8,
213,10426|10425,1133|1134,12,RanShaoLianYu,8-3,8,
214,10428|10427,1133|1134,12,RanShaoLianYu,8-4,8,
215,10430|10429,1135|1136,12,RanShaoLianYu,8-5,8,1:2:100
216,10432|10431,1135|1136,12,RanShaoLianYu,8-6,8,
217,10434|10433,1135|1136,12,RanShaoLianYu,8-7,8,
218,10436|10435,1135|1136,12,RanShaoLianYu,8-8,8,
219,10438|10437,1135|1136,12,RanShaoLianYu,8-9,8,
220,10440|10439,1135|1136,12,RanShaoLianYu,8-10,8,5:3000214:500
221,10442|10441,1137|1138,12,RanShaoLianYu,8-11,8,
222,10444|10443,1137|1138,12,RanShaoLianYu,8-12,8,
223,10446|10445,1137|1138,12,RanShaoLianYu,8-13,8,
224,10448|10447,1137|1138,12,RanShaoLianYu,8-14,8,
225,10450|10449,1137|1138,12,RanShaoLianYu,8-15,8,1:2:100
226,10452|10451,1137|1138,12,RanShaoLianYu,8-16,8,
227,10454|10453,1139|1140,12,RanShaoLianYu,8-17,8,
228,10456|10455,1139|1140,12,RanShaoLianYu,8-18,8,
229,10458|10457,1139|1140,12,RanShaoLianYu,8-19,8,
230,10460|10459,1139|1140,12,RanShaoLianYu,8-20,8,5:3000214:500
231,10462|10461,1139|1140,12,RanShaoLianYu,8-21,8,
232,10464|10463,1139|1140,12,RanShaoLianYu,8-22,8,
233,10466|10465,1141|1142,12,RanShaoLianYu,8-23,8,
234,10468|10467,1141|1142,12,RanShaoLianYu,8-24,8,
235,10470|10469,1141|1142,12,RanShaoLianYu,8-25,8,1:2:200
236,10472|10471,1141|1142,12,RanShaoLianYu,8-26,8,
237,10474|10473,1141|1142,12,RanShaoLianYu,8-27,8,
238,10476|10475,1141|1142,12,RanShaoLianYu,8-28,8,
239,10478|10477,1143|1144,12,RanShaoLianYu,8-29,8,
240,10480|10479,1143|1144,12,RanShaoLianYu,8-30,8,5:3000027:5
241,10482|10481,1143|1144,12,XueChengBao,9-1,9,
242,10484|10483,1143|1144,12,XueChengBao,9-2,9,
243,10486|10485,1143|1144,12,XueChengBao,9-3,9,
244,10488|10487,1143|1144,12,XueChengBao,9-4,9,
245,10490|10489,1145|1146,12,XueChengBao,9-5,9,1:2:100
246,10492|10491,1145|1146,12,XueChengBao,9-6,9,
247,10494|10493,1145|1146,12,XueChengBao,9-7,9,
248,10496|10495,1145|1146,12,XueChengBao,9-8,9,
249,10498|10497,1145|1146,12,XueChengBao,9-9,9,
250,10500|10499,1145|1146,12,XueChengBao,9-10,9,5:3000214:500
251,10502|10501,1147|1148,12,XueChengBao,9-11,9,
252,10504|10503,1147|1148,12,XueChengBao,9-12,9,
253,10506|10505,1147|1148,12,XueChengBao,9-13,9,
254,10508|10507,1147|1148,12,XueChengBao,9-14,9,
255,10510|10509,1147|1148,12,XueChengBao,9-15,9,1:2:100
256,10512|10511,1147|1148,12,XueChengBao,9-16,9,
257,10514|10513,1149|1150,12,XueChengBao,9-17,9,
258,10516|10515,1149|1150,12,XueChengBao,9-18,9,
259,10518|10517,1149|1150,12,XueChengBao,9-19,9,
260,10520|10519,1149|1150,12,XueChengBao,9-20,9,5:3000214:500
261,10522|10521,1149|1150,12,XueChengBao,9-21,9,
262,10524|10523,1149|1150,12,XueChengBao,9-22,9,
263,10526|10525,1151|1152,12,XueChengBao,9-23,9,
264,10528|10527,1151|1152,12,XueChengBao,9-24,9,
265,10530|10529,1151|1152,12,XueChengBao,9-25,9,1:2:200
266,10532|10531,1151|1152,12,XueChengBao,9-26,9,
267,10534|10533,1151|1152,12,XueChengBao,9-27,9,
268,10536|10535,1151|1152,12,XueChengBao,9-28,9,
269,10538|10537,1153|1154,12,XueChengBao,9-29,9,
270,10540|10539,1153|1154,12,XueChengBao,9-30,9,5:3000027:5
271,10542|10541,1153|1154,12,ASiJiaDe,10-1,10,
272,10544|10543,1153|1154,12,ASiJiaDe,10-2,10,
273,10546|10545,1153|1154,12,ASiJiaDe,10-3,10,
274,10548|10547,1153|1154,12,ASiJiaDe,10-4,10,
275,10550|10549,1155|1156,12,ASiJiaDe,10-5,10,1:2:100
276,10552|10551,1155|1156,12,ASiJiaDe,10-6,10,
277,10554|10553,1155|1156,12,ASiJiaDe,10-7,10,
278,10556|10555,1155|1156,12,ASiJiaDe,10-8,10,
279,10558|10557,1155|1156,12,ASiJiaDe,10-9,10,
280,10560|10559,1155|1156,12,ASiJiaDe,10-10,10,5:3000214:500
281,10562|10561,1157|1158,12,ASiJiaDe,10-11,10,
282,10564|10563,1157|1158,12,ASiJiaDe,10-12,10,
283,10566|10565,1157|1158,12,ASiJiaDe,10-13,10,
284,10568|10567,1157|1158,12,ASiJiaDe,10-14,10,
285,10570|10569,1157|1158,12,ASiJiaDe,10-15,10,1:2:100
286,10572|10571,1157|1158,12,ASiJiaDe,10-16,10,
287,10574|10573,1159|1160,12,ASiJiaDe,10-17,10,
288,10576|10575,1159|1160,12,ASiJiaDe,10-18,10,
289,10578|10577,1159|1160,12,ASiJiaDe,10-19,10,
290,10580|10579,1159|1160,12,ASiJiaDe,10-20,10,5:3000214:500
291,10582|10581,1159|1160,12,ASiJiaDe,10-21,10,
292,10584|10583,1159|1160,12,ASiJiaDe,10-22,10,
293,10586|10585,1161|1162,12,ASiJiaDe,10-23,10,
294,10588|10587,1161|1162,12,ASiJiaDe,10-24,10,
295,10590|10589,1161|1162,12,ASiJiaDe,10-25,10,1:2:200
296,10592|10591,1161|1162,12,ASiJiaDe,10-26,10,
297,10594|10593,1161|1162,12,ASiJiaDe,10-27,10,
298,10596|10595,1161|1162,12,ASiJiaDe,10-28,10,
299,10598|10597,1163|1164,12,ASiJiaDe,10-29,10,
300,10600|10599,1163|1164,12,ASiJiaDe,10-30,10,27:1001:1
301,10602|10601,1163|1164,12,ShiJieShu,11-1,11,
302,10604|10603,1163|1164,12,ShiJieShu,11-2,11,
303,10606|10605,1163|1164,12,ShiJieShu,11-3,11,
304,10608|10607,1163|1164,12,ShiJieShu,11-4,11,
305,10610|10609,1165|1166,12,ShiJieShu,11-5,11,1:2:100
306,10612|10611,1165|1166,12,ShiJieShu,11-6,11,
307,10614|10613,1165|1166,12,ShiJieShu,11-7,11,
308,10616|10615,1165|1166,12,ShiJieShu,11-8,11,
309,10618|10617,1165|1166,12,ShiJieShu,11-9,11,
310,10620|10619,1165|1166,12,ShiJieShu,11-10,11,5:3000214:500
311,10622|10621,1167|1168,12,ShiJieShu,11-11,11,
312,10624|10623,1167|1168,12,ShiJieShu,11-12,11,
313,10626|10625,1167|1168,12,ShiJieShu,11-13,11,
314,10628|10627,1167|1168,12,ShiJieShu,11-14,11,
315,10630|10629,1167|1168,12,ShiJieShu,11-15,11,1:2:100
316,10632|10631,1167|1168,12,ShiJieShu,11-16,11,
317,10634|10633,1169|1170,12,ShiJieShu,11-17,11,
318,10636|10635,1169|1170,12,ShiJieShu,11-18,11,
319,10638|10637,1169|1170,12,ShiJieShu,11-19,11,
320,10640|10639,1169|1170,12,ShiJieShu,11-20,11,5:3000214:500
321,10642|10641,1169|1170,12,ShiJieShu,11-21,11,
322,10644|10643,1169|1170,12,ShiJieShu,11-22,11,
323,10646|10645,1171|1172,12,ShiJieShu,11-23,11,
324,10648|10647,1171|1172,12,ShiJieShu,11-24,11,
325,10650|10649,1171|1172,12,ShiJieShu,11-25,11,1:2:200
326,10652|10651,1171|1172,12,ShiJieShu,11-26,11,
327,10654|10653,1171|1172,12,ShiJieShu,11-27,11,
328,10656|10655,1171|1172,12,ShiJieShu,11-28,11,
329,10658|10657,1173|1174,12,ShiJieShu,11-29,11,
330,10660|10659,1173|1174,12,ShiJieShu,11-30,11,5:3000027:5
331,10662|10661,1173|1174,12,ShenZhiXiaGu,12-1,12,
332,10664|10663,1173|1174,12,ShenZhiXiaGu,12-2,12,
333,10666|10665,1173|1174,12,ShenZhiXiaGu,12-3,12,
334,10668|10667,1173|1174,12,ShenZhiXiaGu,12-4,12,
335,10670|10669,1175|1176,12,ShenZhiXiaGu,12-5,12,1:2:100
336,10672|10671,1175|1176,12,ShenZhiXiaGu,12-6,12,
337,10674|10673,1175|1176,12,ShenZhiXiaGu,12-7,12,
338,10676|10675,1175|1176,12,ShenZhiXiaGu,12-8,12,
339,10678|10677,1175|1176,12,ShenZhiXiaGu,12-9,12,
340,10680|10679,1175|1176,12,ShenZhiXiaGu,12-10,12,5:3000214:500
341,10682|10681,1177|1178,12,ShenZhiXiaGu,12-11,12,
342,10684|10683,1177|1178,12,ShenZhiXiaGu,12-12,12,
343,10686|10685,1177|1178,12,ShenZhiXiaGu,12-13,12,
344,10688|10687,1177|1178,12,ShenZhiXiaGu,12-14,12,
345,10690|10689,1177|1178,12,ShenZhiXiaGu,12-15,12,1:2:100
346,10692|10691,1177|1178,12,ShenZhiXiaGu,12-16,12,
347,10694|10693,1179|1180,12,ShenZhiXiaGu,12-17,12,
348,10696|10695,1179|1180,12,ShenZhiXiaGu,12-18,12,
349,10698|10697,1179|1180,12,ShenZhiXiaGu,12-19,12,
350,10700|10699,1179|1180,12,ShenZhiXiaGu,12-20,12,5:3000214:500
351,10702|10701,1179|1180,12,ShenZhiXiaGu,12-21,12,
352,10704|10703,1179|1180,12,ShenZhiXiaGu,12-22,12,
353,10706|10705,1181|1182,12,ShenZhiXiaGu,12-23,12,
354,10708|10707,1181|1182,12,ShenZhiXiaGu,12-24,12,
355,10710|10709,1181|1182,12,ShenZhiXiaGu,12-25,12,1:2:200
356,10712|10711,1181|1182,12,ShenZhiXiaGu,12-26,12,
357,10714|10713,1181|1182,12,ShenZhiXiaGu,12-27,12,
358,10716|10715,1181|1182,12,ShenZhiXiaGu,12-28,12,
359,10718|10717,1183|1184,12,ShenZhiXiaGu,12-29,12,
360,10720|10719,1183|1184,12,ShenZhiXiaGu,12-30,12,5:3000027:5
361,10722|10721,1183|1184,12,NvWaQinGong,13-1,13,
362,10724|10723,1183|1184,12,NvWaQinGong,13-2,13,
363,10726|10725,1183|1184,12,NvWaQinGong,13-3,13,
364,10728|10727,1183|1184,12,NvWaQinGong,13-4,13,
365,10730|10729,1185|1186,12,NvWaQinGong,13-5,13,1:2:100
366,10732|10731,1185|1186,12,NvWaQinGong,13-6,13,
367,10734|10733,1185|1186,12,NvWaQinGong,13-7,13,
368,10736|10735,1185|1186,12,NvWaQinGong,13-8,13,
369,10738|10737,1185|1186,12,NvWaQinGong,13-9,13,
370,10740|10739,1185|1186,12,NvWaQinGong,13-10,13,5:3000214:500
371,10742|10741,1187|1188,12,NvWaQinGong,13-11,13,
372,10744|10743,1187|1188,12,NvWaQinGong,13-12,13,
373,10746|10745,1187|1188,12,NvWaQinGong,13-13,13,
374,10748|10747,1187|1188,12,NvWaQinGong,13-14,13,
375,10750|10749,1187|1188,12,NvWaQinGong,13-15,13,1:2:100
376,10752|10751,1187|1188,12,NvWaQinGong,13-16,13,
377,10754|10753,1189|1190,12,NvWaQinGong,13-17,13,
378,10756|10755,1189|1190,12,NvWaQinGong,13-18,13,
379,10758|10757,1189|1190,12,NvWaQinGong,13-19,13,
380,10760|10759,1189|1190,12,NvWaQinGong,13-20,13,5:3000214:500
381,10762|10761,1189|1190,12,NvWaQinGong,13-21,13,
382,10764|10763,1189|1190,12,NvWaQinGong,13-22,13,
383,10766|10765,1191|1192,12,NvWaQinGong,13-23,13,
384,10768|10767,1191|1192,12,NvWaQinGong,13-24,13,
385,10770|10769,1191|1192,12,NvWaQinGong,13-25,13,1:2:200
386,10772|10771,1191|1192,12,NvWaQinGong,13-26,13,
387,10774|10773,1191|1192,12,NvWaQinGong,13-27,13,
388,10776|10775,1191|1192,12,NvWaQinGong,13-28,13,
389,10778|10777,1193|1194,12,NvWaQinGong,13-29,13,
390,10780|10779,1193|1194,12,NvWaQinGong,13-30,13,5:3000027:5
391,10782|10781,1193|1194,12,KunLunTianGong,14-1,14,
392,10784|10783,1193|1194,12,KunLunTianGong,14-2,14,
393,10786|10785,1193|1194,12,KunLunTianGong,14-3,14,
394,10788|10787,1193|1194,12,KunLunTianGong,14-4,14,
395,10790|10789,1195|1196,12,KunLunTianGong,14-5,14,1:2:100
396,10792|10791,1195|1196,12,KunLunTianGong,14-6,14,
397,10794|10793,1195|1196,12,KunLunTianGong,14-7,14,
398,10796|10795,1195|1196,12,KunLunTianGong,14-8,14,
399,10798|10797,1195|1196,12,KunLunTianGong,14-9,14,
400,10800|10799,1195|1196,12,KunLunTianGong,14-10,14,5:3000214:500
401,10802|10801,1197|1198,12,KunLunTianGong,14-11,14,
402,10804|10803,1197|1198,12,KunLunTianGong,14-12,14,
403,10806|10805,1197|1198,12,KunLunTianGong,14-13,14,
404,10808|10807,1197|1198,12,KunLunTianGong,14-14,14,
405,10810|10809,1197|1198,12,KunLunTianGong,14-15,14,1:2:100
