cfg_id,position_count,max_count,quality,restore,name,icon,icon_review,description
2061,50,999,6,10,Kingyo Shard,2061.jpg,2049.jpg,Collect 50 Kingyo Shards to summon Kingyo
2062,50,999,6,10,Princess Kaguya Shard,2062.jpg,2049.jpg,Collect 50 Princess Kaguya Shards to summon Princess Kaguya
2063,55,999,6,10,Sim Cheong Shard,2063.jpg,2049.jpg,Collect 55 Sim Cheong Shards to summon Sim Cheong
2065,55,999,6,10,Gemini Shard,2065.jpg,2049.jpg,Collect 55 Gemini Shards to summon Gemini
2067,55,999,6,10,Chang'e Shard,2067.jpg,2049.jpg,Collect 55 Chang'e Shards to summon Chang'e
2068,55,999,6,10,Asura Shard,2068.jpg,2049.jpg,Collect 55 Asura Shards to summon Asura
2069,55,999,6,10,Athena Shard,2069.jpg,2049.jpg,Collect 55 Athena Shards to summon Athena
2070,50,999,6,10,Zodiac Tiger Shard,2070.jpg,2049.jpg,Collect 50 Zodiac Tiger Shards to summon Zodiac Tiger
2071,55,999,6,10,Capricornus Shard,2071.jpg,2049.jpg,Collect 55 Capricornus Shards to summon Capricornus
2073,55,999,6,10,Pisces Shard,2073.jpg,2049.jpg,Collect 55 Pisces Shards to summon Pisces
2074,55,999,6,10,Venus Shard,2074.jpg,2049.jpg,Collect 55 Venus Shards to summon Venus
2075,55,999,6,10,Zeus Shard,2075.jpg,2049.jpg,Collect 55 Zeus Shards to summon Zeus
2076,55,999,6,10,Loki Shard,2076.jpg,2049.jpg,Collect 55 Loki Shards to summon Loki!
2077,55,999,6,10,Thor Shard,2077.jpg,2049.jpg,Collect 55 Thor Shards to summon Thor
2078,55,999,6,10,Apollo Shard,2078.jpg,2049.jpg,Collect 55 Apollo Shards to summon Apollo
2079,55,999,6,10,Sakura Spirit Shard(s),2079.jpg,2049.jpg,Collect 55 Sakura Spirit Shards to summon Sakura Spirit
2080,50,999,6,10,Zodiac Rabbit Shard,2080.jpg,2049.jpg,Collect 50 Zodiac Rabbit Shards to summon Zodiac Rabbit
2081,55,999,6,10,Horus Shard,2081.jpg,2049.jpg,Collect 55 Horus Shards to summon Horus
2082,55,999,6,10,Frigga Shard,2082.jpg,2049.jpg,Collect 55 Frigga Shards to summon Frigga
2083,55,999,6,10,Ares Shard,2083.jpg,2049.jpg,Collect 55 Ares Shards to summon Ares
2085,50,999,6,10,Zodiac Dragon Shards,2085.jpg,2049.jpg,Collect 50 Zodiac Dragon Shards to summon Zodiac Dragon
2089,50,999,6,10,Zodiac Snake Shard,2089.jpg,2049.jpg,Collect 50 Zodiac Snake Shards to summon Zodiac Snake
