idx,cid,state,girl_dialog,switch_1,switch_2,girl_dialog_after_switch1,girl_dialog_after_switch2,sound,sound_after_switch1,sound_after_switch2,award,favorability
11,2039,4,"Since I lost my divine power and memory, it seems that the whole world doesn't care about me anymore.",At least I care.,The world is always cruel.,What are you talking about! I don't... don't care if a mortal admires me!,"Haha...Yes, what this world prizes power. Would you help me regain some of my power by serving as my sword and shield?",,,,,10
12,2039,5,Mortals are pitifully weak. Yet history has proven their resilience time and time again.,I am also a mortal.,Unity is strength.,You are different from everyone else! You are the only one I have ever admired. That is why I have chosen you and only you.,"The gods are always fighting amongst themselves. Yet, I'm astounded that you have managed to unite even opposing gods under one banner.",,,,,10
13,2049,4,I still have a fear of flying. Maybe I should give up using these wings?,You need to face your fears.,Giving up is not a bad thing.,You're right. I will continue trying to overcome my fear.,Whether or not I can fly doesn't matter. Seeing you gives me courage.,,,,,10
14,2049,5,"According to some, ignorant people are often fearless. Do you agree that bravery is rooted in ignorance?",There may be some truth to that.,"If so, such bravery seems reckless.","I think so, too. When heroes know they might fall in battle, it can fill them with fear.","Yes, sometimes that is true. But such recklessness comes at a heavy cost.",,,,,10
15,2049,1,"Truth is deceptively alluring. Though we know we will never understand it, we still pursue it with voracious curiosity.",Wisdom can only be found in truth.,It's not bad to be naive.,"Unfortunately, my bravery precludes such wisdom, for I rarely think things through. I am often blinded by my confidence.","Some things grow more confusing the more you think about them. Regardless, it is still good to ponder such things.",,,,,10
16,2049,3,Wonderful art is like an clever invention. Both are products of great imagination and creativity. Don't you agree?,Exactly.,Can you give an example?,"Therefore, a good artist should also be a good inventor. I always dream to be such a person!",My artificial wings are a spectacularly beautiful invention! Aren't they the perfect example of artistic invention?,,,,,10
17,2049,2,"Sculpture is a passion of mine. No matter my mood, it always calms me down.",I want to see your works!,Can you teach me that?,"My sculptures are a private affair since they are all body art based on myself. But for you, I'll make an exception.","Sculpture is best learned on your own, though I would be happy to be your model!",,,,,10
18,2049,5,I still can't figure out what distinguishes gods from the rest of creation...,The level of ability?,Their longevity?,Not necessarily. I have seen many human heroes in Greece. They are fully strong enough to compete with gods on the battlefield!,"There are many monsters and demons whose lifespans are nearly eternal, but they don't seem to be gods either.",,,,,10
19,2055,2,Do you like snowy winters?,"Yes, I love it!",It's too cold!,I'm pleased that you enjoy that season. The cold often brings an icy calm to the land.,"People often associate cold with death. However, snow and ice are part of the world, and they are eternal.",,,,,10
20,2055,2,"I used to spend a long time in my lair, and no one can understand that feeling of loneliness...","Actually, I can.",You are no longer alone.,"Many great human heroes have faced like this. They are surrounded by countless glory, but they are never understood by others.","I never thought I would be interested in a human being, but the days with you seem to be quite interesting.",,,,,10
21,2055,2,"I don't agree with war, because war will always bring endless disasters to this world...",I don't agree either.,There is always a reason for war.,"Fortunately you think so. What the world needs is rationality and order, not chaos and destruction.",But most of the reasons are unreasonable. I hope you can calmly think about the meaning of every battle like me.,,,,,10
22,2055,1,Want to know my sisters of the same race? They seem to have awakened in this disaster.,You mean the Ember Dragon?,You mean the Storm Dragon?,"She is the worst-tempered of our three sisters. She is very anxious but enthusiastic and refreshing, and she has a good relationship with humans.","She has the brightest mind of our three sisters. There have been many bounty hunters to fight against her, but none of them have come back...",,,,,10
23,2055,5,Humans are eager for eternal life like gods. This is actually not difficult to do. Do you want to try it?,I want to give it a try!,Uh... forget it.,"The method is very simple. Freeze yourself, then you can have eternal youth like me. Isn't this wonderful?","Wise decision. Mankind may be able to obtain eternal life, but it may pay a greater price for it...",,,,,10
24,2055,2,Most humans think that I am just a cold and merciless god. Do you think so too?,I don't think so.,Have a guess.,Strange guy... Maybe this is why I am willing to open my heart in front of you...,"I don't know...but so far, no one will accompany me like you all the time...",,,,,10
25,2050,3,You seem to be available. Would you like to spend a long night with this lonely lady?,Do you mean a date?,"Uh, I'm afraid I have other things to do.","Oh! So direct! ...But yes, it would be a date. I hope to share a lovely evening with you. We could make many pleasant memories.",Hmm... let me guess... You already have plans with another girl?,,,,,10
26,2050,3,Is it really that important for someone to tell the truth?,Of course!,I don't like to be lied to.,"Since I created the world, I haven't seen many humans tell the truth. It's a pity.",Oh really? So... I love you. But is that the truth or a lie? Take a guess.,,,,,10
27,2050,1,Do you prefer day or night?,Day.,Night.,"I envy humans for the time they spend in the afternoon sun, whether it be shopping, sunbathing, or strolling through the park with a lover.",The night is full of mystery. It is the perfect time for two lovers to be alone... Anyway... Are you free tonight?,,,,,10
28,2050,1,"In my opinion, humans worry too much about good and evil when deciding how to act. What really matters their intention and conviction.",I think kindness is most important.,Conviction demonstrates strength!,"Oh, really? Then we'll see if your kindness can save us from the disaster that's engulfed the world.",That's pleasing to hear. I prefer strong individuals.,,,,,10
29,2050,1,"When faced with a difficult decision, do you rely more on intuition or rational analysis?",I rely more on intuition.,I follow reason more.,"If you follow your instincts, what sort of trouble will the two of us get into tonight when we're alone in our room?","You may be calm and rational now, but we'll see how long that lasts in the presence of my seductive charm.",,,,,10
30,2050,2,"Movies are one of the most wonderful inventions of human civilization. Do you love watching movies? Which do you prefer, comedy or tragedy?",I prefer comedy.,I prefer tragedy.,"Not surprising. The world is already full of tragedy. ...And speaking of tragedies, I hope you can stop the disaster that's engulfing the world today.",I'm shocked! Just don't watch too many of them. I don't want them to make you pessimistic.,,,,,10
31,2062,3,"The moonlight is pretty tonight, isn't it?",(Smile and nod),(Silence),"From now on I will miss the moon that we saw today, and I hope you will not forget today's promise...",You don't need to answer me so quickly. I will wait until you complete your mission.,,,,,10
32,2062,2,"I am not afraid of this war, I hope to end it with you.",As you wish.,I will face it alone.,"Thank you for your trust in me all the time, and I will protect your back on the deadly battlefield.",Then at least allow me to pray to the moon for your safety every night before the war is over.,,,,,10
33,2062,1,"I like gentle animals like rabbits very much, how about you?","Me, too.",Just so so...,They like to get close to humans very much. They are so lovable guys...,"Hmm... With your personality, you might prefer some fierce and wild guys, right?",,,,,10
34,2062,4,"If one day, I have to go back to the moon, would you like to go with me?","Yes, I'd love to.",I'm afraid not……,"After this war is over, let's go back to my hometown together, where there will never be apocalypse and disaster.","I understand that you are in this world, maybe there are things you can never give up...",,,,,10
35,2062,5,"I actually don't want to be a god, because eternal life is too heavy for me...",But it is fate.,Mortals also have troubles.,I should be grateful for meeting you. Maybe this is the greatest comfort that fate has given a lonely person.,Mortal people sigh for the short life. How can they understand the eternal loneliness...,,,,,10
36,2062,1,"It's a boring and deserted night. When I was lonely in the past, I would always sing a nursery rhyme to relieve boredom.",I want to hear you sing.,Do you want me to sing it to you?,"Then lie down on my lap, close your eyes and listen quietly. Wish you a good night...","Well, if it were you, I would be happy to listen.",,,,,10
37,2051,2,What do the battlefield horns inspire?,Courage!,Anger?,"Well, next time show me your bravery on the battlefield.",Only those who have had their homeland invaded would understand.,,,,,10
38,2051,2,"As long as I can fight, the enemy will never set foot inside the city gate.",I will be with you.,I believe in your power.,You are very reassuring.,"So far, I have never let my Nordic companions down.",,,,,10
39,2051,2,There is always someone we want to protect. This is true for everyone.,Who do you want to protect?,Exactly.,"I refuse to answer, but... you will know in the future…","Then, what about you? Who do you want to protect?",,,,,10
40,2051,2,Have you heard of Ragnarok?,Yes.,Not really.,I swear... Never let this happen again in this world.,"Well, that's ok, you don't want to know how tragic the disaster was...",,,,,10
41,2051,4,You almost died in the previous battle! How can you be so reckless!,Sorry to have worried you.,The brave always have good luck.,I wasn't worried. I was just... pointing it out.,"If you don't have my protection next time, then don't take risks like that again!",,,,,10
42,2051,2,I'm afraid it will be difficult to recover the divine power I lost...,Don't give up.,I will guard you.,What do you mean... Are you willing to regain my strength with me?,You fool...,,,,,10
43,2053,2,"You are too young to be a ruler! If I were you, I'd be desperate to gain experience and mature as quickly as possible.",I will do my best!,Success should not be rush!,You remind me of my youth. It was nice to reminisce on ages past.,I'm glad you're not short-tempered like me. Maybe you're a more suitable commander than I am.,,,,,10
44,2053,2,I see little distinction between gods and mortals. Gods are just more powerful versions of humans.,I agree with you.,"But gods are immortal, and humans are not.","Therefore, as long as human beings continuously hone themselves, one day they will be able to reach the mighty state of gods!","When it comes to eternal life, humans can achieve it either through prayer or magic. Just look at me! I'm the perfect example.",,,,,10
45,2053,2,"War is glorious in its own way. I am not afraid of war at all, nor do I deny its importance.",But war brings death.,I am also not afraid!,"It is worth dying on the battlefield for your own ideas and values. After all, isn't the greatest joy in life to think and act as one pleases?","I hope you can also find the meaning and value of your life on the battlefield, and fight for your own ideas!",,,,,10
46,2053,1,"Do you think it is weird for a miko, or shrine maiden, to wear a samurai costume?",Not at all!,It's kind of strange...,"It's not weird to me either. It's the meaning behind it that's important. A miko must not only be wise and reverent, but she must also have the will of a samurai!",You won't think it strange when I prove to you on the battlefield that I am also a qualified warrior with an indomitable will!,,,,,10
47,2053,2,"Ever since I was reincarnated in this world, I have spent each day thinking about eventually restoring the country of Yamatai.",I will always support you!,Do not tangle in the past.,I knew I could trust you! I look forward to seeing your talent and courage as a ruler!,"If anyone else said this, I would never agree. I don't know why, but I always think you're right.",,,,,10
48,2053,3,Do you think I am too serious for a woman? Does it make me less feminine?,Not at all!,Do you care?,"Good, because even the most feminine woman can have a strong and commanding side to her personality!","When I'm with you, I worry about it more than I should admit.",,,,,10
49,2057,2,"The more powerful the force, the more dangerous it is, and so is the storm...",I will stay away from the storm.,I will control the storm.,"Unlike most humans, you are more rational than I thought, and maybe it is a correct decision to cooperate with you.",Really? You are the 147th human to say this. Guess the fate of the last 146 guys?,,,,,10
50,2057,2,"Only wisdom can control powerful forces, not anger. How do you think of it?",You are right.,I do not think so……,"I am very pleased to hear that you agree with my point of view, maybe you really have the ability to become the leader of the gods.","Anger will only make your head hot, but if you can control your own anger, you may also have powerful power.",,,,,10
51,2057,2,"The war is simply boring. With the time for fighting and killing, it is better to study others.",War also brings progress.,I agree with your philosophy.,"In a way, you are right. After defeating the group of idiots who came to crusade against me, my strength has indeed improved a lot.",So how long will it take you to end this world war between the gods?,,,,,10
52,2057,1,Two sisters of my family seem to have awakened with this disaster...Although it was also in my expectation...,You mean the Ember Dragon?,You mean Frost Dragon?,"It's not a good thing for this grumpy guy to wake up. Surprisingly, she gets along well with humans...","If you're fine, don't mess with her. If she is in a bad mood, you may be frozen in ice for the rest of your life...",,,,,10
53,2057,2,Why do humans and gods like to entangle their identities so much... Gods and humans are indistinguishable from me.,Why do you say that?,I think so.,"God also has birth and destruction, and he also needs to follow the rules of the world. God is not the truth, but just a strong existence.","In my opinion, only those who want to become gods would say this. It seems that you are also an ambitious guy...",,,,,10
54,2057,3,"Although I regard you as a competitor, I have to admit that I have a good impression of you...",me too!,I was surprised!,"In addition to competitors. I am looking forward to the relationship with you in the future, that... a deeper relationship can also be...","You are too slow! We have been working together for so long, haven't you noticed it...",,,,,10
55,2056,1,Ah...it's so boring! ! I really want to find a strong one to fight! !,I will be your opponent?,Are you in the next battle?,"no problem! This time I won't be like the last time, because I lost to you carelessly!",Is it finally my turn to play? ! Wait to see me burn the enemy into a barbecue! Hahaha!,,,,,10
56,2056,3,"Are you asking about what I would do when I met an enemy? Of course, first persuade him to surrender! Roast him without surrendering!",It was unexpectedly scary...,It's unexpectedly reasonable.,Do I look like a merciful person? ! Nothing excites me more than defeating an enemy!,"Even if it is a monster, it must be given a chance to solve the problem peacefully, although it is useless most of the time.",,,,,10
57,2056,5,"War is no different from a game. It's just who gets out first, what do you think?",As you said.,I disagree.,"As your companion, I am very happy to hear you, the commander-in-chief, agree with me, hum...","It's no surprise that when I stepped onto the battlefield of this world, I had no longer any nostalgia for life.",,,,,10
58,2056,1,"Hmm... I noticed that the two sisters, just like me, have also awakened in this world...",You mean the Storm Dragon?,You mean Frost Dragon?,"She is a wise and strategic guy, but if you really want to fight, she will definitely not be able to beat me!","That cold guy is so boring, I can't stay by her side for a second!",,,,,10
59,2056,5,"The reason why God owns the place not because he is powerful, but he has extraordinary courage and determination to die on the battlefield!",You are right!,What you think is too simple.,"Therefore, as the commander of the gods, you must have courage stronger than them!","Thinking too complicated is meaningless. Without courage, how do you face the difficulties and fears on the way to becoming a god?",,,,,10
60,2056,1,Human cooking is really interesting. I have begun to understand the meaning of the phrase civilization begins with flames.,Can you cook too?,Which dishes do you like?,Didn't expect it? ! My craftsmanship is not inferior to your top human chefs!,"Hmm... let me think... I like most of the dishes, but of course, the roast meats are my favorite! !",,,,,10
61,2032,2,"It seems that even if I spared no effort, it is still difficult to make the sun of this world shine again...",There is no need to blame yourself.,We will encounter it together.,"Indeed. Self-blame has no significance. As a symbol of light and hope, I need to cheer up again!","You are right...Even if you were once the ruler of the sun, you still need to face the end of the world with your companions.",,,,,10
62,2032,2,"I often recalled the days when I was in Takamagahara. Although there were constant troubles, they enriched my life.",People need to face the future.,Memories bring determination.,"Sorry, I seem to be over-indulged in the passing time. I hope it didn't bother you.","As you said, people expect to find a peaceful life like in the past, so we must end this disaster!",,,,,10
63,2032,2,Why do people have to use war to solve problems and contradictions? Doesn't this make the matter worse?,You are right.,"But in fact, it's not.","Anyway, I always believe that differences in ideas can be unified in a more peaceful way, not war.","I can understand the dilemma that needs to be resolved immediately in a crisis, but I still hope that you treat every war with caution.",,,,,10
64,2032,2,"After going through this disaster, I must revive the former glory of Yamato god pedigree and bring peace to the gods!",This is very exciting.,That sounds like a heavy burden.,"At that time, the Yamato gods will take the responsibility of maintaining peace, so the re will be no disputes anymore.",But I will definitely complete this mission. Do you feel it? That's why destiny made me come to this world.,,,,,10
65,2032,5,Your clothes were damaged badly in the battle... Do you want me to make you a new one?,Thank you.,That's somewhat embarrassing...,"Although I live in a different era from you, I am very confident in my skills in spinning and designing clothes!","Although when I measure your height and measurements, you need to be frank with me, I think our relationship should be fine for that...",,,,,10
66,2048,2,"Mortal people always fear death. In my opinion, death means tranquility free from emotion and eternal beauty...",I do not agree.,I agree.,"Haha, when a person feels no fear of death, he will no longer have any weaknesses. You will soon understand...",You are the most rational mortal I have ever met. Our future cooperation may become more interesting...,,,,,10
67,2048,2,"Whoever it is, it is god or mortal, everyone needs to face the fate of destruction and vanishing...",Exactly.,The strong will challenge fate.,"Therefore, no matter it is mortal or gods, they should follow fate while they are alive and prepare for death...","Oh, really? I would like to see if you, as the spokesperson of death, can escape from me...",,,,,10
68,2048,5,Why do people always call my strategy a conspiracy? Is there any difference between good and evil in fighting strategies?,I think there is no difference.,I think there is a difference.,"A wise answer. A strategy is just a strategy, to differ them as good or evil is just a kind of rhetoric and excuse.",It seems that you are different from me. You are more willing to use your fists and strength to resolve conflicts... Should I praise your sense of glory?,,,,,10
69,2048,2,I never deny that I am a careerist. This messy world is so in need of order and unity!,Order comes from the strong!,Order comes from rules.,"You are right, but unfortunately, this sentence is only valid when the strong man is alive...","Oh, it's hard to believe that I would hear this from mortals. That's right, you will find that death is the fairest rule in the world.",,,,,10
70,2048,2,Is glory such an important thing to a soldier?,At least I think it is.,It is not important.,Yes...see how many heroes lost their lives for glory. Death in this way is also an art...,"Death will erase everything. Whatever how great the glory was made by the hero, it will fade away with the passing of admirers...",,,,,10
71,2031,2,Death is not horrible. What's terrible is that you have regrets for your life when you die.,Life is not perfect.,I have no regrets at all!,Look at your reaction...do you think that the biggest regret in life is the lack of a girl's company?,"Well, look at the girls around you, see how they admire you. You really have no regrets in your life.",,,,,10
72,2031,1,"Monsters are rampant in the underworld recently, which is very bad. Do you have time to solve the trouble with me together?",I bet it's a mission with no return.,No problem!,"With your strong power, you will return from any dangerous place. Of course, it is another matter of which way you come back, whether it is standing or lying down...","Hmm... you'd better put on the thickest armor before you leave, otherwise I don't guarantee that you will come back completely...",,,,,10
73,2031,1,Are you interested in judging the dead with me?,Yes!,It seems a little scary...,"You made a sensible choice! When you go on my trial after you die, I promise you will know more...","Don't worry, it's much more fun than you think...especially when you kick the nasty guy down the abyss...",,,,,10
74,2031,2,War is meaningless. Destiny will not be changed just by a war...,War is only a method.,"But in fact, it's not.",I don't feel repulsion for war. The dead people caused by war can make my lonely palace bustling for months...,"Well, let's make a bet and see if this doomsday can end with the war you lead.",,,,,10
75,2031,5,"As a mortal, what do you think of me as a god of death?",Super handsome and charming!,A bit scary……,"Uh-hum, are you free tonight? Are you interested in experiencing the charming side of the god of death in my room?",It really disappoints me. It seems that I need to punish you tonight who doesn't understand the romance...,,,,,10
76,2025,2,"War is an act of harming nature, and I will prevent it at any time.",Nature also has a temper.,I agree with you.,"Nature does sometimes bring disasters, but this is a destiny directed by heaven, not a man-made disaster.","Although you often fight on the battlefield, I know that everything you do is to end the war as soon as possible.",,,,,10
77,2025,2,"It often takes several years to repair the cracks in the heavens, which needs to be patient...",I am impatient sometimes.,I am always patient!,I hope you don't get too impatient when you get along with girls. Girls get angry even more terrible than the heaven cracks...,"Oh, is it? Then you must be very good at chasing girls. It takes a lot of patience to get along with girls...",,,,,10
78,2025,2,Conforming to nature is the most reasonable behavior. Everything and every rule in the world are originated from nature.,Let nature take its course.,People should control nature.,"I am very pleased that you can agree. Everything has a destiny, and nature controls them all the time.","I certainly don't think other people can succeed, but if it is you... maybe there is a small possibility.",,,,,10
79,2025,1,"Although I have lost part of my divine power, I don't regret it. It's just that nature needs me to return the power to it.",Do you want to regain your divine power?,I will always guard you!,"I appreciate your kindness, but there is no need to do so, because this is the destiny that nature wants me to face.",Haha... No mortal has ever said something like this to me...Do you know what it means?,,,,,10
80,2025,1,Do you ask me about my hobbies? I think I like raising cute animals and growing flowers.,It seems a little flat...,Very elegant interest!,"Believe me, after experiencing countless adventures and excitement, you will feel that dull life is a kind of enjoyment.",Do you think so too?! Would you be interested in coming to my garden tonight to see the potted plants I plant?,,,,,10
81,2052,2,"Even if I am the only one left in the world, I will fight for justice to the last second!",I will be always at your side.,Hope you can grant me courage.,"Humph... Hope you can really have this consciousness. After all, justice requires extraordinary courage.","Courage comes from your consciousness. When your consciousness is unassailable, nothing can stop you on the battlefield.",,,,,10
82,2052,1,"Do you want to know heaven? It seems to be nothing special for me, but at least there won't be any evil.",Hope to go there and have a look.,What about hell?,"I can send you to heaven right now, but there is no return. Do you want to have a try?","I don't know, but judging from the screams from the sulfur fiery pits of hell every day, it should be a very exciting place.",,,,,10
83,2052,2,"War is the fastest way to destroy evil, but not the best way...",Why do you say that?,What is the best way?,Do you think it is really the devil who destroys this world? Or it is the evil thoughts hidden in the hearts of people or gods?,"I don't know either, but I'd rather say that I hope you can solve this problem one day.",,,,,10
84,2052,1,Lucifer... I am looking forward to what you will do with this evil and crafty guy after we catch her.,I'll persuade her to work for me.,What do you think I should do?,"Are you kidding me? ! If it is true, I must give you a few punches to confirm that you are not dreaming!","I would be happy to find a choir to sing hymns to her every day for hundreds of years, until she can't stand then pleads guilty and repents.",,,,,10
85,2052,2,"As the leader of the gods, you are still too young. In many cases, you lack the rationality to handle things like I do.",The rationality to handle things?,(Hug Michael),"As a commander of the gods, courage and rationality are all needed, but rationality is the prerequisite for all correct judgments!",What... what are you going to do? ! The people around us.. They are watching us! I'm going to be angry if you don't let go!,,,,,10
86,2016,2,I was born for war and the eternal glory found only through victory on the battlefield!,Wish you good luck in the war.,Glory is paramount!,"So, when is the next battle? I am looking forward to fighting against powerful enemies.",We will achieve glory in the name of Valhalla! I hope that we can be invincible under your command!,,,,,10
87,2016,3,You want to know what weapons I fight best with? I'm good with all weapons!,That's amazing!,Can you teach me that?,"Because my body harbors the souls of many Valkyries, I can use all of their combat techniques.","No problem! With your aptitude and perception, you can easily master all of these skills!",,,,,10
88,2016,5,"I am never alone, for my body harbors the souls of all the Valkyries that came before me.",Can you teach me?,Are they aligned with our goals?,"I don't know, but I felt all of my sisters resonating when I arrived in response to your summons.","Of course we do. But when we disagree, I stop to meditate. Then, within my mind, we battle each other. When it is over, all of us listen to the winner.",,,,,10
89,2016,1,"Ah, sorry, I was a bit distracted just now. In fact, I was thinking about your battle tactics.",Don't you quarrel?,Is there a better strategy?,"Valkyries are excellent warriors, but unfortunately we are poor military advisors.","Based on our previous victories, your battle tactics have proven to be sound.",,,,,10
90,2016,2,"Since being summoned to this world, my sisters and I have grown to miss our time in Valhalla.",How is my strategy?,Valhalla?,Yes! It is a spectacular palace that is also the sanctuary of all the Nordic Valkyries.,"Yep! If you want to experience blissful peace, you can visit my room tonight. I'm sure you'll enjoy your stay...",,,,,10
91,2041,1,"Are you interested in letting me build an artifact for you, that is unparalleled in the world?",Such a peaceful place must be blissful.,Is there a price?,"Well, it may take a long time to craft, maybe for two or three hundred years...","If you are unlucky, the artifact may bring curses. But don't worry, it won't kill you. At most, you will have nightmares for a few days...",,,,,10
92,2041,4,"To be honest, sometimes I always feel that the weapons I built have caused some unnecessary wars.",Maybe it is true.,I do not think so.,"But if there are no weapons, how can a kind person resist the invasion of evil?","Perhaps you are right. Weapons should be used to defend our homeland, not to invade and pillage the weak.",,,,,10
93,2041,2,"When you battle with enemies, which strategy do you prefer? Melee assault or long-range containment?",Melee assault.,Long-range containment,It is very similar to your brave and skillful character. Speed is precious in war. There is no more effective tactic than to quickly assault the enemies' weaknesses.,It surprised me. I never realized that your archery level is so high!,,,,,10
94,2041,2,"Every piece of equipment needs to be polished day after day, at least I will not tolerate any mistakes.",Are craftsmen all like this?,Seems to be very patient.,I can boast to say that there have never been any problems with the weapons I have made so far!,"Yes, a craftsman often needs to have the experience of building hundreds of equipment before he can become a master of a generation.",,,,,10
95,2024,2,Doomsday has always been the favorite stage of careerists and revolutionaries. Don't you think so?,Exactly.,Are you implying something?,I know you never let me down. There is no better opportunity to create a new order in doomsday.,"Well, You can't shield it from me. You already have ambitions to command all the gods, right?",,,,,10
96,2024,2,No one has ever understood the real reason...why I must be the ruler of the world.,Actually I can understand...,I would like to hear you talk about it.,"Really? Are you comforting me? But even if you just simply comfort me, I'm pretty happy...","Ah, after rule the world, even if I am a devil, I can stay with you justifiably every day, can't I?",,,,,10
97,2024,3,I can see that you are restless due to a hidden desire to me in the heart... isn't it?,No way!,"Well, you are right.","Really, my little one? So why is it me that is talking to you intimately here, not other girls?","Ah...what an honest guy, are you interested in coming to my room tonight and spending a long night with me?",,,,,10
98,2024,1,"The devil is just an identity. Whether it is an angel or devil, the one will always become a companion just as it should be.",Will you cooperate with angels?,That makes sense.,"Yes, I'm very interested in making friends with them, such as the guy named Michael...",It surprised me! I never thought you could really accept such extreme but wise advice!,,,,,10
99,2014,1,"Do you know? Dancing on the battlefield is not only an art, but also a good way to improve soldier morale!",Exactly.,I feel this is dangerous...,Hmm...your figure is also suitable for dancing! Are you interested in learning from me?,"Hum...Dance is not only performance. If it is combined with the use of weapons, it can become a very deadly offensive method!",,,,,10
100,2014,5,There are still a few hours until the next battle. It's so boring. How about tossing a coin?,Okay! I guess heads!,Hmm... I guess tails.,"You are lucky! Give this special coin to you as a souvenir! Don't despise it, you will have good luck with it!","Unfortunately, it came down heads. It seems that as the goddess of victory, even if tossing a coin, I will never lose!",,,,,10
101,2014,1,"As the goddess of victory, I am not the most powerful warrior, but the warriors can become powerful because of me.",This is an honor.,You are quite suitable to be an idol.,I will be proud of this. I look forward to supporting my companions as best as I can in future battles.,I... I actually had this idea a long time ago... I just...just too shy to tell others...,,,,,10
102,2019,2,"Anyone who dares to break the law will inevitably face eternal punishment, all in the name of justice!",There are imperfections in the law.,The law brings order.,"You're not wrong. But without law, the world would lose all sense of fairness and principle.","That pleases me. As the commander of the gods, you must understand the importance of law. An army needs order.",,,,,10
103,2019,2,Many people complain about their bad luck. It suggests that fate is inevitable.,Fate controls everything.,Fate can be changed.,The wicked will always stand trial for their evil acts. They can never escape the goddess of vengeance.,Humans are the most unbridled and conceited race I have ever seen. Perhaps this is what allows humans to change their fate.,,,,,10
104,2019,1,"Even though I am the goddess of vengeance, I hope that one day there will be no more sinners in the world.",I doubt that will ever happen.,I will try my best to help you.,"Justice has been difficult to reach since ancient times, but I will not shy away from trying. And because crime is an endless problem, my vengeance will also be endless.",I don't want to see you share my fate. Revenge and justice are heavy burdens. I would rather see you smile.,,,,,10
105,2001,4,"If there is a chance, do you want to have the ability to turn the opponent into a stone at a glance?",It's very effective against the enemy!,Uh... forget it.,"I want to get rid of this ability, because instead of improving combat power, I care more about not being able to face the person I like...","It seems that you already have a girl you like. If you have such skill, you can't look at her well.",,,,,10
106,2001,3,I like to read romance novels between different races. Will human beings mind the romance between different races?,At least I won't.,Maybe a little bit.,"Hmm...well...then the next question is, do you mind the love between humans and the Gorgon...",Ah... but this seems to make me even more yearning for this forbidden love...,,,,,10
107,2001,1,"What is popular among humans recently? If I also start to follow the trend, will humans accept me more?",I think they will!,You already have a strong personality!,"Are they? ! Then I want to know, what kind of fashion do young human girls like to wear at this time?",Ah... I'm embarrassed to hear that! It seems that inner and personality is the greatest charm...,,,,,10
108,2033,1,"Compared to daytime, I prefer to come out to relax and feel the tranquility of the world after night falls...",I quite like nightlife.,I'm still used to the daytime.,Are you interested in chatting with me tonight? Perhaps the wines from Crete can make us enjoy a wonderful evening.,"Human beings were born in the dark, but yearn for the light. This is really an interesting thing...",,,,,10
