task_id,task_type,task_group,task_index,task_id_before,activity_day,task_condition,task_value,reward,user_back_active_value,content,content_param
16000124,16,4,9,16000123,1,25,9,1:1:20000|5:2000018:1,10,Quick-combat {0} time(s),9
16000125,16,4,10,16000124,1,25,10,1:1:20000|5:2000018:1,10,Quick-combat {0} time(s),10
16000126,16,5,1,0,2,13,10,1:1:20000|1:4:1000,10,Gear enhance {0} times,10
16000127,16,5,2,16000126,2,13,150,1:1:20000|1:4:1000,10,Gear enhance {0} times,15
16000128,16,5,3,16000127,2,13,20,1:1:20000|1:4:1000,10,Gear enhance {0} times,20
16000129,16,5,4,16000128,2,13,25,1:1:20000|1:4:1000,10,Gear enhance {0} times,25
16000130,16,5,5,16000129,2,13,30,1:1:20000|1:4:1000,10,Gear enhance {0} times,30
16000131,16,5,6,16000130,2,13,35,1:1:20000|1:4:1000,10,Gear enhance {0} times,35
16000132,16,5,7,16000131,2,13,45,1:1:20000|1:4:1000,10,Gear enhance {0} times,45
16000133,16,5,8,16000132,2,13,55,1:1:20000|1:4:1000,10,Gear enhance {0} times,55
16000134,16,5,9,16000133,2,13,70,1:1:20000|1:4:1000,10,Gear enhance {0} times,70
16000135,16,5,10,16000134,2,13,90,1:1:20000|1:4:1000,10,Gear enhance {0} times,90
16000136,16,6,1,0,2,2003,1,1:1:20000|5:2000019:1,10,Craft {0} gear or artifacts,1
16000137,16,6,2,16000136,2,2003,2,1:1:20000|5:2000019:1,10,Craft {0} gear or artifacts,2
16000138,16,6,3,16000137,2,2003,3,1:1:20000|5:2000019:1,10,Craft {0} gear or artifacts,3
16000139,16,6,4,16000138,2,2003,4,1:1:20000|5:2000019:1,10,Craft {0} gear or artifacts,4
16000140,16,6,5,16000139,2,2003,5,1:1:20000|5:2000019:1,10,Craft {0} gear or artifacts,5
16000141,16,6,6,16000140,2,2003,6,1:1:20000|5:2000019:1,10,Craft {0} gear or artifacts,6
16000142,16,6,7,16000141,2,2003,8,1:1:20000|5:2000019:1,10,Craft {0} gear or artifacts,8
16000143,16,6,8,16000142,2,2003,10,1:1:20000|5:2000019:1,10,Craft {0} gear or artifacts,10
16000144,16,6,9,16000143,2,2003,12,1:1:20000|5:2000019:1,10,Craft {0} gear or artifacts,12
16000145,16,6,10,16000144,2,2003,15,1:1:20000|5:2000019:1,10,Craft {0} gear or artifacts,15
16000146,16,7,1,0,3,2008,1,1:1:20000|5:2000018:1,10,Participated in the guild boss {0} times,1
16000147,16,7,2,16000146,3,2008,2,1:1:20000|5:2000018:1,10,Participated in the guild boss {0} times,2
16000148,16,7,3,16000147,3,2008,3,1:1:20000|5:2000018:1,10,Participated in the guild boss {0} times,3
16000149,16,7,4,16000148,3,2008,4,1:1:20000|5:2000018:1,10,Participated in the guild boss {0} times,5
16000150,16,7,5,16000149,3,2008,5,1:1:20000|5:2000018:1,10,Participated in the guild boss {0} times,6
16000151,16,7,6,16000150,3,2008,6,1:1:20000|5:2000018:1,10,Participated in the guild boss {0} times,7
16000152,16,7,7,16000151,3,2008,8,1:1:20000|5:2000018:1,10,Participated in the guild boss {0} times,8
16000153,16,7,8,16000152,3,2008,10,1:1:20000|5:2000018:1,10,Participated in the guild boss {0} times,10
16000154,16,7,9,16000153,3,2008,12,1:1:20000|5:2000018:1,10,Participated in the guild boss {0} times,12
16000155,16,7,10,16000154,3,2008,15,1:1:20000|5:2000018:1,10,Participated in the guild boss {0} times,15
16000156,16,8,1,0,3,2002,1,1:1:20000|5:2000019:1,10,Arena challenge {0} times,1
16000157,16,8,2,16000156,3,2002,3,1:1:20000|5:2000019:1,10,Arena challenge {0} times,3
16000158,16,8,3,16000157,3,2002,5,1:1:20000|5:2000019:1,10,Arena challenge {0} times,5
16000159,16,8,4,16000158,3,2002,7,1:1:20000|5:2000019:1,10,Arena challenge {0} times,7
16000160,16,8,5,16000159,3,2002,9,1:1:20000|5:2000019:1,10,Arena challenge {0} times,9
16000161,16,8,6,16000160,3,2002,12,1:1:20000|5:2000019:1,10,Arena challenge {0} times,12
16000162,16,8,7,16000161,3,2002,15,1:1:20000|5:2000019:1,10,Arena challenge {0} times,15
16000163,16,8,8,16000162,3,2002,18,1:1:20000|5:2000019:1,10,Arena challenge {0} times,18
16000164,16,8,9,16000163,3,2002,21,1:1:20000|5:2000019:1,10,Arena challenge {0} times,21
16000165,16,8,10,16000164,3,2002,25,1:1:20000|5:2000019:1,10,Arena challenge {0} times,25
16000166,16,9,1,0,4,97,1,1:1:20000|5:1000004:1,10,Viewed {0} ads,1
16000167,16,9,2,16000166,4,97,3,1:1:20000|5:1000004:1,10,Viewed {0} ads,3
16000168,16,9,3,16000167,4,97,5,1:1:20000|5:1000004:1,10,Viewed {0} ads,5
16000169,16,9,4,16000168,4,97,8,1:1:20000|5:1000004:1,10,Viewed {0} ads,8
16000170,16,9,5,16000169,4,97,11,1:1:20000|5:1000004:1,10,Viewed {0} ads,11
16000171,16,9,6,16000170,4,97,15,1:1:20000|5:1000004:1,10,Viewed {0} ads,15
16000172,16,9,7,16000171,4,97,20,1:1:20000|5:1000004:1,10,Viewed {0} ads,20
16000173,16,9,8,16000172,4,97,25,1:1:20000|5:1000004:1,10,Viewed {0} ads,25
16000174,16,9,9,16000173,4,97,30,1:1:20000|5:1000004:1,10,Viewed {0} ads,30
16000175,16,9,10,16000174,4,97,35,1:1:20000|5:1000004:1,10,Viewed {0} ads,35
16000176,16,10,1,0,4,2007,1,1:1:20000|1:2:50,20,Victory in Word Boss {0} times,1
16000177,16,10,2,16000176,4,2007,2,1:1:20000|1:2:50,20,Victory in Word Boss {0} times,2
16000178,16,10,3,16000177,4,2007,3,1:1:20000|1:2:50,20,Victory in Word Boss {0} times,3
16000179,16,10,4,16000178,4,2007,4,1:1:20000|1:2:50,20,Victory in Word Boss {0} times,4
16000180,16,10,5,16000179,4,2007,5,1:1:20000|1:2:50,20,Victory in Word Boss {0} times,5
16000181,16,11,1,0,5,2004,1,1:1:20000|5:3000007:10,10,Raid Sky Tower {0} time(s),1
16000182,16,11,2,16000181,5,2004,2,1:1:20000|5:3000007:10,10,Raid Sky Tower {0} time(s),2
16000183,16,11,3,16000182,5,2004,3,1:1:20000|5:3000007:10,10,Raid Sky Tower {0} time(s),3
16000184,16,11,4,16000183,5,2004,4,1:1:20000|5:3000007:10,10,Raid Sky Tower {0} time(s),4
16000185,16,11,5,16000184,5,2004,5,1:1:20000|5:3000007:10,10,Raid Sky Tower {0} time(s),5
16000186,16,11,6,16000185,5,2004,6,1:1:20000|5:3000007:10,10,Raid Sky Tower {0} time(s),6
16000187,16,11,7,16000186,5,2004,8,1:1:20000|5:3000007:10,10,Raid Sky Tower {0} time(s),8
16000188,16,11,8,16000187,5,2004,10,1:1:20000|5:3000007:10,10,Raid Sky Tower {0} time(s),10
16000189,16,11,9,16000188,5,2004,12,1:1:20000|5:3000007:10,10,Raid Sky Tower {0} time(s),12
16000190,16,11,10,16000189,5,2004,15,1:1:20000|5:3000007:10,10,Raid Sky Tower {0} time(s),15
16000191,16,12,1,0,5,6,10,1:1:20000|5:3000008:5,10,Train an Angel {0} times,10
16000192,16,12,2,16000191,5,6,20,1:1:20000|5:3000008:5,10,Train an Angel {0} times,20
16000193,16,12,3,16000192,5,6,30,1:1:20000|5:3000008:5,10,Train an Angel {0} times,30
16000194,16,12,4,16000193,5,6,50,1:1:20000|5:3000008:5,10,Train an Angel {0} times,50
16000195,16,12,5,16000194,5,6,75,1:1:20000|5:3000008:5,10,Train an Angel {0} times,75
16000196,16,12,6,16000195,5,6,100,1:1:20000|5:3000008:5,10,Train an Angel {0} times,100
16000197,16,12,7,16000196,5,6,150,1:1:20000|5:3000008:5,10,Train an Angel {0} times,150
16000198,16,12,8,16000197,5,6,200,1:1:20000|5:3000008:5,10,Train an Angel {0} times,200
16000199,16,12,9,16000198,5,6,300,1:1:20000|5:3000008:5,10,Train an Angel {0} times,300
16000200,16,12,10,16000199,5,6,500,1:1:20000|5:3000008:5,10,Train an Angel {0} times,500
