npc_id,name,avatar_path,spine_name,role,quality,star,job,level,skill_id_list,fight_value,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate
4013,Soul Reaper,NPC42.png,NPC42,5,2,1,3,45,100301001,138937,100000,8000,12000,1200,1200,99999999,10000,6640,1328,10000,9000,0,0,0,0,0,0,0,0,0,0
4014,Havenl,NPC43.png,NPC43,5,2,1,2,55,100207001,233491,150000,12000,18000,2000,2000,99999999,15000,10960,2192,15000,12000,0,0,0,0,0,0,0,0,0,0
4015,Kree the Bloodskull,NPC44.png,NPC44,5,2,1,1,65,100102001,373708,250000,20000,30000,3000,3000,99999999,20000,15640,3128,20000,15000,0,0,0,0,0,0,0,0,0,0
4016,Luke Blacktooth,NPC45.png,NPC45,5,3,1,3,75,100305001,618487,300000,32000,48000,5000,5000,99999999,30000,22693,4016,30000,25000,0,0,0,0,0,0,0,0,0,0
4017,Edward,NPC46.png,NPC46,5,3,1,2,85,100202001,1009172,450000,40000,60000,9000,9000,99999999,40000,28164,4916,40000,35000,0,0,0,0,0,0,0,0,0,0
4018,Night Patroller,NPC47.png,NPC47,5,3,1,1,95,100102001,1456252,550000,52800,79200,13000,13000,99999999,50000,34030,5816,50000,40000,0,0,0,0,0,0,0,0,0,0
4019,Demonized Cleric,NPC48.png,NPC48,5,4,1,3,105,100304001,2012477,700000,64000,96000,18000,18000,99999999,70000,39897,6716,70000,35000,0,0,0,0,0,0,0,0,0,0
4020,White Bone Spirit,NPC49.png,NPC49,5,4,1,2,115,100203001,2780414,900000,80000,120000,24000,24000,99999999,90000,45763,7616,100000,60000,0,0,0,0,0,0,0,0,0,0
4021,Pheasant Spirit,NPC50.png,NPC50,5,1,1,1,40,100101001,4790,6000,480,720,100,0,200,240,1000,200,300,150,0,0,0,0,0,0,0,0,0,0
4022,Lady Boulder,NPC51.png,NPC51,5,1,1,3,55,100305001,22634,31250,2500,3750,300,0,600,300,2800,560,1050,510,0,0,0,0,0,0,0,0,0,0
4023,Pipa Spirit,NPC52.png,NPC52,5,2,1,2,70,100201001,83630,115250,9220,13830,600,0,1200,420,6640,1328,2650,1170,0,0,0,0,0,0,0,0,0,0
4024,Immortal of Antelope,NPC18.png,NPC18,5,2,1,1,85,100109001,221086,308000,24640,36960,1700,0,3400,540,10960,2192,4450,1860,0,0,0,0,0,0,0,0,0,0
4025,Immortal of Elk,NPC19.png,NPC19,5,2,1,3,100,100303001,408090,521000,41680,62520,2300,0,4600,660,15640,3128,6400,2610,0,0,0,0,0,0,0,0,0,0
4026,Immortal of Tiger,NPC20.png,NPC20,5,3,1,2,115,100202001,562062,720500,57640,86460,54649,0,14230,780,22693,4016,8250,3360,0,0,0,0,0,0,0,0,0,0
4027,Zuanfeng the Ranger,NPC21.png,NPC21,5,3,1,1,130,100102001,724292,923375,73870,110805,72498,0,18240,900,28164,4916,10125,4110,0,0,0,0,0,0,0,0,0,0
4028,Yellow Wind Demon,NPC22.png,NPC22,5,3,1,3,145,100307001,886522,1126250,90100,135150,98973,0,23655,1020,34030,5816,12000,4860,0,0,0,0,0,0,0,0,0,0
4029,Astral Deity of the Maned Head,NPC23.png,NPC23,5,4,1,2,160,100205001,1048752,1329125,106330,159495,125447,0,29070,1140,39897,6716,13875,5610,0,0,0,0,0,0,0,0,0,0
4030,Beta Aquarii,NPC24.png,NPC24,5,4,1,1,175,100210001,1210982,1532000,122560,183840,151922,0,34485,1260,45763,7616,15750,6360,0,0,0,0,0,0,0,0,0,0
