layer,reward,reward_first,normal_monster_npc_id_list,multi_npc_id_list_array[0],multi_npc_id_list_array[1],max_round,desc
21,1:1:31000|1:4:20,1:1:3100|1:4:10,3021|3021|3021|3021|3021|3021,,,30,Death warriors are unbeatable!
22,1:1:32000|1:4:20,1:1:3200|1:4:10,3022|3022|3022|3022|3022|3022,,,30,Be careful of the high magic damage!
23,1:1:33000|1:4:20,1:1:3300|1:4:10,3023|3023|3023|3023|3023|3023,,,30,Shadow archers always appear in darkness.
24,1:1:34000|1:4:20,1:1:3400|1:4:10,3024|3024|3024|3024|3024|3024,,,30,Death warriors are unbeatable!
25,1:1:35000|1:4:20,1:1:3500|1:4:10,3025|3025|3025|3025|3025|3025,,,30,Be careful of the high magic damage!
26,1:1:36000|1:4:20,1:1:3600|1:4:10,3026|3026|3026|3026|3026|3026,,,30,Shadow archers always appear in darkness.
27,1:1:37000|1:4:20,1:1:3700|1:4:10,3027|3027|3027|3027|3027|3027,,,30,Death warriors are unbeatable!
28,1:1:38000|1:4:20,1:1:3800|1:4:10,3028|3028|3028|3028|3028|3028,,,30,Be careful of the high magic damage!
29,1:1:39000|1:4:20,1:1:3900|1:4:10,3029|3029|3029|3029|3029|3029,,,30,Shadow archers always appear in darkness.
30,1:1:40000|5:1000004:2,1:1:4000|1:4:10|5:3000007:5,3030|3030|3030|3030|3030|3030,,,30,Hair Ghosts' HP are beyond your imagination!
31,1:1:41000|1:4:20,1:1:4100|1:4:10,3031|3031|3031|3031|3031|3031,,,30,Be careful of the high magic damage!
32,1:1:42000|1:4:20,1:1:4200|1:4:10,3032|3032|3032|3032|3032|3032,,,30,Shadow archers always appear in darkness.
33,1:1:43000|1:4:20,1:1:4300|1:4:10,3033|3033|3033|3033|3033|3033,,,30,Death warriors are unbeatable!
34,1:1:44000|1:4:20,1:1:4400|1:4:10,3034|3034|3034|3034|3034|3034,,,30,Be careful of the high magic damage!
35,1:1:45000|1:4:20,1:1:4500|1:4:10,3035|3035|3035|3035|3035|3035,,,30,Shadow archers always appear in darkness.
36,1:1:46000|1:4:20,1:1:4600|1:4:10,3036|3036|3036|3036|3036|3036,,,30,Death warriors are unbeatable!
37,1:1:47000|1:4:20,1:1:4700|1:4:10,3037|3037|3037|3037|3037|3037,,,30,Be careful of the high magic damage!
38,1:1:48000|1:4:20,1:1:4800|1:4:10,3038|3038|3038|3038|3038|3038,,,30,Shadow archers always appear in darkness.
39,1:1:49000|1:4:20,1:1:4900|1:4:10,3039|3039|3039|3039|3039|3039,,,30,Death warriors are unbeatable!
40,1:1:50000|5:1000004:2,1:1:5000|1:4:10|5:3000007:5,3040|3040|3040|3040|3040|3040,,,30,Raccoon Spirits will make a very high level damage!
41,1:1:50500|1:4:30,1:1:5100|1:4:10,3041|3041|3041|3041|3041|3041,,,30,Shadow archers always appear in darkness.
42,1:1:51000|1:4:30,1:1:5200|1:4:10,3042|3042|3042|3042|3042|3042,,,30,Death warriors are unbeatable!
43,1:1:51500|1:4:30,1:1:5300|1:4:10,3043|3043|3043|3043|3043|3043,,,30,Be careful of the high magic damage!
44,1:1:52000|1:4:30,1:1:5400|1:4:10,3044|3044|3044|3044|3044|3044,,,30,Shadow archers always appear in darkness.
45,1:1:52500|1:4:30,1:1:5500|1:4:10,3045|3045|3045|3045|3045|3045,,,30,Death warriors are unbeatable!
46,1:1:53000|1:4:30,1:1:5600|1:4:10,3046|3046|3046|3046|3046|3046,,,30,Be careful of the high magic damage!
47,1:1:53500|1:4:30,1:1:5700|1:4:10,3047|3047|3047|3047|3047|3047,,,30,Shadow archers always appear in darkness.
48,1:1:54000|1:4:30,1:1:5800|1:4:10,3048|3048|3048|3048|3048|3048,,,30,Death warriors are unbeatable!
49,1:1:54500|1:4:30,1:1:5900|1:4:10,3049|3049|3049|3049|3049|3049,,,30,Shadow archers always appear in darkness.
50,1:1:55000|5:1000004:3,1:1:6000|1:4:10|5:3000007:5,3051|3050|3050|3051|3050|3050,,,30,"Nine-heads snakes have endless hp, pretty high EVA and extremely high M.DMG!"
51,1:1:55500|1:4:30,1:1:6100|1:4:10,3051|3051|3051|3051|3051|3051,,,30,Death warriors are unbeatable!
52,1:1:56000|1:4:30,1:1:6200|1:4:10,3052|3052|3052|3052|3052|3052,,,30,Be careful of the high magic damage!
53,1:1:56500|1:4:30,1:1:6300|1:4:10,3053|3053|3053|3053|3053|3053,,,30,Shadow archers always appear in darkness.
54,1:1:57000|1:4:30,1:1:6400|1:4:10,3054|3054|3054|3054|3054|3054,,,30,Death warriors are unbeatable!
55,1:1:57500|1:4:30,1:1:6500|1:4:10,3056|3054|3054|3056|3056|3056,,,30,Be careful of the high magic damage!
56,1:1:58000|1:4:30,1:1:6600|1:4:10,3056|3056|3056|3056|3056|3056,,,30,Shadow archers always appear in darkness.
57,1:1:58500|1:4:30,1:1:6700|1:4:10,3057|3057|3057|3057|3057|3057,,,30,Death warriors are unbeatable!
58,1:1:59000|1:4:30,1:1:6800|1:4:10,3058|3058|3058|3058|3058|3058,,,30,Be careful of the high magic damage!
59,1:1:59500|1:4:30,1:1:6900|1:4:10,3059|3059|3059|3059|3059|3059,,,30,Shadow archers always appear in darkness.
60,1:1:60000|5:1000004:3,1:1:7000|1:4:10|5:3000007:5,3060|3060|3060|3060|3060|3060,,,30,Ordinary magic won't post any threat to Necromancers!
61,1:1:60500|1:4:40,1:1:7100|1:4:10,3061|3061|3061|3061|3061|3061,,,30,Be careful of the high magic damage!
62,1:1:61000|1:4:40,1:1:7200|1:4:10,3062|3062|3062|3062|3062|3062,,,30,Shadow archers always appear in darkness.
63,1:1:61500|1:4:40,1:1:7300|1:4:10,3063|3063|3063|3063|3063|3063,,,30,Death warriors are unbeatable!
64,1:1:62000|1:4:40,1:1:7400|1:4:10,3064|3064|3064|3064|3064|3064,,,30,Be careful of the high magic damage!
65,1:1:62500|1:4:40,1:1:7500|1:4:10,3065|3065|3065|3065|3065|3065,,,30,Shadow archers always appear in darkness.
66,1:1:63000|1:4:40,1:1:7600|1:4:10,3066|3066|3066|3066|3066|3066,,,30,Death warriors are unbeatable!
67,1:1:63500|1:4:40,1:1:7700|1:4:10,3067|3067|3067|3067|3067|3067,,,30,Be careful of the high magic damage!
68,1:1:64000|1:4:40,1:1:7800|1:4:10,3068|3068|3068|3068|3068|3068,,,30,Shadow archers always appear in darkness.
69,1:1:64500|1:4:40,1:1:7900|1:4:10,3069|3069|3069|3069|3069|3069,,,30,Death warriors are unbeatable!
70,1:1:65000|5:1000004:4,1:1:8000|1:4:10|5:3000007:5,3070|3070|3070|3070|3070|3070,,,30,Reborn Mummy has high level crit and FOR
71,1:1:65500|1:4:40,1:1:8100|1:4:10,3071|3071|3071|3071|3071|3071,,,30,Shadow archers always appear in darkness.
72,1:1:66000|1:4:40,1:1:8200|1:4:10,3072|3072|3072|3072|3072|3072,,,30,Death warriors are unbeatable!
73,1:1:66500|1:4:40,1:1:8300|1:4:10,3073|3073|3073|3073|3073|3073,,,30,Be careful of the high magic damage!
74,1:1:67000|1:4:40,1:1:8400|1:4:10,3074|3074|3074|3074|3074|3074,,,30,Shadow archers always appear in darkness.
75,1:1:67500|1:4:40,1:1:8500|1:4:10,3075|3075|3075|3075|3075|3075,,,30,Death warriors are unbeatable!
76,1:1:68000|1:4:40,1:1:8600|1:4:10,3076|3076|3076|3076|3076|3076,,,30,Be careful of the high magic damage!
77,1:1:68500|1:4:40,1:1:8700|1:4:10,3077|3077|3077|3077|3077|3077,,,30,Shadow archers always appear in darkness.
78,1:1:69000|1:4:40,1:1:8800|1:4:10,3078|3078|3078|3078|3078|3078,,,30,Death warriors are unbeatable!
79,1:1:69500|1:4:40,1:1:8900|1:4:10,3079|3079|3079|3079|3079|3079,,,30,Be careful of the high magic damage!
80,1:1:70000|5:1000004:4,1:1:9000|1:4:10|5:3000007:5,3080|3080|3080|3080|3080|3080,,,30,Snake Guards' P.RES is very troublesome!
81,1:1:70500|1:4:50,1:1:9100|1:4:10,3081|3081|3081|3081|3081|3081,,,30,Death warriors are unbeatable!
82,1:1:71000|1:4:50,1:1:9200|1:4:10,3082|3082|3082|3082|3082|3082,,,30,Be careful of the high magic damage!
83,1:1:71500|1:4:50,1:1:9300|1:4:10,3083|3083|3083|3083|3083|3083,,,30,Shadow archers always appear in darkness.
84,1:1:72000|1:4:50,1:1:9400|1:4:10,3084|3084|3084|3084|3084|3084,,,30,Death warriors are unbeatable!
85,1:1:72500|1:4:50,1:1:9500|1:4:10,3085|3085|3085|3085|3085|3085,,,30,Be careful of the high magic damage!
86,1:1:73000|1:4:50,1:1:9600|1:4:10,3086|3086|3086|3086|3086|3086,,,30,Shadow archers always appear in darkness.
87,1:1:73500|1:4:50,1:1:9700|1:4:10,3087|3087|3087|3087|3087|3087,,,30,Death warriors are unbeatable!
88,1:1:74000|1:4:50,1:1:9800|1:4:10,3088|3088|3088|3088|3088|3088,,,30,Be careful of the high magic damage!
89,1:1:74500|1:4:50,1:1:9900|1:4:10,3089|3089|3089|3089|3089|3089,,,30,Shadow archers always appear in darkness.
90,1:1:75000|5:1000004:5,1:1:10000|1:4:10|5:3000007:5,3090|3090|3090|3090|3090|3090,,,30,Tomb Priests will hit fritening damage!
91,1:1:75500|1:4:50,1:1:10100|1:4:10,3091|3091|3091|3091|3091|3091,,,30,Be careful of the high magic damage!
92,1:1:76000|1:4:50,1:1:10200|1:4:10,3092|3092|3092|3092|3092|3092,,,30,Shadow archers always appear in darkness.
93,1:1:76500|1:4:50,1:1:10300|1:4:10,3093|3093|3093|3093|3093|3093,,,30,Death warriors are unbeatable!
94,1:1:77000|1:4:50,1:1:10400|1:4:10,3094|3094|3094|3094|3094|3094,,,30,Be careful of the high magic damage!
95,1:1:77500|1:4:50,1:1:10500|1:4:10,3095|3095|3095|3095|3095|3095,,,30,Shadow archers always appear in darkness.
96,1:1:78000|1:4:50,1:1:10600|1:4:10,3096|3096|3096|3096|3096|3096,,,30,Death warriors are unbeatable!
97,1:1:78500|1:4:50,1:1:10700|1:4:10,3097|3097|3097|3097|3097|3097,,,30,Be careful of the high magic damage!
98,1:1:79000|1:4:50,1:1:10800|1:4:10,3098|3098|3098|3098|3098|3098,,,30,Shadow archers always appear in darkness.
99,1:1:79500|1:4:50,1:1:10900|1:4:10,3099|3099|3099|3099|3099|3099,,,30,Death warriors are unbeatable!
100,1:1:80000|5:1000004:5,1:1:11000|1:4:10|5:3000008:3|5:3000007:5,3100|3100|3101|3100|3100|3102,,,30,"Can you resist the spread of zombies? Frenzy Zombies has extremely high crit, and very high P.DMG and M.DMG!"
101,1:1:80200|1:4:60,1:1:11100|1:4:10,3101|3101|3101|3101|3101|3101,,,30,Shadow archers always appear in darkness.
102,1:1:80400|1:4:60,1:1:11200|1:4:10,3102|3102|3102|3102|3102|3102,,,30,Be careful of the high magic damage!
103,1:1:80600|1:4:60,1:1:11300|1:4:10,3103|3103|3103|3103|3103|3103,,,30,Be careful of the high magic damage!
104,1:1:80800|1:4:60,1:1:11400|1:4:10,3104|3104|3104|3104|3104|3104,,,30,Shadow archers always appear in darkness.
105,1:1:81000|1:4:60,1:1:11500|1:4:10,3105|3105|3105|3105|3105|3105,,,30,Death warriors are unbeatable!
106,1:1:81200|1:4:60,1:1:11600|1:4:10,3106|3106|3106|3106|3106|3106,,,30,Be careful of the high magic damage!
107,1:1:81400|1:4:60,1:1:11700|1:4:10,3107|3107|3107|3107|3107|3107,,,30,Shadow archers always appear in darkness.
108,1:1:81600|1:4:60,1:1:11800|1:4:10,3108|3108|3108|3108|3108|3108,,,30,Death warriors are unbeatable!
109,1:1:81800|1:4:60,1:1:11900|1:4:10,3109|3109|3109|3109|3109|3109,,,30,Be careful of the high magic damage!
110,1:1:82000|5:1000004:6,1:1:12000|1:4:10|5:3000008:3|5:3000007:5,3110|3110|3110|3110|3110|3110,,,30,Venomancers own ultra high DEF PEN
111,1:1:82200|1:4:60,1:1:12100|1:4:10,3111|3111|3111|3111|3111|3111,,,30,Death warriors are unbeatable!
112,1:1:82400|1:4:60,1:1:12200|1:4:10,3112|3112|3112|3112|3112|3112,,,30,Be careful of the high magic damage!
113,1:1:82600|1:4:60,1:1:12300|1:4:10,3113|3113|3113|3113|3113|3113,,,30,Shadow archers always appear in darkness.
114,1:1:82800|1:4:60,1:1:12400|1:4:10,3114|3114|3114|3114|3114|3114,,,30,Death warriors are unbeatable!
115,1:1:83000|1:4:60,1:1:12500|1:4:10,3115|3115|3115|3115|3115|3115,,,30,Be careful of the high magic damage!
116,1:1:83200|1:4:60,1:1:12600|1:4:10,3116|3116|3116|3116|3116|3116,,,30,Shadow archers always appear in darkness.
117,1:1:83400|1:4:60,1:1:12700|1:4:10,3117|3117|3117|3117|3117|3117,,,30,Death warriors are unbeatable!
118,1:1:83600|1:4:60,1:1:12800|1:4:10,3118|3118|3118|3118|3118|3118,,,30,Be careful of the high magic damage!
119,1:1:83800|1:4:60,1:1:12900|1:4:10,3119|3119|3119|3119|3119|3119,,,30,Shadow archers always appear in darkness.
120,1:1:84000|5:1000004:6,1:1:13000|1:4:10|5:3000008:3|5:3000007:5,3120|3120|3120|3120|3120|3120,,,30,圣洁的牧师听从了恶魔诱惑的低语，陷入疯狂，渴望鲜血。嗜血牧师会将伤害转化为自身的血量。
121,1:1:84200|1:4:70,1:1:13100|1:4:10,3121|3121|3121|3121|3121|3121,,,30,Be careful of the high magic damage!
122,1:1:84400|1:4:70,1:1:13200|1:4:10,3122|3122|3122|3122|3122|3122,,,30,Shadow archers always appear in darkness.
123,1:1:84600|1:4:70,1:1:13300|1:4:10,3123|3123|3123|3123|3123|3123,,,30,Death warriors are unbeatable!
124,1:1:84800|1:4:70,1:1:13400|1:4:10,3124|3124|3124|3124|3124|3124,,,30,Be careful of the high magic damage!
125,1:1:85000|1:4:70,1:1:13500|1:4:10,3125|3125|3125|3125|3125|3125,,,30,Shadow archers always appear in darkness.
126,1:1:85200|1:4:70,1:1:13600|1:4:10,3126|3126|3126|3126|3126|3126,,,30,Death warriors are unbeatable!
127,1:1:85400|1:4:70,1:1:13700|1:4:10,3127|3127|3127|3127|3127|3127,,,30,Be careful of the high magic damage!
128,1:1:85600|1:4:70,1:1:13800|1:4:10,3128|3128|3128|3128|3128|3128,,,30,Shadow archers always appear in darkness.
129,1:1:85800|1:4:70,1:1:13900|1:4:10,3129|3129|3129|3129|3129|3129,,,30,Death warriors are unbeatable!
130,1:1:86000|5:1000004:7,1:1:14000|1:4:10|5:3000008:3|5:3000007:5,3130|3130|3130|3130|3130|3130,,,30,她邪恶残暴、冷酷无情，为达目的不择手段。贝利亚有着难以破坏的防御力！
131,1:1:86200|1:4:70,1:1:14100|1:4:10,3131|3131|3131|3131|3131|3131,,,30,Shadow archers always appear in darkness.
132,1:1:86400|1:4:70,1:1:14200|1:4:10,3132|3132|3132|3132|3132|3132,,,30,Death warriors are unbeatable!
133,1:1:86600|1:4:70,1:1:14300|1:4:10,3133|3133|3133|3133|3133|3133,,,30,Be careful of the high magic damage!
134,1:1:86800|1:4:70,1:1:14400|1:4:10,3134|3134|3134|3134|3134|3134,,,30,Shadow archers always appear in darkness.
135,1:1:87000|1:4:70,1:1:14500|1:4:10,3135|3135|3135|3135|3135|3135,,,30,Death warriors are unbeatable!
136,1:1:87200|1:4:70,1:1:14600|1:4:10,3136|3136|3136|3136|3136|3136,,,30,Be careful of the high magic damage!
137,1:1:87400|1:4:70,1:1:14700|1:4:10,3137|3137|3137|3137|3137|3137,,,30,Shadow archers always appear in darkness.
138,1:1:87600|1:4:70,1:1:14800|1:4:10,3138|3138|3138|3138|3138|3138,,,30,Death warriors are unbeatable!
139,1:1:87800|1:4:70,1:1:14900|1:4:10,3139|3139|3139|3139|3139|3139,,,30,Be careful of the high magic damage!
140,1:1:88000|5:1000004:7,1:1:15000|1:4:10|5:3000008:3|5:3000007:5,3140|3140|3140|3140|3140|3140,,,30,They are guilty of the blood of crime! Frenzy Zombies has suberb P.PEN!
141,1:1:88200|1:4:80,1:1:15100|1:4:10,3141|3141|3141|3141|3141|3141,,,30,Death warriors are unbeatable!
142,1:1:88400|1:4:80,1:1:15200|1:4:10,3142|3142|3142|3142|3142|3142,,,30,Be careful of the high magic damage!
143,1:1:88600|1:4:80,1:1:15300|1:4:10,3143|3143|3143|3143|3143|3143,,,30,Shadow archers always appear in darkness.
144,1:1:88800|1:4:80,1:1:15400|1:4:10,3144|3144|3144|3144|3144|3144,,,30,Death warriors are unbeatable!
145,1:1:89000|1:4:80,1:1:15500|1:4:10,3145|3145|3145|3145|3145|3145,,,30,Be careful of the high magic damage!
146,1:1:89200|1:4:80,1:1:15600|1:4:10,3146|3146|3146|3146|3146|3146,,,30,Shadow archers always appear in darkness.
147,1:1:89400|1:4:80,1:1:15700|1:4:10,3147|3147|3147|3147|3147|3147,,,30,Death warriors are unbeatable!
148,1:1:89600|1:4:80,1:1:15800|1:4:10,3148|3148|3148|3148|3148|3148,,,30,Be careful of the high magic damage!
149,1:1:89800|1:4:80,1:1:15900|1:4:10,3149|3149|3149|3149|3149|3149,,,30,Shadow archers always appear in darkness.
150,1:1:90000|5:1000004:8,1:1:16000|1:4:10|5:3000008:3|5:3000007:5,3151|3150|3150|3151|3150|3152,,,30,Death warriors are unbeatable!
151,1:1:90200|1:4:80,1:1:16100|1:4:10,3151|3151|3151|3151|3151|3151,,,30,Be careful of the high magic damage!
152,1:1:90400|1:4:80,1:1:16200|1:4:10,3152|3152|3152|3152|3152|3152,,,30,Shadow archers always appear in darkness.
153,1:1:90600|1:4:80,1:1:16300|1:4:10,3153|3153|3153|3153|3153|3153,,,30,Death warriors are unbeatable!
154,1:1:90800|1:4:80,1:1:16400|1:4:10,3154|3154|3154|3154|3154|3154,,,30,Be careful of the high magic damage!
155,1:1:91000|1:4:80,1:1:16500|1:4:10,3155|3155|3155|3155|3155|3155,,,30,Shadow archers always appear in darkness.
156,1:1:91200|1:4:80,1:1:16600|1:4:10,3156|3156|3156|3156|3156|3156,,,30,Death warriors are unbeatable!
157,1:1:91400|1:4:80,1:1:16700|1:4:10,3157|3157|3157|3157|3157|3157,,,30,Be careful of the high magic damage!
158,1:1:91600|1:4:80,1:1:16800|1:4:10,3158|3158|3158|3158|3158|3158,,,30,Shadow archers always appear in darkness.
159,1:1:91800|1:4:80,1:1:16900|1:4:10,3159|3159|3159|3159|3159|3159,,,30,Death warriors are unbeatable!
160,1:1:92000|5:1000004:8,1:1:17000|1:4:10|5:3000008:3|5:3000007:5,3160|3160|3160|3160|3160|3160,,,30,Be careful of the high magic damage!
161,1:1:92200|1:4:90,1:1:17100|1:4:10,3161|3161|3161|3161|3161|3161,,,30,Shadow archers always appear in darkness.
162,1:1:92400|1:4:90,1:1:17200|1:4:10,3162|3162|3162|3162|3162|3162,,,30,Death warriors are unbeatable!
163,1:1:92600|1:4:90,1:1:17300|1:4:10,3163|3163|3163|3163|3163|3163,,,30,Be careful of the high magic damage!
164,1:1:92800|1:4:90,1:1:17400|1:4:10,3164|3164|3164|3164|3164|3164,,,30,Shadow archers always appear in darkness.
165,1:1:93000|1:4:90,1:1:17500|1:4:10,3165|3165|3165|3165|3165|3165,,,30,Death warriors are unbeatable!
166,1:1:93200|1:4:90,1:1:17600|1:4:10,3166|3166|3166|3166|3166|3166,,,30,Be careful of the high magic damage!
167,1:1:93400|1:4:90,1:1:17700|1:4:10,3167|3167|3167|3167|3167|3167,,,30,Shadow archers always appear in darkness.
168,1:1:93600|1:4:90,1:1:17800|1:4:10,3168|3168|3168|3168|3168|3168,,,30,Death warriors are unbeatable!
169,1:1:93800|1:4:90,1:1:17900|1:4:10,3169|3169|3169|3169|3169|3169,,,30,Be careful of the high magic damage!
170,1:1:94000|5:1000004:9,1:1:18000|1:4:10|5:3000008:3|5:3000007:5,3170|3170|3170|3170|3170|3170,,,30,Shadow archers always appear in darkness.
171,1:1:94200|1:4:90,1:1:18100|1:4:10,3171|3171|3171|3171|3171|3171,,,30,Death warriors are unbeatable!
172,1:1:94400|1:4:90,1:1:18200|1:4:10,3172|3172|3172|3172|3172|3172,,,30,Be careful of the high magic damage!
173,1:1:94600|1:4:90,1:1:18300|1:4:10,3173|3173|3173|3173|3173|3173,,,30,Shadow archers always appear in darkness.
174,1:1:94800|1:4:90,1:1:18400|1:4:10,3174|3174|3174|3174|3174|3174,,,30,Death warriors are unbeatable!
175,1:1:95000|1:4:90,1:1:18500|1:4:10,3175|3175|3175|3175|3175|3175,,,30,Be careful of the high magic damage!
176,1:1:95200|1:4:90,1:1:18600|1:4:10,3176|3176|3176|3176|3176|3176,,,30,Shadow archers always appear in darkness.
177,1:1:95400|1:4:90,1:1:18700|1:4:10,3177|3177|3177|3177|3177|3177,,,30,Death warriors are unbeatable!
178,1:1:95600|1:4:90,1:1:18800|1:4:10,3178|3178|3178|3178|3178|3178,,,30,Be careful of the high magic damage!
179,1:1:95800|1:4:90,1:1:18900|1:4:10,3179|3179|3179|3179|3179|3179,,,30,Shadow archers always appear in darkness.
180,1:1:96000|5:1000004:9,1:1:19000|1:4:10|5:3000008:3|5:3000007:5,3180|3180|3180|3180|3180|3180,,,30,Death warriors are unbeatable!
181,1:1:96200|1:4:100,1:1:19100|1:4:10,3181|3181|3181|3181|3181|3181,,,30,Be careful of the high magic damage!
182,1:1:96400|1:4:100,1:1:19200|1:4:10,3182|3182|3182|3182|3182|3182,,,30,Shadow archers always appear in darkness.
183,1:1:96600|1:4:100,1:1:19300|1:4:10,3183|3183|3183|3183|3183|3183,,,30,Death warriors are unbeatable!
184,1:1:96800|1:4:100,1:1:19400|1:4:10,3184|3184|3184|3184|3184|3184,,,30,Be careful of the high magic damage!
185,1:1:97000|1:4:100,1:1:19500|1:4:10,3185|3185|3185|3185|3185|3185,,,30,Shadow archers always appear in darkness.
186,1:1:97200|1:4:100,1:1:19600|1:4:10,3186|3186|3186|3186|3186|3186,,,30,Death warriors are unbeatable!
187,1:1:97400|1:4:100,1:1:19700|1:4:10,3187|3187|3187|3187|3187|3187,,,30,Be careful of the high magic damage!
188,1:1:97600|1:4:100,1:1:19800|1:4:10,3188|3188|3188|3188|3188|3188,,,30,Shadow archers always appear in darkness.
189,1:1:97800|1:4:100,1:1:19900|1:4:10,3189|3189|3189|3189|3189|3189,,,30,Death warriors are unbeatable!
190,1:1:98000|5:1000004:10,1:1:20000|1:4:10|5:3000008:3|5:3000007:5,3190|3190|3190|3190|3190|3190,,,30,Be careful of the high magic damage!
191,1:1:98200|1:4:100,1:1:20100|1:4:10,3191|3191|3191|3191|3191|3191,,,30,Shadow archers always appear in darkness.
192,1:1:98400|1:4:100,1:1:20200|1:4:10,3192|3192|3192|3192|3192|3192,,,30,Death warriors are unbeatable!
193,1:1:98600|1:4:100,1:1:20300|1:4:10,3193|3193|3193|3193|3193|3193,,,30,Be careful of the high magic damage!
194,1:1:98800|1:4:100,1:1:20400|1:4:10,3194|3194|3194|3194|3194|3194,,,30,Shadow archers always appear in darkness.
195,1:1:99000|1:4:100,1:1:20500|1:4:10,3195|3195|3195|3195|3195|3195,,,30,Death warriors are unbeatable!
196,1:1:99200|1:4:100,1:1:20600|1:4:10,3196|3196|3196|3196|3196|3196,,,30,Be careful of the high magic damage!
197,1:1:99400|1:4:100,1:1:20700|1:4:10,3197|3197|3197|3197|3197|3197,,,30,Shadow archers always appear in darkness.
198,1:1:99600|1:4:100,1:1:20800|1:4:10,3198|3198|3198|3198|3198|3198,,,30,Death warriors are unbeatable!
199,1:1:99800|1:4:100,1:1:20900|1:4:10,3199|3199|3199|3199|3199|3199,,,30,非常擅长使用高级法术对敌人造成伤害
200,1:1:100000|5:1000004:10,1:1:21000|1:4:10|5:3000009:2|5:3000008:3,3200|3200|3200|3200|3200|3200,,,30,Shadow archers always appear in darkness.
201,1:1:100200|1:4:110,1:1:21100|1:4:10,3201|3201|3201|3201|3201|3201,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
202,1:1:100400|1:4:110,1:1:21200|1:4:10,3202|3202|3202|3202|3202|3202,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
203,1:1:100600|1:4:110,1:1:21300|1:4:10,3203|3203|3203|3203|3203|3203,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
204,1:1:100800|1:4:110,1:1:21400|1:4:10,3204|3204|3204|3204|3204|3204,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
205,1:1:101000|1:4:110,1:1:21500|1:4:10,3205|3205|3205|3205|3205|3205,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
206,1:1:101200|1:4:110,1:1:21600|1:4:10,3206|3206|3206|3206|3206|3206,,,30,"The bow and arrow is her life, and no arrow is shot in vain"
207,1:1:101400|1:4:110,1:1:21700|1:4:10,3207|3207|3207|3207|3207|3207,,,30,"As  long as the eyes of brave fighters meet,they will ask for a fight"
208,1:1:101600|1:4:110,1:1:21800|1:4:10,3208|3208|3208|3208|3208|3208,,,30,"Enchanted mage,willing to sacrifice anything to improve her magic"
