id,name,quality_level,desc,condition_type,need_reach_num,tab,reward,show
1703,闪瞎眼,3,殿堂闪耀值达到2000,17,2000,1,1:2:100,1
1801,元素之灵,2,集齐元素之灵系列幻兽,18,1,1,1:2:100,1
1901,诸神黄昏,2,集齐诸神黄昏系列幻兽,19,1,1,1:2:100,1
2001,大冒险家,1,5星冒险完成50次,20,50,2,1:2:100,1
2101,居高临下,1,天空塔通关第100层,21,100,2,1:2:100,1
2102,高不可攀,1,天空塔通关第300层,21,300,2,1:2:100,1
2103,苍穹尽头,2,天空塔通关第550层,21,550,2,1:2:100,1
2201,无人之境,1,深渊秘境内商人处购买100次,22,100,2,1:2:100,1
2301,深渊之底,3,恐惧深渊通关第500层,23,500,2,1:2:100,1
2401,梦境之主,1,100%完成度通关10个不同的女神梦境,24,10,2,1:2:100,1
2501,星辰征服者,1,通过“极”难度的星辰试炼,25,1,2,1:2:100,1
2601,公会先锋,1,挑战公会BOSS 100次,26,100,2,1:2:100,1
2701,竞技场之主,3,竞技场结算时排名第一 10次,27,10,3,1:2:100,1
2801,争斗狂热者,1,获得诸神之战冠军1次,28,1,3,1:2:100,1
2802,征服诸神,2,获得诸神之战冠军20次,28,20,3,1:2:100,1
2803,诸神霸主,3,获得诸神之战冠军50次,28,50,3,1:2:100,1
2901,荣耀武者,1,荣耀竞技场获得冠军1次,29,1,3,1:2:100,1
2902,荣耀战神,2,荣耀竞技场获得冠军10次,29,10,3,1:2:100,1
2903,荣耀神王,3,荣耀竞技场获得冠军30次,29,30,3,1:2:100,1
3001,进军奥林匹斯,1,奥林匹斯之争获得MVP 1次,30,1,3,1:2:100,1
3002,征服奥林匹斯,2,奥林匹斯之争获得MVP 3次,30,3,3,1:2:100,1
3003,称霸奥林匹斯,3,奥林匹斯之争获得MVP 5次,30,5,3,1:2:100,1
3101,以一敌千,2,在七域争辉中累计击败1000支队伍,31,1000,3,1:2:100,1
3201,众神之王,1,众神争霸赛获得众神之王1次,32,1,3,1:2:100,1
3202,至尊神王,2,众神争霸赛获得众神之王5次,32,5,3,1:2:100,1
3203,永恒神王,3,众神争霸赛获得众神之王10次,32,10,3,1:2:100,1
3301,永远的巅峰王者,2,众神争霸赛结算时段位达到巅峰王者 5次,33,5,3,1:2:100,1
3401,只会掉这个吗,3,战场挂机中连续掉落5个同部位的幻石,34,5,4,1:2:100,0
3501,高朋满座,1,好友数量达到100,35,100,4,1:2:100,1
3601,点赞先锋,1,累计点赞他人100次,36,100,4,1:2:100,1
3602,点赞狂人,2,累计点赞他人500次,36,500,4,1:2:100,1
3603,点赞机器,3,累计点赞他人2000次,36,2000,4,1:2:100,1
3701,明日之星,1,累计被点赞100次,37,100,4,1:2:100,1
3702,大众情人,2,累计被点赞500次,37,500,4,1:2:100,1
3703,桃源偶像,3,累计被点赞2000次,37,2000,4,1:2:100,1
3801,全勤奖,1,连续登录7天,38,7,4,1:2:100,1
3802,孜孜不倦,2,连续登录30天,38,30,4,1:2:100,1
3803,乐此不疲,3,连续登录180天,38,180,4,1:2:100,1
3901,出手阔绰,1,累计消耗100000钻石,39,100000,4,1:2:100,1
3902,富甲一方,2,累计消耗1000000钻石,39,1000000,4,1:2:100,1
3903,富可敌国,3,累计消耗5000000钻石,39,5000000,4,1:2:100,1
4001,有备无患,1,商店内累计购买100次商品,40,100,4,1:2:100,1
4002,购物达人,2,商店内累计购买1000次商品,40,1000,4,1:2:100,1
4003,购物大亨,3,商店内累计购买10000次商品,40,10000,4,1:2:100,1
4101,战斗大师,1,玩家战斗力达到1亿,41,100000000,1,1:2:100,1
4102,战斗宗师,2,玩家战斗力达到10亿,41,1000000000,1,1:2:100,1
4103,战斗之王,3,玩家战斗力达到100亿,41,10000000000,1,1:2:100,1
4201,披荆斩棘,1,主线通过14-60,42,400,2,1:2:100,1
4202,成为英雄,2,主线通过39-100,42,1660,2,1:2:100,1
4203,征服黑暗,3,主线通过56-100,42,3360,2,1:2:100,1
4301,一键三连,1,使用普通召唤券在单次十连中获得3个R品质的女神,43,3,4,1:2:100,0
4401,好事成双,2,使用高级召唤券在单次十连中获得2个SR品质的女神,44,2,4,1:2:100,0
4501,好运连连,1,每日福利掷骰连续掷出2个6,45,2,4,1:2:100,0
4502,好运三连,2,每日福利掷骰连续掷出3个6,45,3,4,1:2:100,0
4503,福星转世,3,每日福利掷骰连续掷出4个6,45,4,4,1:2:100,0
4601,另一种运气,1,每日福利掷骰连续掷出2个1,46,2,4,1:2:100,0
4602,乌龟卡？,2,每日福利掷骰连续掷出3个1,46,3,4,1:2:100,0
4603,否极泰来,3,每日福利掷骰连续掷出4个1,46,4,4,1:2:100,0
4701,奇遇连连,1,完成5星奇遇5次,47,5,4,1:2:100,1
4702,奇遇不断,2,完成5星奇遇20次,47,20,4,1:2:100,1
4703,传奇化身,3,完成5星奇遇100次,47,100,4,1:2:100,1
4801,色金熔炼者,1,累计熔炼1000件橙色以上品质的装备,48,1000,1,1:2:100,1
4802,赤金熔化者,2,累计熔炼10000件橙色以上品质的装备,48,10000,1,1:2:100,1
4803,纯金熔铸者,3,累计熔炼100000件橙色以上品质的装备,48,100000,1,1:2:100,1
4901,黄金矿脉,1,累计熔炼获得1000件橙色以上品质的装备,49,1000,1,1:2:100,1
4902,黄金工厂,2,累计熔炼获得10000件橙色以上品质的装备,49,10000,1,1:2:100,1
4903,黄金国度,3,累计熔炼获得100000件橙色以上品质的装备,49,100000,1,1:2:100,1
5001,幻兽之友,1,拥有的幻兽数量达到5,50,5,1,1:2:100,1
5002,幻兽亲和,2,拥有的幻兽数量达到15,50,15,1,1:2:100,1
5101,驯兽学徒,1,100级的幻兽数量达到1,51,1,1,1:2:100,1
5102,驯兽大师,2,100级的幻兽数量达到10,51,10,1,1:2:100,1
5103,驯兽宗师,3,100级的幻兽数量达到20,51,20,1,1:2:100,0
