npc_id,hero_cid,quality_level,level,awake,if_advance,god_awake,if_super,super_awake,if_mr,mr_awake,fight_value,max_hp,max_mp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
10406,2050,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10107,2051,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10207,2051,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10307,2051,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10407,2051,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10108,2053,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10208,2053,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10308,2053,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10408,2053,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10109,2054,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10209,2054,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10309,2054,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10409,2054,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10110,2055,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10210,2055,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10310,2055,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10410,2055,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10111,2056,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10211,2056,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10311,2056,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10411,2056,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10112,2057,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10212,2057,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10312,2057,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10412,2057,4,400,5,1,5,1,5,0,0,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10113,2060,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10213,2060,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10313,2060,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10413,2060,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10114,2063,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10214,2063,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10314,2063,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10414,2063,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10115,2065,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10215,2065,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10315,2065,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10415,2065,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10116,2067,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10216,2067,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10316,2067,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10416,2067,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10117,2068,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10217,2068,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10317,2068,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10417,2068,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10118,2069,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10218,2069,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10318,2069,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10418,2069,4,400,5,1,5,1,5,0,0,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10119,2071,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10219,2071,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10319,2071,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10419,2071,4,400,5,1,5,1,5,0,0,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10120,2073,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10220,2073,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10320,2073,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10420,2073,4,400,5,1,5,1,5,0,0,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10121,2074,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10221,2074,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10321,2074,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10421,2074,4,400,5,1,5,1,5,0,0,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10122,2075,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10222,2075,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10322,2075,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10422,2075,4,400,5,1,5,1,5,0,0,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10123,2076,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10223,2076,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10323,2076,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10423,2076,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10124,2077,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10224,2077,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10324,2077,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10424,2077,4,400,5,1,5,1,5,0,0,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10125,2078,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10225,2078,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10325,2078,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10425,2078,4,400,5,1,5,1,5,0,0,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10126,2081,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10226,2081,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10326,2081,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10426,2081,4,400,5,1,5,1,5,0,0,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10127,2082,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10227,2082,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10327,2082,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10427,2082,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10128,2083,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10228,2083,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10328,2083,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10428,2083,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10129,2084,1,100,5,1,2,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10229,2084,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10329,2084,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10429,2084,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10130,2086,1,100,5,1,2,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10230,2086,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10330,2086,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10430,2086,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10131,2087,1,100,5,1,2,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10231,2087,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10331,2087,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10431,2087,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
