cfg_id,hero_cid,quality_level,level,awake,if_advance,god_awake,if_super,super_awake,use_super_active_skills,if_mr,mr_awake,fight_value,max_hp,max_mp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
13,2049,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
14,2049,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
15,2049,3,300,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
16,2049,4,400,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
17,2050,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
18,2050,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
19,2050,3,300,5,1,5,1,5,66661201|66662201|66663201|66664301|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
20,2050,4,400,5,1,5,1,5,66661201|66662201|66663201|66664301|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
21,2051,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
22,2051,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
23,2051,3,300,5,1,5,1,5,66661201|66662201|66663201|66664301|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
24,2051,4,400,5,1,5,1,5,66661201|66662201|66663201|66664301|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
25,2053,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
26,2053,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
27,2053,3,300,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
28,2053,4,400,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
29,2054,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
30,2054,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
31,2054,3,300,5,1,5,1,5,66661201|66662201|66663401|66664201|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
32,2054,4,400,5,1,5,1,5,66661201|66662201|66663401|66664201|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
33,2055,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
34,2055,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
35,2055,3,300,5,1,5,1,5,66661201|66662201|66663201|66664301|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
36,2055,4,400,5,1,5,1,5,66661201|66662201|66663201|66664301|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
37,2056,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
38,2056,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
39,2056,3,300,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
40,2056,4,400,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
41,2057,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
42,2057,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
43,2057,3,300,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
44,2057,4,400,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
45,2060,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
46,2060,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
47,2060,3,300,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
48,2060,4,400,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
49,2063,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
50,2063,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
51,2063,3,300,5,1,5,1,5,66661201|66662201|66663401|66664201|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
52,2063,4,400,5,1,5,1,5,66661201|66662201|66663401|66664201|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
53,2065,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
54,2065,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
55,2065,3,300,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
56,2065,4,400,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
57,2067,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
58,2067,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
59,2067,3,300,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
60,2067,4,400,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
61,2068,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
62,2068,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
63,2068,3,300,5,1,5,1,5,66661101|66662201|66663201|66664301|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
64,2068,4,400,5,1,5,1,5,66661101|66662201|66663201|66664301|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
65,2069,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
66,2069,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
67,2069,3,300,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
68,2069,4,400,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
69,2071,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
70,2071,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
71,2071,3,300,5,1,5,1,5,66661201|66662201|66663201|66664301|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
72,2071,4,400,5,1,5,1,5,66661201|66662201|66663201|66664301|66665101,0,0,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
73,2073,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
74,2073,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
75,2073,3,300,5,1,5,1,5,66661201|66662201|66663201|66664301|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
76,2073,4,400,5,1,5,1,5,66661201|66662201|66663201|66664301|66665101,0,0,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
77,2074,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
78,2074,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
79,2074,3,300,5,1,5,1,5,66661201|66662201|66663201|66664301|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
80,2074,4,400,5,1,5,1,5,66661201|66662201|66663201|66664301|66665101,0,0,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
81,2075,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
82,2075,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
83,2075,3,300,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
84,2075,4,400,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
85,2076,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
86,2076,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
87,2076,3,300,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
88,2076,4,400,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
89,2077,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
90,2077,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
91,2077,3,300,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
92,2077,4,400,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
93,2078,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
94,2078,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
95,2078,3,300,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
96,2078,4,400,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
97,2081,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
98,2081,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
99,2081,3,300,5,1,5,1,5,66661201|66662201|66663401|66664201|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
100,2081,4,400,5,1,5,1,5,66661201|66662201|66663401|66664201|66665101,0,0,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
101,2082,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
102,2082,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
103,2082,3,300,5,1,5,1,5,66661201|66662201|66663401|66664201|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
104,2082,4,400,5,1,5,1,5,66661201|66662201|66663401|66664201|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
105,2083,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
106,2083,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
107,2083,3,300,5,1,5,1,5,66661101|66662201|66663401|66664201|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
108,2083,4,400,5,1,5,1,5,66661101|66662201|66663401|66664201|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
109,2084,1,100,5,1,1,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
110,2084,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
111,2084,3,300,5,1,5,1,5,66661101|66662201|66663401|66664201|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
112,2084,4,400,5,1,5,1,5,66661101|66662201|66663401|66664201|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
113,2086,1,100,5,1,1,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
114,2086,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
115,2086,3,300,5,1,5,1,5,66661101|66662201|66663401|66664201|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
116,2086,4,400,5,1,5,1,5,66661101|66662201|66663401|66664201|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
117,2087,1,100,5,1,1,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
118,2087,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
119,2087,3,300,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
120,2087,4,400,5,1,5,1,5,66661101|66662301|66663301|66664401|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
