id,cfg_id,name,type,quality_level,attribute_label,attr_is_ratio,fight_attribute,weight,icon
47,12,DMG Reflection +7%,1,3,2,0,3:17:70,12,12003.png
48,12,DMG Reflection +15%,1,4,2,0,3:17:150,3,12004.png
49,13,Debuff RES PEN +1%,1,1,3,0,3:24:10,60,13001.png
50,13,Debuff RES PEN +2%,1,2,3,0,3:24:20,25,13002.png
51,13,Debuff RES PEN +3%,1,3,3,0,3:24:30,12,13003.png
52,13,Debuff RES PEN +5%,1,4,3,0,3:24:50,3,13004.png
53,14,Healing Effect +1%,1,1,3,0,2:43:10,120,14001.png
54,14,Healing Effect +3%,1,2,3,0,2:43:30,50,14002.png
55,14,Healing Effect +5%,1,3,3,0,2:43:50,25,14003.png
56,14,Healing Effect +10%,1,4,3,0,2:43:100,5,14004.png
57,15,Basic Attributes +1%,1,1,3,1,1:1:10|1:2:10|1:3:10|1:4:10,30,15001.png
58,15,Basic Attributes +2%,1,2,3,1,1:1:10|1:2:10|1:3:10|1:4:11,15,15002.png
59,15,Basic Attributes +3%,1,3,3,1,1:1:10|1:2:10|1:3:10|1:4:12,5,15003.png
60,15,Basic Attributes +5%,1,4,3,1,1:1:10|1:2:10|1:3:10|1:4:13,2,15004.png
61,16,EVA Boost +1%,1,1,3,0,3:6:10,120,16001.png
62,16,EVA Boost +3%,1,2,3,0,3:6:30,50,16002.png
63,16,EVA Boost +5%,1,3,3,0,3:6:50,25,16003.png
64,16,EVA Boost +10%,1,4,3,0,3:6:100,5,16004.png
65,17,Buff Received +1%,1,1,3,0,2:47:10,120,17001.png
66,17,Buff Received +2%,1,2,3,0,2:47:20,50,17002.png
67,17,Buff Received +3%,1,3,3,0,2:47:30,25,17003.png
68,17,Buff Received +5%,1,4,3,0,2:47:50,5,17004.png
69,18,P.DMG Boost +1%,1,1,1,0,2:38:10,60,18001.png
70,18,P.DMG Boost +2%,1,2,1,0,2:38:20,25,18002.png
71,18,P.DMG Boost +4%,1,3,1,0,2:38:40,12,18003.png
72,18,P.DMG Boost +7%,1,4,1,0,2:38:70,3,18004.png
73,19,M.DMG Boost +1%,1,1,1,0,2:36:10,60,19001.png
74,19,M.DMG Boost +2%,1,2,1,0,2:36:20,25,19002.png
75,19,M.DMG Boost +4%,1,3,1,0,2:36:40,12,19003.png
76,19,M.DMG Boost +7%,1,4,1,0,2:36:70,3,19004.png
77,20,P.DMG Reduction +1%,1,1,2,0,2:39:10,120,20001.png
78,20,P.DMG Reduction +2%,1,2,2,0,2:39:20,50,20002.png
79,20,P.DMG Reduction +4%,1,3,2,0,2:39:40,25,20003.png
80,20,P.DMG Reduction +7%,1,4,2,0,2:39:70,5,20004.png
81,21,M.DMG Reduction +1%,1,1,2,0,2:37:10,120,21001.png
82,21,M.DMG Reduction +2%,1,2,2,0,2:37:20,50,21002.png
83,21,M.DMG Reduction +4%,1,3,2,0,2:37:40,25,21003.png
84,21,M.DMG Reduction +7%,1,4,2,0,2:37:70,5,21004.png
85,22,SPD +3,1,1,3,0,2:18:3,60,22001.png
86,22,SPD +5,1,2,3,0,2:18:5,25,22002.png
87,22,SPD +10,1,3,3,0,2:18:10,12,22003.png
88,22,SPD +20,1,4,3,0,2:18:20,3,22004.png
999,999,Level up Essence Skills,2,4,0,0,0,3,999.png
