cid,dialog,dialog_book
2034,"An eternal vow with me? Haha... What a strange human... But I would appreciate spending our time together judging the dead. It's such a boring task, and I would love to share the work.",
2035,"A vow? Hmm... I'm not one for romance or rituals, but I promise to continue guarding you until Ragnarök comes.",
2036,"As the goddess of dreams, I have dreamt of this many times before. But I never imagined that you would be so willing to make an eternal vow with me in reality.",
2037,"Nothing makes me happier than this eternal vow. As the incarnation of light, I promise to drive away the darkness for you until the day the sun no longer rises.",
2038,"We come from entirely different worlds. I can't believe the gods allowed us to meet! Oh, by the way, would you mind if we took a picture as a souvenir?",
2039,"Hmph... Because of your sincerity, I accept these flowers. ... Wait! I see that proud look on your face! Don't forget that I still retain my independence!",
2040,"Humph! This vow won't excuse you from our daily training sessions and the fury of my fists. After all, we must be prepared to guard each other's backs on the battlefield.",
2041,Making our vows is like crafting equipment. It requires hard work and determination. I vow henceforth to be your sharpest sword and your strongest shield!,
2042,"I have listened to countless wishes and sent countless gifts, but this vow with you is more precious to me than any gift in the world! Did you know that?",
2046,"Nothing makes me feel more at ease than an eternal vow. Whether it is in heaven or the netherworld, I, as a god, have no regrets about spending eternity with someone worthy of my trust.",
2047,"I never thought I'd see the day when I would give my heart to another! I swear I never shot one of my arrows at you. It was fate, and fate alone!",
2048,"You will now spend all eternity with me, but at a cost: We shall reside together in the underworld. Haha! Did you know these details before you made your vow?",
2049,"A poet once wrote: We are all angels with only one wing, we can only fly by embracing each other. Today, I finally understand what they mean. From now on, we will face our destiny together.",
2050,"Ahh... I see you can't resist the charm of chaos. You seem eager for this eternal vow and what it represents. You are so direct and eager, but these are also great strengths!",
2051,"Just like my devotion to Bifrost, I will not waiver in my vow to you. I swear by the glory of the Nordic gods that from henceforth, we shall face all the trials of destiny together!",
2052,"I am accustomed to the loneliness imposed by justice. I am grateful for the kindness you bring to my life. Perhaps, I made a good choice with you.",
2053,"I recognize your courage. Despite your youth, you are the only person brave enough to make an eternal vow with me. In the years ahead, I will happily share my experience as a ruler with you.",
2054,You are so sly! You never hinted that you might want to make a vow with me. All this time I misunderstood your intentions. I'm so bad at these things.,
2055,"I used to think that having a cold, hard heart made me stronger. But you helped me see the true strength of a mutual and unbreakable bond.",
2056,"Does this vow mean we will be together for our entire lives? That's wonderful, but... I hope you like eating barbecue for every meal.",
2057,"You humans really do make a ritual of marriage. After observing you for so long, I've found that I have feelings for you that are difficult to analyze rationally.",
2058,"An eternal vow to bind our souls? *meow* What is that? Is it edible? If I accept, will there be plenty of dried fish? *meow* But you are so kind and gentle, I believe what you do is good for me. *meow* ",
2059,"Once we make this vow to each other, will I never be able to return to my own world? Hmm... We have gotten along well together. I probably wouldn't mind staying here in your world with you.",
2060,My vow with you is also a kind of magic which only the sacred power of love and trust can activate. Do you understand?,
2061,"I'm shocked that you were willing to make a sacred vow with me, an ordinary monster. May the Yamato gods bless us with happiness and protect our souls.",
2062,"The moonlight is really beautiful tonight, isn't it? Exchanging vows with you on the night of a full moon is a blessing that will always be worth remembering.",
2063,"Even before this vow, you were like family to me. I am very grateful for this eternal bond between us. May the Goddess of Water protect you, the most important member of my family.",
2065,"Whenever I've thought of making a vow to you, the other me could sense those private thoughts. I blush when I think she knows how I feel about you.",
2067,"You like rabbits, too!? Then you must be a good person. That's reason enough for me to make this vow with you!",
2068,"I never imagined that my dream would come true. Of course, I will make a vow with you! From now on, I promise to protect you... and cook you amazingly delicious food.",
2069,Our vow unites us. Allow my wisdom and strength to help you find the courage to face your enemies and defeat them in battle.,
2070,Uh... What a hassle! It's better to fight against rivals rather than make vows!,
2071,"A vow is a kind of sacrifice, which means that from now on, we will live by one faith. I hope that our powers combine so that we can create a world worth fighting for.",
3072,"I may not be stay by your side all the time, but I swear by the angel that our vow will shine forever, anywhere and anytime.",
2073,Eh?! This contract can prove our relationships. Let me see what’s on it...Uh...what a hassle! It’s difficult to understand the ancient script.,
2074,"When we made this vow, our minds mingled, and I could read your thoughts. Have you always had such wild and daring desires for me, my dear?",
2075,You are the first person in ages to be worthy of making a vow with me.,
2076,"I enjoy making everyone fall under my charm, but I never imagined that I would fall under yours. You are full of surprises!",
2077,"In the presence of others, I demonstrate only my mighty power. But only before you will I show my gentleness. I hope we can join hands and bring peace to this world!",
2078,"I once hoped that my radiance could shine up everyone. But now that we have made this vow, my glowing light will belong to you alone.",
2079,"This day finally come. I am so happy! From now on, I will only bloom for you till the end of my life.",
2080,Are you the human who wish to vow to me? I will accompanied by your side from now on. Remember to come and see me if you got the time!,
2081,"I used to believe that no one in this world could make my heart flutter, until I met you.",
2082,I plucked all the flowers from the rose garden to make a path for you… I hope you will love everything here…,
2083,"Hmm… I know there are countless people who covet you, but you are a rare prize that no one can take away from me.",
2084,"I await the moment to step onto the stage with you, anticipating the time when demons, angels, and humans will cheer for us together. You once brought me freedom, and I shall be your eternal partner.",
2085,"Engrave your name on this Dragon Ball, the sacred symbol of our pact! As per the ancient tradition of the Eastern Dragon lineage, our souls shall unite as one!",
2086,"In the name of the Lord of the Dead, I am willing to reach your soul, to forge an eternal pact, to cross the curtains of life and death, and to reach the distant shore on the other side...",
2087,"You unlocked the prison where the gods had confined me, yet I willingly placed the chains of bondage upon myself for you. Fate truly is an inexplicable force...",
2088,"If fate separates us, I will build a bridge of faith, crossing time and space, until we reunite. No matter how the world changes, my vow will never waver.",
