id,cid,level,has_advance,has_super,awake,god_awake,super_awake,skin_cid,fight_value,max_hp,max_mp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
11,2075,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102075000|102075200|102075200,10000,550000,600000,80000,110000,15000,12500,24000,24000,20000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
12,2050,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102050002|102050200|102050300,10000,800000,600000,80000,100000,15000,12500,24000,24000,20000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
13,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
14,2067,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102067000|102067200|102067200,10000,600000,600000,75000,100000,15000,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
15,2056,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102056000|102056200|102056200,10000,600000,600000,70000,95000,15000,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
16,2055,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102055000|102055200|102055200,10000,600000,600000,70000,95000,15000,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
17,2057,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102057000|102057200|102057200,10000,550000,600000,80000,110000,15000,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
18,2047,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102047002|102047200|102047301,10000,600000,600000,80000,100000,15000,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
19,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
20,2049,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102049002|102049200|102049200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
21,2009,1,0,0,0|1|2|3,0,0,102009000|102009001|102009002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
22,2011,1,0,0,0|1|2|3|4,0,0,102011000|102011001|102011002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
23,2034,1,0,0,0|1|2|3,0,0,102034000|102034000|102034000,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
24,2037,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102037000|102037200|102037300,10000,600000,600000,50000,75000,15000,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,500,0,0,550
25,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
26,2004,1,0,0,0|1|2|3|4,0,0,102004000|102004001|102004002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
27,2047,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102047000|102047200|102047301,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
28,2024,1,0,0,0|1|2|3|4,0,0,102024000|102024001|102024002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
29,2017,1,0,0,0|1|2|3,0,0,102017000|102017001|102017002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
30,2049,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102049000|102049200|102049300,10000,600000,600000,50000,75000,15000,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,500,0,0,550
31,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
32,2058,1,0,0,0|1|2|3|4|5,0,0,102058000|102058000|102058000,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
33,2038,1,0,0,0|1|2|3|4,0,0,102038000|102038001|102038002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
34,2006,1,0,0,0|1|2,0,0,102006000|102006001|102006002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
35,2062,1,0,0,0|1|2|3|4|5,0,0,102062000|102062000|102062000,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
36,2053,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102053000|102053200|102053300,10000,600000,600000,35000,52500,15000,12500,24000,24000,15000,2500,2000000,200000,0,0,200,90,0,0,0,500,0,0,550
37,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
38,2007,1,0,0,0|1|2,0,0,102007002|102007002|102007002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
39,2016,1,0,0,0|1|2|3|4|5,0,0,102016002|102016002|102016002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
40,2023,1,0,0,0|1|2|3,0,0,102023002|102023002|102023002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
41,2060,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102060002|102060200|102060200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
42,2051,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102051002|102051200|102051300,10000,600000,600000,35000,100000,15000,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,500,0,0,550
43,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
44,2007,1,0,0,0|1|2,0,0,102007002|102007002|102007002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
45,2028,1,0,0,0|1|2|3|4,0,0,102028000|102028001|102028002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
46,2058,1,0,0,0|1|2|3|4|5,0,0,102058000|102058000|102058000,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
47,2053,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102053000|102053200|102053300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
48,2057,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102057000|102057200|102057300,10000,600000,600000,35000,100000,15000,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,500,0,0,550
49,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
50,2018,1,0,0,0|1|2,0,0,102018000|102018001|102018002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
51,2001,1,0,0,0|1|2|3|4,0,0,102001000|102001001|102001002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
52,2003,1,0,0,0|1|2|3|4,0,0,102003000|102003001|102003002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
53,2015,1,0,0,0|1|2|3|4,0,0,102015000|102015001|102015002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
54,2056,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102056000|102056200|102056300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
55,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
56,2011,1,0,0,0|1|2|3|4,0,0,102011000|102011001|102011002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
57,2030,1,0,0,0|1|2,0,0,102030000|102030001|102030002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
58,2056,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102056000|102056200|102056300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
59,2057,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102057000|102057200|102057300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
60,2055,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102055000|102055200|102055300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
61,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
62,2034,1,0,0,0|1|2|3,0,0,102034000|102034000|102034000,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
63,2005,1,0,0,0|1|2|3,0,0,102005000|102005001|102005002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
64,2030,1,0,0,0|1|2,0,0,102030000|102030001|102030002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
65,2011,1,0,0,0|1|2|3|4,0,0,102011000|102011001|102011002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
66,2081,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102081000|102081200|102081300,10000,600000,550000,90000,150000,25000,15000,24000,24000,15000,2500,200000,200000,0,0,0,90,0,0,0,800,0,0,550
67,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,100000,150000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
68,2007,1,0,0,0|1|2,0,0,102007002|102007002|102007002,10000,550000,550000,100000,150000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
69,2028,1,0,0,0|1|2|3|4,0,0,102028000|102028001|102028002,10000,550000,550000,100000,150000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
70,2057,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102057000|102057200|102057300,10000,550000,550000,100000,150000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
71,2040,1,0,0,0|1|2|3|4,0,0,102040000|102040001|102040002,10000,550000,550000,100000,150000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
72,2063,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102063000|102063200|102063300,10000,900000,550000,90000,150000,25000,15000,24000,24000,15000,2500,200000,200000,0,0,0,90,0,0,0,800,0,0,550
73,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
74,2062,1,0,0,0|1|2|3|4|5,0,0,102062000|102062000|102062000,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
75,2040,1,0,0,0|1|2|3|4,0,0,102040000|102040001|102040002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
76,2032,1,0,0,0|1|2|3|4|5,0,0,102032000|102032001|102032002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
77,2058,1,0,0,0|1|2|3|4|5,0,0,102058000|102058000|102058000,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
78,2067,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102067000|102067200|102067300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
79,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
80,2073,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102073000|102073200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
81,2071,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102071000|102071200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
82,2039,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102039000|102039200|102039300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
83,2069,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102069000|102069200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
84,2065,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102065000|102065200|102065300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
85,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
86,2051,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102051002|102051200|102051300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
87,2077,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102077000|102077200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
88,2016,1,0,0,0|1|2|3|4|5,0,0,102016002|102016002|102016002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
89,2023,1,0,0,0|1|2|3,0,0,102023002|102023002|102023002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
90,2060,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102060000|102060200|102060300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
91,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
92,2076,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102076000|102076001|102076200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
93,2077,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102077000|102077001|102077200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
94,2016,1,0,0,0|1|2|3|4|5,0,0,102016002|102016002|102016002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
95,2023,1,0,0,0|1|2|3,0,0,102023002|102023002|102023002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
96,2082,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102082000|102082200|102082300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
97,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
98,2004,1,0,0,0|1|2|3|4,0,0,102004000|102004001|102004002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
99,2001,1,0,0,0|1|2|3|4,0,0,102001000|102001001|102001002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
100,2036,1,0,0,0|1|2|3|4,0,0,102036000|102036001|102036002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
101,2071,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102071000|102071200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
102,2069,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102069000|102069200|102069300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
103,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
104,2005,1,0,0,0|1|2|3,0,0,102005000|102005001|102005002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
105,2034,1,0,0,0|1|2|3,0,0,102034000|102034000|102034000,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
106,2069,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102069000|102069200|102069300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
107,2048,1,0,0,0|1|2|3|4|5,0,0,102048000|102048001|102048002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
108,2068,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102068000|102068200|102068300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
109,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
110,2073,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102073000|102073200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
111,2065,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102065000|102065200|102065300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
112,2036,1,0,0,0|1|2|3|4,0,0,102036000|102036001|102036002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
113,2049,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102049000|102049200|102049300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
114,2071,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102071000|102071200|102071300,10000,550000,550000,150000,200000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
115,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
116,2081,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102081000|102081200|102081300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
117,2037,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102037000|102037200|102037300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
118,2077,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102077000|102077001|102077200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
119,2035,1,0,0,0|1|2|3|4|5,0,0,102035000|102035001|102035002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
120,2075,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102075000|102075200|102075300,10000,550000,550000,150000,200000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
121,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
122,2065,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102065000|102065200|102065300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
123,2071,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102071000|102071200|102071300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
124,2049,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102049000|102049200|102049300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
125,2039,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102039000|102039200|102039300,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
126,2073,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102073000|102073200|102073300,10000,550000,550000,150000,200000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
127,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
128,2078,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102078000|102078200,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
129,2047,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102047000|102047200|102047301,10000,550000,550000,75000,100000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
