task_id,task_type,task_group,task_index,task_id_before,task_condition,task_value,reward,content,content_param
29000086,27,0,0,0,500018,6,5:6000032:5,Complete Asura's Dreamland 2,
29000087,27,0,0,0,500018,11,5:6000032:5,Complete Asura's Dreamland 3,
29000088,27,0,0,0,500018,22,5:6000032:5,Complete Asura's Dreamland 6,
29000089,27,0,0,0,500018,32,5:6000032:5,Complete Asura's Dreamland 8,
29000090,27,0,0,0,500018,48,5:6000032:5,Complete Asura's Dreamland 12,
29000091,27,0,0,0,500019,6,5:6000033:5,Complete Capricornus's Dreamland 2,
29000092,27,0,0,0,500019,11,5:6000033:5,Complete Capricornus's Dreamland 3,
29000093,27,0,0,0,500019,22,5:6000033:5,Complete Capricornus's Dreamland 6,
29000094,27,0,0,0,500019,32,5:6000033:5,Complete Capricornus's Dreamland 8,
29000095,27,0,0,0,500019,48,5:6000033:5,Complete Capricornus's Dreamland 12,
29000096,27,0,0,0,500020,6,5:6000034:5,Complete Zeus's Dreamland 2,
29000097,27,0,0,0,500020,11,5:6000034:5,Complete Zeus's Dreamland 3,
29000098,27,0,0,0,500020,22,5:6000034:5,Complete Zeus's Dreamland 6,
29000099,27,0,0,0,500020,32,5:6000034:5,Complete Zeus's Dreamland 8,
29000100,27,0,0,0,500020,48,5:6000034:5,Complete Zeus's Dreamland 12,
29000101,27,0,0,0,500021,6,5:6000035:5,Complete Pisces's Dreamland 2,
29000102,27,0,0,0,500021,11,5:6000035:5,Complete Pisces's Dreamland 3,
29000103,27,0,0,0,500021,22,5:6000035:5,Complete Pisces's Dreamland 6,
29000104,27,0,0,0,500021,32,5:6000035:5,Complete Pisces's Dreamland 8,
29000105,27,0,0,0,500021,48,5:6000035:5,Complete Pisces's Dreamland 12,
29000106,27,0,0,0,500022,6,5:6000036:5,Complete Venus's Dreamland 2,
29000107,27,0,0,0,500022,11,5:6000036:5,Complete Venus's Dreamland 3,
29000108,27,0,0,0,500022,22,5:6000036:5,Complete Venus's Dreamland 6,
29000109,27,0,0,0,500022,32,5:6000036:5,Complete Venus's Dreamland 8,
29000110,27,0,0,0,500022,48,5:6000036:5,Complete Venus's Dreamland 12,
29000111,27,0,0,0,500023,6,5:6000043:5,Complete Ares's Dreamland 2,
29000112,27,0,0,0,500023,11,5:6000043:5,Complete Ares's Dreamland 3,
29000113,27,0,0,0,500023,22,5:6000043:5,Complete Ares's Dreamland 6,
29000114,27,0,0,0,500023,32,5:6000043:5,Complete Ares's Dreamland 8,
29000115,27,0,0,0,500023,48,5:6000043:5,Complete Ares's Dreamland 12,
29000116,27,0,0,0,500024,6,5:6000044:5,Complete Enmusubi's Dreamland 2,
29000117,27,0,0,0,500024,11,5:6000044:5,Complete Enmusubi's Dreamland 3,
29000118,27,0,0,0,500024,22,5:6000044:5,Complete Enmusubi's Dreamland 6,
29000119,27,0,0,0,500024,32,5:6000044:5,Complete Enmusubi's Dreamland 8,
29000120,27,0,0,0,500024,48,5:6000044:5,Complete Enmusubi's Dreamland 12,
29000121,27,0,0,0,500025,6,5:6000045:5,Complete Thor's Dreamland 2,
29000122,27,0,0,0,500025,11,5:6000045:5,Complete Thor's Dreamland 3,
29000123,27,0,0,0,500025,22,5:6000045:5,Complete Thor's Dreamland 6,
29000124,27,0,0,0,500025,32,5:6000045:5,Complete Thor's Dreamland 8,
29000125,27,0,0,0,500025,48,5:6000045:5,Complete Thor's Dreamland 12,
