cfg_id,type,quality,name,useEffect,end_time,icon,desc
4001,4,4,校对贡献者,0,0,4001.png,谢谢你在校对活动中的贡献
4002,4,5,校对英雄,0,0,4002.png,你就是校对活动中的英雄，这是给你的荣耀奖章！
4003,4,4,社群精英,0,0,4003.png,感谢您在社区活动中的贡献
4004,4,4,社群精英,0,0,4004.png,感谢您在社区活动中的贡献
4005,4,4,社群精英,0,0,4005.png,感谢您在社区活动中的贡献
4006,4,4,社群精英,0,0,4006.png,感谢您在社区活动中的贡献
4007,4,4,社群精英,0,0,4007.png,感谢您在社区活动中的贡献
4008,4,4,社群精英,0,0,4008.png,感谢您在社区活动中的贡献
4011,4,4,社群头像框1,0,0,4011.png,感谢您在社区活动中的贡献
4012,4,4,社群头像框2,0,0,4012.png,感谢您在社区活动中的贡献
4013,4,4,社群头像框3,0,0,4013.png,感谢您在社区活动中的贡献
4021,4,4,社群头像框4,0,0,4021.png,感谢您在社区活动中的贡献
4022,4,4,社群头像框5,0,0,4022.png,感谢您在社区活动中的贡献
4023,4,4,社群头像框6,0,0,4023.png,感谢您在社区活动中的贡献
4031,4,4,社群头像框7,0,0,4031.png,感谢您在社区活动中的贡献
4032,4,4,社群头像框8,0,0,4032.png,感谢您在社区活动中的贡献
4033,4,4,社群头像框9,0,0,4033.png,感谢您在社区活动中的贡献
4034,4,4,社群头像框10,0,0,4034.png,感谢您在社区活动中的贡献
4035,4,6,卑弥呼头像框,0,0,4035.png,感谢您在社区活动中的贡献
4036,4,5,卑弥呼头像框,0,0,4036.png,感谢您在社区活动中的贡献
4037,4,6,风暴之龙头像框,0,0,4037.png,感谢您在社区活动中的贡献
4038,4,5,风暴之龙头像框,0,0,4038.png,感谢您在社区活动中的贡献
4039,4,6,海姆达尔头像框,0,0,4039.png,感谢您在社区活动中的贡献
4040,4,5,海姆达尔头像框,0,0,4040.png,感谢您在社区活动中的贡献
4041,4,6,灰烬龙女头像框,0,0,4041.png,感谢您在社区活动中的贡献
4042,4,5,灰烬龙女头像框,0,0,4042.png,感谢您在社区活动中的贡献
4043,4,6,冰霜龙母头像框,0,0,4043.png,感谢您在社区活动中的贡献
4044,4,5,冰霜龙母头像框,0,0,4044.png,感谢您在社区活动中的贡献
4045,4,6,沈青儿头像框,0,0,4045.png,感谢您在社区活动中的贡献
4046,4,5,沈青儿头像框,0,0,4046.png,感谢您在社区活动中的贡献
4047,4,6,嫦娥头像框,0,0,4047.png,感谢您在社区活动中的贡献
4048,4,5,嫦娥头像框,0,0,4048.png,感谢您在社区活动中的贡献
4049,4,6,双子座头像框,0,0,4049.png,感谢您在社区活动中的贡献
4050,4,5,双子座头像框,0,0,4050.png,感谢您在社区活动中的贡献
4051,4,6,芙蕾雅头像框,0,0,4051.png,感谢您在社区活动中的贡献
4052,4,5,芙蕾雅头像框,0,0,4052.png,感谢您在社区活动中的贡献
4053,4,6,雅典娜头像框,0,0,4053.png,感谢您在社区活动中的贡献
4054,4,5,雅典娜头像框,0,0,4054.png,感谢您在社区活动中的贡献
4055,4,6,阿修罗头像框,0,0,4055.png,感谢您在社区活动中的贡献
4056,4,5,阿修罗头像框,0,0,4056.png,感谢您在社区活动中的贡献
4057,4,5,赫拉达人,0,0,4057.png,感谢您在社区活动中的贡献
4058,4,5,丘比特达人,0,0,4058.png,感谢您在社区活动中的贡献
4059,4,5,卡俄斯达人,0,0,4059.png,感谢您在社区活动中的贡献
4060,4,5,拉达人,0,0,4060.png,感谢您在社区活动中的贡献
4061,4,5,伊卡路斯达人,0,0,4061.png,感谢您在社区活动中的贡献
5001,5,6,万圣节,0,0,5001.png,万圣节限定头像框
5002,5,6,圣诞节,0,0,5002.png,圣诞节限定头像框
5003,5,6,周年庆,0,0,5003.png,周年庆限定头像框
5004,5,6,情满中秋,0,0,5004.png,2021中秋节限定头像框
5005,5,6,万圣节,0,0,5005.png,万圣节限定头像框
5006,5,6,感恩节限定头像框,0,0,5006.png,感恩节限定头像框
5007,5,6,圣诞节限定头像框,0,0,5007.png,2021年圣诞节限定头像框
5008,5,6,春节限定头像框,0,0,5008.png,2022年春节限定头像框
5009,5,6,复活节头像框,0,0,5009.png,2022年复活节限定头像框
5010,5,6,两周年头像框,0,0,5010.png,2022两周年限定纪念头像框
5011,5,6,炼金大师限时头像框（7天）,0,604800,5011.png,炼金大师限时头像框，持续时间7天
5024,5,6,月圆中秋,0,0,5024.png,2022中秋节限定头像框
5025,5,6,2022万圣节限定头像框,0,0,5025.png,2022万圣节限定头像框
5026,5,6,2022感恩节限定头像框,0,0,5026.png,2022感恩节限定头像框
5027,5,6,2022圣诞节限定头像框,0,0,5027.png,2022圣诞节限定头像框
5028,5,6,2023春节限定头像框,0,0,5028.png,2023年春节限定头像框
5029,5,6,2023情人节限定头像框,0,0,5029.png,2023情人节限定头像框
5030,5,6,2023春季限定头像框,0,0,5030.png,2023春季限定头像框
5031,5,6,复活节头像框,0,0,5031.png,2023年复活节限定头像框
5032,5,6,烘培屋头像框,0,604800,5032.png,女巫合成限时头像框，持续时间7天
5033,5,6,2023三周年头像框,0,0,5033.png,2023三周年纪念头像框
6001,6,6,神圣殿堂,0,0,6001.png,神圣殿堂限定头像框
6002,6,6,泳池派对,0,0,6002.png,泳池派对限定头像框
6003,6,6,神性觉醒,0,0,6003.png,神性觉醒限定头像框
6004,5,6,花嫁主题头像框,0,0,6004.png,花嫁主题活动限定头像框
7001,7,4,公会战总决赛MVP,0,0,7001.png,公会战总决赛MVP荣耀头像框
7002,7,5,公会战总决赛MVP,0,0,7002.png,公会战总决赛MVP至尊头像框
7003,7,6,公会战总决赛MVP,0,0,7003.png,公会战总决赛MVP王者头像框
7101,7,4,公会战个人TOP3,0,0,7101.png,公会战个人TOP3荣耀头像框
7102,7,5,公会战个人TOP3,0,0,7102.png,公会战个人TOP3至尊头像框
7103,7,6,公会战个人TOP3,0,0,7103.png,公会战个人TOP3王者头像框
8001,8,4,钻石段位头像框,0,0,8001.png,众神争霸赛钻石段位头像框
8002,8,5,大师段位头像框,0,0,8002.png,众神争霸赛大师段位头像框
8003,8,5,王者段位头像框,0,0,8003.png,众神争霸赛王者段位头像框
8004,8,6,巅峰王者头像框,0,0,8004.png,众神争霸赛巅峰王者段位头像框
8101,8,6,众神之王1次头像框,0,0,8101.png,众神争霸赛众神之王1次头像框
8102,8,6,众神之王2次头像框,0,0,8102.png,众神争霸赛众神之王2次头像框
8103,8,6,众神之王3次头像框,0,0,8103.png,众神争霸赛众神之王3次头像框
8104,8,6,众神之王4次头像框,0,0,8104.png,众神争霸赛众神之王4次头像框
8105,8,6,众神之王5次头像框,0,0,8105.png,众神争霸赛众神之王5次头像框
8106,8,6,众神之王6次头像框,0,0,8106.png,众神争霸赛众神之王6次头像框
8107,8,6,众神之王7次头像框,0,0,8107.png,众神争霸赛众神之王7次头像框
8108,8,6,众神之王8次头像框,0,0,8108.png,众神争霸赛众神之王8次头像框
8109,8,6,众神之王9次头像框,0,0,8109.png,众神争霸赛众神之王9次头像框
8110,8,6,众神之王10次头像框,0,0,8110.png,众神争霸赛众神之王10次头像框
9001,9,6,天使一阶头像框,0,0,9001.png,天使一阶头像框
9002,9,6,天使二阶头像框,0,0,9002.png,天使二阶头像框
9003,9,6,天使三阶头像框,0,0,9003.png,天使三阶头像框
9004,9,6,天使四阶头像框,0,0,9004.png,天使四阶头像框
9005,9,6,天使五阶头像框,0,0,9005.png,天使五阶头像框
9006,9,6,天使六阶头像框,0,0,9006.png,天使六阶头像框
100001,9,6,限时头像框测试,0,60,9003.png,限时头像框测试
