idx,skin_id,state,girl_dialog,switch_1,switch_2,girl_dialog_after_switch1,girl_dialog_after_switch2,sound,sound_after_switch1,sound_after_switch2,award,favorability
19,102055000,2,你喜欢下雪的冬季吗？,喜欢。,太冷了！,寒冷往往能带给智者们冷静和理性的心，我很欣慰你能喜欢这个季节。,虽然人们往往把寒冷和死亡想到一起，但冰雪在世界万物中，却是永恒的象征……,,,,,10
20,102055000,2,我曾经在自己的巢穴里度过了漫长岁月，没人能体会那种孤独感……,其实我能体会……,如今你不再孤独。,很多伟大的人类英雄都是如此，他们簇拥无数的荣耀 ，但却从不被他人理解。,我从没想过自己会对一个人类感兴趣，不过和你相处的日子好像也挺有意思……,,,,,10
21,102055000,2,我不认同战争，因为战争总会给这个世界带来无休止的灾难……,我也不认同。,战争总有原因。,很庆幸你也这么想，这个世界需要的是理性和秩序，而非混乱和破坏。,但大多数的原因都很无理，我希望你能和我一样，冷静思考每一次战斗的意义。,,,,,10
22,102055000,1,想了解我同族的姐妹吗？她们似乎也随着这场灾难苏醒了呢……,你是说灰烬龙女？,你是说风暴之龙？,她是我们三姐妹中脾气最糟的，性子很急但处事热情爽快，但和人类的关系还不错。,他是我们三姐妹中头脑最好的，曾有很多赏金猎人去讨伐她，但一个都没回来过……,,,,,10
23,102055000,5,人类都渴求如同神明一样永恒的生命，这其实并不难做到，想试试吗？,想试试看！,呃……还是算了。,方法很简单，把你冰冻起来，你就能和我一样拥有永恒的青春了，这不是很美妙么？,明智的决定，人类或许能获得永恒的生命，但却可能为此付出更大的代价……,,,,,10
24,102055000,2,大多数人类，都认为我只是个冰冷而无情的存在，你也这么想吗？,我并不这么觉得。,你猜猜看？,奇怪的家伙呐……或许这也是为什么我愿意在你面前敞开心扉的原因吧……,我不知道……但至今为止，没有人会像你这样无时不刻地陪伴我……,,,,,10
25,102050000,3,哟……你挺闲的嘛，有没有兴趣陪寂寞的女士度过漫漫长夜？,你指的是约会？,呃，我恐怕没空。,啊啦！真是个坦率的家伙呢！希望今晚我们能有个愉快的回忆。,喔？让我猜猜……难道是要去见其他的女孩子？,,,,,10
26,102050000,3,一个人说的话是谎言还是真实，真的那么重要吗？,当然！,我不太在意谎言。,可惜的是我自创世之初到现在为止，并没有见过多少人类愿意说真话……,呵呵……是吗？那么猜猜看，我现在说的这句“我爱你”是真的还是假的？,,,,,10
27,102050000,1,你更喜欢白天还是黑夜？,白天。,黑夜。,作为神明，我挺羡慕人类能享受在午后的太阳下，和恋人逛街约会的时光。,黑夜总是充满神秘和暧昧的气氛，很适合二人独处呢……话说回来，你今晚有空吗？,,,,,10
28,102050000,1,人类纠结所行之事的善恶，在我看来其实意义并不大，你觉得呢？,我始终追随善良。,力量才是一切！,有意思，那么就让我看看你的善良是否真的能拯救这场灾难吧。,我很欣慰你认识到了这一点，不管如何，我只喜欢强者……,,,,,10
29,102050000,1,你在处理各种麻烦的时候，更依赖直觉的判断，还是更相信理智的分析？,我更依赖直觉。,我更相信理智。,啊啦！那么用你的直觉猜猜看，今晚你和我在房间里会发生点啥“麻烦”呢？,呵呵……是个冷静的家伙，不过在我的魅力下，你的冷静又能坚持多久呢……,,,,,10
30,102050000,2,电影真是人类文明的伟大产物，你爱看电影吗？更偏爱喜剧还是悲剧？,我更偏好喜剧。,我更爱看悲剧。,意料之内的答案呢，现实中的悲剧已经够多了，希望你能为这场灾难带来转机……,真是出乎我的意料，我可不希望你变成一个性格悲观灰暗的家伙！,,,,,10
31,102062000,3,今晚月色挺美的，不是吗？,（微笑点头）,（沉默不语）,从今往后我都会怀念今天和你一起看过的月亮，希望你也不要忘却今日的约定……,你没有必要这么快给我答复……我会一直等，直到你完成自己的使命后……,,,,,10
32,102062000,2,我并不会畏惧这场战争，我希望和你一起亲手结束它。,如你所愿。,我将独自面对。,感谢你一直以来对我的信任，我会在最激烈的战场上保护好你的身后。,那么请至少允许我在战争结束前，每晚向月亮祈求你的平安。,,,,,10
33,102062000,1,我很喜欢兔子这种温顺的动物，你呢？,我也喜欢。,一般般吧……,它们非常喜欢和人类亲近，是一群很讨人喜爱的家伙呢……,嗯……以你的性格，或许会更喜欢一些凶猛而野性的家伙，我猜的没错吧？,,,,,10
34,102062000,4,如果有一天……我必须要回到月亮上去，你愿意与我同行么？,愿意。,恐怕不行……,等这场战争结束后，我们便一起回我的故乡吧，那里永远没有末日和灾难。,我明白……你在这个世界上，或许有永远也不能舍弃的事物吧……,,,,,10
35,102062000,5,我其实并不想成为神明般的存在，永恒的生命对于我而言太沉重了……,但命运如此。,凡人也有烦恼。,我应该感谢能够与你相遇，这或许是命运给我这个孤独的人最大的安慰了。,凡人们叹息短暂的生命，但他们又怎么会明白永恒的寂寞……,,,,,10
36,102062000,1,无聊而冷清的夜晚呢，过去我感到孤独时，总会唱一曲童谣解解闷。,想听你唱一首。,要我唱给你听吗？,那么在我的膝上躺下，闭上你的眼睛静静地听吧，祝你一夜好梦……,嗯，如果是你的话，我很乐意……,,,,,10
37,102051000,2,从战场的号角声中，你能听到什么？,勇气！,愤怒？,呵……下次让我看看你在战场上的勇猛吧。,当你的家园被入侵时，你会明白这种感受的。,,,,,10
38,102051000,2,只要我没倒下，敌人就永远无法踏入城门。,我将与你同在。,我相信你的力量。,哼……你确实也是个能让人安心的家伙……,至今为止，我从未让北欧的同伴们失望过。,,,,,10
39,102051000,2,不管是谁，都会有自己想守护的人存在。,你想守护的人是？,的确如此。,我拒绝回答，但……但以后你会知道的……,那……那你呢？你希望守护的人是谁？,,,,,10
40,102051000,2,听过诸神的黄昏么？,听说过。,不是很了解……,我发誓……绝不会让这种事再次发生在这个世界。,也好，你不会想知道那场灾难有多惨烈……,,,,,10
41,102051000,4,之前的战斗你差点没命！怎么可以这么莽撞！,抱歉让你担心了。,勇者总有好运的。,我……我才没担心！我只是……只是随便说说罢了！,下次如果没有我的保护，不要再这样冒险了！,,,,,10
42,102051000,2,我丢失的神力恐怕难以恢复了……,不要轻言放弃。,我会守护你的。,你的意思是……你愿意和我一起找回我的力量吗？,笨蛋……,,,,,10
43,102053000,2,作为统治者你太年轻了！你需要不顾一切让自己积累经验，并尽快成熟起来！,我会全力以赴！,不应急于求成！,不错的意志！你让我看到了我年轻时的影子……,看来你不像我一样是个急性子的家伙，或许你比我更适合当一个统帅。,,,,,10
44,102053000,2,我从来不认为神与人有什么差别，神明不过是强大的人类罢了！,我认同你的说法。,并非如此。,所以人类只要不断地磨练自己，终有一天能够达到神明的强大境界！,即使是永恒的生命，人类也能够通过魔法与神祈做到，我自己就是一个成功的例子！,,,,,10
45,102053000,2,战争是一种荣耀，我丝毫不畏惧战争，也不否认战争的重要性！,但战争带来死亡。,我也同样不畏惧！,我宁愿在战场上为自己的理念而牺牲，人活着的意义不就是为了贯彻自己的理念吗？,希望你也能够在战场上找到自己活着的意义和价值，并为自己的理念而战！,,,,,10
46,102053000,1,嗯……你会觉得一名巫女穿上武士的装束很奇怪吗？,丝毫不觉得！,确实有些奇怪……,我也这么想，什么样的装束不是重点，关键是你是否具备巫女的智慧与武士的意志！,哼！很快我就会在战场上向你证明，我也是一名拥有不屈意志的合格武者！,,,,,10
47,102053000,2,自从转生在这个世界后，我无时不刻都在想着有朝一日能重新光复邪马台……,我始终会支持你！,人不应纠结过去。,我就知道我可以信任你！我很期待你作为统治者的才能和勇气！,如果是别人这样对我说，我绝不会认同，但不知为什么，我总觉得你说的没错……,,,,,10
48,102053000,3,你……会觉得我太严肃而不像一个女孩子么……,丝毫不会！,你很在意吗？,和我想的一样呢！就算女孩子也有坚强和威严的一面嘛！,在你的面前，我多多少少还是会在意一点的了……,,,,,10
49,102057000,2,越是强大的力量，就越是危险，风暴也是如此……,我会远离风暴。,我将掌控风暴。,和大部分人类不同，你比我想象中更为理性，或许和你合作是一个正确的决定。,是么？你是第147位说出这句话的人类，猜猜看前146个家伙的命运如何？,,,,,10
50,102057000,2,只有智慧能够掌控强大的力量，而非愤怒，你认为呢？,你说的没错。,我不这么认为……,很欣慰听到你认同我的观点，或许你真的有能力成为众神的领导者。,愤怒只会让人头脑发热罢了，但如果能驾驭自己的愤怒，或许也能拥有强大的力量。,,,,,10
51,102057000,2,战争简直无聊透顶，有这些打打杀杀的时间，不如拿来好好做研究。,战争也带来进步。,我认同你的理念。,某种角度上你没说错，在击败来讨伐我的那群笨蛋后，我的力量确实提升了不少。,所以你还需要多长时间，才能结束这场神明间的世界大战？,,,,,10
52,102057000,1,我同族的两个姐妹似乎也随着这场灾难苏醒了呢……虽然也在我的意料之中……,你是说灰烬龙女？,你是说冰霜龙母？,这个脾气暴躁的家伙醒过来可不是什么好事，意外的是她和人类相处得还不错……,你没事最好别去惹她，她要是心情不好，你可能就要被冻在冰块里度过余生了……,,,,,10
53,102057000,2,人类和神明为什么都这么喜欢纠结自己的身份……神和人在我看来毫无区别。,为什么这么说？,我也这么认为。,神也有诞生和毁灭，也需要遵循世间的规则，神并非真理，只是很强的存在罢了。,在我观念中，只有想成为神的人才会这么说，看来你也是个有野心的家伙呢……,,,,,10
54,102057000,3,虽然我把你当作竞争对手，但不得不承认，我对你还挺有好感……,我也是！,我挺意外的！,除了竞争对手外。我很期待和你之后的关系，那个……更深入一点的关系也可以……,你太迟钝了！我们合作了这么久，你都没有察觉出来吗……,,,,,10
55,102056000,1,啊……真是无聊！！真想找一个强者打一架！！,我来当你的对手？,下一场战斗你上？,没问题！这次我可不会像上回那样，因为大意输给你了！,终于轮到我出场了吗？！等着看我把敌人烧成烤肉吧！哈哈哈！,,,,,10
56,102056000,3,你问我遇到敌人会怎么做？当然是先劝他投降！不投降就把他烤了！,意外地挺恐怖……,意外地挺合理。,我看上去像是会手下留情的人吗？！没有比击败敌人更让我兴奋的了！,就算是魔物，也要给一个和平解决问题的机会嘛，虽然大部分时候都没用就是了。,,,,,10
57,102056000,5,战争和一场游戏没什么差别，无非是谁先出局而已，你觉得呢？,如你所言。,我不同意。,作为你的同伴，我挺高兴听到你这个统帅认同我的看法，哼哼……,没什么奇怪的，踏上这个世界的战场时，我早就没有任何对生命的留恋了。,,,,,10
58,102056000,1,嗯……我察觉到两位姐妹和我一样，也苏醒在这个世界了呐……,你是说风暴之龙？,你是说冰霜龙母？,她是个满口智慧、战略的家伙，不过要真论打架的话，她肯定打不过我！,那个冷冰冰的家伙太无趣了，在她身边我可一秒钟都呆不下去！,,,,,10
59,102056000,5,神之所以为神，并非力量强大，而是在战场上有过人的勇气和赴死的决心！,你说的没错！,你想的太简单了。,所以，你作为众神的统帅，必须要具备比他们还强大的勇气！,想得太复杂反而没意义，没有勇气，你如何在成神的途中直面困难和恐惧？,,,,,10
60,102056000,1,人类的料理真是有意思，我开始理解“文明始于火焰”这句话的含义了。,你也会做菜么？,你喜欢哪些料理？,没想到吧？！我的手艺可一点也不逊于你们人类的顶级厨师！,嗯……我想想……大多数的料理我都喜欢，不过最喜欢的当然还是烤肉！！,,,,,10
61,102032000,2,看来即使我倾尽全力，也难以让这个世界的太阳重新焕发光辉……,没必要自责。,我们会共同面对。,确实，自责没有任何意义，作为光明与希望的象征，我需要重新振作起来！,你说的没错……即使曾经身为太阳的主宰，现在也需要与同伴一起面对这世界末日。,,,,,10
62,102032000,2,我时常回忆起过去在高天原的日子，虽然麻烦不断，但却充实无比。,人需要面对未来。,回忆带来决心。,抱歉，我似乎有些过度沉湎于以前的时光了，希望没有给你带来困扰。,如你所言，人们都期望找回过去的和平，我们必须终结这场灾难！,,,,,10
63,102032000,2,为什么人们必须用战争的方式来解决问题和矛盾，这难道不会让事情更糟吗？,你说的没错。,事实并非如此。,不管如何，我始终相信理念的差异可以通过和平，而非战争的方式得到统一。,我能理解危急关头需要立刻解决的困境，但我依旧希望你慎重对待任何一场战争。,,,,,10
64,102032000,2,度过这场灾难之后，我一定要重振大和神明曾经的辉煌，为神系间带来和平！,这很令人期待。,这并不容易。,到那时，大和神明将承担起维护众神间和平的职责，世界将永远不再有矛盾和争执。,但我一定会完成这个使命，你没感受到吗，命运让我降临在这个世界就是为此。,,,,,10
65,102032000,5,你的衣服在战斗中损坏得好厉害啊……需要我帮你做一件新的吗？,有劳您了。,有些不好意思……,虽然我和你所处的时代不同，但我对自己纺织和设计服装的技巧可是很有自信的！,虽然在帮您量身高和三围时……要麻烦您“坦诚相见”，但我们的关系应该无碍……,,,,,10
66,102048000,2,凡人们始终畏惧死亡，在我看来死亡意味着脱离情感的宁静与永恒之美……,我并不认同。,我同意你的看法。,呵呵，当一个人连死亡也不再畏惧时，他将不再有任何弱点，你很快就会明白的……,你是我见到的最理性的凡人了，我们今后的合作或许会比较有趣……,,,,,10
67,102048000,2,神又如何，人又如何，不都要面对毁灭与消逝的命运么……,的确如此。,强者会挑战命运。,所以无论人类或神明，都应在活着时遵循既定的命运，为自己的死亡做好准备……,喔？是吗？我很乐意看看作为死亡的代言人，你能不能逃得出我的手掌心……,,,,,10
68,102048000,5,为何人们总把我的战略蔑称为“阴谋”，战斗的计谋难道还有善恶之分吗？,我认为没有分别。,我认为有此分别。,明智的回答，计谋就是计谋，善良与邪恶不过都是一种说辞和借口罢了。,看来和我不同，你更愿意用拳头和力量来解决矛盾……我该赞扬你的荣耀感么？,,,,,10
69,102048000,2,我从来不否认自己是个野心家，这个乱糟糟的世界太需要秩序和统一了！,秩序源于强者！,秩序源于规则。,你没说错，但遗憾的是，这句话只在这个强者活着的时候有效……,啊，难以相信我会从凡人嘴里听到这话，没错，其实你会发现死亡是最公平的规则。,,,,,10
70,102048000,2,荣耀这种东西，对于一名战士而言真的这么重要么？,至少我认为重要。,并不重要。,是啊……多少英雄们为荣耀而献出生命，这样迎来死亡倒也是一种艺术……,死亡会抹去一切，再伟大的英雄所创造的荣耀，也会随崇拜者的逝去而消散吧……,,,,,10
71,102031000,2,死亡并不可怕，可怕的是在你死去的时候，对自己的一生抱有遗憾。,人生难免不完美。,我毫无遗憾可言！,从你的表情看来……是不是觉得人生中最大的遗憾是少了女孩子的陪伴？,啧啧……看看你身边那些对你崇拜到家的女孩子们，你的人生确实没什么遗憾的了。,,,,,10
72,102031000,1,冥界最近魔物横行，非常糟糕，有时间陪我去解决一下麻烦吗？,我打赌有去无回。,没问题！,以你强大的战斗力，再危险的地方也能回来，当然，站着还是躺着另当别论……,嗯……出发之前你最好穿上最厚的盔甲，不然我不保证你能“完整”地回来……,,,,,10
73,102031000,1,有兴趣和我一起审判亡者么？,有兴趣！,似乎有点恐怖……,明智之举！当你死后接受我的审判时，我保证你会长个心眼……,放心，比你想象中好玩得多……尤其是你亲自把讨厌的家伙踹下深渊的时候……,,,,,10
74,102031000,2,战争没什么意义，任何事物的命运岂是一场战争就可以改变的……,战争只是手段。,事实并非如此。,我倒不反感战争，一场战争带来的亡者，能让我冷清的宫殿热闹好几个月……,喔？我们打个赌吧，看看这场世界末日能不能结束于你所引导的战争。,,,,,10
75,102031000,5,作为一个凡人，你怎么看待作为死神的我？,超帅超有魅力！,很可怕……,啊啦，那今晚你有空么？有无兴趣来我的房间体验一下死神“有魅力”的一面……？,真是让我失望，看来今天晚上我有必要惩罚一下你这个不懂情调的家伙了……,,,,,10
76,102025000,2,战争是伤害自然的行为，不管何时我都会阻止。,大自然也有愤怒。,我认同你的观点。,大自然有时候确实会带来灾难，但这是上天指示的命运，并非人为的灾祸。,虽然你时常在战场上拼杀，但我很清楚，你所做的一切也是为了尽快终结战争。,,,,,10
77,102025000,2,修补天界的裂缝往往要花费好几年，是非常需要耐性的事情呢……,我有时会很急躁。,我从来不缺耐心！,希望你和女孩子相处的时候别太急躁，女孩子生气起来可比天漏了还可怕……,喔，是吗？那么你一定很擅长追女孩子了，和女孩子相处可需要不少耐心……,,,,,10
78,102025000,2,顺应大自然是最合理的行为，世间万物、一切规则都源于自然的创造。,一切顺其自然。,人应掌控自然。,我很欣慰你能认同，万事万物都有既定的命运，而自然无时不刻掌控着它们。,其他人我一定不觉得能成功，不过如果是你的话……或许有小小的可能性吧。,,,,,10
79,102025000,1,虽然失去了部分神力，但我并不遗憾，这只是自然需要我把力量还给它而已。,您想找回神力吗？,我会一直守护您！,你的好意我心领了，然而没有必要这样做，因为这是大自然要我面对的命运。,嘻嘻……还从没有凡人对我说过这样的话……你知道这意味着什么吗？,,,,,10
80,102025000,1,你问我的兴趣爱好？大概是养养小动物，摆弄摆弄花草吧。,感觉有些平淡……,很雅致的兴趣！,相信我，在经历了无数的冒险和刺激过后，你会觉得平淡的日子是一种享受的。,你也这么认为吗？！今晚有没有兴趣来我的花园看看我亲手种植的盆栽？,,,,,10
81,102052000,2,即使全世界只剩下我一人，我也将为正义战斗到最后一刻！,我将与您共进退！,希望您赐我勇气。,哼……希望你确实能有这个觉悟，毕竟正义之举需要超凡的勇气。,勇气源自于你的理念，当你的理念坚不可摧时，战场上将没有敌人能够阻挡你。,,,,,10
82,102052000,1,你问我天堂怎么样？在我看来没什么特别的，但至少那里不会有任何邪恶。,希望去那里看看。,那地狱呢？,我现在就可以送你去天堂，不过有去无回，想试试么？,这我可不清楚，但从地狱硫磺火坑每天传出的惨叫声来看，应该是个挺刺激的地方。,,,,,10
83,102052000,2,战争是消灭邪恶最快的方式，但并非最好的方式……,为什么这么说？,最好的方式是？,你觉得毁灭这个世界的真的是恶魔吗？还是潜藏在人或神心中的邪念呢？,我也不知道，倒不如说我希望看到有一天你能解决这个问题。,,,,,10
84,102052000,1,路西法……我很期待这个邪恶而狡猾的家伙被我们抓住后，你会怎么处置她。,说服她为我效力。,你觉得该怎么做？,你在开玩笑么？！如果是真的话，我一定要给你几拳确认你不是在做梦！,我很乐意找个唱诗班每天对她唱圣歌，唱上个几百年，直到她受不了认罪悔过为止。,,,,,10
85,102052000,2,你作为众神的领导者还太年轻了，很多时候你缺乏像我这样处乱不惊的理性。,处乱不惊的理性？,（拥抱米迦勒）,作为众神的统帅，果敢与理性缺一不可，但理性是一切正确判断的前提！,你……你要做什么？！周围的人……都在看着我们呐！再……再不放手我要生气了！,,,,,10
86,102016000,2,我天生为战争而存在，战场上获得的胜利是我永恒的荣耀！,愿你武运昌隆。,荣耀至上！,所以，下一场战斗是什么时候？我很期待与强敌在战场上拼杀的时刻。,一切荣耀归于英灵殿，希望在您的指挥下我们能够战无不胜！,,,,,10
87,102016000,3,你问我擅长什么样的武器？我什么武器都非常擅长！,这太了不起了！,能教教我吗？,其实由于我体内集合了众多女武神们的灵魂，所以我能运用她们每个人的作战技巧。,没问题！以指挥官您的资质和悟性，学会这些技巧并不是什么难事！,,,,,10
88,102016000,5,我其实并非一个人，这个身体内聚集了历代所有女武神们的灵魂。,这么强大吗？,你们不会吵架吗？,我也不清楚原因，但在顺应您的召唤而降临时，似乎所有的姐妹们都产生了共鸣。,当然会，但遇到争执的时候，我们会在冥想中打一架，谁赢了就听谁的。,,,,,10
89,102016000,1,啊，抱歉，刚刚有点走神，其实我在思考您战斗中的策略……,有更好的策略吗？,我的策略如何？,我们女武神是优秀的战士，但很可惜，我们并不是优秀的军师。,毋庸置疑，从我们之前胜利中，已经证明了您策略的合理性。,,,,,10
90,102016000,2,自从被召唤到这个世界后，我和姐妹们就一直挺怀念过去英灵殿的时光……,英灵殿？,和平时代的时光？,是的！那是一座拥有无比魅力的壮观建筑，也是北欧所有女武神所在的圣殿。,是啊！如果想体验的话，可以今晚来我的房间……我保证您会喜欢上这段时光的……,,,,,10
91,102041000,1,有兴趣让我帮你打造一件天下无双的神器吗？,求之不得！,有代价吗？,喔对了，打造的时间会有些漫长，你可能得耐着性子等上两三百年……,如果运气不好，神器会带有诅咒，不过放心，死不了人的，顶多让你做几天噩梦……,,,,,10
92,102041000,4,说实话，有时候我一直觉得是自己打造的武器，导致了战争无谓的蔓延。,或许确实如此。,我不这么认为。,但如果没有武器，善良之人又如何抵御邪恶的入侵呢？,或许你是对的，武器应当用于保卫家园，而非入侵和掠夺弱者。,,,,,10
93,102041000,2,在和敌人的作战策略中，你更习惯于近战的突击还是远程的牵制？,近战的突击。,远程的牵制。,和你勇猛善战的性格很像，兵贵神速，没有比快速突击敌方弱点更有效的战术了。,挺让我惊讶的，我一直没发现你射箭的水平有如此之高！,,,,,10
94,102041000,2,每件装备都需要日复一日地打磨，至少我不会容许出现任何的差错。,工匠都这样吗？,似乎非常需要耐心,我可以自夸地说，至今为止我所制作的武器，可从来没有出过任何问题！,是的，一名工匠往往要拥有打造成百上千件装备的经验后，才能成为一代名师。,,,,,10
95,102024000,2,末日一直是野心家和革命者们最爱的舞台，你不这么认为么？,的确如此。,你在暗示什么吗？,我就知道你从来都不会让我失望，没有比世界末日更容易创造一个新秩序的机会了。,啊啦……你瞒不住我，你早就有将各大神系神明收入麾下的野心了，对吧？,,,,,10
96,102024000,2,从来没有人能理解……我一定要成为世界统治者的真正原因。,其实我理解……,我愿听你说说看。,真的么？你不是在安慰我吧？不过就算你只是安慰我，我也挺高兴的就是了……,啊啦，统治世界之后，就算我是恶魔，不也可以名正言顺地和你每天呆在一块了么？,,,,,10
97,102024000,3,我可以看得出来，你对我潜藏在心底的那份欲望正在躁动不安……不是吗？,不是的！,好吧，你猜对了。,是么，小可爱？那么为什么现在和你在这里亲密交谈的是我，而不是别的女孩子呢？,啊啦……真是个诚实的家伙呢，今晚有兴趣来我的房间，陪我度过漫漫长夜么？,,,,,10
98,102024000,1,恶魔只是个身份，天使也好恶魔也罢，该成为同伴的还是会成为同伴。,你会和天使合作？,你说的有道理。,是啊，我很有兴趣和她们好好亲热亲热，比如她们中那个叫米迦勒的家伙……,真让我惊讶！我可从没想过你真的能接受这么极端但明智的建议呢！,,,,,10
99,102014000,1,你知道么？在战场上跳舞不仅仅是一种艺术，也是鼓舞士气的好手段！,的确如此！,总感觉很危险……,嗯……你的身材也很适合跳舞呢！有兴趣让我教教你吗？,哼哼……舞蹈可不仅是表演，如果搭配上武器的运用，可是非常致命的进攻手段！,,,,,10
100,102014000,5,离下一次战斗还有几个小时呐，实在太无聊了，不如来玩猜硬币怎么样？,好啊！我猜正面！,嗯……我猜反面。,你运气不错呢！这枚特殊的硬币送给你作为纪念吧！别小瞧它，带着可会有好运喔！,太遗憾了是正面，看来作为胜利女神，哪怕是猜硬币，我也从来不会输给任何人呢！,,,,,10
101,102014000,1,作为胜利女神，我并非最强大的战士，但战士们却能够因我而变得强大。,这是一种荣耀。,你挺适合当偶像。,我会以此为荣的，我很期待能够在未来的战斗中，继续尽力地支持同伴们。,我……我其实很早就有这样的想法了……只是……只是不好意思和大家说……,,,,,10
102,102019000,2,公正的神罚和永恒的复仇，必然会降临在每一个胆敢冒犯正义律法的人身上！,律法也有瑕疵。,律法带来秩序。,我并不反对你这样说，但如果没有律法，世间的万事万物都将失去原则和公平。,我很欣慰您作为众神的指挥官，能够明白律法对于军团的重要性。,,,,,10
