id,name,desc,icon,debuff_icon,cooldown_time,prepare_effect,skill_effect,hit_effect,target_type,target_count,target_rule_type,must_be_crit_type,damage_type,damage_value,change_attribute,control_type,control_value,during_time
26,Curse of the Abyss,"Deals 120% M.DMG to 3 enemies and inflicts [Speed Impair] state, reducing their SPD by 50% for 3 sec.",10102.jpg,XuRuo.png,3,SYZZ_act,SYZZ_att,SYZZ_hit,2,3,1,0,3|5,1200,11:500,2,0,3
27,Divination,"Deals 120% True DMG to 3 enemies; If the target is under [Ignite] state, ensure a critical hit.",10202.jpg,,3,GHZJ_act,GHZJ_att,GHZJ_hit,2,3,1,2,2,1200,0,0,0,0
28,Surging Waves,"Deals 120% M.DMG to 3 enemies and inflicts [Poisoned] state, reducing 4% of their current HP per sec for 3 sec.",10301.jpg,ZhongDu.png,3,JTHL_act,JTHL_att,JTHL_hit,2,3,1,0,3|5,1200,0,4,40,3
29,Ice world,"Deals 80% M.DMG to 4 enemies and inflicts [Spellbreaker] state, reducing their M.RES by 60% for 3 sec.",11001.jpg,PoJia.png,3,BTXD_act,BTXD_att,BTXD_hit,2,4,1,0,3|5,800,10:600,6,0,5
30,Final Stab,"Deals 300% P.DMG to the enemy with the lowest HP; If that target's HP is less than 50%, ensure a critical hit.",11302.jpg,,3,1004_act,1004_att,1004_hit,2,1,2,1,2,3000,0,0,0,0
31,Youth Apple,"Deals 120% P.DMG to 3 enemies and inflicts [Ignite] state, receiving M.DMG equals to 60% ATK per sec for 3 sec.",11401.jpg,ZhuoShao.png,3,QCPG_act,QCPG_att,QCPG_hit,2,3,1,0,2|5,1200,0,3,600,3
32,Relentless Justice,"Inflicts [ATK Increase] state to 3 teammates, increasing their ATK by 150% for 5 sec.",11801.jpg,,3,WQZY_act,WQZY_att,WQZY_hit,1,3,1,0,4,0,4:1500,0,0,5
33,Phantom Arrows,"Inflicts [SPD Increase] state to 3 teammates, increasing their SPD by 150% for 5 sec.",13501.jpg,,3,SGZM_act,SGZM_att,SGZM_hit,1,3,1,0,4,0,3:1500,0,0,5
34,Box of Calamity,"Deals 140% M.DMG to 3 enemies and inflicts [Speed Impair]] state, reducing their SPD by 60% for 4 sec.",11201.jpg,XuRuo.png,3,ZEMH_act,ZEMH_att,ZEMH_hit,2,3,1,0,3|5,1400,11:600,2,0,4
35,Descending Darkness,"Deals 400% P.DMG to 1 enemy and inflicts [Poisoned] state, reducing 3% of the target's current HP per sec for 4 sec.",12301.jpg,ZhongDu.png,3,HAJL_act,attack_2_att,HAJL_hit,2,1,1,0,2|5,4000,0,4,70,4
36,Taichi,Deals 80% M.DMG to 4 enemies and inflicts [Stunned] state that last 4 sec,12501.jpg,YunXuan.png,3,TJBG_act,TJBG_att,TJBG_hit,2,4,1,0,3|5,800,0,1,0,4
37,Nether Shot,"Deals 60% P.DMG to 6 enemies and inflicts [Ignite] state, dealing M.DMG equals to 60% ATK per sec for 4 sec.",12701.jpg,ZhuoShao.png,3,HQSJ_act,HQSJ_att,HQSJ_hit,2,6,1,0,2|5,600,0,3,600,4
38,Purging Arrow,"Deals 120% P.DMG and inflicts [Sunder Armor] state to 3 enemies, reducing their P.RES by 60% for 4 sec.",13701.jpg,JiPo.png,3,2007_act,2007_att,2007_hit,2,3,1,0,2|5,1200,9:600,5,0,5
39,Unbridled Fury,"Deals 60% True DMG to 6 enemies; If the target is under [Ignite] state, ensure a critical hit.",12802.jpg,,3,3001_act,3001_att,3001_hit,2,6,1,2,1,600,0,0,0,0
40,Hammer of Chaos,"Deals 60% P.DMG to 6 enemies and inflicts [Poisoned] state, reducing 5% of the target's current HP per sec for 4 sec.",1002.jpg,ZhongDu.png,3,1002_act,attack_2_att,1002_hit,2,6,1,0,2|5,600,0,4,50,4
41,Infinite Tsukuyomi,"Deals 300% P.DMG to the enemy with the highest HP and inflicts [Break] state, reducing the target's M.RES and P.RES by 60% for 5 sec.",14501.jpg,YuanFen_JP.png,3,MMWX_act,MMWX_att,MMWX_hit,2,1,3,0,2|5,3000,9:600|10:600,7,0,5
