dungeon_map_id,name,bg_path,switch_opr_guide_id,need_swipe_guide
57,哈瓦那,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200156,1
58,马那瓜,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200157,0
59,波特兰,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200158,0
60,太子港,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200159,0
61,里斯本,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200160,1
62,马德里,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200161,0
63,拉巴特,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200162,0
64,阿尔及尔,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200163,0
65,赞比亚,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200164,1
66,莫桑比克,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200165,0
67,南非,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200166,0
68,马达加斯加,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200167,0
