id,map_type,pre_map_type,index,pre_index,star_type,is_permill,add_attr,is_pvp,cost_goods_one,cost_goods_two,name,icon
89,4,3,17,14,1,0,2:3:3000,0,60,0,Source of Nullity,img_XT_xingtu4
90,4,3,18,17,1,0,2:3:3500,0,70,0,Source of Nullity,img_XT_xingtu4
91,4,3,19,12,2,0,3:1:50,0,30,30,Source of Nullity,img_XT_xingtu4
92,4,3,20,10,2,0,3:2:50,0,30,30,Source of Nullity,img_XT_xingtu4
93,4,3,21,3,2,0,2:52:50,0,30,30,Source of Nullity,img_XT_xingtu4
94,4,3,22,6,2,0,2:51:50,0,30,30,Source of Nullity,img_XT_xingtu4
95,4,3,23,16,2,0,2:40:50,1,30,30,Source of Nullity,img_XT_xingtu4
96,4,3,24,18,2,0,2:41:50,1,30,30,Source of Nullity,img_XT_xingtu4
97,5,4,1,0,1,0,2:17:3000,0,60,0,Source of Chaos,img_XT_xingtu5
98,5,4,2,1,1,0,2:17:3500,0,70,0,Source of Chaos,img_XT_xingtu5
99,5,4,3,2,1,0,2:17:4000,0,80,0,Source of Chaos,img_XT_xingtu5
100,5,4,4,0,1,0,2:5:3000,0,60,0,Source of Chaos,img_XT_xingtu5
101,5,4,5,4,1,0,2:5:3500,0,70,0,Source of Chaos,img_XT_xingtu5
102,5,4,6,5,1,0,2:5:4000,0,80,0,Source of Chaos,img_XT_xingtu5
103,5,4,7,0,1,0,2:6:3000,0,60,0,Source of Chaos,img_XT_xingtu5
104,5,4,8,7,1,0,2:6:3500,0,70,0,Source of Chaos,img_XT_xingtu5
105,5,4,9,8,1,0,2:6:4000,0,80,0,Source of Chaos,img_XT_xingtu5
106,5,4,10,0,1,0,2:7:3000,0,60,0,Source of Chaos,img_XT_xingtu5
107,5,4,11,10,1,0,2:7:3500,0,70,0,Source of Chaos,img_XT_xingtu5
108,5,4,12,11,1,0,2:7:4000,0,80,0,Source of Chaos,img_XT_xingtu5
109,5,4,13,0,1,0,2:1:60000,0,60,0,Source of Chaos,img_XT_xingtu5
110,5,4,14,13,1,0,2:1:70000,0,70,0,Source of Chaos,img_XT_xingtu5
111,5,4,15,14,1,0,2:1:80000,0,80,0,Source of Chaos,img_XT_xingtu5
112,5,4,16,0,1,0,2:3:3000,0,60,0,Source of Chaos,img_XT_xingtu5
113,5,4,17,16,1,0,2:3:3500,0,70,0,Source of Chaos,img_XT_xingtu5
114,5,4,18,17,1,0,2:3:4000,0,80,0,Source of Chaos,img_XT_xingtu5
115,5,4,19,3,2,0,3:1:50,0,30,30,Source of Chaos,img_XT_xingtu5
116,5,4,20,6,2,0,3:2:50,0,30,30,Source of Chaos,img_XT_xingtu5
117,5,4,21,9,2,0,3:21:300,0,30,30,Source of Chaos,img_XT_xingtu5
118,5,4,22,12,2,0,2:18:50,0,30,30,Source of Chaos,img_XT_xingtu5
119,5,4,23,15,2,0,2:30:50,1,30,30,Source of Chaos,img_XT_xingtu5
120,5,4,24,18,2,0,2:31:50,1,30,30,Source of Chaos,img_XT_xingtu5
